Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 µm),Calcidiscus macintyrei,Gephyrocapsa (>5.5 µm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus (acutus),Ceratolithus atlanticus,Ceratolithus cristatus (rugosus),Clausicoccus fenestratus (subdist),Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus   (>7µm),Reticulofenestra pseudoumbilicus  (5-7µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,small Gephyrocapsa (<4µm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,File Data,eodp_id
342-U1406A-3H-CC-PAL,342,U1406,A,3,3-CC,H,CC,PAL,,0,5,25.46,25.51,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)",,G [P07],A,,,,,C,R,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,,,,,e2fb575ef222fde23f9da6c5610cc325
342-U1406A-4H-CC-PAL,342,U1406,A,4,4-CC,H,CC,PAL,,0,5,35.04,35.09,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)","B Sphenolithus belemnos ( Gradstein et al., 2012)",M-G,A,,,R,,R,,,Freq,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,a474e989b4f41b4fe099fa54515af985
342-U1406A-5H-2-W 100/100-NANNO,342,U1406,A,5,5-2,H,2,W,100/100-NANNO,0,0,37.2,37.2,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)",,M,A,,,F,,,,,C,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275cddd003f72c4d8c9a5d2507638988
342-U1406A-5H-4-W 100/100-NANNO,342,U1406,A,5,5-4,H,4,W,100/100-NANNO,0,0,40.2,40.2,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)",,M,A,,,C,1,,R,,C,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976a99be067f8bdb09634bc7753addec
342-U1406A-5H-CC-PAL,342,U1406,A,5,5-CC,H,CC,PAL,,0,8,44.39,44.47,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)",,M-G,A,,,R,,R,,,Freq,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freq,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,ed4ce13b60deb03eff5ed2d9afe7dbcc
342-U1406A-6H-CC-PAL,342,U1406,A,6,6-CC,H,CC,PAL,,0,7,53.89,53.96,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)",,M-G,A,,,R,R,,R,,Freq,C,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,96f88d9759ba5f6f72145e81b59b7c1c
342-U1406A-7H-CC-PAL,342,U1406,A,7,7-CC,H,CC,PAL,,0,8,63.61,63.69,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)",,M-G,A,,,Freq,1,,Freq,,Freq,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,22,8,,,,,,,,,,,Freq,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,1,,,6d28f3248f1b3d83ca1bccf86e4ce4ee
342-U1406A-8H-7-PAL,342,U1406,A,8,8-7,H,7,PAL,,0,8,72.59,72.67,NN2,"NN2 - Discoaster druggii (Gradstein et al., 2012)","B Sphenolithus disbelemnos ( Gradstein et al., 2012)",M-G,A,,,R,,,Freq,,Freq,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,R,,,0e6d5ee65a3783936797f2c9ae6ef1cb
342-U1406A-9H-2-W 100/100-NANNO,342,U1406,A,9,9-2,H,2,W,100/100-NANNO,0,0,75.2,75.2,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G,A,,,,,,F,,F,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003a44a08d58c95d8ca53952cd1ffae9
342-U1406A-9H-4-W 100/100-NANNO,342,U1406,A,9,9-4,H,4,W,100/100-NANNO,0,0,78.21,78.21,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G-M,A,,,,,,C,,F,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f26a03b65d452826214d79b735941013
342-U1406A-9H-5-W 100/100-NANNO,342,U1406,A,9,9-5,H,5,W,100/100-NANNO,0,0,79.72,79.72,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G-M,A,,,,,,F,,F,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8a7d38900fe59bc351d24d03f6d0ee39
342-U1406A-9H-6-W 88/88-NANNO,342,U1406,A,9,9-6,H,6,W,88/88-NANNO,0,0,81.11,81.11,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)","T Sphenolithus delphix ( Gradstein et al., 2012)",M-G,A,,F,,,,C,,F,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d134d29edc1b75980079c01ab3972de
342-U1406A-9H-CC-PAL,342,U1406,A,9,9-CC,H,CC,PAL,,0,9,82.59,82.68,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G-M,A,,Freq,,,,Freq,,Freq,A,,Freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,Freq,,,C,,,,,,,,,,,,,,,,,,,,,,,7f1bc5c034f197d524af257584fa03be
342-U1406A-10H-1-W 100/100-NANNO,342,U1406,A,10,10-1,H,1,W,100/100-NANNO,0,0,83.2,83.2,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)","B Sphenolithus delphix ( Gradstein et al., 2012)",G-M,A,,R,,,,F,,F,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0cf50288714fb5b1f098e455f0e75d0c
342-U1406A-10H-2-W 100/100-NANNO,342,U1406,A,10,10-2,H,2,W,100/100-NANNO,0,0,84.7,84.7,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G-M,A,,1,,,,F,,F,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86ce1751a5d84cd28d1e322962f9c46d
342-U1406A-10H-7-PAL,342,U1406,A,10,10-7,H,7,PAL,,0,7,91.61,91.68,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G-M,A,,,,,,Freq,,Freq,A,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,Freq,,?1,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,1,,,C,,,,,,,,,,,,,,,,,,,,,,,5c1685c0bd12a8538e913c02249956ce
342-U1406A-11H-4-W 100/100-NANNO,342,U1406,A,11,11-4,H,4,W,100/100-NANNO,0,0,97.2,97.2,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G-M,A,,,,,,F,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c235e523de37b199866f9f9cb635e6af
342-U1406A-11H-5-W 100/100-NANNO,342,U1406,A,11,11-5,H,5,W,100/100-NANNO,0,0,98.7,98.7,NN1,"NN1 - Triquetrorhabdulus carinatus (Gradstein et al., 2012)",,G-M,A,,,,,,C,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccf42138b38c6760889fa7233c547d96
342-U1406A-11H-6-W 100/100-NANNO,342,U1406,A,11,11-6,H,6,W,100/100-NANNO,0,0,100.21,100.21,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)","T Sphenolithus ciperoensis ( Gradstein et al., 2012)",G-M,A,R,,,,,C,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ec136909827e2ebe5c7325963e2a13c
342-U1406A-11H-CC-PAL,342,U1406,A,11,11-CC,H,CC,PAL,,0,5,101.49,101.54,NP25,"NP25 - Sphenolithus ciperoensis (Gradstein et al., 2012)",,G-M,A,R,,,,,R,,Freq,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,309246b54bc5fc542c4e41a4a3b3f895
