Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,Shore File Links,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1341B-31H-CC-PAL-RADS50,323,U1341,B,31,31-CC,H,CC,PAL,RADS50,0,0,283.71,283.71,,M [323_Rs],F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,F,,,,,,,,671e23149afcf55bbbd9d9671bbc1999
323-U1341B-32H-CC-PAL-RADS83,323,U1341,B,32,32-CC,H,CC,PAL,RADS83,0,0,291.56,291.56,,P [323_Rs],F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,47c6ddf8673de97373d95b33d2e47fd5
323-U1341B-33H-CC-PAL-RADS88,323,U1341,B,33,33-CC,H,CC,PAL,RADS88,0,0,301.13,301.13,,M [323_Rs],F,F,,,,F,F,,F,,F,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,f5a0b638145b58284f0a18569b79c0b7
323-U1341B-34H-CC-PAL-RADS93,323,U1341,B,34,34-CC,H,CC,PAL,RADS93,0,0,307.22,307.22,,M [323_Rs],F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,31b25214b2c351ef23eb110507f5be17
323-U1341B-35H-CC-PAL,323,U1341,B,35,35-CC,H,CC,PAL,,0,0,316.65,316.65,,M [323_Rs],F,F,,F,,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,,,,,,,,eca2d042ff7cf7fcb17a1ee61ab14bed
323-U1341B-36H-CC-PAL-RADS34,323,U1341,B,36,36-CC,H,CC,PAL,RADS34,0,0,325.83,325.83,,M [323_Rs],C,,,,,,C,,F,,C,,,,,,,,,,,,,,,,,,F,,,,F,,,,,F,,,,,,,,ee42865dd91488e81b562e80c300d86c
323-U1341B-37H-CC-PAL-RADS39,323,U1341,B,37,37-CC,H,CC,PAL,RADS39,0,0,335.18,335.18,,M [323_Rs],F,F,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,08b8e32657450c50429cf6bb0dfaa142
323-U1341B-38H-CC-PAL-RADS47,323,U1341,B,38,38-CC,H,CC,PAL,RADS47,0,0,345.68,345.68,,M [323_Rs],F,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,f7d0874e31836eca33f80d8491faa8e9
323-U1341B-39H-CC-PAL58     -RADS52,323,U1341,B,39,39-CC,H,CC,PAL58,RADS52,0,0,354.99,354.99,,G [323_Rs],F,F,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,1494624e1133a62b812ac17bea028d43
323-U1341B-40H-CC-PAL41     -RADS57,323,U1341,B,40,40-CC,H,CC,PAL41,RADS57,0,0,358.01,358.01,,G [323_Rs],F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,f1ec332829ef518c27a3f7079172194b
323-U1341B-41H-CC-PAL53     -RADS92,323,U1341,B,41,41-CC,H,CC,PAL53,RADS92,0,0,366.14,366.14,,G [323_Rs],F,,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,,aa73bc471343f94e83dbf32b0ae3e254
323-U1341B-42H-CC-PAL-RADS56,323,U1341,B,42,42-CC,H,CC,PAL,RADS56,0,0,375.58,375.58,,M [323_Rs],F,,F,,F,,C,,F,,,F,,,,,,,,,,,,,,,,,F,F,F,,,,,,F,F,,,,,,,,fae5b778c2e8f5c66840e21e6af1d5b1
323-U1341B-43H-CC-PAL-RADS61,323,U1341,B,43,43-CC,H,CC,PAL,RADS61,0,0,385.38,385.38,,M [323_Rs],F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,F,,,,,,,,95bdb85d608967f4a78baa21faf25908
323-U1341B-44H-CC-PAL-RADS66,323,U1341,B,44,44-CC,H,CC,PAL,RADS66,0,0,395.02,395.02,,M [323_Rs],C,,,,F,,F,,F,,,F,,,,,,,,,,,,,,,,,,F,F,F,,,,,,F,,,,,,,,fb7778e7ec8cd3ef0c7c6ee72271dc21
323-U1341B-45H-CC-PAL-RADS71,323,U1341,B,45,45-CC,H,CC,PAL,RADS71,0,0,403.49,403.49,,M [323_Rs],F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,baad798b5b6fc46ecb6e0a2832ba8b7f
323-U1341B-46H-CC-PAL-RADS76,323,U1341,B,46,46-CC,H,CC,PAL,RADS76,0,0,413.6,413.6,,M [323_Rs],F,,,,F,,,,F,,,,,,,,,,,,F,,,,,,,,F,,F,F,,,,,,F,,,,,,,,86b32a35e8e6a00ed01f19ad17a8a15d
323-U1341B-47H-CC-PAL-RADS87,323,U1341,B,47,47-CC,H,CC,PAL,RADS87,0,0,414.43,414.43,,M [323_Rs],F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,F,,,,F,,F,,,,,,,062ab5beb570221871af0bfd98d322b2
323-U1341B-48H-CC-PAL-RADS83,323,U1341,B,48,48-CC,H,CC,PAL,RADS83,0,0,422.74,422.74,,G [323_Rs],F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,F,,F,F,F,,,,F,,,,,,,,,767a85807be212c119fddbf6987d22ed
323-U1341B-49H-CC-PAL-RADS88,323,U1341,B,49,49-CC,H,CC,PAL,RADS88,0,0,423.19,423.19,,M [323_Rs],F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,,,F,,F,,,,,,,e5ac66934d44fdf5b76b2a75c1442e51
323-U1341B-50H-CC-PAL-RADS48,323,U1341,B,50,50-CC,H,CC,PAL,RADS48,0,0,431.08,431.08,,M [323_Rs],F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,9f51682c320ac35ee77069e07c364ebc
323-U1341B-51H-CC-PAL-RADS53,323,U1341,B,51,51-CC,H,CC,PAL,RADS53,0,0,438.94,438.94,,M [323_Rs],F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,,,F,F,F,,,,,,,ae3c048cdef6038cbf3174e8fa69b2f9
323-U1341B-52H-CC-PAL-RADS58,323,U1341,B,52,52-CC,H,CC,PAL,RADS58,0,0,448.76,448.76,,M [323_Rs],F,,,,F,,,,,,F,F,,,,,,,,,,,,,,,,,,,,C,F,,,,F,F,F,,,,,,,362f573a3f31f0eb6160cb89fc6d1b26
323-U1341B-53H-CC-PAL-RADS63,323,U1341,B,53,53-CC,H,CC,PAL,RADS63,0,0,457.7,457.7,,M [323_Rs],F,,,,F,,F,,F,,F,F,,,,,,,,,,,,,,,,,F,,,,,,,,,F,F,,,,,,,2646e2ca16312081f788c80ad082023d
323-U1341B-54H-CC-PAL-RADS68,323,U1341,B,54,54-CC,H,CC,PAL,RADS68,0,0,458.23,458.23,,M [323_Rs],F,,,,,,F,,,,F,F,,,,,,,,,F,,,,,,,,,,,F,,,,,,F,,,,,,,,b92bc77b424feb0d6999af8209e32301
323-U1341B-55H-CC-PAL74     -RADS70,323,U1341,B,55,55-CC,H,CC,PAL74,RADS70,0,0,458.3,458.3,,M [323_Rs],F,,,,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,dec86618b3cb5ef649f5b4acd357f11d
323-U1341B-56H-CC-PAL4      -RADS75,323,U1341,B,56,56-CC,H,CC,PAL4,RADS75,0,0,458.4,458.4,,M [323_Rs],F,,,,F,,F,,,,F,,,,,F,,,,,F,,,,,,,,,,,,,,,,,F,F,,,,,,,a328bc77ecbfec7878bc66d8e29359da
323-U1341B-57X-CC-PAL-RADS80,323,U1341,B,57,57-CC,X,CC,PAL,RADS80,0,0,467.23,467.23,,M [323_Rs],F,,,,,,F,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,8ccdd917e28c673bf61d706252c8112d
323-U1341B-58X-CC-PAL-RADS85,323,U1341,B,58,58-CC,X,CC,PAL,RADS85,0,0,476.65,476.65,,M [323_Rs],F,,,,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7f5b455aad2d1a8f01e0f9f3723986aa
323-U1341B-59X-CC-PAL-RADS90,323,U1341,B,59,59-CC,X,CC,PAL,RADS90,0,0,486.67,486.67,,P [323_Rs],F,F,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,F,F,,,,,,F,,,,,,,,4da36d67c20dfa7e922f393eac7a7fd2
323-U1341B-60X-CC-PAL-RADS76,323,U1341,B,60,60-CC,X,CC,PAL,RADS76,0,0,496.36,496.36,,M [323_Rs],F,,,,,,F,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,6c6634cc521f6e0244e4e792c3623fd3
323-U1341B-61X-CC-PAL-RADS33,323,U1341,B,61,61-CC,X,CC,PAL,RADS33,0,0,504.24,504.24,,M [323_Rs],F,,,,,,F,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,3f8fff8788de1c2b5926b74df4253c92
323-U1341B-62X-CC-PAL-RADS38,323,U1341,B,62,62-CC,X,CC,PAL,RADS38,0,0,515.62,515.62,,M [323_Rs],F,,,,,,F,,F,,,,,,,,,,,,F,,,,,,,,,,,F,F,,,,,F,,,,,,,,ba451f680ebbd466c2d96dff3fbb1882
323-U1341B-63X-CC-PAL-RADS45,323,U1341,B,63,63-CC,X,CC,PAL,RADS45,0,0,525.36,525.36,,P [323_Rs],F,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,1b38a80040ac325cb02dbab7263a9a90
323-U1341B-64X-CC-PAL-RADS62,323,U1341,B,64,64-CC,X,CC,PAL,RADS62,0,0,534.76,534.76,,M [323_Rs],F,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,1315ffc524341139c71d5e1c6e0aa076
323-U1341B-65X-CC-PAL-RADS71,323,U1341,B,65,65-CC,X,CC,PAL,RADS71,0,0,542.92,542.92,,M [323_Rs],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,e1cef772188d8b24436e3dc025c29ac6
323-U1341B-66X-CC-PAL-RADS26,323,U1341,B,66,66-CC,X,CC,PAL,RADS26,0,0,549.26,549.26,,P [323_Rs],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43ce58c5a79beee09bfd5cac8b073215
323-U1341B-67X-CC-PAL-RADS31,323,U1341,B,67,67-CC,X,CC,PAL,RADS31,0,0,563.58,563.58,,M [323_Rs],F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,F,F,,,,F,,F,,,,,,,bb1b8b7d17fde4ba07d593d04993c997
323-U1341B-68X-CC-PAL-RADS36,323,U1341,B,68,68-CC,X,CC,PAL,RADS36,0,0,573.38,573.38,,M [323_Rs],F,,,,F,,F,,F,,,F,,,,,,,,,,,,,,,,,,,F,F,F,,,,F,F,F,,,,,,,8b4307221e135b20e593c21129279b9b
323-U1341B-69X-CC-PAL-RADS75,323,U1341,B,69,69-CC,X,CC,PAL,RADS75,0,0,573.52,573.52,,M [323_Rs],F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,F,,,,,,,dedf72da6e665f2ed9bb7ee64d73be31
323-U1341B-70X-CC-PAL-RADS80,323,U1341,B,70,70-CC,X,CC,PAL,RADS80,0,0,592.15,592.15,,M [323_Rs],F,,,,F,,F,,,,,,F,,,,,,,,F,,,,,,,,F,,F,C,F,,,,F,F,F,,,,,,,5303e212223f7c4576ba4e168bf51f05
