Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Diatom abundance,Actinocyclus curvatulus,Actinocyclus ellipticus,Actynocyclus ellipticus fa. lanceolata,Actynocyclus ellipticus var. javanica,Actynocyclus elongatus,Actinocyclus endoi,Actinocyclus ingens,Actinocyclus ochotensis,Actinocyclus moronensis,Actinocyclus octonarius,Actinocyclus subtilis,Actinoptychus senarius,Alveus marinus,Asterolampra acutiloba,Asterolampra eximia,Asterolampra marylandica,Asteromphalus arachne,Asteromphalus cleveanus,Asteromphalus elegans,Asteromphalus flabellatus,Asteromphalus grevillei,Asteromphalus heptactis,Asteromphalus hookerii,Asteromphalus robustus,Azpeitia aeginensis,Azpeitia africana,Azpeitia apiculata,Azpeitia barronii,Azpeitia neocrenulata,Azpeitia nodulifera,Azpeitia nodulifera fa. cyclopa,Azpeitia praenodulifera,Azpeitia salisburyana,Azpeitia tabularis,Bogorovia lancettula,Bogorovia barronii,Cavitatus jouseanus,Cestodiscus peplum,Cestodiscus pulchellus,Coscinodiscus argus,Coscinodiscus lewisianus,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Craspedodiscus coscinodiscus,Crucidenticula nicobarica,Denticulopsis hustedtii,Ethmodiscus sp.,Fragilariopsis doliolus,Haslea sp.,Hemidiscus cuneiformis,Hemidiscus simplicissimus,Lioloma spp. or Thalassiothrix spp.,Nitzschia bicapitata,Nitzschia cylindrica,Nitzschia fossilis,Nitzschia interruptestriata,Nitzschia jouseae,Nitzschia malinterpretaria,Nitzschia miocenica,Nitzschia pliocena,Nitzschia porteri,Nitzschia reinholdii,Nitzschia sicula,Planktoniella sol,Rhizosolenia bergonii,Rhizosolenia curvirostris,Rhizosolenia hebetata fa. hiemalis,Rhizosolenia praebergonii,Rhizosolenia stilyformis,Roperia tesselata,Rossiella elongata,Rossiella paleaceae,Rouxia californica,Rouxia peragalli,Synedra sp.1,Thalassionema bacillare,Thalassionema frauenfeldii,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides var. capitulata,Thalassionema nitzschioides var. inflata,Thalassionema nitzschioides var. parva,Thalassiosira brunii,Thalassiosira burckliana,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira decipiens,Thalassiosira aff. eccentrica,Thalassiosira ferelineata,Thalassiosira fraga,Thalassiosira grunowii,Thalssiosira leptopus,Thalassiosira lineata,Thalassiosira miocenica,Thalassiosira nodulolineata,Thalassiosira oestrupii var. oestrupii,Thalassiosira oestrupii var. venrickae,Thalassiosira praeconvexa,Thalassiosira symbolophora,Thalassiosira tappanae,Thalassiosira yabei,Thalassiosira yabei var. elliptica,Thalassiosira sp. 1,Thalassiosira sp.6,Thalassiosira sp.8,Thalassiosira sp.9,Thalassiosira sp.10,Triceratium cinnamomeum,Triceratium cinnamomeum var. minor,Triceratium cinamomeum var. quadrangulata,File data,
321-U1338A-1H-1-W 98/100-DIAT67,321,U1338,A,1,1-1,H,1,W,98/100-DIAT67,0,0,0.98,0.98,M ,C ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,,F ,R ,,,,,,,,,,,,,F ,C ,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,R ,,R ,R ,,,,,,,R ,,,,,,,F ,,,,,,,,,,,,R ,,,,
321-U1338A-1H-CC-PAL,321,U1338,A,1,1-CC,H,CC,PAL,,0,0,2.68,2.68,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,R ,,,,,,,,,,,,,,F ,F ,,,,R ,,,R ,,,,,,,,,,R ,,,,R ,R ,,,,,,,R ,C ,,R ,F ,,,,,,,R ,,,,,,,F ,,,,,,,,,,,,,,,,
321-U1338A-2H-2-W 65/66-DIAT4,321,U1338,A,2,2-2,H,2,W,65/66-DIAT4,0,0,4.85,4.85,M ,C ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,F ,,,,,,R ,,,,R ,,,,F ,,,,,F ,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,R ,R ,,,,,,,,,,,,,,F ,R ,,,,,,,,,,,R ,,,,
321-U1338A-2H-5-W 119/120-DIAT5,321,U1338,A,2,2-5,H,5,W,119/120-DIAT5,0,0,9.89,9.89,M ,F ,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,R ,,F ,,,,F ,,,,,,,,,,R ,,,,,F ,,R ,,F ,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-2H-CC-PAL,321,U1338,A,2,2-CC,H,CC,PAL,,0,0,12.6,12.6,M ,C ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,?,R ,R ,,,,,,,,,,R ,,,,,,,,R ,R ,,R ,,R ,R ,,R ,,,,,,,,R ,,R ,,,,,R ,,,,,R ,R ,R ,F ,R ,R ,R ,,,R ,,,,R ,,,,,,,R ,R ,,,,,,,,,,,R ,,,,
321-U1338A-3H-1-W 90/90-SS27,321,U1338,A,3,3-1,H,1,W,90/90-SS27,0,0,13.1,13.1,M ,F ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,R ,,,,,F ,,,R ,R ,,,,,,R ,,,R ,,,,,,,,,,R ,,R ,F ,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-3H-2-W,321,U1338,A,3,3-2,H,2,W,,0,0,13.7,13.7,M-G ,C ,,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,R ,,,R ,,,,,,,,,,,,,,,F ,,,R ,,F ,,,R ,,,,,,,,,,R ,,,,,,,,,,,R ,R ,F ,,,R ,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,R ,,,,
321-U1338A-3H-3-W,321,U1338,A,3,3-3,H,3,W,,0,0,15.2,15.2,M ,F ,,,,,,,,,,,,,R ,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,R ,,C ,,,R ,R ,,,,,,,,,F ,,,,,,,,,,,R ,,,,R ,F ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,
321-U1338A-3H-5-W,321,U1338,A,3,3-5,H,5,W,,0,0,18.2,18.2,M-G ,C ,,,,,R ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,,R ,,,,,,R ,,,,,,,,F ,,,R ,,,,,R ,R ,R ,,,,,R ,R ,,R ,,,,,R ,,,,,,,,R ,,R ,R ,,,,,,,R ,,,R ,,,,F ,F ,,R ,,,,,,,,,R ,,,,
321-U1338A-3H-CC-PAL,321,U1338,A,3,3-CC,H,CC,PAL,,0,0,22.12,22.12,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,,R ,R ,,,,,,,,,,,,R ,,R ,,,,,,,,C ,,,R ,,,,,,,,,,R ,,,,C ,,,,,,,,,,,,,,,,
321-U1338A-4H-1-W 50/50-NANNO76,321,U1338,A,4,4-1,H,1,W,50/50-NANNO76,0,0,22.2,22.2,M-G ,C ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,R ,,,,F ,R ,,,,,,,,,,,,,F ,,,R ,,F ,,,F ,F ,,,,,,R ,,,F ,,,F ,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,F ,,,R ,,,,,,,,,R ,,,,
321-U1338A-4H-2-W 100/101-DIAT39,321,U1338,A,4,4-2,H,2,W,100/101-DIAT39,0,0,24.2,24.2,M ,C ,,,,,,,,,,,,,R ,,,,,,R ,,,,,R ,R ,,,,R ,,,,,F ,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,R ,,,,,,R ,,R ,,,,,,,R ,,,,,,,,,,,,,,R ,,,,C ,,,R ,,,,,,,,,F ,,,,
321-U1338A-4H-4-W 30/31-DIAT6,321,U1338,A,4,4-4,H,4,W,30/31-DIAT6,0,0,26.5,26.5,M ,C ,,,,,,,,,,,,,R ,,,,,,R ,,,,,R ,,,,,F ,,R ,F ,,F ,R ,,,,,,,,,,,,,F ,,,R ,,F ,,,F ,F ,,,,,,,,,R ,,,F ,,R ,,,,,F ,,R ,R ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,
321-U1338A-4H-CC-PAL,321,U1338,A,4,4-CC,H,CC,PAL,,0,0,31.65,31.65,M-G ,C ,R ,,,,,,,,,,F ,,R ,,,,,,R ,,,,,R ,,,,,R ,F ,R ,,R ,R ,,,,,,,,,,R ,,,,F ,,,R ,,R ,,,R ,R ,R ,,,,,,,,R ,,,R ,,,,,,,,,R ,R ,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,
321-U1338A-5H-2-W 120/121-DIAT73,321,U1338,A,5,5-2,H,2,W,120/121-DIAT73,0,0,33.9,33.9,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,F ,,,R ,,R ,,,,,,,,,,,R ,,,,,,,,,R ,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-5H-4-W 47/48-DIAT76,321,U1338,A,5,5-4,H,4,W,47/48-DIAT76,0,0,36.17,36.17,M ,C ,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,R ,R ,,,,R ,R ,,,,,,,,,,,,,F ,,,R ,,C ,F ,,C ,F ,F ,,,,,R ,R ,,R ,,,F ,,,,,,,,,,F ,,,,,,R ,,,,R ,,,R ,,,,R ,,,,,,,,,,,,,R ,,,
321-U1338A-5H-CC-PAL,321,U1338,A,5,5-CC,H,CC,PAL,,0,0,41.25,41.25,M-G ,C ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,F ,,,R ,,,R ,,R ,R ,R ,,,,,,,,R ,,,R ,,R ,,,,,,,R ,,,R ,R ,,,R ,,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,
321-U1338A-6H-1-W 40/40-NANNO47,321,U1338,A,6,6-1,H,1,W,40/40-NANNO47,0,0,41.1,41.1,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,F ,,C ,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-6H-3-W 125/126-DIAT2,321,U1338,A,6,6-3,H,3,W,125/126-DIAT2,0,0,44.95,44.95,M-G ,C ,,,,,R ,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,C ,,,,,,F ,,F ,F ,C ,,,,,R ,,,R ,,,,,,,,,,,,,,R ,R ,R ,,,C ,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,,
321-U1338A-6H-5-W 125/126-DIAT5,321,U1338,A,6,6-5,H,5,W,125/126-DIAT5,0,0,47.95,47.95,G-M ,A ,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,,,,,F ,,R ,F ,,C ,R ,,,,F ,,,,,R ,,,,,,,,,,,,,,,R ,,,R ,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,
321-U1338A-6H-CC-PAL,321,U1338,A,6,6-CC,H,CC,PAL,,0,0,50.7,50.7,M ,C ,,,,,R ,,,,,,,,,,,,,,,,,,,,?,,,,R ,,R ,,,,,,,,,,,,,,,,,F ,,,R ,,,,,R ,R ,R ,,,R ,,,,,,,,,,,,,,,,,R ,F ,R ,,R ,,,C ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,
321-U1338A-7H-1-W,321,U1338,A,7,7-1,H,1,W,,0,0,50.2,50.2,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,R ,R ,,,,,,,,,,,,,C ,,,,,F ,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,F ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-7H-2-W 50/51-DIAT94,321,U1338,A,7,7-2,H,2,W,50/51-DIAT94,0,0,52.2,52.2,M ,A ,R ,,R ,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,R ,,,,R ,R ,R ,,,,,,,,,,,,,F ,,,R ,,F ,R ,,R ,R ,F ,,,,,,,,R ,,,,,,,,,,,,,F ,,,F ,,,F ,,,,,,,,,,F ,,,,,,,,,,,,,R ,,,,
321-U1338A-7H-3-W,321,U1338,A,7,7-3,H,3,W,,0,0,53.2,53.2,M ,F ,,R ,R ,,,,,,,,,,R ,,,,,R ,,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,R ,,F ,,,F ,R ,C ,,,,,,,,,,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,,
321-U1338A-7H-4-W 55/56-DIAT97,321,U1338,A,7,7-4,H,4,W,55/56-DIAT97,0,0,55.25,55.25,M-G ,A ,,,,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,,,,,,,,,,F ,,,R ,,C ,F ,,F ,,C ,,,,,,,,,,,,,,,,,,R ,F ,,F ,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,
321-U1338A-7H-CC-PAL,321,U1338,A,7,7-CC,H,CC,PAL,,0,0,60.14,60.14,M-G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,R ,,,,,,,,,,,,,,F ,,,,,C ,,,,F ,F ,,,,,R ,,,,,,,,,,,,,F ,F ,,C ,,F ,,,,,,R ,,R ,,,,,,,F ,,,,,,,,,R ,,,,,,,
321-U1338A-8H-2-W 46/47-DIAT84,321,U1338,A,8,8-2,H,2,W,46/47-DIAT84,0,0,61.66,61.66,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,C ,R ,,,,F ,,,,,R ,,,,,,,,,,,,,,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,
321-U1338A-8H-5-W 109/110-DIAT88,321,U1338,A,8,8-5,H,5,W,109/110-DIAT88,0,0,66.79,66.79,M ,C ,,,,,R ,,,,,,,,R ,,,,,,R ,,,,,,,,,,,R ,,,,R ,,,,,,R ,,,,,,,,F ,,,R ,,F ,F ,,R ,R ,F ,,,,,R ,,,,,,,,,,,,,R ,,F ,F ,,,R ,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,
321-U1338A-8H-CC-PAL,321,U1338,A,8,8-CC,H,CC,PAL,,0,0,69.65,69.65,M ,C ,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,A ,,,,A ,,,,,,,,,,,,,,F ,,,R ,,F ,F ,,F ,,F ,,,,,,,,,,,,,,,,,,F ,,F ,M,,,R ,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,
321-U1338A-9H-3-W 34/35-DIAT49,321,U1338,A,9,9-3,H,3,W,34/35-DIAT49,0,0,72.54,72.54,M ,C ,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,C ,,,R ,,R ,,,,,,,,,,,,,,,,,,R ,R ,,C ,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,
321-U1338A-9H-5-W 70/70-SS58,321,U1338,A,9,9-5,H,5,W,70/70-SS58,0,0,75.9,75.9,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,,,,,C ,,R ,R ,,,,,,,,,,,,,,,,,,,,F ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-9H-6-W 110/111-DIAT50,321,U1338,A,9,9-6,H,6,W,110/111-DIAT50,0,0,77.8,77.8,M ,A ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,,F ,,,,,C ,,R ,F ,R ,F ,,,,,,,,,,,,,,,,,,F ,,,C ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,
321-U1338A-9H-CC-PAL,321,U1338,A,9,9-CC,H,CC,PAL,,0,0,79.09,79.09,M ,C ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,C ,,,R ,R ,,,,,,,,,R ,,,,,,,,,,F ,R ,F ,C ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,
321-U1338A-10H-3-W 58/59-DIAT78,321,U1338,A,10,10-3,H,3,W,58/59-DIAT78,0,0,82.28,82.28,M ,C ,R ,,,,,,,R ,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,F ,F ,R ,,,,R ,,,,,,,,,,,,,,,,R ,,F ,F ,,R ,,,,,,,,,,,,,,,F ,,,,,,,,,,R ,,,,,,
321-U1338A-10H-6-W 129/130-DIAT79,321,U1338,A,10,10-6,H,6,W,129/130-DIAT79,0,0,87.49,87.49,M ,C ,R ,,,,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,C ,,R ,F ,R ,,,R ,,,R ,,,,,,,,,,,,,F ,,F ,,,,F ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,
321-U1338A-10H-CC-PAL,321,U1338,A,10,10-CC,H,CC,PAL,,0,0,88.73,88.73,M ,C ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,F ,,,,,F ,,F ,R ,R ,,,,,,,,,,,,,,,,,,,R ,R ,F ,F ,,R ,F ,,,,,,,,,,,,,F ,,,,R ,,,,R ,,,,,,,,,
321-U1338A-11H-3-W 95/96-DIAT40,321,U1338,A,11,11-3,H,3,W,95/96-DIAT40,0,0,92.15,92.15,G-M ,A ,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,R ,,,R ,,C ,F ,F ,R ,F ,,,,,,F ,,,,,,,,,,,,R ,F ,F ,F ,C ,,F ,,,,,,,,,,,,,,,?,,,,,,,R ,,,,,R ,,,,
321-U1338A-11H-5-W 57/58-DIAT39,321,U1338,A,11,11-5,H,5,W,57/58-DIAT39,0,0,94.77,94.77,M-G ,C ,R ,,,R ,,,,,,,,,,?,,R ,,,,,,,R ,,,,,,,,R ,,,R ,R ,,,,,,,,,,,,,F ,,,R ,,F ,R ,,,R ,,,,,,F ,,,R ,,,,,,,,,R ,R ,,R ,F ,,R ,,,,,,R ,,,,,,,,,,,F ,,,,,R ,,,,,F ,R ,,,
321-U1338A-11H-CC-PAL,321,U1338,A,11,11-CC,H,CC,PAL,,0,0,97.05,97.05,M ,A ,,R ,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,C ,F ,,R ,,,,R ,,,,,,,,R ,,,,,,,,R ,,F ,C ,,,,,,,,,,,,,R ,,,,,,R ,,,,,F ,,,,,R ,,,,
321-U1338A-12H-2-W 71/72-DIAT17,321,U1338,A,12,12-2,H,2,W,71/72-DIAT17,0,0,99.91,99.91,M ,A ,,R ,,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,C ,,,,F ,,,,,,,,,R ,,,,,,,,,,,,F ,C ,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,,,,
321-U1338A-12H-4-W 63/64-DIAT20,321,U1338,A,12,12-4,H,4,W,63/64-DIAT20,0,0,102.83,102.83,M ,C ,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,R ,,,,R ,,,,,R ,,,,,R ,,,,
321-U1338A-12H-CC-PAL,321,U1338,A,12,12-CC,H,CC,PAL,,0,0,107.64,107.64,,C ,R ,,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,C ,,,,,,,C ,,,,,,R ,,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,
321-U1338A-13H-2-W 127/128-DIAT64,321,U1338,A,13,13-2,H,2,W,127/128-DIAT64,0,0,109.97,109.97,G-M ,C ,,,,F ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,C ,,,,,,,C ,,,F ,,,F ,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,F ,,F ,,,,F ,,,,,,,,,,F ,,,,
321-U1338A-13H-5-W 35/36-DIAT65,321,U1338,A,13,13-5,H,5,W,35/36-DIAT65,0,0,113.55,113.55,G-M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,F ,R ,C ,,,,,,,C ,,,,,,,,,,,,,,,,R ,,,F ,,F ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,
321-U1338A-13H-CC-PAL,321,U1338,A,13,13-CC,H,CC,PAL,,0,0,117.09,117.09,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,C ,,,F ,,,,F ,,,R ,,,R ,,,,,,,,,,F ,R ,R ,F ,,R ,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,
321-U1338A-14H-2-W 40/41-DIAT22,321,U1338,A,14,14-2,H,2,W,40/41-DIAT22,0,0,118.6,118.6,M ,A ,,,,R ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,C ,,R ,,,,,F ,,,,,,,,,,,,,,,,F ,,F ,C ,,,,,,,,,,,,,,,F ,,,,R ,,,,,,,,,,,,,,
321-U1338A-14H-4-W 38/39-DIAT21,321,U1338,A,14,14-4,H,4,W,38/39-DIAT21,0,0,121.58,121.58,M ,C ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,R ,R ,C ,,,,,,,F ,,,,,,R ,,,,,,,,,R ,F ,,F ,F ,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,F ,,,,
321-U1338A-14H-CC-PAL,321,U1338,A,14,14-CC,H,CC,PAL,,0,0,126.8,126.8,M-G ,A ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,D ,,,,,,,F ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,R ,,,,,,,,,F ,,,,,F ,,,,
321-U1338A-15H-2-W 38/39-DIAT57,321,U1338,A,15,15-2,H,2,W,38/39-DIAT57,0,0,128.08,128.08,M-G ,A ,,,,,,R ,,,,,,R ,,R ,,,,,,,R ,,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,A ,,,R ,,,,M,,,,,,,,,,,,,,,,F ,F ,,F ,,R ,,,,,,,,,,,,,F ,,,,,,,,,R ,,,,,R ,,,,
321-U1338A-15H-4-W 108/109-DIAT60,321,U1338,A,15,15-4,H,4,W,108/109-DIAT60,0,0,131.78,131.78,M-P ,F ,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,F ,,,,,,,R ,,,,,,,,,,,,,,,,F ,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-15H-CC-PAL,321,U1338,A,15,15-CC,H,CC,PAL,,0,0,135.68,135.68,M-P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-16H-2-W 28/29-DIAT67,321,U1338,A,16,16-2,H,2,W,28/29-DIAT67,0,0,137.48,137.48,M-G ,A ,R ,R ,,R ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,F ,,,,R ,C ,,,R ,,,,F ,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,
321-U1338A-16H-4-W 28/29-DIAT73,321,U1338,A,16,16-4,H,4,W,28/29-DIAT73,0,0,140.48,140.48,M ,C ,,R ,,F ,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,R ,,R ,,,,,,,,R ,,,,,,,,R ,,,,R ,,R ,,,F ,,,,,,,,,,,,,,,,,,F ,,,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,
321-U1338A-16H-CC-PAL,321,U1338,A,16,16-CC,H,CC,PAL,,0,0,145.69,145.69,M-G ,A ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,F ,R ,F ,R ,,,,F ,,,,,,,,,,,,,,,F ,F ,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,
321-U1338A-17H-1-W 95/95-NANNO55,321,U1338,A,17,17-1,H,1,W,95/95-NANNO55,0,0,146.15,146.15,M ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,A ,,R ,R ,,,,,,R ,R ,,,,,,,,,,,,R ,,,,R ,,F ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,
321-U1338A-17H-2-W 75/76-DIAT67,321,U1338,A,17,17-2,H,2,W,75/76-DIAT67,0,0,147.45,147.45,M ,C ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,R ,,A ,,F ,R ,,,,,,,,,,,,,,,,,,R ,,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,
321-U1338A-17H-3-W,321,U1338,A,17,17-3,H,3,W,,0,0,148.2,148.2,M ,C ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,R ,,C ,,R ,,,,,,,R ,R ,,,,,,,,,,,,,R ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,
321-U1338A-17H-4-W,321,U1338,A,17,17-4,H,4,W,,0,0,149.7,149.7,M ,C ,R ,,R ,,,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,A ,,R ,F ,,,,R ,,R ,R ,,,,,,,,,,R ,,,F ,,R ,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,
321-U1338A-17H-4-W 26/27-DIAT81,321,U1338,A,17,17-4,H,4,W,26/27-DIAT81,0,0,149.96,149.96,M-G ,C ,,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,,R ,,,,,,,,,,,,,F ,,,,,F ,,,,,,,,,R ,,,,,,,,,,,R ,,,,,R ,F ,,F ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,
321-U1338A-17H-5-W 50/50-SS61,321,U1338,A,17,17-5,H,5,W,50/50-SS61,0,0,151.7,151.7,M-G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,R ,R ,,,,R ,,,R ,,,,,,,,,,C ,,,F ,,F ,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
