Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,Unnamed: 68,eodp_id
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,,,G,D,A,B,,,,P,,,,,,,P,,,,,,,P,R,,,,,,,,,,,P,,,,,,,A,P,P,,,,,,,R,,,,4f910a9c2ae445c44b4f395f9167b0f5
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,,,G,D,A,P,,,,R,,,,P,R,R,,,,,,,,,R,,,,,,,,,,,R,,,,,,,F,R,F,,,,,,,R,"Radiolarians, siliceous sponge spicules. G. truncatulinoides 50% dex",,,90db36bef3f4842935f46317bc646ecb
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,,,G,D,R,F,,,,,,,P,P,P,,,,,,,,,,R,P,,,,,,,,,,P,,,,,,,A,,P,,,,,,,P,Siliceous sponge spicules,,,cc638c959c0a76bdc1c6fed151854bbe
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,,,G,D,A,B,,,,R,,,,P,P,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,P,D,R,,,,,,,P,,,,2ab7b44c7edb3b5c0fe7d8cbb03a3ad1
339-U1391A-32X-CC-PAL-FORAM,339,U1391,A,32,32-CC,X,CC,PAL,FORAM,0,5,296.2,296.25,,,G,D,R,B,,,,B,,,,P,,,,,,,,,,,B,,,,,,,,,,,P,,,,,,,B,D,P,,,,,,,F,,,,59b59aeab2c195134657290d8b664b14
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,,,G,D,F,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,D,P,,,,,,,F,,,,84ee18040e6eadc37e7668710c7f604b
339-U1391A-34X-CC-PAL-FORAM,339,U1391,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.51,314.56,,,G,D,A,P,,,,F,,P,,P,R,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,A,R,P,,,,,,,P,,,,eb5f3d966195d7f168300a1bd9ac43e1
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,,,G,D,F,P,,,,P,,,,P,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,F,D,P,,,,,,,R,,,,17bc4c8c138235c581b94c47df095c0f
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,,,G,D,A,R,,,,F,,,,P,P,,,,,,,P,,P,P,,,,,,,,,,,P,,,,,,,R,,F,,,,,,,F,,,,c036e397487de60a17dd57b7e37d9dd5
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,,,G,D,F,P,,,,A,,,,P,,R,,,,,,,,P,P,,,,,,,,,,,P,P,,,,,,A,,R,,,,,,,R,,,,418bca30d89e841515d7d5a650a06952
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,,,G,D,F,R,,,,P,,,,R,R,P,,,,,,P,,,P,,,,,,,,,,,,,,,,,,D,,R,,,,,,,P,,,,ca859526b3841d2267d533063b17f433
