Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1418A-11H-CC-RADS,0,0,99.92,99.92,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,11,H,CC,RADS
341-U1418A-12H-CC-RADS,0,0,109.39,109.39,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,12,H,CC,RADS
341-U1418A-13H-CC-PAL-RADS,0,0,118.34,118.34,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],C [A81],,,,,,,,R,C,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,F,,,,,,,,,,,,,,R,,,,R,,,,,C,R,,,,,,,,,,,R,,,,,,,,,,,341,U1418,A,13,H,CC,PAL
341-U1418A-14H-CC-PAL-RADS,0,0,123.36,123.36,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,14,H,CC,PAL
341-U1418A-15H-CC-PAL-RADS,0,0,128.12,128.12,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,15,H,CC,PAL
341-U1418A-16H-CC-PAL-RADS,0,0,132.7,132.7,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,16,H,CC,PAL
341-U1418A-17H-CC-PAL-RADS,0,0,137.53,137.53,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,17,H,CC,PAL
341-U1418A-18H-CC-PAL-RADS,0,0,141.83,141.83,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,18,H,CC,PAL
341-U1418A-19H-CC-PAL-RADS,0,0,146.88,146.88,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,R,F,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,19,H,CC,PAL
341-U1418A-20H-CC-PAL-RADS,0,0,151.47,151.47,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,20,H,CC,PAL
341-U1418A-21H-CC-PAL-RADS,0,0,156.31,156.31,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,,C,,,,,,,,,A,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,A,C,,,,,,,,C,,,,F,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,21,H,CC,PAL
341-U1418A-22H-CC-PAL-RADS,0,0,161.01,161.01,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,R,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,22,H,CC,PAL
341-U1418A-23H-CC-PAL-RADS,0,5,165.63,165.68,B. aquilonaris [K07],Botyrostrobus aquilonaris,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,23,H,CC,PAL
341-U1418A-24H-CC-PAL-RADS,0,5,170.45,170.5,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R,C,,,,,A,,,,A,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,C,,,,,R,F,,,,,,,,,,,,F,,,,,A,A,,R,,,,,,,,,,,,,,,,,,,,341,U1418,A,24,H,CC,PAL
341-U1418A-25H-CC-PAL-RADS,0,5,175.04,175.09,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,25,H,CC,PAL
341-U1418A-26H-CC-PAL-RADS,0,5,179.7,179.75,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],F [A81],,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,R,R,,,,,,,,,,,,R,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,26,H,CC,PAL
341-U1418A-27H-CC-PAL-RADS,0,5,184.44,184.49,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,27,H,CC,PAL
341-U1418A-28H-CC-PAL-RADS,0,5,189.18,189.23,B. aquilonaris [K07],Botyrostrobus aquilonaris,,M [P28],R [A81],,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,341,U1418,A,28,H,CC,PAL
341-U1418A-29H-CC-PAL-RADS,0,5,193.72,193.77,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,29,H,CC,PAL
341-U1418A-30H-CC-PAL-RADS,0,5,198.39,198.44,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,R,R,,,,,,,,,R,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,R,,,,,F,F,,,,,,,,,,,,C,,,,,C,C,,F,,,,,,,,,,,,,,,,,,,,341,U1418,A,30,H,CC,PAL
341-U1418A-31H-CC-PAL-RADS,0,1,203.19,203.2,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,31,H,CC,PAL
341-U1418A-32H-CC-PAL-RADS,0,1,206.05,206.06,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,A,32,H,CC,PAL
341-U1418A-33H-CC-PAL-RADS,0,5,209.88,209.93,B. aquilonaris [K07],Botyrostrobus aquilonaris,,G [P28],A [A81],,,,,,,,C,F,,,,,,,,,C,,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,A,,C,,,,,F,C,,,,,,,,,,,,A,,,,,A,A,,F,,,,,,,,,,,,,,,,,,,,341,U1418,A,33,H,CC,PAL
