Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1390A-12X-CC-PAL-FORAM,339,U1390,A,12,12-CC,X,CC,PAL,FORAM,0,5,101.15,101.2,R,,VG,A,A,R,,,,A,,,P,,F,R,,,,P,,,,R,R,P,,,,,,,,,,R,,,,,,,A,P,R,,,,,,,P,,,,c848039b4a74185b51042af59e939311
339-U1390A-13X-CC-PAL-FORAM,339,U1390,A,13,13-CC,X,CC,PAL,FORAM,0,5,110.44,110.49,R,,VG,A,D,R,,,,A,,,,,P,F,,,,,,,,R,R,,,,,,,,,,,P,,,,,,,F,,R,,,,,,,P,,,,b9194a88ed802caab474515aefab5d06
339-U1390A-14X-CC-PAL-FORAM,339,U1390,A,14,14-CC,X,CC,PAL,FORAM,0,5,121.18,121.23,R,,VG,D,F,A,,P,R,A,,,,,P,,,,,,,,,,R,P,,,,,,,,,,P,,,,,,,R,,R,,,,,,,,,,,f06447868565eb4b5befe685b51cb2d3
339-U1390A-15X-CC-PAL-FORAM,339,U1390,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.38,129.43,,,VG,A,A,F,,,,F,,,P,,R,P,,,,P,,,,,R,,,,,,,,,,,R,,,,,,,F,,R,,,,,,,,,,,db7bad20fcd6387a5ca624c611b58347
339-U1390A-16X-CC-PAL-FORAM,339,U1390,A,16,16-CC,X,CC,PAL,FORAM,0,5,140.05,140.1,,,G,A,F,R,,,,R,,,,,P,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,D,P,R,,,,,,,F,,,,2c26758679c7da3f3a52fc0d6c59729b
339-U1390A-17X-CC-PAL-FORAM,339,U1390,A,17,17-CC,X,CC,PAL,FORAM,0,5,149.92,149.97,,,G,P,A,B,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,P,R,,,,,,,A,Many grains of black pyrite?,,,88571ab796155e614ec5e13174f5805e
339-U1390A-18X-CC-PAL-FORAM,339,U1390,A,18,18-CC,X,CC,PAL,FORAM,0,5,159.02,159.07,R,,G,A,A,R,,,,A,,,,,F,,,,,P,,,,P,P,,,,,,,,,,,P,,,,,,,A,,R,,,,,,,P,,,,de8010c76457fa2ac97ad8cb2987cdd7
339-U1390A-19X-CC-PAL-FORAM,339,U1390,A,19,19-CC,X,CC,PAL,FORAM,0,5,165.76,165.81,,,G,D,A,,,,,P,,,P,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,D,,R,,,,,,,R,,,,2a7529c07c7dbdd99ec6b9ca9cdb3101
339-U1390A-20X-CC-PAL-FORAM,339,U1390,A,20,20-CC,X,CC,PAL,FORAM,0,5,178.73,178.78,,,G,A,A,R,,P,R,A,,,,,F,,,,,,,,,P,P,,,,,R,,,,,,P,,P,,,,,R,,R,,,,,,,,,,,79f1122bc71b0feda02646486cec4af4
339-U1390A-21X-CC-PAL-FORAM,339,U1390,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.55,187.6,,,G,A,F,R,,,,D,,,P,,F,,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,R,,R,,,,,,,R,,,,931e8e74cfdeef3386acde1d05d74f31
339-U1390A-22X-CC-PAL-FORAM,339,U1390,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.03,197.08,,,G,A,A,P,,,,D,,,,,A,,,,,,,R,,P,P,,,,,,,,,,,,,,,,,,R,,R,,,,,,,P,,,,d7c65ae7481d07da039dba10a732d484
339-U1390A-23X-CC-PAL-FORAM,339,U1390,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.98,207.03,,,G,A,A,R,,,,A,,,P,,P,R,,,,,,P,,R,P,,,,,,P,,,,,P,,,,,,,A,,F,,,,,,,,,,,5d0770e241cc84f54528be60c4adcaf1
339-U1390A-24X-CC-PAL-FORAM,339,U1390,A,24,24-CC,X,CC,PAL,FORAM,0,5,217.31,217.36,,,VG,A,A,P,,,,P,,,,,,,,,,,,F,,P,R,,,,,,,,,,,P,,,,,,,D,,R,,,,,,,F,,,,865c615781b21a9555711312fa99a5fa
339-U1390A-25X-CC-PAL-FORAM,339,U1390,A,25,25-CC,X,CC,PAL,FORAM,0,5,224.61,224.66,,,G,A,A,R,,,,A,,,P,,,F,,,,,,,,,R,,,,,,,,,,,P,,P,,,,,A,,R,,,,,,,F,,,,07d85c92a2cabc9e2356241eca5e72c4
339-U1390A-26X-CC-PAL-FORAM,339,U1390,A,26,26-CC,X,CC,PAL,FORAM,0,5,236.23,236.28,,,G,A,A,F,,P,P,A,,,,P,F,P,,,,,,R,,P,P,,,,,,,,,,,P,,,P,,,,F,,R,,,,,,,,,,,a1c6af6f963aa7140f97639edd04d946
339-U1390A-27X-CC-PAL-FORAM,339,U1390,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.21,246.26,,,G,A,A,R,,,,F,,,,,R,,,,,P,,R,,,R,,,,,,,,,,,P,,P,,,,,A,,R,,,,,,,,,,,ce82f4811847fa23bfc0047c62312604
339-U1390A-28X-CC-PAL-FORAM,339,U1390,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.03,256.08,,,G,A,F,R,,,,F,,,R,P,A,,,,,,,R,,P,P,,,,,,,,,,,P,,P,,,,,A,,R,,,,,,,,,,,0eef6f4628e8fb9ed09f1eb10be5dd84
339-U1390A-29X-CC-PAL-FORAM,339,U1390,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.47,265.52,,,G,A,A,P,,,,F,,,,,,,,,,,,F,,P,F,,,,,,,,,,,P,,P,,,,,A,R,R,,,,,,,F,,,,7a7beee860382a1cd5e80815513d3dc5
339-U1390A-30X-CC-PAL-FORAM,339,U1390,A,30,30-CC,X,CC,PAL,FORAM,0,5,275.32,275.37,,,G,D,A,R,,P,P,F,,,,,R,,,,,,,R,,P,P,,,,P,,,,,,,P,P,,,,,,A,,F,,,,,,,,reworked Pliocene species,,,fe7e73560e38be7d32db616a9d16c860
339-U1390A-31X-CC-PAL-FORAM,339,U1390,A,31,31-CC,X,CC,PAL,FORAM,0,5,284.56,284.61,,,G,F,A,P,,,,F,,,,P,P,P,,,,,,R,,,F,,,,P,,,,,,P,,,,,,,,A,R,R,,,P,,,,,reworked Pliocene species,,,930c4f432dc9de5277863f1b86653a1d
339-U1390A-32X-CC-PAL-FORAM,339,U1390,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.63,293.68,,,G,A,A,F,,,,F,,,,,,,,,,P,,,,P,,,,,,,,,,,,R,,,,,,,A,P,R,,,,,,,,,,,bb6fd0931fad75d568bfb73755d09652
339-U1390A-33X-CC-PAL-FORAM,339,U1390,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.6,302.65,,,M,A,A,F,,,P,R,,,,P,P,,,,,P,,,,,R,,,,P,,,,,,,P,,,,,,,F,P,R,P,,,,,,,,,,e030d77f7e8d050b6a4d4c483f7d936f
339-U1390A-34X-1-W 59/61-8839-FORAM,339,U1390,A,34,34-1,X,1,W,59/61-8839-FORAM,0,2,304.49,304.51,,,M,P,A,F,,,,R,,,P,P,P,,,,P,,,,,,R,,,,P,,P,,,,,P,,,,,,,F,P,P,,,,,,,R,sand; reworked Pliocene species,,,07d963a66f2aa2d19431d463b09449ea
339-U1390A-34X-3-W 59/61-8840-FORAM,339,U1390,A,34,34-3,X,3,W,59/61-8840-FORAM,0,2,307.48,307.5,,,M,F,A,F,,,,R,,,,P,F,,,,,P,,,,P,R,,,,,,,,P,,,P,,,,,,,A,,P,P,,,,,,R,reworked Miocene species,,,d095a3e3d130d72c1857c56cf72a5fc5
339-U1390A-34X-5-W 59/61-8841-FORAM,339,U1390,A,34,34-5,X,5,W,59/61-8841-FORAM,0,2,310.48,310.5,,,G,A,A,A,,,,P,,,,P,P,,,,,,,R,,R,R,,,,,,,,,,,P,,,,,,,F,P,R,P,,,,,,F,,,,c890efe672fac92d3137391122098622
339-U1390A-34X-CC-PAL-FORAM,339,U1390,A,34,34-CC,X,CC,PAL,FORAM,0,5,313.11,313.16,,,VG,D,F,F,,,,F,,,,P,R,,,,,,,,,P,P,,,,,,,,,,,P,P,,,,,,D,P,R,,,,,,,,,,,6c92d61e11a7cb1dd1cd2891a1364352
339-U1390A-35X-CC-PAL-FORAM,339,U1390,A,35,35-CC,X,CC,PAL,FORAM,0,5,323.17,323.22,,,G,D,A,R,,,,A,,,P,R,P,,,,,,,R,,P,P,,,,,,,,,,,P,,,,,,,A,,R,,,,,,,R,,,,eac45bccb5776037dd089b6d792639f7
339-U1390A-36X-CC-PAL-FORAM,339,U1390,A,36,36-CC,X,CC,PAL,FORAM,0,5,332.58,332.63,,,G,P,F,A,,,P,A,,,,P,P,P,,,,,,,,,R,,,,,,,,,,,,,,,P,,,R,P,P,P,,,,,,,,,,3ac91e9a4c346129ea4c856be3b48390
339-U1390A-37X-CC-PAL-FORAM,339,U1390,A,37,37-CC,X,CC,PAL,FORAM,0,5,335.22,335.27,,,G,P,A,R,,,,A,,,,,R,,,,P,,,,,P,,,,,,P,,,,,,P,,,,R,,,A,P,R,,,,,,,R,,,,d8c718e786bdb6eaaa4a623902da925f
339-U1390A-38X-CC-PAL-FORAM,339,U1390,A,38,38-CC,X,CC,PAL,FORAM,0,5,351.21,351.26,,,G,D,A,R,,,,R,,,,R,P,P,,,,P,,,,P,P,,,,,,,,,,,P,,,,,,,A,,R,P,,,,,,,,,,a663125ecf766e3a9556dde3c2cdffcf
