Sample,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comment,File Data,Exp,Site,Hole,Core,Type,Section,A/W
339-U1389A-11H-CC-PAL-NANNO,0,5,97.26,97.31,M-P,VA,,,,,,,,F,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,C,,VA,,,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,C,,,,,,,,,339,U1389,A,11,H,CC,PAL
339-U1389A-12X-CC-PAL-NANNO,0,5,102.5,102.55,M-P,VA,,,,,,,,,,,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,VA,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,339,U1389,A,12,X,CC,PAL
339-U1389A-13X-CC-PAL-NANNO,0,5,109.94,109.99,M-P,VA,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,VA,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,13,X,CC,PAL
339-U1389A-14X-CC-PAL-NANNO,0,5,120.9,120.95,M-P,VA,,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,14,X,CC,PAL
339-U1389A-15X-CC-PAL-NANNO,0,5,129.5,129.55,G,VA,,,,,,R,,F,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,15,X,CC,PAL
339-U1389A-16X-CC-PAL-NANNO,0,5,139.73,139.78,G,VA,,,,,,,,F,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,U1389,A,16,X,CC,PAL
339-U1389A-17X-CC-PAL-NANNO,0,5,148.32,148.37,G,VA,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,A,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,339,U1389,A,17,X,CC,PAL
339-U1389A-18X-CC-PAL-NANNO,0,5,158.26,158.31,M-P,VA,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,18,X,CC,PAL
339-U1389A-19X-CC-PAL-NANNO,0,5,168.37,168.42,M-P,VA,,,,,,,,R,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,19,X,CC,PAL
339-U1389A-20X-CC-PAL-NANNO,0,5,177.64,177.69,G,VA,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,VA,,,VA,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,339,U1389,A,20,X,CC,PAL
339-U1389A-21X-CC-PAL-NANNO,0,5,187.69,187.74,G,VA,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,VA,,,VA,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,339,U1389,A,21,X,CC,PAL
339-U1389A-22X-CC-PAL-NANNO,0,5,197.47,197.52,G,VA,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,A,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,U1389,A,22,X,CC,PAL
339-U1389A-23X-CC-PAL-NANNO,0,5,206.88,206.93,G,VA,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,VA,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,23,X,CC,PAL
339-U1389A-24X-CC-PAL-NANNO,0,5,216.58,216.63,G,VA,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,VA,,,,,,,,,,,,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,339,U1389,A,24,X,CC,PAL
339-U1389A-25X-CC-PAL-NANNO,0,5,226.44,226.49,G,VA,,,,,,,,,,,,,,,,,,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,F,,,VA,,,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,339,U1389,A,25,X,CC,PAL
339-U1389A-26X-CC-PAL-NANNO,0,5,234.66,234.71,G,VA,,,,,,,,F,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,F,,,VA,,,F,,,,,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,339,U1389,A,26,X,CC,PAL
339-U1389A-27X-CC-PAL-NANNO,0,5,245.11,245.16,G,VA,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,VA,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,339,U1389,A,27,X,CC,PAL
339-U1389A-28X-CC-PAL-NANNO,0,5,255.22,255.27,G,VA,,,,,,,,F,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,VA,,,,,,,,,,,,,,F,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,U1389,A,28,X,CC,PAL
339-U1389A-29X-CC-PAL-NANNO,0,5,264.56,264.61,M-P,VA,,,,,,R,,C,,,,,,,,,,R,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,,C,,VA,,,R,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,29,X,CC,PAL
339-U1389A-30X-CC-PAL-NANNO,0,5,274.3,274.35,M-P,A,,,,,,,,R,,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,A,,,F,,,,,,,,,,,,C,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,339,U1389,A,30,X,CC,PAL
339-U1389A-31X-CC-PAL-NANNO,0,5,283.56,283.61,M-P,A,,,,,,,,R,,,,,,,,,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,F,,A,,,R,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,31,X,CC,PAL
339-U1389A-32X-CC-PAL-NANNO,0,5,293.18,293.23,M-P,C,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,R,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,32,X,CC,PAL
339-U1389A-33X-CC-PAL-NANNO,0,5,302.31,302.36,M-P,VA,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,F,F,,VA,,,F,,,,,,,,,,,R,F,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,339,U1389,A,33,X,CC,PAL
339-U1389A-34X-CC-PAL-NANNO,0,5,312.51,312.56,M-P,A,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,C,,A,,,F,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,34,X,CC,PAL
339-U1389A-35X-CC-PAL-NANNO,0,5,320.64,320.69,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,U1389,A,35,X,CC,PAL
339-U1389A-36X-CC-PAL-NANNO,0,5,324.47,324.52,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,U1389,A,36,X,CC,PAL
339-U1389A-37X-CC-PAL-NANNO,0,5,336.43,336.48,M-P,VA,,,,,,R,,R,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,VA,,,F,,,,,,,,,,,F,C,,C,C,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,339,U1389,A,37,X,CC,PAL
339-U1389A-38X-CC-PAL-NANNO,0,5,346.2,346.25,G,VA,,,,,,R,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,VA,,,F,,,,,,,,,,,F,C,,C,C,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,339,U1389,A,38,X,CC,PAL
339-U1389A-39X-CC-PAL-NANNO,0,5,350.85,350.9,M-P,VA,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,C,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,U1389,A,39,X,CC,PAL
