Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF comment,File data,eodp_id
339-U1389A-11H-CC-PAL-FORAM,339,U1389,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.26,97.31,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A,,,P,,,,R,,,P,,,R,,,,,,8740ec431df4f6f1078fac24fd118225
339-U1389A-12X-CC-PAL-FORAM,339,U1389,A,12,12-CC,X,CC,PAL,FORAM,0,5,102.5,102.55,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,F,,R,,,,,,,R,,,,,,R,,,,,,e93b0cd2fe77289a7689dd357f576adf
339-U1389A-13X-CC-PAL-FORAM,339,U1389,A,13,13-CC,X,CC,PAL,FORAM,0,5,109.94,109.99,M,F,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,R,,R,,,,F,,,,,,,P,,P,R,R,P,,,,,,,e7107f52754b4dced93049b20f8d20ff
339-U1389A-14X-CC-PAL-FORAM,339,U1389,A,14,14-CC,X,CC,PAL,FORAM,0,5,120.9,120.95,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,A,,,,,,,P,,,,,,R,,,,,,2a16f484cb1c518d86a123f0bc20103c
339-U1389A-15X-CC-PAL-FORAM,339,U1389,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.5,129.55,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,P,,,,P,,R,,,,,,b10e97cdb7cde9ed72612b545565b0c4
339-U1389A-16X-CC-PAL-FORAM,339,U1389,A,16,16-CC,X,CC,PAL,FORAM,0,5,139.73,139.78,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,F,,,,,,,,,R,,R,,,,,,,,,,2a66d3bee451c7daee78ba1b785531c7
339-U1389A-17X-CC-PAL-FORAM,339,U1389,A,17,17-CC,X,CC,PAL,FORAM,0,5,148.32,148.37,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,A,,,R,,,,P,,,,,P,P,,,P,,,dee13ebc46f38e1461932ba2b5db2dd8
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,A,,,,,,,F,,,,,,P,,,,,,898d0df62f283b26561e70652b96ba2c
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,M,F,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,F,,,,,,,R,,,,,,,,,,,,f2a2a85451275bbc8c5e2d21b66a3e4b
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,M,R,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,F,,,,A,,,R,,,,,,,P,,P,,,,P,,,7033ccbbb9084f9f3eac86217874ca21
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,G,A,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,R,,A,,,,,,,R,,,,P,,R,,,,,,79d840f44e576cb2f5b4a7bb1b33d56e
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,P,,,,,,,P,,,,,,R,,,,,,3188b6ab11ffa9824d14c07a52388035
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,P,,,P,,,R,,,,,,9c432126e76fba009cb30908d636caca
339-U1389A-24X-CC-PAL-FORAM,339,U1389,A,24,24-CC,X,CC,PAL,FORAM,0,5,216.58,216.63,M,A,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,R,,,R,,,,R,,,,P,,P,,,,,,c135e3ae34a27e29d5d62d925ca1bcad
339-U1389A-25X-CC-PAL-FORAM,339,U1389,A,25,25-CC,X,CC,PAL,FORAM,0,5,226.44,226.49,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,A,,P,R,,,,,,,,,,P,,,,,,17cffae10088f6886c29f05080a782e5
339-U1389A-26X-CC-PAL-FORAM,339,U1389,A,26,26-CC,X,CC,PAL,FORAM,0,5,234.66,234.71,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,P,,,,,,,,,,,,P,R,,,,,,1861bb67ab41ceab65f85aab17b5c058
339-U1389A-27X-CC-PAL-FORAM,339,U1389,A,27,27-CC,X,CC,PAL,FORAM,0,5,245.11,245.16,G,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,,,,A,,F,,,R,,,,,,,R,P,,F,,,,,,d0f7d157ea2ad2d46720e4dffb0b7f82
339-U1389A-28X-CC-PAL-FORAM,339,U1389,A,28,28-CC,X,CC,PAL,FORAM,0,5,255.22,255.27,G,A,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,,P,,P,P,,,,,,,,P,,,,,,,,d3ece22ea2830d4d3280245f0eb08250
339-U1389A-29X-CC-PAL-FORAM,339,U1389,A,29,29-CC,X,CC,PAL,FORAM,0,5,264.56,264.61,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,45af6f7285a62083669495917b61b768
339-U1389A-30X-CC-PAL-FORAM,339,U1389,A,30,30-CC,X,CC,PAL,FORAM,0,5,274.3,274.35,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,R,,,,,,,A,,,,,P,F,,,R,,,95a4ad49ee35608eb34090ecefe1782c
339-U1389A-31X-CC-PAL-FORAM,339,U1389,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.56,283.61,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,P,,,,,,,P,,,,,,,,,,,,d7ae5a96b8443ab4e9f113bc8b7c8007
339-U1389A-32X-CC-PAL-FORAM,339,U1389,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.18,293.23,M,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,R,,,,,,c6a5a002b946f197cfe8f19dbb056afe
339-U1389A-33X-CC-PAL-FORAM,339,U1389,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.31,302.36,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,F,P,,,,,,,,,,,0dd558acc6de7b24616059c9259f576a
339-U1389A-34X-CC-PAL-FORAM,339,U1389,A,34,34-CC,X,CC,PAL,FORAM,0,5,312.51,312.56,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,A,,,,,,,R,,R,,,P,,,,,,,2b63254730c6c1c512c02103ac88e4c7
339-U1389A-35X-CC-PAL-FORAM,339,U1389,A,35,35-CC,X,CC,PAL,FORAM,0,5,320.64,320.69,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,bb674e7d614862a70a9845d9a83183aa
339-U1389A-36X-CC-PAL-FORAM,339,U1389,A,36,36-CC,X,CC,PAL,FORAM,0,5,324.47,324.52,P,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc7b1ba073062460e11be446654834d6
339-U1389A-37X-CC-PAL-FORAM,339,U1389,A,37,37-CC,X,CC,PAL,FORAM,0,5,336.43,336.48,M,R,,,,,,,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,ed396c660b2ed25dc75affd397d25d60
339-U1389A-38X-CC-PAL-FORAM,339,U1389,A,38,38-CC,X,CC,PAL,FORAM,0,5,346.2,346.25,M,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,dbfc334e6b05f0f7d9f5595b6c1d9fc3
339-U1389A-39X-CC-PAL-FORAM,339,U1389,A,39,39-CC,X,CC,PAL,FORAM,0,5,350.85,350.9,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,5fa230932d7fddb4b2a6a853ae43968e
