Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Acrobotrys tritubus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidium jenghisi,Anthocyrtidium pliocenica,Botryostrobus miralestense,Buccinosphaera invaginata,Calocycletta caepa,Calocycletta cladara,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis favosa,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Didymocyrtis avita,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris dentata,Eucyrtidium diaphanes,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Liriospyris parkerae,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnodictyum audax,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Pterocorys campanula,Pterocorys hertwigii,Siphostichartus corona,Solenosphaera omnitubus omnitubus,Solenosphaera omnitubus procera,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium trachelium,Theocorythium vetulum,Theocyrtis annosa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1467B-25H-CC-PAL-RADS,0,5,224.08,224.13,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,25,H,CC,PAL
359-U1467B-27H-CC-PAL-RADS,0,5,243.41,243.46,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,27,H,CC,PAL
359-U1467B-29H-CC-PAL-RADS,0,5,262.32,262.37,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,29,H,CC,PAL
359-U1467B-31H-CC-PAL-RADS,0,5,281.21,281.26,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,31,H,CC,PAL
359-U1467B-33H-CC-PAL-RADS,0,5,300.35,300.4,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,33,H,CC,PAL
359-U1467B-35H-CC-PAL-RADS,0,5,319.34,319.39,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,35,H,CC,PAL
359-U1467B-37H-CC-PAL-RADS,0,5,338.34,338.39,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,37,H,CC,PAL
359-U1467B-39F-CC-PAL-RADS,0,5,347.5,347.55,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,39,F,CC,PAL
359-U1467B-41F-CC-PAL-RADS,0,5,356.58,356.63,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,41,F,CC,PAL
359-U1467B-43H-CC-PAL-RADS,0,5,368.97,369.02,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,43,H,CC,PAL
359-U1467B-45H-CC-PAL-RADS,0,5,390.33,390.38,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,45,H,CC,PAL
359-U1467B-47F-CC-PAL-RADS,0,5,399.57,399.62,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,47,F,CC,PAL
359-U1467B-49F-CC-PAL-RADS,0,5,408.8,408.85,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,49,F,CC,PAL
359-U1467B-51F-CC-PAL-RADS,0,5,418.18,418.23,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,51,F,CC,PAL
359-U1467B-53F-CC-PAL-RADS,0,5,427.55,427.6,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,53,F,CC,PAL
359-U1467B-55F-CC-PAL-RADS,0,5,436.94,436.99,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,55,F,CC,PAL
359-U1467B-57F-CC-PAL-RADS,0,5,446.58,446.63,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,57,F,CC,PAL
359-U1467B-58F-CC-PAL-RADS,0,5,451.06,451.11,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,58,F,CC,PAL
359-U1467B-59F-CC-PAL-RADS,0,5,455.94,455.99,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,59,F,CC,PAL
359-U1467B-61F-CC-PAL-RADS,0,5,465.36,465.41,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,61,F,CC,PAL
359-U1467B-63X-CC-PAL-RADS,0,5,479.57,479.62,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,63,X,CC,PAL
359-U1467B-65X-CC-PAL-RADS,0,5,498.45,498.5,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,65,X,CC,PAL
359-U1467B-69X-CC-PAL-RADS,0,5,539.6,539.65,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,69,X,CC,PAL
359-U1467B-71X-CC-PAL-RADS,0,2,549.3,549.32,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,71,X,CC,PAL
359-U1467B-73X-CC-PAL-RADS,0,5,573.92,573.97,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,73,X,CC,PAL
359-U1467B-75X-CC-PAL-RADS,0,5,592.62,592.67,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,75,X,CC,PAL
359-U1467B-76X-CC-PAL-RADS,0,5,602.06,602.11,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,76,X,CC,PAL
359-U1467B-77X-CC-PAL-RADS,0,5,617.23,617.28,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,77,X,CC,PAL
