Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Group preservation,Group abundance,Comment,Ammoshpaeroidina,Dorothia,Gaudryina,Glomospirella,Marssonella,Spiroplectammina,Spirolectinella,Tritaxia,Pseudogaudryinella,Aragonia,Astacolus,Berthelina,Citharina,Conorboides,Conorbinoides,Conorotalites,Dentalina,Edithaella,Ellipsoglandulina,Frondicularia,Gavelinella,Globorotalites,Globurina,Gyroidinoides,Laevidentalina,Lenticulina,Lingulonodosaria,Marginulinopsis,Nodosaria,Oolina,Oridosalis,Osangularia,Planularia,Pleurostomella,Praebulimina,Psilocitharella,Quadrimorphina,Ramulina,Remesella,Reussoolina,Saracenaria,Sliteria,Tristix,Valvulineria,Vaginulinopsis,eodp_id
324-U1347A-8R-3-W 39/41-FORAM,324,U1347,A,8,8-3,R,3,W,39/41-FORAM,0,2.0,131.64,131.66,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,f82cf97f7c2f53c0d2d655893de95898
324-U1347A-8R-5-W 42/44-FORAM,324,U1347,A,8,8-5,R,5,W,42/44-FORAM,0,2.0,133.89,133.91,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fbba6a4d91224a5c5c2aac7457591662
324-U1347A-8R-CC-PAL,324,U1347,A,8,8-CC,R,CC,PAL,,0,2.0,134.75,134.77,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,56524fbe1fd380b990218fe018c3f40a
324-U1347A-9R-1-PAL,324,U1347,A,9,9-1,R,1,PAL,,0,0.5,138.385,138.39,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,57536e354742280c7785f865b5ea05eb
324-U1347A-10R-1-W 51/53-FORAM,324,U1347,A,10,10-1,R,1,W,51/53-FORAM,0,2.0,148.31,148.33,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2ca0ab6abaf882dcec21c95dd3f36d7c
324-U1347A-10R-CC-PAL,324,U1347,A,10,10-CC,R,CC,PAL,,0,1.0,149.02,149.03,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,9a8fcb4e9e8a10187c855408e3effe12
324-U1347A-11R-1-W 14/16-FORAM,324,U1347,A,11,11-1,R,1,W,14/16-FORAM,0,2.0,157.54,157.56,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777d27e81172c5257f2597a7ebfe1918
324-U1347A-13R-7-W 20/22-FORAM,324,U1347,A,13,13-7,R,7,W,20/22-FORAM,0,2.0,174.435,174.455,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372709255a3f274851da9303a5cc0a9
324-U1347A-15R-1-W 70/72-Piece 6/FORAM,324,U1347,A,15,15-1,R,1,W,70/72-Piece 6/FORAM,0,2.0,186.9,186.92,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,86d8a2f63745289427f882155f41c86c
324-U1347A-16R-6-W 6/8-FORAM,324,U1347,A,16,16-6,R,6,W,6/8-FORAM,0,2.0,200.89,200.91,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702433af1f540ce59dca7a9786d2678c
324-U1347A-17R-1-W 42/44-FORAM,324,U1347,A,17,17-1,R,1,W,42/44-FORAM,0,2.0,204.815,204.835,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,5102ff5cb7778a0bf9b05d88aa852e0e
324-U1347A-22R-5-W 28/30-FORAM,324,U1347,A,22,22-5,R,5,W,28/30-FORAM,0,2.0,258.38,258.4,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502910ccc83bbd44a00d0591756c37e
