Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 14,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Unnamed: 122,eodp_id
342-U1405A-6H-1-W 110/112-FORAM,342,U1405,A,6,6-1,H,1,W,110/112-FORAM,0,2,45.3,45.32,45.3,G [P21],P,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,P,,,P,,,,,,,,A,,,,,,,,,,,F,,P,,,,,,,,,,,,,P,,,P,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,445aa8c15fc59e9b16ab628d4c8c111c
342-U1405A-6H-2-W 110/112-FORAM,342,U1405,A,6,6-2,H,2,W,110/112-FORAM,0,2,46.8,46.82,46.8,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,d0d58c2b4cc2690c663913117d75fffa
342-U1405A-6H-3-W 110/112-FORAM,342,U1405,A,6,6-3,H,3,W,110/112-FORAM,0,2,48.3,48.32,48.3,G [P21],P,,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,,,,,,,,A,,,P,,,,,,,,P,,,,6450b25bf25a84aa18484941786d8975
342-U1405A-6H-4-W 110/112-FORAM,342,U1405,A,6,6-4,H,4,W,110/112-FORAM,0,2,49.8,49.82,49.8,M [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,only few pieces of this genus found,,,fe885551b56d270bfa6d5f63bb3ae3a8
342-U1405A-6H-6-W 110/112-FORAM,342,U1405,A,6,6-6,H,6,W,110/112-FORAM,0,2,52.8,52.82,52.8,G [P21],R,,,,P,,P,,,,,,,,,,,,D,,,,,,,,,,,,,,,P,,,,,,,,F,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,A,,,,,,,,,,,,,F,,,,P,,,,,,,,16dee6f92bc126f73def384a53fa3af4
342-U1405A-6H-CC-PAL,342,U1405,A,6,6-CC,H,CC,PAL,,0,5,54.11,54.16,54.1,G [P21],P,,,,F,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,P,,P,,,,,,,,F,,,F,,,,,,,,,,,,30469b700d6fcdc29b1ed4974fb5ecbd
342-U1405A-7H-2-W 110/112-FORAM,342,U1405,A,7,7-2,H,2,W,110/112-FORAM,0,2,56.3,56.32,56.3,VG [P21],P,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"few specimens, so all rated present",,,6ae476de1ef65bf73ab3b390e455fcff
342-U1405A-7H-4-W 110/112-FORAM,342,U1405,A,7,7-4,H,4,W,110/112-FORAM,0,2,59.3,59.32,59.3,G [P21],F,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,"few specimens, so all rated present",,,0a018395b75d1bd195cadbd0f3e51186
342-U1405A-7H-5-W 110/112-FORAM,342,U1405,A,7,7-5,H,5,W,110/112-FORAM,0,2,60.8,60.82,60.8,VG [P21],P,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67fc4bc7531cde8ebd37f3f9eeeb628d
342-U1405A-7H-6-W 68/69-FORAM,342,U1405,A,7,7-6,H,6,W,68/69-FORAM,0,1,61.88,61.89,61.9,G [P21],P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,P,"few specimens, so all rated present",,,5880ad6152ced054f6871b7d4ba1d742
342-U1405A-7H-CC-PAL,342,U1405,A,7,7-CC,H,CC,PAL,,0,1,62.88,62.89,62.9,M [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e5eb637d9a3b66239491690de7183cc
342-U1405A-8H-1-W 110/112-FORAM,342,U1405,A,8,8-1,H,1,W,110/112-FORAM,0,2,64.3,64.32,64.3,VG [P21],P,,,,F,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,c7d8f8b0b02245890b16f86690b59b41
342-U1405A-8H-2-W 110/112-FORAM,342,U1405,A,8,8-2,H,2,W,110/112-FORAM,0,2,65.8,65.82,65.8,VG [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,68f8fd62cda0c5508efb69c5a4e53e82
342-U1405A-8H-4-W 110/112-FORAM,342,U1405,A,8,8-4,H,4,W,110/112-FORAM,0,2,68.8,68.82,68.8,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94879042dac7cb694dd2858566b6c00f
342-U1405A-8H-6-W 110/112-FORAM,342,U1405,A,8,8-6,H,6,W,110/112-FORAM,0,2,71.8,71.82,71.8,M [P21],P,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668f92923d66615eefbf765829d7e851
342-U1405A-8H-CC-PAL,342,U1405,A,8,8-CC,H,CC,PAL,,0,5,72.99,73.04,73.0,VG [P21],P,,,,,,F,,,,,,,,,,,,D,,,,,,,,,,,,,,,,P,,,,F,,,P,,,F,,,,,,,,P,,,,,,,,,,,,,,,,P,,,P,,,,,P,,,A,,,A,,,,,,,,,,F,,,A,,,,,,,,F,,,,584042899eb6757eda97dad78dd8876c
342-U1405A-9H-2-W 110/112-FORAM,342,U1405,A,9,9-2,H,2,W,110/112-FORAM,0,2,75.3,75.32,75.3,M [P21],P,,,,P,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,P,,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,,P,,,,,,,,,P,,,,,,P,,,,,,,,,,,,P,F,,,,,,,,,,,,56ce6f34d038d47e61f205181b164db7
342-U1405A-9H-4-W 110/112-FORAM,342,U1405,A,9,9-4,H,4,W,110/112-FORAM,0,2,78.3,78.32,78.3,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232a67679cb0eabd8aa2ce2e3afbf92f
342-U1405A-9H-6-W 110/112-FORAM,342,U1405,A,9,9-6,H,6,W,110/112-FORAM,0,2,81.3,81.32,81.3,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edf2aa7c56983037aab474de0005b49a
342-U1405A-9H-CC-PAL,342,U1405,A,9,9-CC,H,CC,PAL,,0,1,82.3,82.31,82.3,VG [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ebd069cba9ae72e58aee6421581f4b81
342-U1405A-10H-2-W 110/112-FORAM,342,U1405,A,10,10-2,H,2,W,110/112-FORAM,0,2,84.8,84.82,84.8,G [P21],P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,P,,P,,,,F,,,,,,,,,,,,ef0690160a8ac9e7f375ce294c192ace
342-U1405A-10H-4-W 110/112-FORAM,342,U1405,A,10,10-4,H,4,W,110/112-FORAM,0,2,87.8,87.82,87.8,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fff8195fd36b0eb6757d16bb88113c24
342-U1405A-10H-6-W 110/112-FORAM,342,U1405,A,10,10-6,H,6,W,110/112-FORAM,0,2,90.8,90.82,90.8,M [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,10d5710f4605252d053c1bb7a457961e
342-U1405A-10H-CC-PAL,342,U1405,A,10,10-CC,H,CC,PAL,,0,5,92.16,92.21,92.2,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possibly contaminated; fall in,,,6b194ad8479ca759b59c34e399b9a2e2
342-U1405A-11H-2-W 85/87-FORAM,342,U1405,A,11,11-2,H,2,W,85/87-FORAM,0,2,94.05,94.07,94.1,M [P21],P,,,,,F,,,,,P,,,,,,F,,,,,,,,,,,,,,,,,,P,,,P,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,2f5057327998cef7e3057a5e059cd5d4
342-U1405A-11H-4-W 85/87-FORAM,342,U1405,A,11,11-4,H,4,W,85/87-FORAM,0,2,97.05,97.07,97.1,VG [P21],P,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,F,F,,,,,,,,,,,,,P,,,,,,,,P,,,,d162a6900b0d6390d06d286d89925668
342-U1405A-11H-6-W 85/87-FORAM,342,U1405,A,11,11-6,H,6,W,85/87-FORAM,0,2,100.05,100.07,100.1,VG [P21],P,,,,,,P,,,,,,F,,,,,,,,,,,,,,,,,,,,,P,,F,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,F,,,,F,,,,,,P,,,F,,,,,,,,,,,,3598cb62843708ca71453815c904bbce
342-U1405A-11H-CC-PAL,342,U1405,A,11,11-CC,H,CC,PAL,,0,5,101.6,101.65,101.6,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7f7c00e82ef803ae19fbbf75a28e17bd
342-U1405A-12H-1-W 100/102-FORAM,342,U1405,A,12,12-1,H,1,W,100/102-FORAM,0,2,102.2,102.22,102.2,VG [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,P,,,P,,,,,,P,,,,,,,,,,,,1f6af57cfc2dc9f59e594339b30b3cdc
342-U1405A-12H-3-W 100/102-FORAM,342,U1405,A,12,12-3,H,3,W,100/102-FORAM,0,2,105.2,105.22,105.2,VG [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ae93856ae081a93137d8675a3c399fa2
342-U1405A-12H-5-W 100/102-FORAM,342,U1405,A,12,12-5,H,5,W,100/102-FORAM,0,2,108.2,108.22,108.2,M [P21],P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,30dc8e31e7a85939ae183e13b5e4eda9
342-U1405A-12H-CC-PAL,342,U1405,A,12,12-CC,H,CC,PAL,,0,5,110.82,110.87,110.8,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15f796dd8a25e058fc2c21c5d0331b90
342-U1405A-13H-2-W 100/102-FORAM,342,U1405,A,13,13-2,H,2,W,100/102-FORAM,0,2,113.2,113.22,113.2,G [P21],P,,,,,,F,,P,,,,P,,,,,,F,,,,,,,,,,,,F,,,F,P,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,P,,,,,,P,,F,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,095640b7497a1c75c19c73de85503734
342-U1405A-13H-4-W 100/102-FORAM,342,U1405,A,13,13-4,H,4,W,100/102-FORAM,0,2,116.2,116.22,116.2,VG [P21],P,,,,,,P,,F,,,,,,,,,,F,,,,,,,,,,,,,,,F,,P,,,,,,A,,,,,,,,,P,,P,,A,,,,P,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,P,,,A,,,P,,,,,,,,,fe624e3ac106e8528b201aa79a3dc34c
342-U1405A-13H-6-W 100/102-FORAM,342,U1405,A,13,13-6,H,6,W,100/102-FORAM,0,2,119.2,119.22,119.2,G [P21],P,,,,,,P,,P,,,,,,,,,,P,,,,,,,P,,,,,P,,,P,,,,,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,P,,,,,,,,P,,,D,,,,,,P,,,,,,820dfe0b22e48f069ed3430b41774eb5
342-U1405A-13H-CC-PAL,342,U1405,A,13,13-CC,H,CC,PAL,,0,4,120.47,120.51,120.5,M [P21],P,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,D,,F,,,,,,,,,,,,,4afc28e93f476ed39a11ab8e268a0cc3
342-U1405A-14H-2-W 70/72-FORAM,342,U1405,A,14,14-2,H,2,W,70/72-FORAM,0,2,122.4,122.42,122.4,VG [P21],P,,,,,,,,P,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,,,,,P,,,,,,,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,F,,P,,,,,,F,,,,0e4b3793fd8e632044019a06768700e8
342-U1405A-14H-4-W 70/72-FORAM,342,U1405,A,14,14-4,H,4,W,70/72-FORAM,0,2,125.41,125.43,125.4,M [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,2bfb1e2d37fd02cd877776884bbc97b6
342-U1405A-14H-6-W 70/72-FORAM,342,U1405,A,14,14-6,H,6,W,70/72-FORAM,0,2,128.43,128.45,128.4,VG [P21],P,,,,,,,,,,,,,,,,,,D,P,,,,,,,,,,,,,,A,P,P,,,,,,P,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,D,,,F,,,,,,P,,,,,,3fd758d4be51ed99b470ac90a34799d9
342-U1405A-14H-CC-PAL,342,U1405,A,14,14-CC,H,CC,PAL,,0,5,130.12,130.17,130.1,G [P21],P,,,,,,,,,,,,,,,,,,P,P,,,,,P,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,P,,P,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,F,,F,P,,,,,,,,,,,,b7a70b8a30f367aef881791d9b039e25
342-U1405A-15H-2-W 100/102-FORAM,342,U1405,A,15,15-2,H,2,W,100/102-FORAM,0,2,132.2,132.22,132.2,VG [P21],P,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,F,,,,,P,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,P,,,,,,,,,P,,,P,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,c675d96a1a59c7d248ce94f4cbcf9fa2
342-U1405A-15H-4-W 100/102-FORAM,342,U1405,A,15,15-4,H,4,W,100/102-FORAM,0,2,135.2,135.22,135.2,VG [P21],P,,,,,,F,P,,,,,,,,,,,P,,,,,P,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,,,P,,,,,,,,P,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,6972cb5281e5dc9075824fe6d28e1946
342-U1405A-15H-6-W 100/102-FORAM,342,U1405,A,15,15-6,H,6,W,100/102-FORAM,0,2,138.2,138.22,138.2,VG [P21],P,,,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,,,,A,,,,,,,F,,,,,,,,,,,,P,,,,,,F,,,,,,,,,,,,,,,,,,,,,A,,,A,,,,,,,P,,,A,,P,F,,,,,,,,,,,,11a22ecf2d517e9eb3afbc0f5afb3369
342-U1405A-15H-CC-PAL,342,U1405,A,15,15-CC,H,CC,PAL,,0,8,139.46,139.54,139.5,VG [P21],P,,,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,P,,,F,,,,,,,F,,,,P,,,,,,,,,,F,,,P,,,P,,,,,,,,,,,P,,,,,,,,P,,,P,,,,P,,,P,,,P,,P,,,,,,,,,P,,,,e281e1c91f854b0ef41dc3806541dac7
342-U1405A-16H-2-W 100/102-FORAM,342,U1405,A,16,16-2,H,2,W,100/102-FORAM,0,2,141.7,141.72,141.7,VG [P21],P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,F,,,,,P,P,,,,,,,,,,,,,,,,,,,,,F,,,F,,F,,F,P,,P,,,P,,,,,P,,P,,,,,,,,114e222b1aec4da9fca93e40eb35b32b
