Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417C-12H-CC-PAL,341,U1417,C,12,12-CC,H,CC,PAL,0,3,103.24,103.27,S. universus,Stylatractus universus,,M,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,79b2567dec5598a59c3ae69f38718fe3
341-U1417C-13H-CC-PAL,341,U1417,C,13,13-CC,H,CC,PAL,0,5,103.5,103.55,S. universus,Stylatractus universus,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,2b7933118a6cfc8b03db1b2f0ef4de7b
341-U1417C-14H-CC-PAL,341,U1417,C,14,14-CC,H,CC,PAL,0,5,122.61,122.66,S. universus,Stylatractus universus,,G,A,,,,,,,,F,F,,,,R,R,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,C,,,,,,R,,,,R,,,,R,,,,F,,,,,F,R,,C,,,,,,,C,C,,,R,,,,F,,,,,2b825ee87ad2ebdf293a74a0a2df7c7b
341-U1417C-15H-CC-PAL,341,U1417,C,15,15-CC,H,CC,PAL,0,22,132.27,132.49,S. universus,Stylatractus universus,,M,F,,,,,,,,R,R,,,,R,R,,,,F,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,C,R,,,,,,,,,F,R,,,,,,,,,,,,9d377cd612ff7aabec670a153b3b8c06
341-U1417C-16H-7-PAL,341,U1417,C,16,16-7,H,7,PAL,0,59,141.49,142.08,E. matuyamai,Eucyrtidium matuyamai,"LO Eucyrtidium matuyamai (Kamikuri et al., 2007)",G,A,,,,,,,,R,R,,,,,A,,,,A,,F,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,R,,R,,A,,,R,F,C,,,,,,A,,,,,,C,,C,,R,,,,,,,A,F,,C,,,,,,,C,C,,,,,,,,,,,,00fbe79a655e5444a07dcbddbb9947af
341-U1417C-17H-CC-PAL,341,U1417,C,17,17-CC,H,CC,PAL,0,27,151.21,151.48,E. matuyamai,Eucyrtidium matuyamai,,P,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,R,R,,,,,,,,,,,,db18dcd5ab71c7b2ddc10ab1e3e993ef
341-U1417C-18H-CC-PAL,341,U1417,C,18,18-CC,H,CC,PAL,0,31,160.96,161.27,E. matuyamai,Eucyrtidium matuyamai,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,3ab846753701ea2b67429dd8e78a91d0
341-U1417C-19H-CC-PAL,341,U1417,C,19,19-CC,H,CC,PAL,0,19,164.12,164.31,E. matuyamai,Eucyrtidium matuyamai,,G,A,,,R,,,,,,R,,,,,C,,,,C,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,,,F,,,,A,,,F,R,C,,,,,,,,,,,,,,,,,,,,,,,A,C,F,R,,,,,,,A,F,,,,,,,,,,,,9717497b3566e1a1d7b09dc49ca12a96
341-U1417C-20H-CC-PAL,341,U1417,C,20,20-CC,H,CC,PAL,0,32,173.88,174.2,E. matuyamai,Eucyrtidium matuyamai,"FO Eucyrtidium matuyamai (Kamikuri et al., 2007)",G,A,,,R,,,,,F,R,,,,,,,,,F,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,,,,A,A,,,,,,,R,,,,,,R,,R,,,,,,,,,A,C,C,F,,,,,,,A,F,,,,,,,,,,,,d9ab6c5b3966e65f187e4257549de698
341-U1417C-21H-CC-PAL,341,U1417,C,21,21-CC,H,CC,PAL,0,13,183.24,183.37,C. sakaii,Cycladophora sakaii,,G,A,,,,,,,,,R,,,,,R,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,C,,,,,,,,,,,,,,R,,,,,,,,,A,C,C,R,,,,,,,A,C,,,R,,,,,,,,,80f0c8483b5d0d3f952c8ec44fe7f2ff
341-U1417C-22H-CC-PAL,341,U1417,C,22,22-CC,H,CC,PAL,0,18,192.55,192.73,C. sakaii,Cycladophora sakaii,,P,F,,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,A,R,,,,,,,,,,,,a4513feab92739a5dd3703cbdf6a9c49
341-U1417C-23H-CC-PAL,341,U1417,C,23,23-CC,H,CC,PAL,0,18,197.01,197.19,C. sakaii,Cycladophora sakaii,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27d3f25dc2d527edae2c813aef87d00b
341-U1417C-24H-CC-PAL,341,U1417,C,24,24-CC,H,CC,PAL,0,33,206.18,206.51,C. sakaii,Cycladophora sakaii,,M,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,A,,,,,,R,,,,,,,,,,,,,,,,,C,F,,R,,,,,,,A,C,,,,,,,,,,,,7526cb3451200c5c17c32638000ec74d
341-U1417C-25H-CC-PAL,341,U1417,C,25,25-CC,H,CC,PAL,0,16,213.75,213.91,C. sakaii,Cycladophora sakaii,,P,F,,,,,,,,C,,,,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,R,,,,,,,,,,,,R,,,,,A,C,,,,,,,,,A,C,,,C,,,,,,,,,f51f9e446e61ef480922360249fa6d0f
341-U1417C-26H-CC-PAL,341,U1417,C,26,26-CC,H,CC,PAL,0,30,218.38,218.68,C. sakaii,Cycladophora sakaii,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ced5bed4520c467b819519d41a7ed882
341-U1417C-27H-3-PAL-RADS,341,U1417,C,27,27-CC,H,CC,PAL,0,5,222.18,222.23,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3aa6bd91aaa6028d09483e9225f3982
341-U1417C-28H-CC-PAL-RADS,341,U1417,C,28,28-CC,H,CC,PAL,0,5,223.9,223.95,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1ba9117182b1ef69987721500b696a1
341-U1417C-29H-CC-PAL-RADS,341,U1417,C,29,29-CC,H,CC,PAL,0,5,225.93,225.98,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970e881f639c3c018b9c2fd449c0d71a
