Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data
339-U1388B-12X-CC-PAL-FORAM,339,U1388,B,12,12-CC,X,CC,PAL,FORAM,0,5,110.88,110.93,G,D,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,R,,,D,,,,,,,,P,,,,R,,,,,
339-U1388B-13X-CC-PAL-FORAM,339,U1388,B,13,13-CC,X,CC,PAL,FORAM,0,5,120.66,120.71,G,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,,,,,R,,,,,,
339-U1388B-14X-CC-PAL-FORAM,339,U1388,B,14,14-CC,X,CC,PAL,FORAM,0,5,130.14,130.19,G,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,A,,P,,,,P,,,,,,,,,,,
339-U1388B-15X-CC-PAL-FORAM,339,U1388,B,15,15-CC,X,CC,PAL,FORAM,0,5,139.81,139.86,G,F,,,,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,R,,,,,F,,P,,,,,,P,,,,P,,,,,
339-U1388B-16X-CC-PAL-FORAM,339,U1388,B,16,16-CC,X,CC,PAL,FORAM,0,5,149.27,149.32,G,A,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,R,,R,,,P,,R,,,,R,,R,,,P,P,,,,,
339-U1388B-17X-CC-PAL-FORAM,339,U1388,B,17,17-CC,X,CC,PAL,FORAM,0,5,151.74,151.79,G,F,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,R,,,R,,P,,,,,,R,,,,,,,,,
339-U1388B-18X-CC-PAL-FORAM,339,U1388,B,18,18-CC,X,CC,PAL,FORAM,0,5,162.77,162.82,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-19X-CC-PAL-FORAM,339,U1388,B,19,19-CC,X,CC,PAL,FORAM,0,5,177.97,178.02,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,P,,,F,,R,,,,,,R,,,,P,,,,,
339-U1388B-20X-CC-PAL-FORAM,339,U1388,B,20,20-CC,X,CC,PAL,FORAM,0,6,185.85,185.91,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,A,,,,,,R,,P,,R,,P,,,P,,
339-U1388B-21X-CC-PAL-FORAM,339,U1388,B,21,21-CC,X,CC,PAL,FORAM,0,5,188.61,188.66,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-22X-CC-PAL-FORAM,339,U1388,B,22,22-CC,X,CC,PAL,FORAM,0,5,198.99,199.04,G,A,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,R,,,,,,,,,P,,,,,,,,
339-U1388B-23X-CC-PAL-FORAM,339,U1388,B,23,23-CC,X,CC,PAL,FORAM,0,7,211.8,211.87,G,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,R,,,,,,P,,R,R,,R,P,,,,,
339-U1388B-24X-CC-PAL-FORAM,339,U1388,B,24,24-CC,X,CC,PAL,FORAM,0,5,225.68,225.73,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,R,,,,,,F,,R,,,,P,,,,,
