Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1421A-39X-1-PAL,0,5,275.96,276.01,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,39,X,1,PAL,7c7d3034e0a37b103adabf750f56a8f6
341-U1421A-41X-2-PAL,0,5,296.08,296.13,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,D,,,,,,,,,,,,,,,,,,,,,341,U1421,A,41,X,2,PAL,ec137edd22b238be165ca831e712797e
341-U1421A-43X-CC-PAL,0,5,314.78,314.83,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,D,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,43,X,CC,PAL,66854d1f83a2a60b96ad51f055afdbcf
341-U1421A-45X-CC-PAL,0,5,334.08,334.13,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,45,X,CC,PAL,0905955d18beadd506335f29b2f08ff6
341-U1421A-47X-CC-PAL,0,5,353.38,353.43,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,,A,,,,,,,,,,D,,,,,,,,,,341,U1421,A,47,X,CC,PAL,0a4d6e8f2e9a245cb40fe51a0594221b
341-U1421A-49X-CC-PAL,0,3,372.85,372.88,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,49,X,CC,PAL,98e76f2e3ceb769c18b3fcafbc67f596
341-U1421A-51X-1-PAL,0,5,392.77,392.82,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,F,,,,,,,,,,F,D,F,,,,,,,,,341,U1421,A,51,X,1,PAL,5d5be907ab3971b8ddeeac604aff0be7
341-U1421A-54X-CC-PAL,0,5,421.29,421.34,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,,,,,,,,,,,,D,,,F,,,,,,,341,U1421,A,54,X,CC,PAL,a71088068a2217ffd0baa42994f7c0d9
341-U1421A-55X-CC-PAL,0,5,432.81,432.86,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,F,,R,F,,,,,,,,,,D,F,,R,,,,,,,341,U1421,A,55,X,CC,PAL,00e81da9a033eda65df4ff0a3fcb64ef
341-U1421A-56X-CC-PAL,0,5,442.56,442.61,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,R,R,,,,,,,,,,D,R,,R,,,,,,,341,U1421,A,56,X,CC,PAL,b569a1701f24afd0396e38ee7c7d44d8
341-U1421A-57X-CC-PAL,0,5,451.44,451.49,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,57,X,CC,PAL,8dc8d68e62fd902d8915ee1dbc61fcd8
341-U1421A-59X-CC-PAL,0,5,469.7,469.75,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,59,X,CC,PAL,897f86413239fc2df3e12e8eed697998
341-U1421A-61X-CC-PAL,0,5,488.12,488.17,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,61,X,CC,PAL,a999aa8f62c2203a14f13d71e9e4301a
341-U1421A-62X-CC-PAL,0,5,495.73,495.78,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,62,X,CC,PAL,426e560b44b60d04886bc32b1bb8bb30
341-U1421A-65X-CC-PAL,0,5,507.06,507.11,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,65,X,CC,PAL,689f45273bb52e938b48b5bf4da45162
341-U1421A-67X-1-PAL,0,5,521.04,521.09,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,F,F,,,,,,,,,F,D,,,,,,,,,,341,U1421,A,67,X,1,PAL,ec2b74e86af056e9a2391927adaf119d
341-U1421A-69X-CC-PAL,0,5,540.01,540.06,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,69,X,CC,PAL,849c730e597d9000c722ccc3d120fa2c
341-U1421A-71X-CC-PAL,0,5,557.29,557.34,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,71,X,CC,PAL,e29974de2ba03267e5a629071c941c3d
341-U1421A-73X-CC-PAL,0,5,578.69,578.74,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,73,X,CC,PAL,a0f391168c4bba4b025b088a27fefda1
341-U1421A-75X-CC-PAL,0,5,598.42,598.47,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,F,,A,,,,,,,R,,,,D,,,,,,,,,,341,U1421,A,75,X,CC,PAL,9bb54a00b73785c2659163c99df3a6f8
341-U1421A-77X-CC-PAL,0,6,616.3,616.36,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,F,,,,D,,,,,,N. inglei? only sinistral specimen (2 specimen) found here.,,,,341,U1421,A,77,X,CC,PAL,f872c00b5743648987a197f25aa989a8
341-U1421A-79X-CC-PAL,0,5,635.89,635.94,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,D,,,,,,N. inglei? only sinistral specimen (1 specimen) found here.,,,,341,U1421,A,79,X,CC,PAL,3dc4692f9b13ed788f74bf435f9769f5
341-U1421A-81X-1-PAL,0,5,654.71,654.76,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,81,X,1,PAL,01d2ac9f026dc27363d148857a6b261f
