Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comments,File Data,eodp_id
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,,55d40fb1fef57f02a4e1ef9cac02785b
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf8f132d0f7737fbdb2553278f974828
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,8fe5cf7b9439b3b2ce58e00b5a277041
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,d6acdc8a91e1ad5469d0645fa906e0e9
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,cb38774362e919b9fd69a33c975e2676
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,c0473d5efcfc96c200222ebb332708ac
339-U1389A-24X-CC-PAL-FORAM,339,U1389,A,24,24-CC,X,CC,PAL,FORAM,0,5,216.58,216.63,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,R,,,,,P,,,P,,,,997e995413ba9b4d5a8c56fac6cc8b75
339-U1389A-25X-CC-PAL-FORAM,339,U1389,A,25,25-CC,X,CC,PAL,FORAM,0,5,226.44,226.49,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,P,R,,,,,,,,,,,,,,,cc12a342d74cb8198ee671f2a05888b6
339-U1389A-26X-CC-PAL-FORAM,339,U1389,A,26,26-CC,X,CC,PAL,FORAM,0,5,234.66,234.71,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,A,,,,,,,R,,,,,,,,,,,,,,,b732f7cc40be7e331b82c977113a629c
339-U1389A-27X-CC-PAL-FORAM,339,U1389,A,27,27-CC,X,CC,PAL,FORAM,0,5,245.11,245.16,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,,,,,,P,,,,,403ed2914339afe7dc63e0e8b26a1f0b
339-U1389A-28X-CC-PAL-FORAM,339,U1389,A,28,28-CC,X,CC,PAL,FORAM,0,5,255.22,255.27,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0f156cae204511e13f0f21de6d6c5c4d
339-U1389A-29X-CC-PAL-FORAM,339,U1389,A,29,29-CC,X,CC,PAL,FORAM,0,5,264.56,264.61,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,b72bd1ede6bcc7c2bfe50b40863f25d6
339-U1389A-30X-CC-PAL-FORAM,339,U1389,A,30,30-CC,X,CC,PAL,FORAM,0,5,274.3,274.35,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,,,,,50b7601fc2ffba6f88a15e75ea42b39d
339-U1389A-31X-CC-PAL-FORAM,339,U1389,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.56,283.61,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,6d8b87f0fddd17db11bffb5783c6b30d
339-U1389A-32X-CC-PAL-FORAM,339,U1389,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.18,293.23,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,8921bc2eb1d6e1b33435f41ac6931a0e
339-U1389A-33X-CC-PAL-FORAM,339,U1389,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.31,302.36,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,5b34819f46aacdcd3e2fb048fe4e9fba
339-U1389A-34X-CC-PAL-FORAM,339,U1389,A,34,34-CC,X,CC,PAL,FORAM,0,5,312.51,312.56,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750cc2631ff9a30d76a439e6fb4c0f70
339-U1389A-35X-CC-PAL-FORAM,339,U1389,A,35,35-CC,X,CC,PAL,FORAM,0,5,320.64,320.69,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83f4e57808ea256e9124e05d9acad292
339-U1389A-37X-CC-PAL-FORAM,339,U1389,A,37,37-CC,X,CC,PAL,FORAM,0,5,336.43,336.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,18ce7b4b1a7a0804f41ab38d2412edaa
339-U1389A-38X-CC-PAL-FORAM,339,U1389,A,38,38-CC,X,CC,PAL,FORAM,0,5,346.2,346.25,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,424a65bdbe65deff4e14420589b18be2
339-U1389A-39X-CC-PAL-FORAM,339,U1389,A,39,39-CC,X,CC,PAL,FORAM,0,5,350.85,350.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,2d024ddcd3503fc178af3ddb4d100f19
