Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1403A-25X-5-W 75/77-FORAM,342,U1403,A,25,25-5,X,5,W,75/77-FORAM,0,2,216.45,216.47,M,P,B,B,B,D,R,,,6d8f59217917df1ef1a35bc68aa821aa
342-U1403A-25X-6-W 24/26-FORAM,342,U1403,A,25,25-6,X,6,W,24/26-FORAM,0,2,217.44,217.46,P,D,B,B,B,D,P,,,ef92a5991c6704f4448c6a47ab8a70a3
342-U1403A-26X-2-W 18/20-FORAM,342,U1403,A,26,26-2,X,2,W,18/20-FORAM,0,2,216.18,216.2,G,F,F,R,B,D,P,,,8225128f26af3c564a5c9f1c5617b8d2
342-U1403A-26X-3-W 88/89-FORAM,342,U1403,A,26,26-3,X,3,W,88/89-FORAM,0,1,218.38,218.39,G,P,B,F,B,D,P,,,7764b2136f0a9ee15177c658dd10ab91
342-U1403A-26X-4-W 20/21-FORAM,342,U1403,A,26,26-4,X,4,W,20/21-FORAM,0,1,219.2,219.21,M,P,P,R,P,D,P,,,ea0171b4e285c4e0a6c933c3d62bf688
342-U1403A-26X-5-W 22/24-FORAM,342,U1403,A,26,26-5,X,5,W,22/24-FORAM,0,2,220.72,220.74,G,F,P,R,B,D,B,,,e7e75cbce5916713560aa4b606b0e55f
342-U1403A-26X-5-W 3/4-FORAM,342,U1403,A,26,26-5,X,5,W,3/4-FORAM,0,1,220.53,220.54,M,R,P,P,B,D,B,,,2ad69c7679c75518d8e4801b9e62fb11
342-U1403A-26X-7-W 33/34-FORAM,342,U1403,A,26,26-7,X,7,W,33/34-FORAM,0,1,223.59,223.6,M,R,P,P,B,D,B,,,ca3c616d28dd71cceb1a32ea4a9f4e5f
342-U1403A-27X-1-W 96/98-FORAM,342,U1403,A,27,27-1,X,1,W,96/98-FORAM,0,2,225.16,225.18,G,D,F,P,P,D,F,,,efb3a92571cbbc498c8e645b2cdad40a
342-U1403A-27X-2-W 84/85-FORAM,342,U1403,A,27,27-2,X,2,W,84/85-FORAM,0,1,226.54,226.55,M,R,B,B,B,D,B,,,9a62f1a0b9e76087a7bd1ca1c7a1e698
342-U1403A-27X-3-W 121/123-FORAM,342,U1403,A,27,27-3,X,3,W,121/123-FORAM,0,2,228.41,228.43,M,D,R,P,P,D,F,,,f89318999b6fcea3c24b8e3b51e4b65e
342-U1403A-27X-4-W 122/124-FORAM,342,U1403,A,27,27-4,X,4,W,122/124-FORAM,0,2,229.92,229.94,G,D,P,B,B,F,R,,,22ef1b52ed2b1dd2b6fc68a6e07c3843
342-U1403A-27X-5-W 104/106-FORAM,342,U1403,A,27,27-5,X,5,W,104/106-FORAM,0,2,231.24,231.26,M,D,P,P,B,D,B,,,dc072f9fc8191874e4e93af591c51af6
342-U1403A-27X-6-W 102/104-FORAM,342,U1403,A,27,27-6,X,6,W,102/104-FORAM,0,2,232.72,232.74,G,D,P,P,B,D,R,,,313429fab9c5a3d29a8020c6e3f00406
342-U1403A-28X-1-W 89/91-FORAM,342,U1403,A,28,28-1,X,1,W,89/91-FORAM,0,2,234.79,234.81,G,D,P,P,P,D,R,,,1ae4bc27b9f1e2957ab4a1d53f98102c
342-U1403A-28X-2-W 108/110-FORAM,342,U1403,A,28,28-2,X,2,W,108/110-FORAM,0,2,236.48,236.5,G,D,P,P,P,D,R,,,3ce3e5256c32e4a646557ca59901fda4
342-U1403A-28X-3-W 106/108-FORAM,342,U1403,A,28,28-3,X,3,W,106/108-FORAM,0,2,237.96,237.98,G,D,R,P,P,D,R,,,535a23fa05a225777976d467e524ddbe
342-U1403A-28X-4-W 72/74-FORAM,342,U1403,A,28,28-4,X,4,W,72/74-FORAM,0,2,239.12,239.14,M,D,P,B,P,D,P,,,e04e4e64a50375215b3a61becaab0d91
342-U1403A-28X-5-W 125/127-FORAM,342,U1403,A,28,28-5,X,5,W,125/127-FORAM,0,2,241.15,241.17,M,D,B,B,P,D,R,,,477c0533211f596d7342e41c1a69e17b
342-U1403A-28X-6-W 34/36-FORAM,342,U1403,A,28,28-6,X,6,W,34/36-FORAM,0,2,241.74,241.76,M,D,P,P,P,D,R,,,f036602058b2dacd5e4d07d2c83c39da
