Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Collosphaera tuberosa,Lamaprocyrtis nigriniae,Theocorythium trachelium,Cycladophora davisiana,Amphirhopalum ypsilon,Spongaster tetras tetras,Nephrospyris renila,Acrobotrys disolenia,Stylatractus universus,Lamaprocyrtis neoheteroporos,Anthocyrtidium angulare,Theocorythium vetulum,Lamaprocyrtis heteroporos,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Stichocorys pergrina,Anthocyrtidum pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Phormostichoartus doliolum,Spongaster pentas,Didymocyrtis penultima,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antipenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetratharamus,Stichocorys delmontensis,Acrobotrys tritubus,Diartus hughesi,Diartus petterssoni,Didymocyrtis laticonus,Botryostrobus miralestensis,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos commuinis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris forcipata,Dorcadospyris dentata,Liriospyris stauropora,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Dorcadospyris scambos,Dorcadospyris ateuchus,Dorcadospyris simplex,Dorcadospyris praeforcipata,Calocycletta serrata,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes,Artophormis gracilis,Didymocyrtis bassanii,Dorcadospyris cyclacantha,Dorcadospyris riedeli,Dorcadospyris papilio,Dorcadospyris circulus,Liriospyris longicornuta,Lychnocanoma apodora,Theocorys puriri,Eucyrtidium plesiodiaphanes,Lithocyclia angusata,Theocyrtis setanios,Theocyrtis perysinos,Tristylospyris triceros,Lophocyrtis milowi,Lophocyrtis oberhaensliae,Lythocyclia crux,Theocyrtis tuberosa,Dorcadospyris quadripes,Dorcadospyris spinosa,Spirocyrtis subtilis,Dorcadospyris pseodopapilio,Centrobotrys gravida,Centrobotris petrushevskayae,Theocyrtis careotuberosa,Dictyoprora  mongolfieri,Thyrsocyrtis triacantha,Lithocyclia ocellus group,Lithocyclia aristotelis group,Calocyclas hispida,Cryptocarpium ornatum,Calocycletta anekathen,Dictyoprora armadillo,Dictyoprora pirum,Lophocyrtis jacchia,Lophocyrtis exitelus,Lophocyrtis hadra,Lychnocanoma amhitrite,Lychnocanoma babylonis,Thyrsocyrtis bromia,Dorcadospyris copelata,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Thyrsocyrtis tetracantha,Rhopalocanium aff. contiguum,Dorcadospyris omboros,Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cyrtocarpium azyx,Thyrsocyrtis rhizodon,Thysocyrtis krooni,Artophormis dominasinensis,Lychnocanoma turgidum,Thysocyrtis perpumila,Thyrsocyrtis orthotenes,Podocyrtis papalis,Thysocyrtis lochites,Spongastractus pachystylus,Anthocyrtoma spp.,Calocycletta ampulla,Zygocircus cimelium,Rhopalocanium ornatum,Dorcadospyris anastasis,Theocotylissa ficus,Dictyophimus craticula,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. group,Podocyrtis apeza,Lithochytris vespertilio,Sethochyrtis triconiscus,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Pterocodon ampla,Buryella clinata,Zealithapium anoectum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Podocyrtis helenae,Podocyrtis diamesa,Podocyrtis phyxis,Podocyrtis ampla,Spongastractus balbis,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fabaeforme fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Theocyrtis orthotenes,Thyrsocyris robusta,Thysocyrtis hirsuta,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Theocorys anaclasta,Calocycloma castum,Phormocyrtis stnata striata,Theocotylissa fimbria,Amphicraspedum murrayanum,Dendospyris fragoides,Diploplegma somophum,Giraffospyris lata,Lamptonium pennatum,Lamptonium sanfilippoae,Lithochytris archaea,Lithocyrtis vespertilio,Lychnocanoma auxilla,Phormocyrtis cubensis,Phormocyrtis stnata exquisita,Pterocodon tenellus,Theocotylissa alpha,Thysocyrtis rhizodon,Lychnocanoma pileus,Periphaena delta,Pterocodon anteclinata,Phormocyrtis turgida,eodp_id
321-U1338A-4H-CC-PAL,321,U1338,A,4,4-CC,H,CC,PAL,,0,0,31.65,31.65,M,A,,,,,R,R,,,,R,,R,R,,R,R,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f9bf9a3caf05b11a5f9082b7cfe1391c
321-U1338A-5H-2-W 123/124-RADS74,321,U1338,A,5,5-2,H,2,W,123/124-RADS74,0,0,33.93,33.93,M,A,,,,,R,R,,,,R,,R,R,,R,R,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154238cb944791d321b2e240c4a37828
321-U1338A-5H-4-W 50/51-RADS77,321,U1338,A,5,5-4,H,4,W,50/51-RADS77,0,0,36.2,36.2,M,A,,,,,R,R,,,,,,R,,,R,R,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539270f79fabb650cb4e20494ef59bb1
321-U1338A-5H-CC-PAL,321,U1338,A,5,5-CC,H,CC,PAL,,0,0,41.25,41.25,M,A,,,,,R,R,,,,,,R,,,R,,C,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0c1d17cdcea8b96cb99942b2ddcc6327
321-U1338A-6H-3-W 131/133-RADS3,321,U1338,A,6,6-3,H,3,W,131/133-RADS3,0,0,45.01,45.01,M,A,,,,,R,R,,,,,,,,,R,R,C,R,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46505fa249641f2488ef5322546d3f00
321-U1338A-6H-5-W 131/133-RADS6,321,U1338,A,6,6-5,H,5,W,131/133-RADS6,0,0,48.01,48.01,M,A,,,,,R,R,,,,,,R,,,R,R,C,,,,R,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5a163b7bb43eff400efe1cd749de994
321-U1338A-6H-CC-PAL,321,U1338,A,6,6-CC,H,CC,PAL,,0,0,50.7,50.7,M,A,,,,,,R,,,,,,R,,,R,,C,,R,,R,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54d9ede57132f315e99effeeabe0f89c
321-U1338A-7H-2-W 47/49-RADS95,321,U1338,A,7,7-2,H,2,W,47/49-RADS95,0,0,52.17,52.17,M,A,,,,,,,,,,,,R,,,R,R,C,,R,,R,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,af86d96b061231875c2ab1da7d146e1e
321-U1338A-7H-4-W 52/54-RADS98,321,U1338,A,7,7-4,H,4,W,52/54-RADS98,0,0,55.22,55.22,M,A,,,,,,,,,,,,R,,,,R,C,R,,,R,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c9fc1cff0d4ab9f4900014c8ba997b03
321-U1338A-7H-CC-PAL,321,U1338,A,7,7-CC,H,CC,PAL,,0,0,60.14,60.14,M,A,,,,,,,,,,,,R,,,,R,C,R,R,,R,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6fa5f78bcf62407cd5efa9419583628b
321-U1338A-8H-2-W 48/50-RADS85,321,U1338,A,8,8-2,H,2,W,48/50-RADS85,0,0,61.68,61.68,M,A,,,,,,,,,,,,R,,,,R,C,R,R,,R,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89fa840144405cc585784bacfbb977ae
321-U1338A-8H-5-W 104/106-RADS86,321,U1338,A,8,8-5,H,5,W,104/106-RADS86,0,0,66.74,66.74,M,A,,,,,,,,,,,,R,,,,R,C,R,R,,R,R,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b695f4d350f911707a52b733279e77a5
321-U1338A-8H-CC-PAL,321,U1338,A,8,8-CC,H,CC,PAL,,0,0,69.65,69.65,M,A,,,,,,,,,,,,R,,,,R,C,R,R,,R,R,R,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d5667d7e94edd8e3490e117a035cacd6
321-U1338A-9H-3-W 14/16-RADS45,321,U1338,A,9,9-3,H,3,W,14/16-RADS45,0,0,72.34,72.34,M,A,,,,,,,,,,,,R,,,,R,C,R,R,,R,R,R,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a02b1c5280f3e3e5af309c0a8f08390
321-U1338A-9H-6-W 127/129-RADS46,321,U1338,A,9,9-6,H,6,W,127/129-RADS46,0,0,77.97,77.97,M,A,,,,,,,,,,,,R,,,,R,C,R,R,,R,,R,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce42d7393e6fa8677094480b940cb311
321-U1338A-9H-CC-PAL,321,U1338,A,9,9-CC,H,CC,PAL,,0,0,79.09,79.09,M,A,,,,,,,,,,,,R,,,,R,C,S,R,,R,R,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231de7b8ff28fa87fbe0af2e50cd6c7
321-U1338A-10H-3-W 36/38-RADS76,321,U1338,A,10,10-3,H,3,W,36/38-RADS76,0,0,82.06,82.06,M,A,,,,,,,,,,,,,,,,R,C,R,R,,R,R,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86c533a6731bd7cb2a1568c64cc25b37
321-U1338A-10H-6-W 118/120-RADS77,321,U1338,A,10,10-6,H,6,W,118/120-RADS77,0,0,87.38,87.38,M,A,,,,,,,,,,,,R,,,,R,C,R,,,R,R,R,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295826b3db3a4f0e88a8f6b898d4b142
321-U1338A-10H-CC-PAL,321,U1338,A,10,10-CC,H,CC,PAL,,0,0,88.73,88.73,M,A,,,,,,,,,,,,R,,,,,C,R,R,,R,,R,R,R,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9498200bc4071358bfb0d3fc316f1d50
321-U1338A-11H-3-W 110/112-RADS43,321,U1338,A,11,11-3,H,3,W,110/112-RADS43,0,0,92.3,92.3,M,A,,,,,,,,,,,,R,,,,,C,R,R,,R,,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6b205d747f5b814e95bd1f03ef10edc1
321-U1338A-11H-5-W 73/75-RADS44,321,U1338,A,11,11-5,H,5,W,73/75-RADS44,0,0,94.93,94.93,M,A,,,,,,,,,,,,R,,,,,C,R,,,R,,R,R,R,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afff84e598d39e4e4f5530b1ab05ac33
