Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1387C-19R-CC-PAL-FORAM,339,U1387,C,19,19-CC,R,CC,PAL,FORAM,0,5,458.54,458.59,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,P,,R,,,,,,,,,,,,b1c63e635999dbd7d67cf879f54d8ae8
339-U1387C-21R-CC-PAL-FORAM,339,U1387,C,21,21-CC,R,CC,PAL,FORAM,0,5,479.37,479.42,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,5a498c63b50645b29e2eca88b457e9a2
339-U1387C-23R-CC-PAL-FORAM,339,U1387,C,23,23-CC,R,CC,PAL,FORAM,0,5,499.79,499.84,,,P,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,57c750a78eae603e5542df21b52837a3
339-U1387C-25R-CC-PAL-FORAM,339,U1387,C,25,25-CC,R,CC,PAL,FORAM,0,5,520.19,520.24,,,P,,,P,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,4ae27241e27b610d309f72a67f9629b1
339-U1387C-27R-CC-PAL-FORAM,339,U1387,C,27,27-CC,R,CC,PAL,FORAM,0,5,539.4,539.45,,,P,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,F,,,,,,,,,,,,e27c6229a89bf567c0f5d148cab22cee
339-U1387C-29R-CC-PAL-FORAM,339,U1387,C,29,29-CC,R,CC,PAL,FORAM,0,5,558.56,558.61,,,R,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,P,,,,,,,,,,,,11ef463a8902eb8843286833334f2d69
339-U1387C-30R-CC-PAL-FORAM,339,U1387,C,30,30-CC,R,CC,PAL,FORAM,0,5,564.83,564.88,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,07dae9737122b70a4f7ef8b161a73223
339-U1387C-31R-CC-PAL-FORAM,339,U1387,C,31,31-CC,R,CC,PAL,FORAM,0,5,573.54,573.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,e06678f20c2b68f8ef72dae29e93dd93
339-U1387C-32R-CC-PAL-FORAM,339,U1387,C,32,32-CC,R,CC,PAL,FORAM,0,5,586.23,586.28,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,19364a51fbdcbb678f11841524a87c60
339-U1387C-33R-CC-PAL-FORAM,339,U1387,C,33,33-CC,R,CC,PAL,FORAM,0,5,596.96,597.01,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,F,,,,,,,,,,,,e76973c9442dc0da2304a0f1105c672c
339-U1387C-34R-CC-PAL-FORAM,339,U1387,C,34,34-CC,R,CC,PAL,FORAM,0,5,603.77,603.82,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,P,P,F,,,,,,,,,,,,d81c068fabc050f8a135ee0105e5c7fa
339-U1387C-35R-CC-PAL-FORAM,339,U1387,C,35,35-CC,R,CC,PAL,FORAM,0,8,616.22,616.3,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,6f210017f9b854144f324f641b258961
339-U1387C-36R-CC-PAL-FORAM,339,U1387,C,36,36-CC,R,CC,PAL,FORAM,0,5,619.81,619.86,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,aea3a76565f64841273429e67266dacc
339-U1387C-37R-CC-PAL-FORAM,339,U1387,C,37,37-CC,R,CC,PAL,FORAM,0,5,634.49,634.54,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,8d2686299cb1fda26e482af1b16a1ef9
339-U1387C-38R-CC-PAL-FORAM,339,U1387,C,38,38-CC,R,CC,PAL,FORAM,0,4,643.55,643.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,814630320cc5dcc1d05e9d21bf9d28c5
339-U1387C-39R-CC-PAL-FORAM,339,U1387,C,39,39-CC,R,CC,PAL,FORAM,0,5,650.31,650.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,6eefdb09ceb2868d9a3963e5fa8b48a2
339-U1387C-40R-CC-PAL-FORAM,339,U1387,C,40,40-CC,R,CC,PAL,FORAM,0,5,662.32,662.37,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,babd483f6bc9cbd019de69f8edddc409
339-U1387C-41R-CC-PAL-FORAM,339,U1387,C,41,41-CC,R,CC,PAL,FORAM,0,6,666.26,666.32,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,9e277b7ffbcb9cd957d1539d628c65de
339-U1387C-42R-CC-PAL-FORAM,339,U1387,C,42,42-CC,R,CC,PAL,FORAM,0,5,682.15,682.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,6cebb97baaf512d984b5eb3e8ba26ade
339-U1387C-43R-2-PAL-FORAM,339,U1387,C,43,43-2,R,CC,PAL,FORAM,0,4,685.76,685.8,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,P,R,,,,,,,,,,,,32ee7995edd83afe33fc67a65ae80252
339-U1387C-44R-1-PAL-FORAM,339,U1387,C,44,44-1,R,2,PAL,FORAM,0,2,693.03,693.05,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,f9afd22533c9e89906c8199195e1b475
339-U1387C-47R-CC-PAL-FORAM,339,U1387,C,47,47-CC,R,1,PAL,FORAM,0,5,722.04,722.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,477f9190b84b441a4f97860daaeba030
339-U1387C-48R-CC-PAL-FORAM,339,U1387,C,48,48-CC,R,CC,PAL,FORAM,0,5,737.45,737.5,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,6b4e5a530ef2676ee0e925f5ec585bf8
339-U1387C-49R-CC-PAL-FORAM,339,U1387,C,49,49-CC,R,CC,PAL,FORAM,0,3,748.1,748.13,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,af70f66d89612add25eba4f19318cdbc
339-U1387C-50R-CC-PAL-FORAM,339,U1387,C,50,50-CC,R,CC,PAL,FORAM,0,3,752.45,752.48,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,0f4dc032663ead1f6d3184e008e5a130
339-U1387C-51R-CC-PAL-FORAM,339,U1387,C,51,51-CC,R,CC,PAL,FORAM,0,5,765.69,765.74,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,R,,,R,,,,,,,,,,,,1174d8a920026133f42fd8ea84d35e04
339-U1387C-52R-CC-PAL-FORAM,339,U1387,C,52,52-CC,R,CC,PAL,FORAM,0,6,772.92,772.98,,,,,,,,,,,,,,,,,,,,,,P,P,,A,,,,,,,F,,,,,,,,,,,,a3fec09986bff417d593cfe55ac875ee
339-U1387C-53R-6-PAL-FORAM,339,U1387,C,53,53-6,R,CC,PAL,FORAM,0,5,786.65,786.7,,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,6af1ba2f9dd7e103ff07e6382faf608b
339-U1387C-55R-CC-PAL-FORAM,339,U1387,C,55,55-CC,R,6,PAL,FORAM,0,6,805.62,805.68,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,R,,,,,,,,,,,,9b6c04ed20bf94ed9a53c1d00fdcc228
339-U1387C-56R-7-PAL-FORAM,339,U1387,C,56,56-7,R,3,PAL,FORAM,0,5,817.13,817.18,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,720956bd8ffc96f0de69c444c35c2338
339-U1387C-57R-CC-PAL-FORAM,339,U1387,C,57,57-CC,R,CC,PAL,FORAM,0,3,824.6,824.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,31eaa6c638c33c4216d8aab1d2acad3e
339-U1387C-58R-CC-PAL-FORAM,339,U1387,C,58,58-CC,R,7,PAL,FORAM,0,5,834.33,834.38,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,F,,R,R,,,,,,,,,,,,b12163819de40a4955fe1b2991d14ca6
339-U1387C-59R-CC-PAL-FORAM,339,U1387,C,59,59-CC,R,CC,PAL,FORAM,0,5,845.56,845.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,2e8a8ecdb1d3112b8fbbf1ef5d3c0b23
339-U1387C-60R-CC-PAL-FORAM,339,U1387,C,60,60-CC,R,CC,PAL,FORAM,0,3,846.4,846.43,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,R,F,,,,,,,,,,,,68989b11cfabf0ca23dcfefed685788e
339-U1387C-61R-CC-PAL-FORAM,339,U1387,C,61,61-CC,R,CC,PAL,FORAM,0,5,865.8,865.85,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,609b2e02d405f9c5ad753fe92e13b5b9
