342-U1408A-2H-2-W 100/102-FORAM,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Sample,eodp_id
342-U1408A-13H-5-W 100/102-FORAM,342,U1408,A,13,13-2,H,2,W,100/102-FORAM,0,2,111.3,111.32,111.31,VG [P21],P,,,,,,,,342-U1408A-13H-2-W 100/102-FORAM,0879df7e853a215d37de213a89761554
342-U1408A-14H-2-W 100/102-FORAM,342,U1408,A,13,13-5,H,5,W,100/102-FORAM,0,2,115.8,115.82,115.81,VG [P21],P,,,,,,,,342-U1408A-13H-5-W 100/102-FORAM,d54dc5098ca524af9b19aa8855b31705
342-U1408A-14H-5-W 100/102-FORAM,342,U1408,A,14,14-2,H,2,W,100/102-FORAM,0,2,120.8,120.82,120.81,G [P21],F,,,,,,,,342-U1408A-14H-2-W 100/102-FORAM,6c06f3281640df604842c2141cd2cfd0
342-U1408A-15H-2-W 100/102-FORAM,342,U1408,A,14,14-5,H,5,W,100/102-FORAM,0,2,125.3,125.32,125.31,VG [P21],P,,,,,,,,342-U1408A-14H-5-W 100/102-FORAM,7e6abf8872aa2f3e02b35a11b9da997e
342-U1408A-15H-5-W 100/102-FORAM,342,U1408,A,15,15-2,H,2,W,100/102-FORAM,0,2,130.3,130.32,130.31,VG [P21],P,,,,,,,,342-U1408A-15H-2-W 100/102-FORAM,6f805765a6811ecfe5b68bfe3250dc5b
342-U1408A-16H-2-W 100/102-FORAM,342,U1408,A,15,15-5,H,5,W,100/102-FORAM,0,2,134.8,134.82,134.81,VG [P21],P,,,,,,,,342-U1408A-15H-5-W 100/102-FORAM,bb798c1f0154a90a83332e97d89c663e
342-U1408A-16H-5-W 100/102-FORAM,342,U1408,A,16,16-2,H,2,W,100/102-FORAM,0,2,138.51,138.53,138.52,VG [P21],P,,,,,,,,342-U1408A-16H-2-W 100/102-FORAM,e7b5a04b959fe55f3cab8707b098cc3b
342-U1408A-17H-2-W 101/103-FORAM,342,U1408,A,16,16-5,H,5,W,100/102-FORAM,0,2,143.0,143.02,143.01,VG [P21],P,,,,,,,,342-U1408A-16H-5-W 100/102-FORAM,b2da71eb75cb3ef252ed3e6eb00226e8
342-U1408A-17H-5-W 110/112-FORAM,342,U1408,A,17,17-2,H,2,W,101/103-FORAM,0,2,149.31,149.33,149.32,G [P21],F,,,,,,,,342-U1408A-17H-2-W 101/103-FORAM,a5b82758b1ef06434d48decb7fc4487b
342-U1408A-18H-3-W 100/102-FORAM,342,U1408,A,17,17-5,H,5,W,110/112-FORAM,0,2,153.9,153.92,153.91,VG [P21],P,,,,,,,,342-U1408A-17H-5-W 110/112-FORAM,354c0a0fc79725870098daf05be5c0eb
342-U1408A-18H-6-W 100/102-FORAM,342,U1408,A,18,18-3,H,3,W,100/102-FORAM,0,2,159.13,159.15,159.14,VG [P21],P,,,,,,,,342-U1408A-18H-3-W 100/102-FORAM,23d55c3c88579e398578cf13cebedf27
342-U1408A-19H-2-W 100/102-FORAM,342,U1408,A,18,18-6,H,6,W,100/102-FORAM,0,2,163.33,163.35,163.34,VG [P21],P,,,,,,,,342-U1408A-18H-6-W 100/102-FORAM,a65e33afe131b84fb97d83ef7d63b8fe
342-U1408A-19H-4-W 100/102-FORAM,342,U1408,A,19,19-2,H,2,W,100/102-FORAM,0,2,168.3,168.32,168.31,VG [P21],P,,,,,,,,342-U1408A-19H-2-W 100/102-FORAM,fb325bade728b77f6808aaf1aeadb045
342-U1408A-20H-2-W 100/102-FORAM,342,U1408,A,19,19-4,H,4,W,100/102-FORAM,0,2,171.3,171.32,171.31,VG [P21],R,,,,,,,,342-U1408A-19H-4-W 100/102-FORAM,1361caf8d4204a01fae31d101375fcbf
342-U1408A-20H-4-W 100/102-FORAM,342,U1408,A,20,20-2,H,2,W,100/102-FORAM,0,2,177.8,177.82,177.81,VG [P21],P,,,,,,,,342-U1408A-20H-2-W 100/102-FORAM,a6951a2f3d65c27357e67fc2e1b54a57
342-U1408A-21X-2-W 100/102-FORAM,342,U1408,A,20,20-4,H,4,W,100/102-FORAM,0,2,180.8,180.82,180.81,G [P21],P,,,,,,,,342-U1408A-20H-4-W 100/102-FORAM,79a2e4fbc7de722fa7957fd1417727e9
342-U1408A-21X-4-W 100/102-FORAM,342,U1408,A,21,21-2,X,2,W,100/102-FORAM,0,2,185.4,185.42,185.41,VG [P21],P,,,,,,,,342-U1408A-21X-2-W 100/102-FORAM,0abeaae0c85f44041aa77fdab68bc021
342-U1408A-22X-2-W 100/102-FORAM,342,U1408,A,21,21-4,X,4,W,100/102-FORAM,0,2,188.4,188.42,188.41,VG [P21],P,,,,,,,,342-U1408A-21X-4-W 100/102-FORAM,37ff85b0b7af6b457c6382434ffe4a8c
342-U1408A-22X-4-W 100/102-FORAM,342,U1408,A,22,22-2,X,2,W,100/102-FORAM,0,2,191.3,191.32,191.31,VG [P21],P,,,,,,,,342-U1408A-22X-2-W 100/102-FORAM,b7ef2d7ff233aac7e4f5a0b3799cdb85
342-U1408A-23X-2-W 100/102-FORAM,342,U1408,A,22,22-4,X,4,W,100/102-FORAM,0,2,194.3,194.32,194.31,VG [P21],P,,,,,,,,342-U1408A-22X-4-W 100/102-FORAM,e324ff05e745b459c44364b776431858
342-U1408A-23X-4-W 100/102-FORAM,342,U1408,A,23,23-2,X,2,W,100/102-FORAM,0,2,201.0,201.02,201.01,VG [P21],P,,,,,,,,342-U1408A-23X-2-W 100/102-FORAM,8a06b8154c406807a361ec897f7cb588
342-U1408A-24X-2-W 120/122-FORAM,342,U1408,A,23,23-4,X,4,W,100/102-FORAM,0,2,204.0,204.02,204.01,G [P21],P,,,,,,,,342-U1408A-23X-4-W 100/102-FORAM,d514caa8301aa5b88e6cb66b88b0a37b
342-U1408A-24X-4-W 120/122-FORAM,342,U1408,A,24,24-2,X,2,W,120/122-FORAM,0,2,210.8,210.82,210.81,G [P21],P,,,,,,,,342-U1408A-24X-2-W 120/122-FORAM,680c78ad8c9bbae0c71ac834b77b09bb
342-U1408A-25X-2-W 100/102-FORAM,342,U1408,A,24,24-4,X,4,W,120/122-FORAM,0,2,213.8,213.82,213.81,VG [P21],P,,,,,,,,342-U1408A-24X-4-W 120/122-FORAM,54cf3f7f77d37b01b81a9392ffb26db4
342-U1408A-25X-5-W 100/102-FORAM,342,U1408,A,25,25-2,X,2,W,100/102-FORAM,0,2,220.2,220.22,220.21,G [P21],P,,,,,,,,342-U1408A-25X-2-W 100/102-FORAM,8182baf8bfe43ef471b5c0ffd8ef410c
342-U1408A-27X-2-W 48/49-FORAM,342,U1408,A,25,25-5,X,5,W,100/102-FORAM,0,2,224.7,224.72,224.71,M [P21],P,,,,,,,,342-U1408A-25X-5-W 100/102-FORAM,453435dff5b914dc2e47ed15fcf473aa
342-U1408A-27X-5-W 97/98-FORAM,342,U1408,A,27,27-2,X,2,W,48/49-FORAM,0,1,238.88,238.89,238.89,G [P21],P,,,,,,,,342-U1408A-27X-2-W 48/49-FORAM,cc9428aa25093a57968d8c1ab0e4a898
,342,U1408,A,27,27-5,X,5,W,97/98-FORAM,0,1,243.87,243.88,243.88,G [P21],P,,,,,,,,342-U1408A-27X-5-W 97/98-FORAM,d34d81260c1425dca2844f828ef8bd36
