Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,,,,,,P,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,4c493daaed88014b95ffbb0c1e4adfea
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,P,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,R,,,,69c156f2c1a5afece72b3836f5d8b64e
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,R,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,P,,,,b52d004b23edec74f808b5ace9352493
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,P,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,R,,,,,,,,P,,,,c3d13d7161567c8275c24a233f722745
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,,,,,,P,P,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,23aacd6daf8e2e9d24b38a1ee0b8733c
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,c0fe69e675322a65b17e05cccc896a2b
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92117ec8038ae5d3b549f4579a1e1d73
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,7b87d4dd7e1eafdeb6901d70d77e2589
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,e0dc48986d76cd1b6c9963a384fa98b6
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,R,,,,ec709f6116c7c48332ce7a82f37e7c3d
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,884927eb76ffd73da82b6a35de4adfee
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,R,P,F,,,,,,,P,,,,,2feea44044a61d46e1a64e3416d9baf9
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,F,,,,,,,P,,,,,022e188e29692b04b36d7559367e61d0
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,,,,,R,,,,,6d6fabaee0509ea593cdbd852ec4b965
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,P,,,,a8354048e5bb2ce8312692598fb937f1
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,A,R,R,,,,,,,,,,,2eb86ddcc79a6844729f5376bd6629e5
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,bc13f50cbb14b9e26319b2513901ce80
