Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nuttallides truempyi	Indeterminate radiolarians	Globocassidulina subglobosa	Cibicidoides praemundulus	Aragonia aragonensis	Anomalinoides spissiformis	Alabamina dissonata	Spiroplectammina spectabilis	Quadrimorphina profunda	Indeterminate fish bone fragments	Gaudryina laevigata	Anomalinoides semicribratus	Vulvulina spinosa	Stilostomella aculeata	Pullenia quinqueloba	Orthomorphina havanensis	Oridorsalis umbonatus	Indeterminate polymorphinidae	Indeterminate ostracodes	Gyroidinoides altiformis	Eggerella trochoides	Clinapertina complanata	Cibicidoides micrus	Cibicidoides havanensis	Cibicidoides grimsdalei	Bulimina tuxpamensis	Abyssamina quadrata	Abyssamina poagi	Turrilina brevispira	Textularia sp.	Stilostomella subspinosa	Pullenia bulloides	Karreriella chapapotensis	Gyroidinoides globosa	Gaudryina pyramidata	Dorothia pupa	Cibicidoides eocaenus	Bulimina semicostata	Indeterminate sponge spicules	Indeterminate nodosariidae	Cibicidoides sp. 13	Cibicidoides dayi	Rhabdammina abyssorum	Hormosinella ovicula	Spiroplectammina deperdita	Gyroidinoides soldanii	Karreriella chapapotensis monumentensis	Cibicidoides haitensis	Stilostomella gracillima	Adercotryma glomerata	Cibicidoides mexicanus	Comment

  IR	                 	                 	                  	              	192	1185	A	  4	R	CC	  17.00	    271.6100	Sikora   	Benthic Foraminifers                         	C              	G                 	F                   	A                         	R                          	F                        	                    	F                         	C                  	T                           	                       	R                                	                   	                           	                 	R                     	                    	                        	R                    	T                            	                        	R                       	                    	                       	                   	R                      	F                      	                    	                   	                	R                   	              	                        	T                 	T                        	                     	                    	             	                     	                    	F                            	R                         	                   	                 	                     	                    	                          	                      	                                       	T                     	                        	                     	                      	Below FG lysocline - grimsdalei declines, praemundulus, spissaformis and dissonata increase; havanensis appears

  IR	                 	                 	                  	              	192	1185	A	  5	R	 1	  21.00	    279.7100	Sikora   	Benthic Foraminifers                         	R              	M                 	                    	A                         	                           	                         	                    	                          	                   	                            	                       	                                 	                   	                           	                 	                      	                    	                        	                     	                             	                        	                        	                    	                       	                   	                       	T                      	                    	T                  	                	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	                     	                    	                          	                      	T                                      	                      	                        	                     	                      	Near FG lysocline - planktics rare but not as rare as in core 4; thin section #109

  IR	                 	                 	                  	              	192	1185	A	  5	R	CC	   9.00	    281.2800	Sikora   	Benthic Foraminifers                         	C              	G                 	F                   	A                         	R                          	R                        	                    	F                         	A                  	R                           	                       	R                                	                   	T                          	                 	T                     	                    	T                       	                     	                             	R                       	R                       	T                   	                       	R                  	R                      	F                      	                    	R                  	                	                    	              	                        	T                 	T                        	T                    	                    	             	T                    	                    	R                            	R                         	T                  	                 	                     	                    	T                         	T                     	                                       	                      	                        	                     	                      	latest Eocene - upper P16 to P17; dissonata now dominantes with truempyi 2nd most common

  IR	                 	                 	                  	              	192	1185	A	  6	R	 1	   5.00	    289.1500	Sikora   	Benthic Foraminifers                         	T              	M                 	                    	                          	                           	T                        	                    	T                         	                   	                            	                       	                                 	                   	                           	                 	                      	                    	                        	                     	                             	                        	                        	                    	                       	                   	                       	                       	                    	                   	                	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	T                    	T                   	                          	                      	                                       	                      	                        	                     	                      	       

  IR	                 	                 	                  	              	192	1185	A	  6	R	 1	  51.00	    289.6100	Sikora   	Benthic Foraminifers                         	C              	G                 	C                   	A                         	T                          	R                        	                    	F                         	F                  	R                           	                       	                                 	                   	                           	                 	                      	                    	                        	                     	                             	                        	T                       	                    	                       	                   	                       	F                      	                    	                   	                	R                   	              	T                       	T                 	                         	                     	                    	             	                     	                    	T                            	T                         	R                  	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	truempyi now most common; no FG, but residue only 10cc

  IR	                 	                 	                  	              	192	1185	A	  6	R	 1	 106.00	    290.1600	Sikora   	Benthic Foraminifers                         	C              	M                 	A                   	A                         	R                          	                         	                    	R                         	T                  	                            	                       	                                 	                   	                           	                 	R                     	                    	                        	T                    	                             	R                       	T                       	                    	T                      	                   	                       	T                      	                    	                   	                	                    	              	                        	                  	                         	T                    	                    	             	                     	                    	T                            	T                         	R                  	T                	                     	                    	                          	                      	                                       	                      	                        	                     	                      	truempyi dominant; praemundulus is absent and grimsdalei and dissonata crash; no FG, but residue only 10cc

  IR	                 	                 	                  	              	192	1185	A	  6	R	 2	   4.00	    290.6400	Sikora   	Benthic Foraminifers                         	C              	M                 	A                   	A                         	R                          	                         	                    	R                         	F                  	                            	                       	                                 	T                  	                           	                 	T                     	                    	                        	                     	T                            	                        	R                       	                    	R                      	                   	                       	R                      	                    	                   	                	                    	              	                        	T                 	                         	                     	                    	             	                     	                    	T                            	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	truempyi less dominant; dissonata moderate rise; no FG, but residue only 10cc

  IR	                 	                 	                  	              	192	1185	A	  6	R	CC	  21.00	    291.2700	Sikora   	Benthic Foraminifers                         	A              	G                 	A                   	R                         	F                          	R                        	                    	F                         	F                  	T                           	                       	R                                	                   	T                          	R                	F                     	                    	                        	C                    	                             	                        	T                       	                    	F                      	R                  	T                      	A                      	T                   	T                  	                	R                   	T             	T                       	T                 	T                        	R                    	T                   	R            	T                    	T                   	                             	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	truempyi still most common species, but grimdalei increases sharply and species diversiy rise sharply; major decline in rads with first chert

  IR	                 	                 	                  	              	192	1185	A	  7	R	 1	  89.00	    299.6900	Sikora   	Benthic Foraminifers                         	F              	M                 	R                   	A                         	                           	                         	                    	R                         	                   	                            	                       	                                 	                   	                           	                 	                      	                    	                        	                     	                             	                        	                        	                    	                       	                   	                       	                       	                    	                   	                	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	thin section #111; probably comparable to washed residue assemblages, but showing true relative abundance of benthic spp.

  IR	                 	                 	                  	              	192	1185	A	  7	R	CC	  48.00	    301.8200	Sikora   	Benthic Foraminifers                         	A              	G                 	A                   	F                         	R                          	                         	                    	R                         	C                  	                            	                       	                                 	                   	T                          	T                	R                     	T                   	T                       	C                    	R                            	T                       	R                       	T                   	R                      	F                  	R                      	A                      	T                   	R                  	T               	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	truempyi and grimsdalei no equal in abundance;species diversiy remains high, but aggluts nearly disappear; minor recovery in rads

  IR	                 	                 	                  	              	192	1185	A	  8	R	 1	   1.00	    308.4100	Sikora   	Benthic Foraminifers                         	F              	P                 	R                   	                          	R                          	T                        	                    	                          	                   	T                           	T                      	T                                	T                  	T                          	                 	                      	                    	                        	                     	                             	                        	                        	                    	                       	                   	                       	                       	                    	                   	                	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	truempyi dominates rare assemblage from indurated limestone above basalt; praemundulus returns

  IR	                 	                 	                  	              	192	1185	A	  8	R	 1	   3.00	    308.4300	Sikora   	Benthic Foraminifers                         	F              	P                 	R                   	A                         	T                          	T                        	T                   	T                         	T                  	                            	                       	                                 	                   	                           	                 	                      	                    	                        	                     	                             	                        	                        	                    	                       	                   	                       	                       	                    	                   	                	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	       

