Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra onusta	Neococcolithes dubius	Markalius inversus	Discoaster bifax	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus expansus	Chiasmolithus altus	Discoaster spp.	Discoaster saipanensis	Cyclicargolithus floridanus	Blackites spinosus	Reticulofenestra daviesii	Reticulofenestra reticulata	Chiasmolithus grandis	Lanternithus minutus	Helicosphaera spp.	Clausicoccus fenestratus	Thoracosphaera spp.	Discoaster tanii	Discoaster deflandrei	Sphenolithus radians	Reticulofenestra bisecta	Chiasmolithus oamaruensis	Isthmolithus recurvus	Pyrocyclus orangensis	Reticulofenestra bisecta filewiczii	Pontosphaera sp.	Reticulofenestra oamaruensis	Bicolumnus ovatus	Pontosphaera multipora	Sphenolithus ciperoensis	Helicosphaera recta	Cyclicargolithus abisectus	Helicosphaera euphratis	Braarudosphaera bigelowii	Helicosphaera compacta	Discoaster variabilis	Calcidiscus macintyrei	Reticulofenestra producta	Calcidiscus leptoporus	Reticulofenestra hesslandii	Reticulofenestra gelida	Reticulofenestra perplexa	Comment

  SR	Miocene          	                 	                  	              	119	 737	B	  5	R	 1	 127.00	    254.7700	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	                     	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	A                        	                      	                           	F                      	C                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  5	R	 2	  45.00	    255.4500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	V                        	                      	                           	V                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  5	R	 3	  45.00	    256.9500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	V                        	                      	                           	V                      	C                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  5	R	CC	  11.00	    258.4300	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	R                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	V                        	                      	                           	F                      	F                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  6	R	 1	  52.00	    263.7200	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	V                        	                      	                           	F                      	A                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  6	R	 2	  45.00	    265.1500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	F                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	A                        	                      	                           	C                      	A                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  6	R	CC	   0.00	    269.4000	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	R                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	                       	V                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  7	R	 1	  45.00	    273.3500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	F                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	C                        	                      	                           	R                      	A                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  7	R	CC	   0.00	    273.9800	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	F                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	R                     	A                          	A                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  8	R	 1	  45.00	    282.9500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	R                     	A                          	A                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  8	R	 2	  45.00	    284.4500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	R                     	F                          	V                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  8	R	 3	  45.00	    285.9500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	F                     	F                          	V                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  8	R	CC	   8.00	    286.1700	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	F                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	R                     	                         	R                     	A                          	A                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  9	R	 1	  45.00	    292.6500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	C                     	F                          	V                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  9	R	 2	  45.00	    294.1500	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	R                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	C                     	F                          	V                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  9	R	CC	  12.00	    294.4900	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	C                        	F                     	A                          	A                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	 10	R	 1	  45.00	    302.2500	Wei      	Nannofossils                                 	R              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	V                    	                    	                     	                      	                   	               	                      	C                          	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	R                    	R                     	                         	F                     	C                          	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	 10	R	 2	  45.00	    303.7500	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	V                    	                    	                     	                      	                   	R              	                      	C                          	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	R                         	                       	                         	                      	                     	                      	                         	R                     	F                          	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	 10	R	 3	  45.00	    305.2500	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	V                    	                    	                     	                      	                   	               	                      	C                          	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	R                         	                       	                         	                      	                     	                      	                         	R                     	A                          	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	 10	R	CC	   0.00	    307.1900	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	                   	               	                      	R                          	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	R                         	                       	                         	                      	                     	R                     	R                        	R                     	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	 11	R	 1	  50.00	    312.0000	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	V                    	                    	                     	                      	                   	               	                      	C                          	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	R                     	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 11	R	 2	  80.00	    313.8000	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	C                  	F              	                      	C                          	                  	F                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	R                	                      	                        	                   	C                         	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 11	R	 3	  54.00	    315.0400	Wei      	Nannofossils                                 	A              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	C                  	R              	                      	A                          	                  	F                        	                           	                     	                    	                  	                        	                   	                	                     	                    	A                       	                         	                     	                     	F                                  	                	                            	F                	                      	                        	                   	F                         	                       	                         	                      	F                    	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 11	R	CC	   9.00	    315.8700	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	A                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	R                    	                    	C                       	                         	                     	R                    	F                                  	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 12	R	 1	  31.00	    321.4100	Wei      	Nannofossils                                 	V              	M                 	                       	A                      	                         	                            	                       	                     	                  	                	                       	F                    	                    	                     	                      	A                  	               	                      	A                          	                  	C                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	F                                  	                	                            	                 	                      	                        	                   	F                         	                       	                         	                      	R                    	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 12	R	 2	  61.00	    323.2100	Wei      	Nannofossils                                 	V              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	A                  	               	                      	A                          	                  	A                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	C                                  	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Late Oligocene   	                 	CP17              	CP19          	119	 737	B	 12	R	 3	  52.00	    324.6200	Wei      	Nannofossils                                 	V              	M                 	                       	                       	                         	                            	                       	                     	                  	                	                       	C                    	                    	                     	                      	A                  	               	                      	A                          	                  	C                        	                           	                     	                    	                  	                        	                   	                	                     	                    	C                       	                         	                     	                     	A                                  	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.
