Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Denticulopsis hyalina	Azpeitia endoi/tabularis	Actinocyclus ingens  var. nodus	Actinocyclus ingens	Rhizosolenia praebarboi	Nitzschia grossepunctata	Crucidenticula nicobarica	Stellarima (all generic taxa)	Nitzschia denticuloides	Denticulopsis lauta	Denticulopsis hustedtii	Denticulopsis dimorpha	Triceratium condecorum	Nitzschia sp. 17	Coscinodiscus lewisianus	Thalassiosira yabei	Rhizosolenia miocenica	Denticulopsis praedimorpha	Rhizosolenia barboi	Thalassiosira grunowii	Thalassiosira nativa	Rhizosolenia hebetata	Thalassiosira torokina	Denticulopsis hustedtii var. ovata	Cosmiodiscus intersectus	Actinocyclus fryxellae	Thalassiosira burckliana	Asteromphalus kennettii	Thalassiosira sp.1	Nitzschia praecurta	Comment
  SR	                 	                 	                  	              	119	 737	B	  6	R	CC	   0.00	    269.4000	Baldauf  	Diatoms                                      	A              	G                 	                     	F                       	                               	F                  	                       	                        	                         	                             	                       	F                  	R                      	A                     	                      	                	                        	C                  	                      	                          	F                  	F                     	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  7	R	 1	  62.00	    273.5200	Baldauf  	Diatoms                                      	A              	G                 	                     	R                       	                               	F                  	R                      	                        	                         	                             	                       	F                  	C                      	A                     	R                     	                	                        	F                  	                      	                          	R                  	R                     	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  7	R	CC	   0.00	    273.9800	Baldauf  	Diatoms                                      	A              	G                 	                     	F                       	                               	F                  	                       	                        	                         	                             	R                      	F                  	F                      	C                     	R                     	                	                        	                   	                      	F                         	R                  	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  8	R	 2	  57.00	    284.5700	Baldauf  	Diatoms                                      	A              	M                 	                     	R                       	                               	C                  	                       	                        	                         	                             	F                      	F                  	C                      	F                     	R                     	                	                        	F                  	R                     	C                         	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  8	R	CC	   8.00	    286.1700	Baldauf  	Diatoms                                      	A              	M                 	                     	R                       	                               	C                  	F                      	                        	F                        	                             	C                      	                   	A                      	                      	F                     	                	                        	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  9	R	 2	  56.00	    294.2600	Baldauf  	Diatoms                                      	A              	M                 	                     	F                       	                               	C                  	F                      	                        	C                        	                             	F                      	                   	C                      	                      	F                     	F               	R                       	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  9	R	CC	  12.00	    294.4900	Baldauf  	Diatoms                                      	A              	M                 	                     	F                       	                               	C                  	                       	R                       	F                        	R                            	C                      	                   	C                      	                      	R                     	                	                        	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	 10	R	 1	  57.00	    302.3700	Baldauf  	Diatoms                                      	F              	P                 	R                    	R                       	                               	F                  	                       	F                       	R                        	                             	                       	                   	F                      	                      	                      	                	                        	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	 10	R	 3	  57.00	    305.3700	Baldauf  	Diatoms                                      	C              	M                 	R                    	F                       	R                              	F                  	                       	R                       	R                        	R                            	R                      	R                  	C                      	rC                    	                      	                	                        	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	 10	R	CC	   0.00	    307.1900	Baldauf  	Diatoms                                      	A              	G                 	A                    	R                       	R                              	C                  	R                      	R                       	                         	R                            	                       	                   	                       	                      	                      	                	                        	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	 11	R	 1	  57.00	    312.0700	Baldauf  	Diatoms                                      	A              	G                 	A                    	F                       	R                              	C                  	F                      	R                       	R                        	                             	                       	                   	                       	                      	                      	                	                        	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	 11	R	 1	 103.00	    312.5300	Baldauf  	Diatoms                                      	C              	M                 	C                    	R                       	R                              	C                  	                       	                        	                         	                             	                       	                   	                       	                      	                      	                	                        	                   	                      	                          	                   	                      	                    	                     	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

