Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Sphenolithus intercalaris	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra minutula	Pedinocyclus larvalis	Helicosphaera wilcoxonii	Helicosphaera euphratis	Helicosphaera compacta	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Coccolithus formosus	Clausicoccus fenestratus	Chiasmolithus titus	Calcidiscus protoannulus	Bramletteius serraculoides	Braarudosphaera bigelowii	Bicolumnus ovatus	Sphenolithus radians	Rhabdosphaera crebra	Pontosphaera scissura	Pontosphaera ovata	Helicosphaera bramlettei	Discoaster tanii ssp. indet.	Discoaster nodifer	Discoaster deflandrei	Dictyococcites daviesii	Cyclicargolithus luminis	Pyrocyclus hermosus	Isthmolithus recurvus	Helicosphaera reticulata	Chiasmolithus oamaruensis	Braarudosphaera discula	Chiasmolithus grandis	Sphenolithus pseudoradians	Discoaster tanii ornatus	Sphenolithus predistentus	Pemma papillatum	Micrantholithus flos	Micrantholithus aequalis	Sphenolithus predistentus/distentus intergrade	Micrantholithus truncus	Cyclicargolithus abisectus	Chiasmolithus altus	Sphenolithus distentus	Sphenolithus dissimilis	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Peritrachelina joidesa	Helicosphaera recta	Pyrocyclus orangensis	Triquetrorhabdulus milowii	Syracosphaera sp.	Sphenolithus sp. cf. S. capricornutus	Helicosphaera perch-nielseniae	Hayaster perplexus	Scyphosphaera spp.	Ilselithina fusa	Sphenolithus belemnos	Helicosphaera carteri	Cryptococcolithus takayamae	Calcidiscus tropicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Discoaster druggii	Umbilicosphaera sibogae	Calcidiscus leptoporus	Discoaster variabilis	Pontosphaera spp.	Calcidiscus premacintyrei	Pontosphaera multipora	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster signus	Solidopons petrae	Rhabdosphaera procera	Pontosphaera discopora	Discoaster musicus	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera walbersdorfensis	Hayella aperta	Discoaster brouweri	Triquetrorhabdulus auritus	Syracosphaera spp.	Holodiscolithus macroporus	Discoaster bollii	Catinaster coalitus	Discoaster pseudovariabilis	Discoaster kugleri	Holodiscolithus solidus	Calcidiscus macintyrei	Sphenolithus abies	Lithostromation perdurum	Discoaster hamatus	Catinaster calyculus	Helicosphaera stalis	Helicosphaera orientalis	Discoaster bellus	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Triquetrorhabdulus extensus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster quinqueramus	Discoaster bergenii	Discoaster surculus	Scapholithus fossilis	Amaurolithus primus	Reticulofenestra rotaria	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster asymmetricus	Amaurolithus tricorniculatus	Amaurolithus ninae	Comment

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 21	X	CC	  22.00	    188.2300	Howe     	Nannofossils                                 	L              	P-M               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	R                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	F                      	                  	                       	R                     	F                    	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	F                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	R                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	                       	                   	F                  	                     	                   	                        	R                     	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 22	X	 1	 141.00	    189.6100	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	                    	                          	A                      	                  	                       	R                     	F                    	S                	                         	R                     	                         	F                    	                 	                 	F                    	                      	                  	R                         	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	F                       	                     	C                      	                   	F                  	                     	                   	                        	                      	                       	S                      	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 22	X	 4	  53.00	    193.2300	Howe     	Nannofossils                                 	L              	P-M               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	R                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	F                      	                  	                       	                      	F                    	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	F                               	                              	              	R                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	R                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	F                       	                     	?S                     	                   	R                  	                     	                   	                        	R                     	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 22	X	 6	  82.00	    196.5200	Howe     	Nannofossils                                 	M-H            	M-G               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	R                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	S                          	                    	                          	A                      	                  	                       	R                     	C                    	                 	                         	R                     	                         	C                    	                 	                 	F                    	                      	                  	                          	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	F                      	R                  	                   	                     	                   	                        	R                     	                       	                       	                            	                  	Rare Cretaceous reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 23	X	 1	  89.00	    198.6900	Howe     	Nannofossils                                 	M-H            	M                 	                       	                       	                         	                    	                         	                            	C                        	                     	                        	S                      	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	S                          	S                   	                          	C                      	                  	                       	F                     	F                    	                 	                         	                      	                         	F                    	                 	                 	R                    	R                     	                  	                          	C                               	                              	              	F                  	                          	S                 	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	F                      	                   	R                  	                     	                   	S                       	                      	S                      	                       	                            	                  	Questionable single Creatceous reworking.From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 23	X	 1	  96.00	    198.7600	Howe     	Nannofossils                                 	VL             	P                 	                       	                       	                         	                    	                         	                            	R                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	S                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	S                     	R                    	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	R                               	                              	              	S                  	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	                       	                   	S                  	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 23	X	 2	 103.00	    200.3300	Howe     	Nannofossils                                 	M              	M                 	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	                           	                    	                          	C                      	                  	                       	R                     	F                    	                 	                         	                      	                         	F                    	                 	                 	R                    	                      	                  	                          	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	F                       	                     	R                      	                   	                   	                     	                   	                        	R                     	S                      	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 23	X	 5	  26.00	    204.0600	Howe     	Nannofossils                                 	L              	M                 	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	                           	R                   	                          	F                      	                  	                       	R                     	F                    	                 	                         	                      	                         	R                    	                 	                 	                     	                      	                  	                          	F                               	                              	              	R                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	R                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	F                      	                   	                   	                     	                   	R                       	S                     	S                      	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 23	X	 6	   9.00	    205.3900	Howe     	Nannofossils                                 	M              	P-M               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	R                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	                           	                    	                          	C                      	                  	                       	R                     	C                    	                 	                         	                      	                         	R                    	                 	                 	                     	                      	                  	                          	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	R                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	F                       	                     	R                      	                   	R                  	                     	                   	                        	R                     	R                      	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 23	X	 6	  38.00	    205.6800	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	R                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	                    	                          	A                      	                  	                       	F                     	C                    	                 	                         	R                     	                         	C                    	                 	                 	F                    	R                     	                  	S                         	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	C                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	R                       	                     	C                      	R                  	R                  	                     	                   	R                       	R                     	S                      	                       	                            	                  	Rare Cretaceous reworking.From SR. Ch 29. Table 1.
