Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina ecuadorensis,Triloculina sp.,Stichocassidulina thalmanni,Oridorsalis umbonatus,Haplophragmoides sp.,Hansenisca multilocula,Globocassidulina sublaevigata,Globocassidulina subglobosa,Globocassidulina globosa,Globobulimina diversa,Fursenkoina nuda,Eponides sp. (small),Dorothia asiphonia,Cyclammina simiensis,Cibicides sp.,Buliminella mirifica,Bulimina peruviana,Bulimina chirana,Buccella sp.,Brizalina sp.,Bolivinellina basisenta,Bolivina maculata,Bathysiphon eocenica,Amphimorphina stainforthi,Alabamina atlantisae,Unilocular species,Spirolocammina tenuis,Quinqueloculina sp.,Plectofrondicularia vaughni,Nodosaria longiscata,Gyroidina sp.,Asterigerina crassaformis,Anomalinoides alazanensis,Valvulineria peruviana,Uvigerina peruviana,Stilostomella sp.,Plectofrondicularia spp.,Nodogenerina sp.,Gyroidina perampla,Cibicidoides spp.,Cibicidoides perlucidus,Cibicidoides martinezensis,Bulimina stalacta,Bulimina alazanensis,Anomalinoides pompiloides,Nonionella sp. cf. N.ecuadorana,Buliminella peruviana,Buliminella chirana,Vaginulina elegans mexicana,Uvigerina mexicana,Uvigerina gallowayi basicordata,Uvigerina auberiana,Sphaeroidina chilostoma,Sigmomorphina trinitatensis,Robulus spp.,Robulus cristobalensis,Robulus americanus,Pullenia bulloides,Pseudoclavulina bullbrooki,Plectofrondicularia sp.,Osangularia interrupta,Melonis sp. cf. N.pompilioides,Lenticulina subpapillosa,Heterolepa(?) crebbsi,Hansenisca altiformis,Guttulina irregularis,Buliminella cf. curta,Bulimina bleeckeri,Brizalina pisciformis,Brizalina mantaensis,Bathysiphon sp. ,Amphicoryina sp. A,Alabamina polita,Uvigerina rustica,Uvigerina mantaensis,Uvigerina gallowayi,Siphonodosaria paucistriata,Robulus sp.,Plectofrondicularia californica,Plectofrondicularia advena,Planulina renzi,Cibicidoides compressus,Buliminella curta,Bulimina alligata,Amphimorphina sp.,Uvigerina hispidocostata,Rotorbinella garveyensis,Pseudoparrella subperuviana,Hansenisca zealandica,Gyroidina lamarckiana,Epistominella smithi,Eilohedra levicula,Cassidulina cushmani,Buliminella elegantissima limbosa,Bulimina elongata,Bolivinellina seminuda var.,Valvulineria compressa,Bolivinita minuta,Bolivinellina ecuadorana,Bolivina vaughani,Ambitropus thalmanni,Fontbotia wuellerstorfi,Buliminella subfusiformis,Bolivina sinuata,Uvigerina peregrina dirupta,Uvigerina marksi,Bulimina hebespinata,Bolivinellina sp.,Buccella oregonensis,Brizalina imbricata,Planulina ornata,Nonionella ecuadorana,Lagenoglandulina sp.,Galliherina uvigerinaformis charapotoensis,Holmanella sp. cf. D.valmonteensis Kleinpell,Bolivina decussata,Bolivina costata,Bolivinellina foraminata,Nodosaria consobrina,Fursenkoina restinensis,Bolivina sinuata alisoensis,Bolivina granti,Stilostomella fistuca,Sphaeroidina bulloides,Pleurostomella alternans,Melonis pompilioides,Melonis affinis,Cassidulinoides bradyi,Bulimina exilis tenuata,Bolivinellina goudkoffi,Bolivinellina girardensis,Bolivinellina californica,Anomalinoides sp.,Triloculina trigonula,Pullenia quinqueloba,Martinottiella communis,Globocassidulina depressa,Eggerella bradyi,Cassidelina complanata,Uvigerina senticosa,Globobulimina pacifica,Bulimina striata mexicana,Pyrgo murrhyna,Pseudoparrella  exigua,Nonionella auris,Hoeglundina elegans,Fursenkoina glabra,Eponides tumidulus,Ehrenbergina trigona,Bolivinellina pacifica,Astrononion schwageri,Parrelloides bradyi,Globobulimina affinis,Bolivinellina humilis,Nodosaria calomorpha,Gyroidina turgida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 682,A,  3,H, 4,  80.00,     24.6000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,5                    ,                    ,                      ,                             ,5                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,3                 ,2                    ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,1                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,1                 ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,7                    ,1                   ,7                 ,                    ,1                                ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,1                      ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,9               ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,                    ,2              ,1                     ,                       ,                       ,                         ,                         ,                 ,                     ,T                   ,                       ,3                        ,1               ,3                     ,6                  ,                      ,                         ,1             ,1                     ,3               ,1                  ,1                 ,2                 ,9                   ,T                     ,T                    ,                   ,                     ,                     ,                    ,                 ,from ODP Leg 112 SR Chapter 16 Table 8 p 286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,112, 682,A,  6,H,CC,  20.00,     55.7100,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,2                 ,                     ,                   ,                           ,3                   ,             ,                         ,                         ,                      ,                   ,                 ,                        ,T               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,1                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,1                    ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,T          ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,8                    ,                    ,39                ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,1                      ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,4               ,                        ,1                   ,                       ,                           ,               ,                     ,4                     ,                        ,                    ,               ,2                     ,13                     ,                       ,                         ,                         ,                 ,                     ,2                   ,T                      ,17                       ,                ,                      ,1                  ,1                     ,T                        ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,from ODP Leg 112 SR Chapter 16 Table 8 p 286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,112, 682,A,  7,X,CC,  23.00,     59.9300,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,1                 ,                     ,                   ,                           ,34                  ,             ,                         ,                         ,                      ,                   ,                 ,                        ,1               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,4                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,                     ,                    ,29                ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,14              ,                        ,3                   ,                       ,                           ,               ,1                    ,1                     ,1                       ,                    ,T              ,                      ,                       ,                       ,                         ,                         ,                 ,1                    ,1                   ,1                      ,4                        ,1               ,2                     ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,from ODP Leg 112 SR Chapter 16 Table 8 p 286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,112, 682,A,  8,X,CC,  17.00,     67.5000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,2               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,12                 ,                       ,                           ,            ,                      ,                  ,T                 ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,1                         ,               ,                       ,1                ,                 ,                 ,                        ,                        ,                           ,                     ,1                    ,                    ,10                ,1                   ,                                 ,                 ,                           ,                      ,4                ,                        ,                 ,                    ,                       ,                         ,T               ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,2               ,                        ,1                   ,                       ,                           ,T              ,                     ,3                     ,                        ,                    ,               ,T                     ,3                      ,14                     ,40                       ,2                        ,2                ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=154 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A,  9,X,CC,  18.00,     77.6400,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,                      ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,4                 ,                     ,                   ,                           ,43                  ,             ,                         ,                         ,                      ,                   ,                 ,5                       ,4               ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,14                 ,                       ,                           ,            ,                      ,                  ,1                 ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,2                    ,                    ,3                 ,                    ,                                 ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,4                   ,                                          ,                                            ,                  ,1               ,                        ,5                   ,                       ,                           ,               ,4                    ,6                     ,2                       ,1                   ,1              ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=120 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,112, 682,A, 15,X,CC,  35.00,    135.0400,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,                     ,                    ,T                     ,                             ,                           ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,                  ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,T                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,3                  ,                       ,                           ,            ,                      ,                  ,                  ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,1                   ,                   ,                           ,2          ,T                              ,                          ,               ,                       ,T                ,                 ,                 ,                        ,1                       ,68                         ,                     ,                     ,                    ,3                 ,1                   ,T                                ,                 ,4                          ,                      ,                 ,                        ,3                ,                    ,                       ,                         ,                ,                           ,4               ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,T                                           ,1                 ,                ,                        ,T                   ,2                      ,1                          ,6              ,                     ,                      ,                        ,                    ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,                    ,                       ,                         ,                ,                      ,                   ,                      ,                         ,              ,                      ,                ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,count=544 from ODP Leg 112 SR Chapter 16 Table 8 p 287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
