Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Globigerinita glutinata	Globigerina bulloides	Turborotalita quinqueloba	Globorotalia scitula	Globigerina bulloides umbilicata	Globigerinita uvula minuta	Globigerinita uvula uvula	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Comment
  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 4	   0.00	      4.5000	Brunner  	Planktonic Foraminifers                      	F              	P                 	C                                      	F                      	C                    	                         	                    	R                               	                          	                         	                 	                                     	Dominated by sulfides (pyrrhotite) with rare planktonic foraminifers, a trace of benthonic foraminifers. Anhydrite.

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	CC	   0.00	      4.8600	Brunner  	Planktonic Foraminifers                      	C              	P                 	C                                      	R                      	C                    	F                        	R                   	                                	                          	F                        	                 	                                     	Dominated by sulfides (pyrrhotite) and green clay (chlorite?) with few planktonic foraminifers and rare green tubes of benthonic agglutinated foraminifers slumped in with the high temperature sulfides

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	CC	  15.00	      5.0100	Brunner  	Planktonic Foraminifers                      	A              	P                 	C                                      	F                      	C                    	F                        	R                   	F                               	C                         	F                        	                 	                                     	Half and half planktonic foraminifers and sulfides (pyrrhotite)  with rare benthonic foraminifers and a trace of siliceous urchin spines, radiolarians, and anhydrite.

  IR	                 	                 	                  	              	169	1035	D	  2	H	 4	  38.00	      9.9800	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                                      	                       	                     	                         	                    	                                	                          	R                        	                 	                                     	Dominated by mineral grains although the total sand fraction is very small. Minor siliceous urchin spines and sponge? spicules, minor framboidal pyrite, 2 planktonic foraminifers.

  IR	                 	Pleistocene      	                  	              	169	1035	D	  2	H	 5	 121.00	     12.3100	Brunner  	Planktonic Foraminifers                      	F              	P                 	F                                      	R                      	F                    	R                        	                    	                                	                          	                         	                 	                                     	Mineral grains dominate, with minor planktonic foraminifers and a few benthonic foraminifers. A few siliceous urchin spines

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  2	H	 6	  20.00	     12.8000	Brunner  	Planktonic Foraminifers                      	C              	P                 	C                                      	R                      	C                    	F                        	R                   	R                               	R                         	                         	                 	                                     	Planktonic foraminifers dominate with common benthonic foraminifers which are mostly lower bathyal types.

  IR	                 	                 	                  	              	169	1035	D	  2	H	 6	 128.00	     13.8800	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                                      	                       	                     	R                        	                    	                                	                          	                         	                 	                                     	Dominated by mineral grains with pyrrhotite and rare planktonic foraminifers and pyrrhotite.

  IR	                 	                 	                  	              	169	1035	D	  2	H	 7	  30.00	     14.4000	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                       	                       	                     	R                        	                    	                                	                          	                         	                 	                                     	Barite roses?, zeolites?, mineral grains, pyrite crystals

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  3	H	 1	  55.00	     15.1500	Brunner  	Planktonic Foraminifers                      	A              	P                 	A                                      	                       	C                    	F                        	                    	R                               	                          	                         	                 	                                     	Planktonic foraminifers dominate, rare pyrite

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  3	H	 2	  36.00	     16.4600	Brunner  	Planktonic Foraminifers                      	C              	P                 	C                                      	                       	C                    	C                        	R                   	                                	                          	                         	                 	                                     	Poured into 3H-1 by mistake.

  IR	                 	                 	                  	              	169	1035	D	  3	H	CC	   9.00	     24.4300	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                                      	R                      	R                    	                         	                    	                                	                          	                         	                 	                                     	Pyrite, anhydrite, mineral grains and very rare planktonic foraminifers.

