Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Oridorsalis umbonatus	Melonis barleeanus	Bulimina striata mexicana	Melonis pompilioides	Globobulimina affinis	Cibicidoides mckannai	Bolivina sp.	Pullenia bulloides	Dentalina sp.	Uvigerina mantaensis	Uvigerina bifurcata	Stilostomella cf. consobrina	Mucronina sp.	Chilostomella ovoidea	Bulimina alazanensis	Nodogenerina adolphina	Gyroidina zelandica	Globocassidulina subglobosa	Hoeglundina elegans	Cibicidoides wuellerstorfi	Fissurina sp.	Quinqueloculina seminulum	Globobulimina turgida	Pleurostomella alternans	Uvigerina auberiana	Cibicidoides bradyi	Lagena sp.	Frondicularia sp.	Epistominella pacifica	Gyroidina orbicularis	Parafissurina ovata	Dentalina filiformis	Trifarina angulosa	Pyrgo murrhina	Lenticulina sp.	Globobulimina spinifera	Bulimina striata striata	Ehrenbergina glabra	Comment
  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  2	R	CC	   0.00	    355.1300	Spiegler 	Benthic Foraminifers                         	R              	P                 	                   	                     	                  	                         	                    	                     	                     	            	                  	             	                    	                   	R                           	             	R                    	                    	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  6	R	 2	  60.00	    391.8700	Spiegler 	Benthic Foraminifers                         	R              	G                 	R                  	                     	R                 	R                        	                    	                     	                     	            	                  	             	                    	                   	                            	             	                     	                    	R                     	R                  	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	R                  	R                   	                  	              	               	                       	                        	                   	Rare unidentified taxa; Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  6	R	 3	 127.00	    393.1700	Spiegler 	Benthic Foraminifers                         	R              	M                 	R                  	R                    	                  	                         	                    	                     	                     	            	                  	             	R                   	                   	                            	             	                     	                    	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  6	R	CC	  15.00	    394.0400	Spiegler 	Benthic Foraminifers                         	C              	M                 	R                  	R                    	R                 	R                        	R                   	                     	R                    	R           	R                 	C            	R                   	                   	R                           	R            	                     	                    	R                     	R                  	R                          	                   	                          	             	                         	                     	                        	                   	                   	R         	                 	                      	R                    	                   	                    	                  	              	               	                       	                        	                   	Rare unidentified taxa; Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  7	R	 1	  35.00	    400.4500	Spiegler 	Benthic Foraminifers                         	C              	M                 	R                  	                     	                  	R                        	R                   	                     	                     	            	                  	R            	R                   	R                  	                            	R            	                     	                    	                      	                   	                           	                   	                          	             	                         	                     	R                       	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  7	R	 2	  70.00	    402.3000	Spiegler 	Benthic Foraminifers                         	C              	M                 	R                  	R                    	F                 	R                        	R                   	                     	                     	            	                  	             	R                   	                   	R                           	R            	                     	                    	R                     	                   	R                          	                   	                          	             	                         	                     	                        	                   	                   	R         	R                	R                     	                     	                   	                    	                  	              	               	                       	                        	                   	Rare unidentified taxa; Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  7	R	 3	 130.00	    404.2500	Spiegler 	Benthic Foraminifers                         	R              	G                 	                   	                     	R                 	R                        	                    	                     	                     	R           	R                 	             	                    	                   	R                           	             	                     	                    	R                     	R                  	                           	                   	                          	             	                         	                     	                        	R                  	R                  	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  7	R	CC	   8.00	    404.3700	Spiegler 	Benthic Foraminifers                         	R              	M                 	R                  	                     	                  	                         	                    	                     	                     	            	                  	             	                    	                   	                            	             	                     	                    	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  8	R	 1	  46.00	    410.2600	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	                     	R                 	                         	                    	                     	R                    	            	R                 	             	                    	                   	                            	             	                     	                    	                      	R                  	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  8	R	CC	   7.00	    410.9900	Spiegler 	Benthic Foraminifers                         	R              	M                 	R                  	                     	R                 	R                        	                    	                     	R                    	            	R                 	             	                    	                   	                            	             	                     	                    	                      	                   	R                          	R                  	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  9	R	 1	 120.00	    420.6000	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	                     	                  	R                        	R                   	R                    	R                    	R           	R                 	             	                    	                   	F                           	R            	                     	R                   	R                     	                   	R                          	                   	R                         	             	                         	                     	R                       	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  9	R	CC	  17.00	    424.3400	Spiegler 	Benthic Foraminifers                         	C              	M                 	                   	                     	R                 	R                        	                    	                     	R                    	R           	                  	             	R                   	                   	                            	             	                     	                    	                      	                   	R                          	                   	                          	R            	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	 10	R	CC	  15.00	    430.7500	Spiegler 	Benthic Foraminifers                         	C              	M                 	R                  	R                    	R                 	R                        	                    	                     	R                    	            	                  	             	R                   	                   	                            	             	                     	                    	R                     	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Rare unidentified taxa; Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	 11	R	 1	  43.00	    439.2300	Spiegler 	Benthic Foraminifers                         	R              	P                 	R                  	                     	                  	R                        	                    	                     	R                    	            	                  	             	                    	                   	                            	             	                     	                    	R                     	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	 11	R	 2	  52.00	    440.5200	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	                     	                  	R                        	                    	                     	                     	            	R                 	             	R                   	                   	                            	             	                     	                    	R                     	                   	R                          	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	 11	R	CC	   8.00	    441.3600	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	R                    	                  	                         	F                   	                     	R                    	            	                  	             	R                   	R                  	                            	             	                     	                    	R                     	                   	R                          	                   	                          	             	R                        	R                    	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 12	R	 1	  86.00	    449.3600	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	                     	                  	R                        	                    	                     	                     	            	R                 	             	                    	                   	                            	             	R                    	R                   	R                     	R                  	R                          	                   	R                         	R            	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 12	R	 3	  77.00	    451.7700	Spiegler 	Benthic Foraminifers                         	R              	P                 	R                  	                     	R                 	R                        	                    	                     	                     	            	R                 	             	                    	R                  	                            	             	                     	R                   	R                     	                   	                           	R                  	R                         	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 12	R	CC	  18.00	    452.0800	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	                     	                  	                         	R                   	R                    	                     	            	                  	             	                    	                   	                            	             	R                    	                    	                      	                   	                           	R                  	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 13	R	 1	  73.00	    458.8300	Spiegler 	Benthic Foraminifers                         	R              	P                 	                   	                     	                  	R                        	                    	                     	R                    	R           	                  	R            	                    	                   	R                           	R            	                     	                    	F                     	R                  	R                          	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 13	R	CC	  15.00	    461.8900	Spiegler 	Benthic Foraminifers                         	R              	P                 	R                  	R                    	                  	                         	                    	                     	R                    	            	                  	             	R                   	R                  	R                           	R            	R                    	R                   	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Rare unidentified taxa; Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 15	R	 2	  40.00	    477.7000	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	                     	R                 	                         	                    	                     	                     	            	R                 	R            	                    	                   	                            	             	                     	                    	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 15	R	CC	   9.00	    478.1200	Spiegler 	Benthic Foraminifers                         	R              	M                 	                   	                     	R                 	                         	R                   	R                    	R                    	R           	                  	             	                    	                   	                            	             	                     	                    	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	U. mantaensis     	              	141	 861	D	 16	R	 3	  50.00	    488.6500	Spiegler 	Benthic Foraminifers                         	R              	P                 	R                  	R                    	R                 	R                        	                    	                     	                     	            	                  	             	                    	                   	                            	             	                     	                    	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	                      	                     	                   	                    	                  	              	               	                       	                        	                   	from Leg 141 SR; Chapter 15; Table 2; back pocket

