Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina senticosa,Pullenia bulloides,Melonis pompilioides,Gyroidina soldanii altiformis,Globobulimina affinis,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Cibicides spp.,Globobulimina pacifica,Cibicidoides mckannai,Agglutinated spp. (indeterminate),Valvulineria araucana,Lagena sp.,Karreriella sp.,Eponides healdi,Cassidulina limbata,Bulimina subcalva,Epistominella pacifica,Eponides spp.,Nonionella miocenica,Hoeglundina elegans,Gyroidina spp.,Gyroidina soldanii rotundimargo,Quinqueloculina sp.,Cassidulinoides bradyi,Melonis barleeanus,Lenticulina sp.,Cassidulina minuta,Calcareous sp. indeterminate,Bulimina barbata,Bulimina striata mexicana,Globocassidulina subglobosa,Fissurina spp.,Dentalina sp.,Uvigerina peregrina,Oridorsalis umbonatus,Cassidulina sp.,Bulimina aculeata,Uvigerina sp.,Uvigerina hispida,Elphidium sp.,Chilostomella ovoidea,Sphaeroidina bulloides,Eggerella bradyi,Martinottiella communis,Epistominella sp.,Fursenkoina bradyi,Bulimina exilis,Triloculina sp.,Pyrgo sp.,Cibicidoides sp.,Cassidulina carinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B,  6,X,CC,   0.00,     47.3000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,                  ,R                   ,                             ,                     ,                               ,R                         ,              ,R                     ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,S                              ,                   ,                      ,                  ,               ,                  ,S                           ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,S                     ,S               ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B,  7,X,CC,   0.00,     56.2000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,S                 ,R                   ,                             ,                     ,                               ,                          ,              ,R                     ,S                    ,                                 ,                     ,          ,               ,S              ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,S             ,             ,S                  ,                     ,               ,                 ,             ,                 ,             ,                     ,S                     ,S               ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B,  8,X, 1,  34.00,     65.5400,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                   ,                  ,S                   ,                             ,                     ,                               ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 10,X, 1,  48.00,     83.5800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,S                     ,             ,S                   ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 14,X, 1,  45.00,    109.9500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 16,X, 1,  26.00,    127.5600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 16,X, 1,  67.00,    127.9700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 18,X,CC,  10.00,    148.2000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 19,X, 1,  63.00,    154.5300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 20,X, 1,  27.00,    162.9700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 21,N,CC,   0.00,    172.1200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,S                           ,                ,S                        ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 23,X,CC,  21.00,    182.7200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                  ,R                 ,S                   ,                             ,                     ,                               ,                          ,S             ,S                     ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,S                     ,             ,                    ,                   ,              ,                               ,S                  ,                      ,                  ,               ,                  ,                            ,S               ,                         ,                           ,              ,             ,                   ,                     ,               ,S                ,             ,S                ,R            ,S                    ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 26,X, 1,  46.00,    207.5600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,S                     ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 27,X, 1,  40.00,    216.3000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,R                              ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,S            ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 29,X, 1,  85.00,    234.4500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 31,X, 1,  74.00,    243.1400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 32,X,CC,  25.00,    252.2400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,F                  ,R                 ,R                   ,                             ,                     ,                               ,                          ,S             ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,S                     ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,S             ,S            ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 33,X, 1,  40.00,    260.6000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,S                 ,S                   ,                             ,                     ,                               ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,R             ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 34,X,CC,  15.00,    264.9800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,S                              ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 35,X,CC,  26.00,    270.9200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,R                              ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,R            ,                    ,                   ,              ,                               ,S                  ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,S            ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 37,X, 1,  23.00,    279.0300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,F                  ,R                 ,R                   ,                             ,                     ,                               ,                          ,              ,                      ,R                    ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,S                  ,              ,R                              ,                   ,S                     ,                  ,               ,                  ,R                           ,R               ,S                        ,                           ,              ,             ,R                  ,S                    ,S              ,S                ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 38,X, 1,  66.00,    287.0600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,                  ,S                   ,                             ,                     ,                               ,S                         ,              ,S                     ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,S                          ,S             ,S            ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 38,X,CC,  27.00,    289.4500,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                  ,S                 ,R                   ,S                            ,                     ,                               ,                          ,S             ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,R                           ,                ,S                        ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 39,X, 1,  75.00,    295.8500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                  ,S                 ,R                   ,                             ,                     ,                               ,R                         ,              ,S                     ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 39,X,CC,  46.00,    297.3600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,R                 ,F                   ,                             ,                     ,                               ,R                         ,              ,                      ,                     ,                                 ,                     ,          ,               ,R              ,                   ,                 ,R                     ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,S               ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 40,X,CC,   0.00,    306.0800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,R                 ,R                   ,S                            ,                     ,                               ,S                         ,S             ,                      ,R                    ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,S            ,                    ,                   ,              ,                               ,                   ,                      ,S                 ,S              ,S                 ,S                           ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 41,X,CC,  11.00,    315.6000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,S                              ,                          ,              ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,S                     ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 44,X, 1,   9.00,    339.3900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 45,X, 1,  37.00,    348.5700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,                               ,                          ,S             ,                      ,                     ,                                 ,                     ,          ,               ,               ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B, 47,X, 2,  15.00,    367.6000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                  ,                  ,                    ,                             ,                     ,                               ,                          ,              ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,S                     ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
