Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tuberculodinium vancampoae,Systematophora placacantha,Spiniferites pseudofurcatus,Polysphaeridium zoharyi,Operculodinium placitum,Operculodinium centrocarpum,Lingulodinium machaerophorum,Hystrichokolpoma truncatum,Hystrichokolpoma rigaudiae,Distatodinium paradoxum,Dapsilidinium pseudocolligerum,Cyclopsiella elliptica/granosa complex,Cordosphaeridium cantharellus,Brigantedinium spp.,Apteodinium spiridoides,Sumatradinium soucouyantae,Pentadinium laticinctum,Palaeocystodinium golzowense,Operculodinium cf. israelianum (small),Lingulodinium multivirgatum,Cribroperidinium tenuitabulatum,Trinovantedinium ferugnomatum,Tectatodinium sp.3,Sumatradinium druggii,Spiniferites ramosus,Spiniferites membranosus,Melitasphaeridium choanophorum,Lejeunecysta sp.7,Labyrinthodinium truncatum modicum,Cousteaudinium aubryae,Cordosphaeridium? minimum,Batiacasphaera sphaerica,Apteodinium tectatum,Trinovantedinium? xylochoporum,Trinovantedinium sp.,Trinovantedinium harpagonium,Tectatodinium simplex,Spiniferites spp.,Reticulatosphaera actinocoronata,Lejeunecysta sp.8,Lejeunecysta convexa,Labyrinthodinium truncatum truncatum,Impagidinium paradoxum,Hystrichosphaeropsis obscura,Habibacysta tectata,Cannosphaeropsis passio,Algidasphaeridium? sp.8,Algidasphaeridium? sp.4,Selenopemphix brevispinosa brevispinosa,Polykrikos kofoidii?,Lejeunecysta sp.10,Algidasphaeridium? sp.10,Tectatodinium pellitum,Quadrina? condita,Lejeunecysta sp.3,Brigantedinium? sp.5,Selenopemphix sp. cf. S. nephroides,Nematosphaeropsis rigida,Lejeunecysta paratenella,Brigantedinium? sp.6,Artemisiocysta sp.1,Polykrikos schwartzii?,Algidasphaeridium? sp.11,Selenopemphix quanta,Operculodinium janduchenei,Nematosphaeropsis lativittatus,Batiacasphaera sp. cf. B. hirsuta,Ascostomocystis? sp.,Selenopemphix dionaeacysta,Impagidinium patulum,Heteraulacacysta campanula,Algidasphaeridium? euaxum,Quinquecuspis concreta,Operculodinium sp.3,Impagidinium sp.3,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 904,A, 19,H,CC,  14.00,    177.7000,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                          ,                           ,+                      ,                       ,                           ,+                           ,                          ,+                         ,                       ,+                             ,                                      ,                             ,                   ,                       ,+                         ,                       ,+                           ,                                      ,                           ,                               ,                             ,                  ,+                    ,                    ,                        ,                              ,                 ,                                  ,                      ,+                        ,+                       ,                    ,+                             ,                    ,                            ,                     ,                 ,+                               ,                 ,+                   ,+                                   ,                      ,+                           ,+                  ,+                      ,                       ,                       ,                                       ,                    ,                  ,                        ,+                     ,                 ,                 ,+                   ,+                                  ,+                       ,+                       ,+                   ,+                  ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 904,A, 21,H,CC,   0.00,    195.6900,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                          ,+                          ,+                      ,                       ,+                          ,                            ,                          ,                          ,                       ,+                             ,                                      ,                             ,+                  ,                       ,+                         ,                       ,+                           ,                                      ,                           ,                               ,                             ,                  ,                     ,                    ,                        ,                              ,                 ,                                  ,                      ,+                        ,                        ,                    ,+                             ,                    ,                            ,                     ,+                ,+                               ,                 ,                    ,+                                   ,                      ,+                           ,+                  ,+                      ,                       ,                       ,+                                      ,                    ,                  ,                        ,+                     ,+                ,+                ,+                   ,                                   ,                        ,                        ,                    ,                   ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 904,A, 22,H,CC,  32.00,    202.9900,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,                          ,+                          ,                       ,                       ,                           ,                            ,                          ,+                         ,                       ,+                             ,                                      ,                             ,                   ,                       ,+                         ,                       ,+                           ,                                      ,                           ,                               ,                             ,                  ,                     ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,                        ,                    ,+                             ,                    ,+                           ,                     ,+                ,                                ,                 ,                    ,+                                   ,                      ,+                           ,+                  ,+                      ,                       ,+                      ,+                                      ,+                   ,+                 ,+                       ,                      ,                 ,                 ,                    ,                                   ,                        ,                        ,                    ,                   ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 904,A, 23,H,CC,  37.00,    212.0900,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                          ,                           ,                       ,                       ,+                          ,+                           ,                          ,                          ,                       ,+                             ,                                      ,                             ,                   ,                       ,+                         ,+                      ,+                           ,                                      ,                           ,                               ,                             ,                  ,                     ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,+                       ,+                   ,+                             ,+                   ,+                           ,+                    ,+                ,+                               ,+                ,+                   ,+                                   ,+                     ,+                           ,+                  ,+                      ,+                      ,+                      ,                                       ,                    ,                  ,                        ,                      ,                 ,                 ,                    ,                                   ,                        ,                        ,                    ,                   ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN4               ,              ,150, 904,A, 28,X,CC,  13.00,    258.1400,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,+                         ,+                          ,                       ,                       ,                           ,+                           ,                          ,                          ,+                      ,                              ,                                      ,                             ,                   ,                       ,+                         ,+                      ,+                           ,+                                     ,                           ,+                              ,+                            ,+                 ,+                    ,+                   ,+                       ,+                             ,+                ,+                                 ,+                     ,+                        ,+                       ,+                   ,                              ,                    ,                            ,                     ,                 ,                                ,                 ,                    ,                                    ,                      ,                            ,                   ,                       ,                       ,                       ,                                       ,                    ,                  ,                        ,                      ,                 ,                 ,                    ,                                   ,                        ,                        ,                    ,                   ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,DN2               ,              ,150, 904,A, 30,X,CC,  31.00,    279.6100,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,+                         ,                           ,+                      ,                       ,                           ,+                           ,+                         ,+                         ,                       ,                              ,                                      ,+                            ,                   ,                       ,+                         ,+                      ,+                           ,+                                     ,+                          ,+                              ,                             ,                  ,                     ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,                        ,                    ,                              ,                    ,                            ,                     ,                 ,                                ,                 ,                    ,                                    ,                      ,                            ,                   ,                       ,                       ,                       ,                                       ,                    ,                  ,                        ,                      ,                 ,                 ,                    ,                                   ,                        ,                        ,                    ,                   ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,DN2               ,              ,150, 904,A, 31,X,CC,  22.00,    289.2600,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,+                         ,+                          ,+                      ,+                      ,+                          ,+                           ,+                         ,+                         ,+                      ,+                             ,+                                     ,+                            ,+                  ,+                      ,                          ,                       ,                            ,                                      ,                           ,                               ,                             ,                  ,                     ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,                        ,                    ,                              ,                    ,                            ,                     ,                 ,                                ,                 ,                    ,                                    ,                      ,                            ,                   ,                       ,                       ,                       ,                                       ,                    ,                  ,                        ,                      ,                 ,                 ,                    ,                                   ,                        ,                        ,                    ,                   ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
