Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Toweius eminens	Sphenolithus primus	Prediscosphaera cretacea	Placozygus sigmoides	Neochiastozygus junctus	Fasciculithus tympaniformis	Fasciculithus involutus	Fasciculithus clinatus	Ericsonia robusta	Ellipsolithus macellus	Discoaster mohleri	Cruciplacolithus tenuis	Cruciplacolithus frequens	Zygodiscus herlynii	Toweius pertusus	Heliolithus kleinpellii	Chiasmolithus consuetus	Chiasmolithus californicus	Heliolithus megastypus	Heliolithus cantabriae	Discoaster nobilis	Chiasmolithus bidens	Bomolithus conicus	Heliolithus riedelii	Ellipsolithus distichus	Discoaster splendidus	Discoaster lenticularis	Fasciculithus richardii	Discoaster multiradiatus	Tribrachiatus orthostylus	Neococcolithes dubius	Ellipsolithus lajollaensis	Discoaster salisburgensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster elegans	Discoaster diastypus	Discoaster binodosus	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus eograndis	Toweius magnicrassus	Sphenolithus radians	Cyclicargolithus gammation	Chiphragmalithus calathus	Chiphragmalithus acanthodes	Chiasmolithus grandis	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus compactus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra lockerii	Reticulofenestra haqii	Reticulofenestra gartneri	Orthorhabdus serratus	Helicosphaera rhomba	Helicosphaera obliqua	Helicosphaera mediterranea	Helicosphaera kamptneri/carteri	Helicosphaera granulata	Helicosphaera euphratis	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster saundersi	Discoaster lidzi	Discoaster druggii (small)	Discoaster deflandrei	Discoaster adamanteus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Triquetrorhabdulus carinatus	Triquetrorhabdulus auritus	Sphenolithus heteromorphus	Sphenolithus conicus	Helicosphaera scissura	Helicosphaera acuta	Discoaster sp. cf. D. variabilis	Coccolithus eopelagicus	Triquetrorhabdulus milowii	Reticulofenestra pseudoumbilicus	Pontosphaera multipora	Discoaster sp. cf. D. exilis	Discoaster sanmiguelensis	Discoaster petaliformis	Discoaster bollii	Sphenolithus abies	Discoaster variabilis	Discoaster moorei	Discoaster hamatus	Discoaster exilis	Discoaster calcaris	Discoaster brouweri	Catinaster mexicanus	Catinaster coalitus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster neohamatus	Catinaster calyculus	Triquetrorhabdulus rugosus	Rhabdosphaera clavigera	Pontosphaera indooceanica	Discoaster signus	Sphenolithus neoabies	Minylitha convallis	Discoaster triradiatus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Discoaster neorectus	Discoaster asymmetricus	Discoaster challengeri	Discoaster quinqueramus	Discoaster pansus	Discoaster berggrenii	Triquetrorhabdulus farnsworthii	Pontosphaera japonica	Florisphaera profunda	Amaurolithus primus	Discoaster surculus	Amaurolithus delicatus	Amaurolithus tricorniculatus	Amaurolithus amplificus	Discoaster decorus	Ceratolithus rugosus	Ceratolithus acutus	Helicosphaera sellii	Syracosphaera pulchra	Pseudoemiliania lacunosa	Gephyrocapsa aperta	Discoaster tamalis	Ceratolithus cristatus	Discoaster blackstockae	Scapholithus fossilis	Ceratolithus separatus	Umbilicosphaera sibogae	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Comment

  SR	Pliocene         	                 	CN11b             	              	159	 961	A	  3	R	 2	  34.00	     14.9400	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	F                              	                       	                       	                         	F                    	                    	                	                          	                     	                     	                           	                          	                      	+                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	+                 	+                    	                 	                  	                 	                   	F                  	                    	                   	+                     	R                     	                     	                    	                          	                       	                         	                 	                     	                   	+                     	                           	F                       	                    	F                      	R                     	                       	+                	                     	                               	                     	+                    	                   	R                  	                      	                            	                       	                  	                    	                   	F                   	F                    	C                       	+                  	F                 	R                     	                       	R                    	R                     	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Pliocene         	                 	CN11b             	              	159	 961	A	  3	R	 3	  34.00	     16.4400	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	C                        	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	+                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	R                               	                      	                            	                         	                       	                 	C                 	+                    	                 	                  	                 	+                  	+                  	                    	                   	+                     	+                     	                     	                    	                          	+                      	+                        	                 	C                    	                   	                      	                           	C                       	                    	F                      	+                     	                       	                 	                     	                               	                     	+                    	                   	R                  	                      	                            	                       	                  	                    	                   	                    	+                    	+                       	+                  	                  	+                     	+                      	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Pliocene         	                 	CN11b             	              	159	 961	A	  3	R	CC	  12.00	     17.7200	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	C                        	                       	                         	                      	                         	                     	                    	                     	                          	C                              	                       	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	R                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	F                               	                      	                            	                         	                       	                 	A                 	R                    	                 	                  	                 	                   	A                  	                    	                   	F                     	F                     	                     	                    	                          	                       	R                        	                 	A                    	                   	R                     	                           	C                       	                    	F                      	                      	                       	                 	                     	                               	                     	C                    	                   	C                  	                      	                            	                       	                  	+                   	                   	                    	+                    	C                       	+                  	R                 	R                     	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Pliocene         	                 	CN10c             	              	159	 961	A	  4	R	 1	  89.00	     23.5900	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	+                              	                       	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	F                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	+                               	                      	                            	                         	                       	                 	+                 	+                    	+                	                  	                 	                   	+                  	                    	                   	+                     	+                     	                     	                    	                          	                       	                         	                 	+                    	                   	+                     	                           	+                       	                    	                       	+                     	+                      	                 	                     	                               	+                    	+                    	                   	+                  	+                     	                            	                       	                  	+                   	                   	+                   	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Pliocene         	                 	CN10b             	              	159	 961	A	  4	R	 1	 117.00	     23.8700	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	C                      	                         	                      	                         	                     	                    	                     	                          	F                              	                       	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	+                               	                      	                            	                         	                       	                 	+                 	+                    	                 	                  	                 	                   	+                  	                    	                   	+                     	+                     	                     	                    	                          	                       	                         	                 	+                    	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	+                  	                      	                            	                       	                  	                    	+                  	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN10a             	              	159	 961	A	  4	R	CC	  18.00	     25.0600	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	C                              	                       	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	F                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	C                               	                      	                            	                         	                       	                 	A                 	F                    	                 	                  	                 	                   	A                  	                    	                   	F                     	                      	                     	                    	+                         	                       	R                        	+                	A                    	                   	R                     	+                          	A                       	                    	+                      	R                     	                       	                 	                     	                               	                     	                     	                   	C                  	                      	                            	                       	+                 	+                   	+                  	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN9b              	              	159	 961	A	  5	R	 1	  64.00	     32.9400	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	+                        	+                      	                         	                      	                         	                     	                    	                     	                          	+                              	                       	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	C                               	                      	                            	                         	                       	                 	A                 	+                    	                 	                  	                 	                   	+                  	                    	                   	                      	+                     	                     	                    	+                         	                       	                         	                 	A                    	                   	+                     	                           	+                       	                    	                       	                      	C                      	                 	                     	                               	                     	                     	                   	+                  	+                     	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN9b              	              	159	 961	A	  5	R	 2	   8.00	     33.8800	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	+                              	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	+                               	                      	                            	                         	                       	                 	+                 	+                    	                 	                  	                 	                   	                   	                    	                   	                      	                      	                     	                    	+                         	                       	                         	                 	+                    	                   	                      	                           	                        	+                   	                       	+                     	A                      	                 	+                    	                               	                     	                     	+                  	+                  	+                     	+                           	+                      	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN9b              	              	159	 961	A	  5	R	CC	   0.00	     34.5100	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	+                      	                         	                      	                         	                     	+                   	                     	                          	C                              	+                      	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	+                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	C                               	                      	+                           	                         	                       	                 	+                 	                     	                 	                  	                 	                   	F                  	                    	                   	                      	+                     	                     	                    	+                         	                       	                         	                 	C                    	                   	+                     	                           	C                       	+                   	                       	                      	A                      	                 	+                    	                               	                     	C                    	                   	F                  	+                     	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN9b              	              	159	 961	A	  6	R	CC	  15.00	     42.0500	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	+                        	+                      	                         	                      	                         	                     	                    	                     	                          	+                              	+                      	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	+                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	+                               	                      	                            	                         	                       	                 	+                 	+                    	                 	                  	                 	                   	+                  	                    	                   	+                     	+                     	                     	                    	+                         	                       	                         	                 	+                    	                   	+                     	                           	+                       	+                   	+                      	+                     	+                      	+                	+                    	+                              	+                    	C                    	VR                 	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN9a              	              	159	 961	A	  7	R	CC	  18.00	     51.6800	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	                               	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	+                    	+                       	                            	                          	                          	                    	                      	                   	                                	                       	                          	+                               	                      	                            	                         	                       	                 	+                 	+                    	                 	                  	                 	+                  	+                  	                    	                   	+                     	+                     	+                    	                    	+                         	                       	                         	                 	+                    	R                  	+                     	                           	+                       	+                   	                       	+                     	+                      	+                	C                    	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN8b              	              	159	 961	A	  8	R	 1	  90.00	     62.1000	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	C                              	+                      	                       	                         	F                    	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	C                               	                      	                            	                         	                       	                 	F                 	F                    	                 	                  	                 	F                  	R                  	                    	                   	                      	+                     	F                    	                    	                          	                       	                         	                 	C                    	F                  	+                     	C                          	R                       	                    	                       	+                     	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN8b              	              	159	 961	A	  8	R	CC	   0.00	     62.2300	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	+                        	                       	                         	                      	                         	                     	                    	                     	                          	+                              	+                      	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	R                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	+                               	                      	                            	                         	                       	                 	+                 	+                    	                 	                  	                 	+                  	+                  	                    	                   	+                     	                      	+                    	                    	+                         	                       	                         	                 	+                    	+                  	+                     	C                          	R                       	+                   	+                      	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN7b              	              	159	 961	A	  9	R	 1	 100.00	     72.0000	Shafik   	Nannofossils                                 	A              	M                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	+                   	                     	                          	+                              	                       	                       	                         	C                    	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	R                      	                          	C                               	                      	                            	C                        	                       	C                	+                 	F                    	                 	F                 	                 	                   	                   	                    	                   	F                     	+                     	                     	R                   	F                         	+                      	F                        	R                	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Late Miocene     	                 	CN7b              	              	159	 961	A	  9	R	 2	 100.00	     73.5000	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	+                      	                         	                      	                         	                     	                    	                     	                          	+                              	C                      	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	R                      	                          	A                               	                      	                            	+                        	                       	F                	+                 	R                    	                 	F                 	                 	+                  	+                  	+                   	F                  	+                     	+                     	+                    	+                   	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	                     	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	                      	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

