Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Oridorsalis umbonatus,Gyroidinoides girardanus,Cibicidoides praemundulus,Cibicidoides eocaenus,Buliminella grata,Bulimina alazanensis,Siphonodosaria sp. cf. S. verneuili,Pseudonodosaria sp.,Pleurostomella sp. cf. P. brevis,Oolina sp.,Buliminella grata spinosa,Pleurostomella bierigi,Osangularia mexicana,Nodosarella sp.,Bulimina jarvisi,Vulvulina spinosa,Siphonodosaria cf. aculeata,Pyramidulina sp.,Pullenia bulloides,Pleurostomella sp.,Pleurostomella acuta,Nuttallides truempyi,Anomalinoides sp.,Stilostomella spp.,Pleurostomella spp.,Lenticulina sp.,Globocassidulina globosa,Stilostomella subspinosa,Plectofrondicularia paucicostata,Palliolatella sp.,Nodogenerina sp. B,Guttulina problema,Cassidulina havanensis,Bulimina glomarchallengeri,?Gyroidinoides sp.,Pleurostomella incrassata,Nodogenerina sp. A,Ellipsoidina sp.,Ellipsoglandulina sp.,Chrysalogonium sp.,?Ellipsodimorphina sp.,Quadratobuliminella pyramidalis,Pullenia quinqueloba,Pseudofissurina crassicarinata,Bulimina sp.,Astacolus sp.,Karreriella bradyi,Gyroidinoides sp. A,Globocassidulina subglobosa,Stilostomella sp.,Spiroplectammina sp.,Siphonodosaria sp.,Protoglobobulimina sp.,Laevidentalina sp.,Karreriella subglabra,Globobulimina sp.,?Siphonodosaria sp.,?Pygmaeoseistron sp.,?Pseudoolina sp. cf. P. bouei,Cibicidoides renzi,Pullenia spp.,Melonis barleeanus,Laticarinina pauperata,Cibicidoides robertsonianus,Uvigerina graciliformis,Rhabdammina? sp.,Pyrgo murrhina,Gyroidinoides sp. B,Glomospira charoides,Cyclammina pusilla,Cibicidoides spp.,Fissurina spp.,Ehrenbergina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 10,X, 5,  33.00,     92.7300,Milner   ,Benthic Foraminifers                         ,               ,G                 ,C                    ,A                       ,A                        ,R                    ,                 ,                    ,                                   ,                   ,                                ,          ,                         ,                      ,R                   ,               ,A               ,                 ,                           ,R               ,F                 ,                  ,R                   ,                    ,                 ,                  ,                   ,               ,R                       ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,R                   ,                              ,            ,             ,                  ,                   ,                           ,R                ,R                   ,R                 ,R                     ,A                 ,R                    ,R                ,R                  ,R                   ,R                            ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 20. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,125, 786,A, 10,X, 6,  32.00,     94.2200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,A                    ,                        ,                         ,F                    ,                 ,                    ,                                   ,                   ,                                ,          ,                         ,                      ,A                   ,               ,                ,F                ,                           ,                ,                  ,                  ,                    ,                    ,                 ,C                 ,C                  ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,R                 ,A                  ,F                          ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 10,X, 6,  51.00,     94.4100,Milner   ,Benthic Foraminifers                         ,               ,G                 ,A                    ,A                       ,F                        ,R                    ,F                ,R                   ,F                                  ,R                  ,                                ,          ,R                        ,F                     ,R                   ,               ,                ,F                ,C                          ,F               ,F                 ,R                 ,F                   ,                    ,                 ,                  ,                   ,               ,C                       ,                        ,                                ,                 ,                  ,                  ,R                     ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,R                              ,R                   ,R                             ,R           ,R            ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 23. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 10,X,CC,  38.00,     94.8800,Milner   ,Benthic Foraminifers                         ,               ,M                 ,C                    ,F                       ,R                        ,R                    ,R                ,                    ,                                   ,                   ,R                               ,          ,                         ,R                     ,F                   ,               ,R               ,F                ,A                          ,A               ,                  ,                  ,R                   ,                    ,                 ,                  ,                   ,               ,F                       ,R                       ,R                               ,                 ,R                 ,R                 ,F                     ,                          ,                  ,R                        ,R                 ,R               ,R                    ,R                 ,R                     ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 25. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 11,X, 1,   8.00,     96.0800,Milner   ,Benthic Foraminifers                         ,               ,M                 ,F                    ,F                       ,                         ,C                    ,R                ,R                   ,C                                  ,                   ,                                ,          ,                         ,R                     ,C                   ,               ,R               ,                 ,                           ,F               ,                  ,                  ,                    ,                    ,                 ,                  ,                   ,               ,F                       ,F                       ,R                               ,R                ,R                 ,R                 ,F                     ,R                         ,R                 ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 20. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 11,X, 1, 100.00,     97.0000,Milner   ,Benthic Foraminifers                         ,               ,P                 ,                     ,F                       ,F                        ,F                    ,R                ,                    ,                                   ,                   ,                                ,R         ,                         ,                      ,R                   ,               ,R               ,R                ,                           ,R               ,                  ,                  ,R                   ,                    ,                 ,                  ,                   ,R              ,C                       ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 13. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,125, 786,A, 11,X, 3,  50.00,     99.5000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C                    ,                        ,                         ,                     ,                 ,                    ,                                   ,                   ,                                ,          ,                         ,                      ,A                   ,               ,A               ,                 ,                           ,                ,                  ,                  ,                    ,A                   ,                 ,A                 ,C                  ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 11,X, 3, 116.00,    100.1600,Milner   ,Benthic Foraminifers                         ,               ,M                 ,                     ,                        ,F                        ,F                    ,                 ,                    ,                                   ,                   ,                                ,          ,R                        ,                      ,C                   ,               ,R               ,R                ,F                          ,R               ,R                 ,R                 ,F                   ,F                   ,R                ,                  ,                   ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 14. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 11,X, 4,  71.00,    101.2100,Milner   ,Benthic Foraminifers                         ,               ,M                 ,R                    ,                        ,F                        ,                     ,R                ,                    ,                                   ,                   ,                                ,          ,                         ,R                     ,C                   ,R              ,R               ,                 ,                           ,                ,                  ,                  ,                    ,                    ,                 ,                  ,                   ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 7. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 11,X,CC,  36.00,    104.8800,Milner   ,Benthic Foraminifers                         ,               ,M                 ,                     ,                        ,R                        ,R                    ,                 ,                    ,C                                  ,R                  ,R                               ,R         ,R                        ,                      ,                    ,               ,                ,                 ,                           ,                ,                  ,                  ,                    ,                    ,                 ,                  ,                   ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 5. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,125, 786,A, 12,X,CC,  36.00,    107.9400,Milner   ,Benthic Foraminifers                         ,               ,M                 ,R                    ,F                       ,R                        ,R                    ,R                ,R                   ,                                   ,                   ,                                ,          ,                         ,                      ,                    ,               ,                ,                 ,                           ,                ,                  ,                  ,                    ,                    ,                 ,                  ,                   ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,Total number of species = 8. from 125SR. Chapter 4. Table 2. page 75 - 76.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
