Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spiniger,Sphenolithus intercalaris,Discoaster saipanensis,Discoaster deflandrei,Discoaster barbadiensis,Cyclicargolithus floridanus floridanus,Coccolithus pelagicus,Coccolithus formosus,Chiasmolithus expansus,Campylosphaera dela,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra samodurovii,Reticulofenestra reticulata,Helicosphaera spp.,Dictyococcites daviesii,Chiasmolithus solitus,Chiasmolithus consuetus,Calcidiscus protoannulus,Sphenolithus pseudoradians,Coronocyclus nitescens,Chiasmolithus grandis,Helicosphaera heezenii,Coccolithus eopelagicus,Reticulofenestra umbilica,Nannotetrina cristata,Helicosphaera compacta,Discoaster binodosus,Markalius inversus,Blackites spinosus,Sphenolithus radians,Zygrhablithus bijugatus,Discoaster tanii nodifer,Reticulofenestra bisecta,Pontosphaera spp.,Helicosphaera seminulum,Helicosphaera euphratis,Discoaster tanii,Reticulofenestra hillae,Chiasmolithus oamaruensis,Isthmolithus recurvus,Cyclicargolithus floridanus abisectus,Helicosphaera wilcoxonii,Helicosphaera perch-nielseniae,Sphenolithus distentus,Sphenolithus predistentus,Helicosphaera recta,Clausicoccus fenestratus,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Helicosphaera kamptneri,Sphenolithus ciperoensis,Chiasmolithus altus,Triquetrorhabdulus milowii,Dictyococcites scrippsae,Coccolithus miopelagicus,Pontosphaera multipora,Helicosphaera obliqua,Discoaster variabilis,Reticulofenestra pseudoumbilica,Sphenolithus heteromorphus,Discoaster stellulus,Discoaster sanmiguelensis,Reticulofenestra minutula,Calcidiscus leptoporus,Discoaster kugleri,Discoaster exilis,Calcidiscus macintyrei,Discoaster calcaris,Discoaster brouweri,Triquetrorhabdulus rugosus,Discoaster triradiatus,Discoaster pansus,Discoaster challengeri,Catinaster umbrellus,Catinaster coalitus,Catinaster calyculus,Umbilicosphaera sibogae,Discoaster pentaradiatus,Discoaster blackstockae,Discoaster berggrenii,Discoaster quinqueramus,Discoaster decorus,Discoaster surculus,Discoaster intercalaris,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Discoaster asymmetricus,Discoaster tamalis,Discoaster quadramus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  1,H, 7,  37.00,      9.3700,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,2.7%                 ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,24.0%              ,                          ,.7%                   ,                 ,                      ,                    ,                   ,                    ,                       ,44.3%                   ,                       ,                     ,                       ,                  ,19.0%              ,                       ,                      ,                            ,                   ,2.3%                   ,6.7%              ,.3%                 ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  2,H, 1,  52.00,     10.2200,Ciampo   ,Nannofossils                                 ,               ,G                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,.7%                  ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,19.3%              ,                          ,.3%                   ,                 ,                      ,                    ,                   ,                    ,                       ,66.7%                   ,                       ,                     ,                       ,                  ,5.0%               ,                       ,                      ,                            ,                   ,.7%                    ,7.3%              ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  2,H, 2,  31.00,     11.5100,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,                     ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,35.3%              ,                          ,                      ,                 ,                      ,                    ,                   ,                    ,                       ,40.7%                   ,                       ,                     ,                       ,                  ,12.0%              ,                       ,                      ,                            ,                   ,3.7%                   ,8.3%              ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  2,H, 3,  81.00,     13.5100,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,1.7%                 ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,22.6%              ,                          ,.7%                   ,                 ,                      ,                    ,                   ,                    ,                       ,60.8%                   ,.3%                    ,                     ,                       ,                  ,7.6%               ,                       ,                      ,                            ,                   ,1.7%                   ,4.7%              ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  2,H, 4,  23.00,     14.4300,Ciampo   ,Nannofossils                                 ,               ,G                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,.7%                  ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,21.3%              ,                          ,                      ,                 ,                      ,                    ,                   ,                    ,                       ,46.8%                   ,                       ,                     ,                       ,                  ,25.6%              ,                       ,                      ,                            ,                   ,1.0%                   ,4.7%              ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  2,H, 5,  59.00,     16.2900,Ciampo   ,Nannofossils                                 ,               ,G                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,.3%                  ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,10.3%              ,                          ,.3%                   ,                 ,                      ,                    ,                   ,                    ,                       ,70.7%                   ,                       ,                     ,                       ,                  ,15.7%              ,                       ,                      ,                            ,                   ,.3%                    ,2.0%              ,.3%                 ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  2,H, 6,  80.00,     18.0000,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,                     ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,39.7%              ,                          ,.7%                   ,                 ,                      ,                    ,                   ,                    ,                       ,26.0%                   ,                       ,                     ,                       ,                  ,12.7%              ,                       ,                      ,                            ,                   ,6.0%                   ,15.0%             ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  2,H,CC,  33.00,     19.6100,Ciampo   ,Nannofossils                                 ,               ,G                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,1.7%                 ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,38.7%              ,                          ,1.0%                  ,                 ,                      ,                    ,                   ,                    ,                       ,26.3%                   ,                       ,                     ,                       ,                  ,22.0%              ,                       ,                      ,                            ,                   ,4.3%                   ,6.0%              ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,125, 786,A,  3,H, 1,  85.00,     20.0500,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,3.3%                 ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,38.0%              ,                          ,                      ,                 ,                      ,                    ,                   ,                    ,                       ,22.0%                   ,                       ,                     ,                       ,                  ,34.3%              ,                       ,                      ,                            ,                   ,2.3%                   ,                  ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,125, 786,A,  3,H, 2,  85.00,     21.5500,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,2.3%                 ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,20.3%              ,                          ,                      ,                 ,                      ,                    ,                   ,                    ,                       ,31.7%                   ,.3%                    ,                     ,                       ,                  ,45.0%              ,                       ,                      ,                            ,                   ,.3%                    ,                  ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,125, 786,A,  3,H, 3,  85.00,     23.0500,Ciampo   ,Nannofossils                                 ,               ,G                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,8.7%                 ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,30.7%              ,                          ,.2%                   ,                 ,                      ,                    ,                   ,                    ,                       ,29.7%                   ,                       ,                     ,                       ,                  ,30.7%              ,                       ,                      ,                            ,                   ,.2%                    ,                  ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,125, 786,A,  3,H, 4,  85.00,     24.5500,Ciampo   ,Nannofossils                                 ,               ,G                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,4.6%                 ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,39.1%              ,                          ,.3%                   ,                 ,                      ,                    ,                   ,                    ,                       ,26.5%                   ,                       ,                     ,                       ,                  ,29.5%              ,                       ,                      ,                            ,                   ,                       ,                  ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,125, 786,A,  3,H, 5,  85.00,     26.0500,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,15.1%                ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,24.4%              ,                          ,1.3%                  ,                 ,                      ,                    ,                   ,                    ,                       ,17.1%                   ,                       ,                     ,                       ,                  ,42.1%              ,                       ,                      ,                            ,                   ,                       ,                  ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
