Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praehedbergella ruka papillata,Praehedbergella pseudosigali,Hedbergella sigali,Hedbergella occulta,Blefuscuiana daminiae,Schackoina cenomana,Lilliputianella globulifera,Leupoldina cabri,Hedbergella infracretacea,Hedbergella aptiana,Globigerinelloides duboisi,Globigerinelloides blowi,Claviblowiella sigali,Blefuscuiana speetonensis s.s.,Praehedbergella tuschepsensis grigelisi,Globigerinelloides aptiense,Blefuscuiana hispaniae,Globigerinelloides maridalensis,Globigerinelloides ferreolensis,Claviblowiella minai,Blowiella solida,Blowiella moulladei,Blowiella gottisi,Blefuscuiana hexacamerata,Praehedbergella ruka contritus,Lilliputianella longorii,Hedbergella gorbachikae,Hedbergella delrioensis,Globigerinelloides barri,Globigerinelloides algerianus,Blefuscuiana infracretacea occidentalis,Blefuscuiana excelsa cumulus,Hedbergella praetrocoidea,Hedbergella excelsa,Hedbergella trocoidea,Ticinella bejaouaensis,Hedbergella rischi,Whiteinella baltica,Globigerinelloides messinae,Hastigerinoides subdigitata,Hedbergella holmdelensis,Globigerinelloides alvarezi,Heterohelix striata,Biglobigerinella multispina,Radotruncana calcarata,Globotruncanita subspinosa,Globotruncanita stuartiformis,Globotruncanita elevata,Globotruncana ventricosa,Globotruncana linneiana,Globotruncana lapparenti,Globotruncana bulloides,Contusotruncana fornicata,Pseudoguembelina costulata,Globotruncanella havanensis,Archaeoglobigerina cretacea,Rugoglobigerina hexacamerata,Pseudoguembelina excolata,Globotruncana aegyptiaca,Globotruncana nothi,Globotruncana arca,Globotruncana falsostuarti,Rugoglobigerina rugosa,Racemiguembelina fructicosa,Pseudotextularia elegans,Pseudoguembelina palpebra,Planoglobulina carseyae,Heterohelix globulosa,Globotruncanita stuarti,Globotruncanita conica,Gansserina gansseri,Contusotruncana contusa,Rugotruncana subpennyi,Gansserina wiedenmayeri,Rugoglobigerina rotundata,Abathomphalus mayaroensis,Woodringina hornerstownensis,Woodringina claytonensis,Praemurica taurica,Praemurica pseudoinconstans,Parasubbotina varianta,Parasubbotina pseudobulloides,Chiloguembelina morsei,Morozovella conicotruncata,Morozovella angulata,Morozovella acuta,Igorina albeari,Globanomalina chapmani,Acarinina nitida,Subbotina velascoensis,Subbotina triangularis,Parasubbotina variospira,Morozovella velascoensis,Morozovella occlusa,Subbotina triloculinoides,Subbotina cancellata,Morozovella subbotinae,Morozovella pasionensis,Morozovella apanthesma,Morozovella aequa,Igorina tadjikistanensis,Acarinina soldadoensis,Acarinina subsphaerica,Morozovella marginodentata,Morozovella gracilis,Subbotina linaperta,Morozovella aragonensis,Igorina broedermanni,Globigerinatheka senni,Acarinina spinuloinflata,Truncorotaloides rohri,Subbotina frontosa,Morozovella spinulosa,Morozovella lehneri,Hastigerina bolivariana,Acarinina primitiva,Subbotina lozanoi,Globigerinatheka subconglobata,Globigerinatheka kugleri,Acarinina topilensis,Acarinina matthewsae,Acarinina bullbrooki,Turborotalia possagnoensis,Turborotalia pomeroli,Subbotina eocaena,Globigerinatheka index,Catapsydrax dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  6,R,CC,   2.00,    735.7200,Sikora   ,Planktonic Foraminifers                      ,A              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,P                ,               ,                      ,R               ,                      ,R                     ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,D                     ,P                     ,                          ,                    ,A                  ,P                      ,F                   ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #163 - basal Eocene - Zone P6a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  9,R, 1,  96.00,    765.5600,Sikora   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,R                     ,                             ,                      ,                          ,                    ,F                ,               ,                      ,                ,P                     ,                      ,                        ,R                       ,A                  ,                         ,                    ,F                     ,A                      ,                      ,R                ,R                       ,R                     ,                      ,R                         ,F                   ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #157; uppermost Paleocene - upper P5 - FAD of gracilis and marginodentata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  9,R,CC,  18.00,    765.8700,Sikora   ,Planktonic Foraminifers                      ,A              ,VG                ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,A                ,F              ,                      ,                ,                      ,                      ,                        ,A                       ,                   ,                         ,                    ,                      ,F                      ,F                     ,R                ,F                       ,F                     ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Late Thanetian - P5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 10,R, 1,  72.00,    774.9200,Sikora   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,F                ,R              ,                      ,R               ,                      ,                      ,                        ,F                       ,R                  ,                         ,                    ,R                     ,A                      ,R                     ,R                ,F                       ,R                     ,P                     ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,"Thin-section #158; upper middle Thanetian - P4c - co-occurrence of albeari, soldadoensis, aequa and apanthesma"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 10,R,CC,  11.00,    775.3800,Sikora   ,Planktonic Foraminifers                      ,A              ,VG                ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,R                     ,                             ,                      ,                          ,                    ,A                ,R              ,                      ,R               ,                      ,R                     ,                        ,A                       ,R                  ,P                        ,R                   ,R                     ,R                      ,R                     ,P                ,F                       ,R                     ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,"upper middle Thanetian - P4c - co-occurrence of albeari, soldadoensis, aequa and apanthesma"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 11,R,CC,  12.00,    784.9500,Sikora   ,Planktonic Foraminifers                      ,A              ,VG                ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,A                         ,R                   ,A                ,F              ,                      ,R               ,R                     ,F                     ,P                       ,F                       ,R                  ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,middle Selandian - upper P3b based upon variospira top and T and L base for acuta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 12,R,CC,   0.00,    793.5000,Sikora   ,Planktonic Foraminifers                      ,A              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,R                     ,                             ,                      ,R                         ,D                   ,F                ,F              ,P                     ,R               ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #159; middle Selandian - upper P3b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 13,R,CC,  20.00,    804.0500,Sikora   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,D                           ,F                       ,R                 ,D                          ,R                     ,F                            ,D                     ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,middle P1b with common K reworking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 14,R,CC,  18.00,    812.8800,Sikora   ,Planktonic Foraminifers                      ,A              ,VG                ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,A                            ,                       ,A                       ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,R                        ,R                       ,                   ,R                 ,F                         ,                      ,F                          ,F                       ,F                        ,R                      ,                     ,F                      ,                      ,F                  ,A                      ,P                     ,R                      ,R                        ,P                        ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,                       ,                    ,                      ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,late Maastrichtian - mayaroensis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
