Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix reussi	Hedbergella sliteri	Hedbergella aff. monmouthensis	Globotruncana sp.	Globigerinelloides sp. 1	Globigerinelloides impensus	Archaeoglobigerina australis	Heterohelix navarroensis	Globotruncana arca	Heterohelix planata	Hedbergella sp. 1	Globotruncana linneiana	Globotruncana falsostuarti	Globigerinelloides sp. 2	Globigerinelloides multispinus	Globotruncana bulloides	Heterohelix globulosa	Rugotruncana tradinghousensis	Hedbergella holmdelensis	Globotruncanella havanensis	Globotruncanella citae	Biglobigerinella sp.	Rugotruncana subpennyi	Rugotruncana circumnodifer	Archaeoglobigerina sp. 1	Schackoina multispinata	Guembelitria cretacea	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda/juvenilis transition	Tenuitella munda	Tenuitella gemma	Subbotina labiacrassata	Subbotina euapertura	Subbotina angiporoides	Paragloborotalia nana	Globorotaloides suteri	Globigerina officinalis	Globigerina cf. venezuelana	Chiloguembelina spp.	Catapsydrax martini	Catapsydrax dissimilis	Tenuitellinata juvenilis/uvula transition	Subbotina cf. tapuriensis	Globigerinita boweni	Catapsydrax sp. (nonbullate form)	Globigerinita praestainforthi	Tenuitellinata uvula	Globigerina bulloides	Globigerina brazieri	Globigerina gortanii	Globigerina woodi	Turborotalita quinqueloba	Paragloborotalita incognita	Globigerinita glutinata	Globigerinita naparimaensis	Paragloborotalia semivera	Tenuitellinata pseudoedita	Tenuitella minutissima	Globorotalia praescitula	Tenuitellinata selleyi	Tenuitella clemenciae	Globorotalia zealandica	Globorotalia pseudomiozea	Tenuitella jamesi	Globigerina cf. connecta	Globigerina woodi/disjuncta transition	Globorotalia pseudomiozea/miozea transition	Globorotalia miozea	Globorotalia mayeri	Neogloboquadrina continuosa	Neogloboquadrina nympha	Globorotalia scitula	Neogloboquadrina pachyderma	Neogloboquadrina continuosa/pachyderma transition	Globigerina cf. bulloides	Globorotalia conoidea	Globorotalia sphericomiozea	Turborotalia spp. spp. (small)	Globorotalia puncticulata	Globigerina bulloides antarctica	Comment

  SR	Pleistocene      	                 	                  	              	120	 747	A	  2	H	 3	  50.00	     12.5000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	2                    	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	1                   	154                        	3                                                	                         	                     	                           	                              	                         	7                               	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Pleistocene      	                 	                  	              	120	 747	A	  2	H	 3	  50.00	     12.5000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	15                  	                     	                    	                    	                 	10                       	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	163                        	12                                               	                         	                     	                           	8                             	                         	21                              	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Late Pliocene    	                 	                  	              	120	 747	A	  2	H	 6	  50.00	     17.0000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	1                    	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	160                        	                                                 	                         	                     	                           	                              	                         	1                               	Other taxa = 1; from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Late Pliocene    	                 	                  	              	120	 747	A	  2	H	 6	  50.00	     17.0000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	1                   	                     	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	185                        	10                                               	                         	                     	                           	14                            	                         	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Late Pliocene    	                 	                  	              	120	 747	A	  2	H	CC	   0.00	     18.8200	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	15                   	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	1                   	140                        	                                                 	                         	                     	                           	                              	11                       	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Late Pliocene    	                 	                  	              	120	 747	A	  2	H	CC	   0.00	     18.8200	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	5                   	                     	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	173                        	15                                               	                         	                     	                           	23                            	                         	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Late Pliocene    	                 	                  	              	120	 747	A	  3	H	 2	  50.00	     20.5000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	21                   	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	152                        	                                                 	                         	                     	                           	                              	1                        	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Late Pliocene    	                 	                  	              	120	 747	A	  3	H	 2	  50.00	     20.5000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	5                       	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	2                   	                     	                    	                    	                 	3                        	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	165                        	6                                                	                         	                     	                           	11                            	                         	                                	Other taxa = 1; from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Early Pliocene   	                 	                  	              	120	 747	A	  3	H	 5	  50.00	     25.0000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	2                       	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	86                   	                    	                    	                 	                         	                           	                       	2                          	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	18                  	69                         	                                                 	                         	                     	                           	                              	17                       	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Early Pliocene   	                 	                  	              	120	 747	A	  3	H	 5	  50.00	     25.0000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	7                       	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	6                                        	                         	1                   	                                 	                             	11                  	3                    	                    	                    	                 	2                        	                           	                       	4                          	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	6                   	120                        	5                                                	                         	                     	                           	5                             	2                        	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Early Pliocene   	                 	                  	              	120	 747	A	  3	H	CC	   0.00	     26.6600	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	10                   	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	3                   	156                        	                                                 	                         	                     	                           	                              	                         	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Early Pliocene   	                 	                  	              	120	 747	A	  3	H	CC	   0.00	     26.6600	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	4                       	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	5                                        	                         	                    	                                 	                             	3                   	                     	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	2                   	140                        	3                                                	                         	                     	                           	2                             	                         	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Early Pliocene   	                 	                  	              	120	 747	A	  4	H	 2	  50.00	     30.0000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	1                       	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	75                   	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	3                   	62                         	8                                                	                         	                     	                           	                              	7                        	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Early Pliocene   	                 	                  	              	120	 747	A	  4	H	 2	  50.00	     30.0000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	38                      	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	13                                       	                         	9                   	                                 	                             	11                  	5                    	                    	                    	                 	7                        	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	4                   	95                         	16                                               	                         	                     	                           	4                             	                         	                                	Other taxa = 1; from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Early Pliocene   	                 	                  	              	120	 747	A	  4	H	 3	  50.00	     31.5000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	1                                        	                         	                    	                                 	                             	                    	85                   	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	1                   	89                         	11                                               	6                        	                     	                           	                              	                         	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577
