Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tsuga taxa,Taxus taxa,Sphagnum taxa,Rosaceae taxa,Polypodiaceae taxa,Pinus taxa,Picea taxa,Myrica taxa,Lycopodiaceae taxa,Gramineae taxa,Ericaceae taxa,Cyperaceae taxa,Compositae taxa,Chenopodiaceae taxa,Betula taxa,Alnus taxa,Abies taxa,Comment
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 4,  45.00,      4.9500,Morley   ,Pollen/Spores                                ,               ,                  ,1         ,4         ,6            ,0            ,10                ,16        ,1         ,7          ,0                 ,10            ,1             ,3              ,6              ,1                  ,12         ,47        ,0         ,Total pollen = 110; Total spores = 16; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  2,H, 1, 120.00,      7.9000,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,1         ,2            ,0            ,10                ,4         ,1         ,0          ,6                 ,8             ,0             ,1              ,4              ,0                  ,7          ,27        ,0         ,Total pollen = 53; Total spores = 18; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  2,H, 2,  47.00,      8.6700,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,0         ,1            ,1            ,4                 ,3         ,0         ,1          ,0                 ,1             ,0             ,0              ,0              ,0                  ,7          ,7         ,0         ,Total pollen = 20; Total spores = 5; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 11,H, 3, 111.00,     96.3100,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,9         ,2            ,1            ,6                 ,8         ,5         ,0          ,1                 ,12            ,0             ,4              ,20             ,3                  ,2          ,1         ,0         ,Total pollen = 65; Total spores = 9; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 11,H, 5, 120.00,     99.4000,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,0         ,0            ,0            ,1                 ,2         ,0         ,0          ,0                 ,0             ,0             ,0              ,0              ,0                  ,0          ,0         ,0         ,Total pollen = 2; Total spores = 1; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 13,H, 1,  45.00,    111.6500,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,0         ,0            ,0            ,0                 ,1         ,0         ,0          ,0                 ,0             ,0             ,0              ,0              ,0                  ,0          ,0         ,0         ,Total pollen = 1; Total spores = 0; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 13,H, 7,  20.00,    120.4000,Morley   ,Pollen/Spores                                ,               ,                  ,1         ,1         ,2            ,0            ,7                 ,39        ,7         ,0          ,3                 ,4             ,1             ,3              ,4              ,0                  ,5          ,8         ,2         ,Total pollen = 75; Total spores = 12; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
