Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globorotalia scitula,Globigerinita glutinata,Globigerina bulloides,Orbulina spp.,Globigerina umbilicata,Globigerina incisa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerina quinqueloba,Comment
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 1, 105.00,    102.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,2                                     ,4                                   ,                    ,1                      ,2                    ,             ,                      ,                  ,                                       ,5                                    ,                       ,Not identified = 0; Total count = 14; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 1, 127.00,    102.9700,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,13                                    ,14                                  ,                    ,                       ,240                  ,             ,29                    ,6                 ,2                                      ,2                                    ,                       ,Not identified = 7; Total count = 313; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 1, 145.00,    103.1500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,12                                    ,7                                   ,1                   ,                       ,222                  ,4            ,1                     ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 247; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 2,  16.00,    103.3600,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,42                                    ,67                                  ,                    ,                       ,119                  ,             ,10                    ,                  ,                                       ,2                                    ,                       ,Not identified = 1; Total count = 241; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 2,  37.00,    103.5700,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,1                                     ,1                                   ,                    ,                       ,                     ,             ,                      ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 2; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 2,  55.00,    103.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                                      ,                                    ,                    ,                       ,2                    ,             ,                      ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 2; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 2,  73.00,    103.9300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,23                                    ,26                                  ,3                   ,1                      ,128                  ,             ,20                    ,                  ,1                                      ,7                                    ,                       ,Not identified = 18; Total count = 227; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 2,  95.00,    104.1500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,47                                    ,42                                  ,                    ,                       ,187                  ,             ,19                    ,                  ,1                                      ,2                                    ,                       ,Not identified = 1; Total count = 299; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 2, 113.00,    104.3300,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,5                                     ,8                                   ,3                   ,                       ,207                  ,             ,25                    ,                  ,5                                      ,                                     ,                       ,Not identified = 7; Total count = 260; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 2, 135.00,    104.5500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,26                                    ,21                                  ,1                   ,                       ,178                  ,             ,22                    ,4                 ,1                                      ,3                                    ,                       ,Not identified = 2; Total count = 258; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3,   5.00,    104.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,13                                    ,9                                   ,                    ,                       ,125                  ,             ,                      ,                  ,                                       ,                                     ,                       ,Not identified = 6; Total count = 153; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3,  23.00,    104.9300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,43                                    ,38                                  ,1                   ,2                      ,204                  ,             ,23                    ,                  ,                                       ,2                                    ,                       ,Not identified = 0; Total count = 313; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3,  63.00,    105.3300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,53                                    ,42                                  ,                    ,1                      ,210                  ,             ,14                    ,2                 ,2                                      ,2                                    ,                       ,Not identified = 0; Total count = 326; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3,  85.00,    105.5500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,41                                    ,40                                  ,                    ,                       ,243                  ,             ,18                    ,                  ,                                       ,1                                    ,                       ,Not identified = 1; Total count = 324; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3, 105.00,    105.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,72                                    ,41                                  ,                    ,                       ,186                  ,             ,15                    ,                  ,                                       ,1                                    ,                       ,Not identified = 1; Total count = 316; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3, 127.00,    105.9700,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,24                                    ,8                                   ,                    ,27                     ,185                  ,             ,62                    ,                  ,3                                      ,                                     ,                       ,Not identified = 7; Total count = 316; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3, 145.00,    106.1500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,1                                     ,1                                   ,1                   ,1                      ,22                   ,             ,12                    ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 38; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 4,  13.00,    106.3300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                                      ,                                    ,                    ,                       ,24                   ,             ,23                    ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 47; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 4,  33.00,    106.5300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                                      ,                                    ,                    ,1                      ,7                    ,             ,                      ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 8; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 4,  77.00,    106.9700,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,6                                     ,4                                   ,                    ,                       ,91                   ,             ,16                    ,                  ,                                       ,                                     ,                       ,Not identified = 4; Total count = 121; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 4,  95.00,    107.1500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,31                                    ,17                                  ,                    ,                       ,188                  ,             ,45                    ,2                 ,9                                      ,2                                    ,                       ,Not identified = 6; Total count = 300; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 4, 113.00,    107.3300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,1                                     ,1                                   ,                    ,                       ,24                   ,             ,3                     ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 29; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 4, 135.00,    107.5500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,                                      ,                                    ,                    ,                       ,2                    ,             ,                      ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 2; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 5,   5.00,    107.7500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,32                                    ,23                                  ,                    ,1                      ,221                  ,             ,43                    ,                  ,                                       ,2                                    ,                       ,Not identified = 2; Total count = 324; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 5,  23.00,    107.9300,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,19                                    ,22                                  ,                    ,1                      ,114                  ,             ,40                    ,1                 ,                                       ,                                     ,                       ,Not identified = 0; Total count = 197; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 5,  43.00,    108.1300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,41                                    ,26                                  ,                    ,                       ,196                  ,2            ,48                    ,2                 ,4                                      ,3                                    ,                       ,Not identified = 1; Total count = 323; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 5,  66.00,    108.3600,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,24                                    ,11                                  ,                    ,                       ,161                  ,             ,103                   ,1                 ,3                                      ,                                     ,                       ,Not identified = 3; Total count = 306; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 5,  83.00,    108.5300,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,4                                     ,1                                   ,                    ,                       ,87                   ,             ,45                    ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 137; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 5, 105.00,    108.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,11                                    ,12                                  ,                    ,                       ,262                  ,43           ,23                    ,                  ,1                                      ,1                                    ,                       ,Not identified = 0; Total count = 353; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 5, 145.00,    109.1500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                                      ,1                                   ,                    ,                       ,4                    ,4            ,                      ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 9; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 6,  13.00,    109.3300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,1                                     ,8                                   ,                    ,                       ,214                  ,30           ,17                    ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 270; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 6,  34.00,    109.5400,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,24                                    ,28                                  ,3                   ,                       ,192                  ,66           ,24                    ,2                 ,2                                      ,2                                    ,                       ,Not identified = 4; Total count = 347; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 6,  95.00,    110.1500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,2                                     ,3                                   ,                    ,                       ,49                   ,9            ,11                    ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 74; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 7,   5.00,    110.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,38                                    ,22                                  ,2                   ,                       ,182                  ,5            ,79                    ,2                 ,                                       ,                                     ,                       ,Not identified = 5; Total count = 335; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 7,  66.00,    111.3600,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,3                                     ,1                                   ,1                   ,1                      ,1                    ,             ,                      ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 7; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
