Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera angelina,Stichocorys diploconus,Sphaeropyle langii,Lithocarpium titan,Lithocarpium polyacantha,Lithocampe subligata,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Cenosphaera coronataformis,Cenosphaera coronata,Acrospyris lingi,Stylatractus universus,Sphaeropyle robusta,Prunopyle hayesi,Lithopera renzae,Gen. et sp. indet,Eucyrtidium asanoi,Cycladophora cosma cosma,Corythospyris? sp.,Amphymenium amphistylium,Lipmanella redondoensis,Eucyrtidium inflatum,Cyrtocapsella japonica,Amphymenium amphistylium group,Theocorys redondoensis,Lychnocanoma nipponica nipponica,Dictyophimus splendens,Stichocorys delmontensis,Cornutella profunda,Lychnocanium nipponicum magnacornutum,Botryostrobus bramlettei,Phormostichoartus fistula,Lychnocanoma nipponica magnacornuta,Axoprunum bispiculum,Stichocorys peregrina,Actinomma popofskii,Stichocorys wolffii,Diplocyclas cornutoides,Stylacontarium acquilonium,Phormostichoartus pitomorphus,Cycladophora pliocenica,Axoprunum acquilonius,Stichocorys sp. P,Lychnocanium nipponicum,Androcyclas neoheteroporos,Clathrocyclas bicornis group,Lamprocyrtis heteroporos,Androcyclas heteroporos,Eucyrtidium calvertense,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Haliommetta miocenica,Cycladophora davisiana davisiana,Lychnocanoma nipponica sakaii,Eucyrtidium matuyamai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  3,H, 1,  12.00,     16.3200,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,T                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,F                        ,R                    ,C                               ,F                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  3,H, 3, 132.00,     20.5200,Morley   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,R                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,                             ,T                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,R                    ,C                               ,F                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  4,H, 1,  12.00,     25.8200,Morley   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,F                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,F                        ,R                    ,C                               ,T                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  4,H, 3, 132.00,     30.0200,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,F                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,                             ,R                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,                     ,C                               ,T                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  4,H, 7,  11.00,     34.8100,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,R                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,F                     ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,                             ,T                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,T                    ,C                               ,T                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  5,H, 3,  55.00,     38.7500,Morley   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,F                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,T                         ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,T                        ,T                    ,C                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  5,H, 6,  55.00,     43.2500,Morley   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,T                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,T                        ,T                    ,C                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  6,H, 3,  54.00,     48.2400,Morley   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,F                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,T                            ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,T                    ,C                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  6,H, 6,  54.00,     52.7400,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,                   ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,F                            ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,T                        ,R                    ,C                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  7,H, 3,  54.00,     57.7400,Morley   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,T                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,F                         ,R                            ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,                     ,C                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  7,H, 6,  54.00,     62.2400,Morley   ,Radiolarians                                 ,A              ,G                 ,                     ,                      ,R                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,T                     ,                   ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,F                         ,R                            ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,C                        ,T                    ,C                               ,                             ,R                    ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  8,H, 3,  54.00,     67.2400,Morley   ,Radiolarians                                 ,R              ,M                 ,                     ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,F                         ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,R                    ,C                               ,                             ,T                    ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  8,H, 6,  54.00,     71.7400,Morley   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,+                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,F                     ,R                  ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,F                         ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,R                      ,                               ,T                        ,R                    ,C                               ,                             ,T                    ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  9,H, 3,  54.00,     76.7400,Morley   ,Radiolarians                                 ,R              ,M                 ,                     ,                      ,+                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,F                         ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,-                       ,                       ,T                      ,                               ,                         ,R                    ,C                               ,T                            ,+                    ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 10,H, 3,  54.00,     86.2400,Morley   ,Radiolarians                                 ,F              ,M                 ,                     ,                      ,T                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,T                     ,R                  ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,T                  ,                   ,                       ,F                         ,                             ,R                      ,                     ,                 ,                       ,                          ,                            ,+                       ,                       ,                       ,                               ,                         ,R                    ,C                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 10,H, 6,  54.00,     90.7400,Morley   ,Radiolarians                                 ,C              ,M-G               ,                     ,                      ,+                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,                   ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,-                        ,                                   ,                    ,                     ,                   ,                   ,                       ,F                         ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,-                       ,                       ,                       ,                               ,T                        ,R                    ,C                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 887,A, 10,H,CC,  15.00,     92.5700,Shilov   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,                  ,                  ,R                       ,                    ,                       ,                     ,                          ,                    ,                ,                      ,R                  ,                ,                ,                 ,                  ,                        ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,R                       ,                         ,                                   ,                    ,                     ,                   ,                   ,R                      ,                          ,                             ,                       ,R                    ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,                     ,                                ,                             ,                     ,from Leg 145 SR; Ch 5; Table 7; p. 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 11,H, 3,  54.00,     95.7400,Morley   ,Radiolarians                                 ,F              ,M                 ,                     ,                      ,T                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,T                  ,                ,                ,                 ,                  ,R                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,T                            ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,T                    ,R                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 887,A, 11,H,CC,  25.00,    102.2500,Shilov   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,R                  ,                ,                ,                 ,                  ,                        ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,R                      ,                          ,                             ,                       ,R                    ,                 ,                       ,                          ,R                           ,                        ,                       ,                       ,                               ,R                        ,                     ,                                ,                             ,                     ,from Leg 145 SR; Ch 5; Table 7; p. 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 3,  54.00,    105.2400,Morley   ,Radiolarians                                 ,C              ,M                 ,                     ,                      ,T                 ,                  ,                        ,                    ,rT                     ,                     ,                          ,                    ,                ,F                     ,R                  ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,-                        ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,                             ,R                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,+                        ,                     ,                                ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 6,  54.00,    109.7400,Morley   ,Radiolarians                                 ,C              ,P-M               ,                     ,                      ,R                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,R                     ,R                  ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,rT                  ,                      ,                              ,                      ,rT                              ,rT                    ,rT                      ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,R                         ,T                            ,F                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,R                        ,                     ,                                ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Early Pliocene   ,A. acquilonius    ,              ,145, 887,A, 12,H,CC,  28.00,    111.6600,Shilov   ,Radiolarians                                 ,F              ,G                 ,F                    ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,R                  ,                ,                ,                 ,                  ,                        ,                  ,                        ,                       ,                    ,rR                    ,                              ,                      ,                                ,                      ,                        ,                   ,rR                                   ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,                             ,                       ,F                    ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,R                              ,                         ,                     ,                                ,                             ,                     ,from Leg 145 SR; Ch 5; Table 7; p. 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 13,H, 3,  54.00,    114.7400,Morley   ,Radiolarians                                 ,C              ,P-M               ,                     ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,F                     ,                   ,                ,                ,                 ,                  ,R                       ,                  ,                        ,                       ,                    ,                      ,                              ,rT                    ,                                ,                      ,rT                      ,                   ,                                     ,                        ,                         ,                                   ,                    ,rT                   ,T                  ,                   ,                       ,T                         ,                             ,F                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,R                        ,                     ,                                ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 887,A, 13,H,CC,  23.00,    121.2300,Shilov   ,Radiolarians                                 ,C              ,G                 ,F                    ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,R                  ,                ,                ,                 ,                  ,                        ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,R                       ,                         ,                                   ,F                   ,                     ,                   ,                   ,R                      ,                          ,                             ,                       ,R                    ,                 ,                       ,                          ,                            ,                        ,                       ,R                      ,R                              ,                         ,                     ,                                ,                             ,                     ,from Leg 145 SR; Ch 5; Table 7; p. 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 14,H, 3,  54.00,    124.2400,Morley   ,Radiolarians                                 ,R              ,P-M               ,                     ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,F                     ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,rT                      ,                   ,                                     ,                        ,R                        ,                                   ,                    ,                     ,                   ,                   ,                       ,F                         ,                             ,T                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,                         ,                     ,                                ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 887,A, 14,H,CC,  18.00,    130.4400,Shilov   ,Radiolarians                                 ,C              ,G                 ,F                    ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,F                  ,                ,                ,                 ,                  ,                        ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,R                       ,                   ,                                     ,                        ,                         ,                                   ,R                   ,                     ,                   ,                   ,R                      ,                          ,                             ,                       ,R                    ,                 ,                       ,                          ,F                           ,                        ,R                      ,                       ,                               ,                         ,                     ,                                ,                             ,                     ,from Leg 145 SR; Ch 5; Table 7; p. 106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
