Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceraspyris coronata	Theocorys redondoensis	Spongotrochus glacialis	Spongodiscus craticulatus	Prunopyle titan	Lychnocanium grande	Eucyrtidium cienkowskii	Eucyrtidium biconicum	Desmospyris rhodospyroides	Cycladophora spongothorax	Botryopera deflandrei	Actinomma golownini	Stylatractus universus	Eucyrtidium inflatum	Velicucullus sp.	Cycladophora humerus	Cycladophora pliocenica	Stichocorys peregrina	Helotholus praevema	Gondwanaria hister	Saccospyris praeantarctica	Antarctissa robusta	Anthocyrtidium pliocenica	Amphymenium challengerae	Rhizosphaera antarctica	Eucyrtidium teuscheri group	Phorticium clevei	Pseudocubus vema	Desmospyris spongiosa	Botryopera triloba	Botryostrobus australis	Comment
  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  3	H	 4	  53.00	     19.5300	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	T                      	                     	                   	                  	                          	R                  	                         	                        	                       	                           	R                	                	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  3	H	 5	  53.00	     21.0300	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	R                      	                     	                   	                  	R                         	R                  	                         	                        	                       	                           	T                	T               	T                    	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  3	H	CC	  19.00	     24.4100	Caulet   	Radiolarians                                 	F              	G                 	                      	                      	                       	                         	T              	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	R                      	                     	                   	                  	                          	R                  	                         	                        	                       	                           	R                	R               	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  5	H	 1	  53.00	     34.0300	Caulet   	Radiolarians                                 	R              	P                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	                       	                     	                   	                  	                          	R                  	                         	                        	R                      	                           	                 	                	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  5	H	 4	  51.00	     38.5100	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	                       	                     	                   	                  	                          	R                  	                         	                        	                       	                           	R                	                	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  5	H	 5	  51.00	     40.0100	Caulet   	Radiolarians                                 	R              	P                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	                       	                     	                   	                  	T                         	T                  	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  5	H	 6	  51.00	     41.5100	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	T                      	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	T               	                    	                       	                     	?                  	                  	T                         	F                  	                         	                        	T                      	                           	R                	                	                     	F                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  5	H	CC	  13.00	     41.6600	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	R                      	                     	T                  	                  	                          	T                  	                         	                        	                       	                           	R                	                	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  6	H	CC	  17.00	     51.9100	Caulet   	Radiolarians                                 	A              	G                 	                      	                      	R                      	R                        	C              	                   	                       	R                    	R                         	                         	                     	                   	                      	                    	T               	                    	                       	                     	                   	                  	R                         	C                  	T                        	                        	T                      	T                          	R                	C               	R                    	C                 	T                      	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  7	H	CC	  19.00	     62.3100	Caulet   	Radiolarians                                 	A              	G                 	                      	                      	                       	                         	F              	                   	                       	R                    	                          	                         	                     	                   	                      	                    	                	                    	C                      	                     	T                  	                  	T                         	C                  	                         	                        	T                      	                           	R                	R               	R                    	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR8               	              	119	 737	A	  8	H	CC	  10.00	     72.0300	Caulet   	Radiolarians                                 	A              	G                 	A                     	                      	R                      	R                        	F              	R                  	                       	R                    	                          	                         	                     	                   	                      	                    	T               	                    	C                      	                     	A                  	                  	                          	C                  	                         	                        	                       	T                          	R                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR8               	              	119	 737	A	  9	H	CC	  17.00	     81.3400	Caulet   	Radiolarians                                 	C              	G                 	                      	                      	T                      	                         	F              	R                  	                       	C                    	                          	                         	                     	                   	                      	                    	R               	                    	C                      	                     	A                  	                  	                          	C                  	                         	                        	T                      	                           	R                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR8               	              	119	 737	A	 10	H	CC	   0.00	     90.1300	Caulet   	Radiolarians                                 	A              	G                 	A                     	T                     	C                      	                         	C              	R                  	                       	R                    	                          	                         	                     	                   	T                     	                    	R               	                    	                       	                     	C                  	                  	                          	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR8               	              	119	 737	A	 11	H	CC	  12.00	    100.1600	Caulet   	Radiolarians                                 	C              	G                 	A                     	R                     	                       	C                        	C              	C                  	                       	C                    	                          	                         	                     	                   	                      	                    	R               	                    	C                      	                     	R                  	                  	                          	T                  	                         	                        	R                      	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR8               	              	119	 737	A	 12	H	 1	  40.00	    100.4000	Caulet   	Radiolarians                                 	C              	G                 	R                     	R                     	                       	T                        	T              	F                  	                       	R                    	                          	                         	                     	                   	                      	T                   	                	                    	C                      	                     	                   	                  	R                         	R                  	                         	                        	                       	T                          	R                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR8               	              	119	 737	A	 12	H	 2	  40.00	    101.9000	Caulet   	Radiolarians                                 	C              	G                 	F                     	R                     	                       	T                        	               	F                  	                       	                     	T                         	                         	                     	                   	                      	T                   	                	T                   	C                      	                     	C                  	                  	T                         	R                  	                         	                        	R                      	                           	R                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR9               	              	119	 737	A	 12	H	 3	  40.00	    103.4000	Caulet   	Radiolarians                                 	C              	G                 	F                     	R                     	                       	                         	R              	R                  	                       	T                    	T                         	R                        	                     	                   	                      	                    	                	R                   	T                      	T                    	A                  	                  	T                         	R                  	                         	                        	R                      	                           	F                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR9               	              	119	 737	A	 12	H	 4	  40.00	    104.9000	Caulet   	Radiolarians                                 	C              	G                 	R                     	R                     	                       	                         	               	R                  	                       	                     	                          	R                        	                     	                   	                      	                    	T               	                    	R                      	T                    	A                  	                  	T                         	T                  	                         	                        	T                      	                           	R                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR9               	              	119	 737	A	 12	H	 5	  40.00	    106.4000	Caulet   	Radiolarians                                 	C              	G                 	R                     	R                     	                       	                         	               	R                  	                       	R                    	                          	R                        	                     	                   	                      	T                   	R               	                    	R                      	T                    	C                  	                  	T                         	T                  	                         	                        	T                      	                           	R                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR9               	              	119	 737	A	 12	H	CC	  20.00	    109.7000	Caulet   	Radiolarians                                 	A              	G                 	C                     	C                     	R                      	                         	               	C                  	                       	R                    	                          	                         	                     	                   	                      	                    	T               	                    	C                      	T                    	                   	                  	                          	                   	T                        	R                       	T                      	                           	R                	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR9               	              	119	 737	A	 13	H	CC	  23.00	    119.1900	Caulet   	Radiolarians                                 	A              	G                 	T                     	R                     	C                      	C                        	               	C                  	T                      	R                    	R                         	                         	                     	                   	                      	                    	R               	                    	C                      	C                    	R                  	                  	                          	R                  	                         	F                       	T                      	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 15	H	CC	   7.00	    138.2000	Caulet   	Radiolarians                                 	A              	G                 	                      	R                     	R                      	R                        	               	R                  	                       	                     	                          	                         	                     	                   	                      	                    	T               	                    	C                      	R                    	C                  	                  	                          	R                  	                         	C                       	T                      	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 16	H	CC	  14.00	    147.7400	Caulet   	Radiolarians                                 	A              	G                 	C                     	R                     	C                      	R                        	               	C                  	                       	C                    	                          	F                        	                     	                   	                      	                    	T               	                    	C                      	                     	A                  	                  	                          	R                  	                         	C                       	R                      	T                          	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 17	H	CC	  16.00	    157.2200	Caulet   	Radiolarians                                 	C              	G                 	R                     	R                     	                       	R                        	               	R                  	                       	R                    	R                         	                         	                     	T                  	                      	                    	                	                    	R                      	R                    	R                  	                  	R                         	                   	                         	R                       	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 18	H	CC	  23.00	    166.7300	Caulet   	Radiolarians                                 	C              	G                 	R                     	R                     	                       	R                        	               	R                  	                       	R                    	                          	                         	                     	T                  	                      	                    	                	                    	R                      	R                    	R                  	                  	                          	                   	                         	R                       	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 19	X	CC	  18.00	    167.9800	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	R                  	                       	T                    	                          	                         	                     	                   	                      	                    	                	                    	R                      	                     	C                  	                  	                          	R                  	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 20	X	CC	  27.00	    176.4700	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	R                  	                       	                     	                          	                         	                     	                   	                      	                    	T               	                    	R                      	                     	R                  	                  	                          	                   	                         	T                       	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 21	X	CC	  26.00	    188.1100	Caulet   	Radiolarians                                 	F              	G                 	                      	                      	                       	                         	               	R                  	                       	                     	                          	                         	                     	                   	R                     	                    	                	                    	R                      	R                    	R                  	                  	                          	C                  	T                        	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 23	X	CC	  25.00	    207.8400	Caulet   	Radiolarians                                 	C              	G                 	                      	R                     	                       	R                        	               	                   	R                      	                     	R                         	                         	                     	                   	                      	                    	R               	                    	R                      	R                    	R                  	                  	R                         	R                  	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 25	X	CC	  23.00	    230.4300	Caulet   	Radiolarians                                 	F              	G                 	R                     	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	T               	                    	R                      	R                    	R                  	                  	T                         	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 26	X	 1	  53.00	    234.9300	Caulet   	Radiolarians                                 	R              	G                 	R                     	T                     	                       	R                        	               	C                  	T                      	R                    	C                         	R                        	R                    	                   	                      	                    	R               	R                   	R                      	R                    	R                  	                  	                          	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 26	X	CC	  42.00	    236.5500	Caulet   	Radiolarians                                 	A              	G                 	                      	                      	                       	                         	               	                   	R                      	R                    	                          	F                        	C                    	                   	                      	                    	T               	                    	                       	                     	C                  	                  	R                         	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR9               	              	119	 737	A	 27	X	 2	  53.00	    246.1300	Caulet   	Radiolarians                                 	A              	G                 	                      	                      	                       	C                        	               	A                  	C                      	R                    	R                         	C                        	                     	                   	                      	T                   	F               	C                   	                       	A                    	R                  	F                 	                          	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR10              	              	119	 737	A	 27	X	 3	  53.00	    247.6300	Caulet   	Radiolarians                                 	C              	G                 	R                     	F                     	                       	R                        	               	F                  	F                      	F                    	C                         	A                        	F                    	                   	                      	T                   	C               	R                   	R                      	                     	                   	                  	                          	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR10              	              	119	 737	A	 27	X	 4	  53.00	    249.1300	Caulet   	Radiolarians                                 	A              	G                 	R                     	R                     	                       	C                        	               	R                  	C                      	C                    	R                         	A                        	R                    	                   	                      	T                   	C               	R                   	                       	                     	                   	                  	                          	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Late Miocene     	                 	NR10              	              	119	 737	A	 27	X	CC	  31.00	    249.7100	Caulet   	Radiolarians                                 	C              	G                 	                      	C                     	                       	R                        	               	                   	                       	C                    	C                         	R                        	                     	                   	R                     	T                   	                	                    	                       	                     	                   	                  	                          	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Middle Miocene   	                 	NR10              	              	119	 737	A	 28	X	CC	  15.00	    255.7400	Caulet   	Radiolarians                                 	C              	G                 	A                     	T                     	T                      	R                        	?              	F                  	C                      	C                    	A                         	C                        	R                    	C                  	                      	                    	                	                    	                       	                     	                   	                  	                          	                   	                         	                        	                       	                           	                 	                	                     	                  	                       	from 119 SR Chapter 28 Table 2 page 517.

