Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Turborotalita quinqueloba	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globigerinita uvula minuta	Globigerinita glutinata	Globigerina bulloides	Orbulina universa	Globigerinita uvula uvula	Beella digitata	Globigerinita iota	Globigerina bulloides umbilicata	Globigerina clarkei	Orbulina bilobata	Globorotalia inflata	Comment
  IR	                 	                 	                  	              	169	1037	B	  5	H	 2	  20.00	     36.8000	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	                         	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Organic matter, framboidal pyrite, diatoms, rare radiolarians, benthonic foraminifers,  mica, pollen

  IR	                 	Holocene         	                  	CD1           	169	1037	B	  5	H	 5	   6.00	     41.1600	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	                         	C                                    	R                   	                          	                       	C                    	R                	                         	               	                  	                                	                   	                 	                    	Planktonic foraminifers dominate, radiolarians, some mineral grains

  IR	                 	                 	                  	              	169	1037	B	  6	H	CC	  36.00	     54.7200	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	R                        	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Organic matter, mica, mineral grains, poorly preserved diatoms including Arachnoidiscus, very rare radiolarians, rare benthonic foraminifers, pollen. Bolivina pacifica, Nonion, and other shallow types. Piece of amber(?) given to Bernie

  IR	                 	                 	                  	              	169	1037	B	  8	H	 1	  40.00	     64.0000	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	                         	                                     	                    	                          	R                      	                     	                 	R                        	               	                  	                                	                   	                 	                    	Organic matter, pollen, mica, framboidal pyrite, very rare radiolarians and neritic benthonic foraminifers

  IR	                 	                 	                  	              	169	1037	B	  8	H	CC	  29.00	     73.6100	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	F                        	                                     	                    	F                         	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Abundant organic matter (woody debris),  mica, radiolarians, rare benthonic foraminifers from the shelf, planktonic foraminifers few in the >150 micron fraction, abundant in the 63-150  micron fraction. Nonion, B. frigida, Lox. beyrichi, G. pacifica

  IR	                 	                 	                  	              	169	1037	B	  9	H	CC	  13.00	     82.9700	Brunner  	Planktonic Foraminifers                      	C              	M                 	C                                      	                         	R                                    	R                   	                          	F                      	C                    	                 	                         	               	                  	                                	                   	                 	                    	Abundant mica, very fine sand mineral grains, planktonic and benthonic foraminifers, shelf and bathyal benthonic foraminifers. E.  smithi. mixed preservation, some brown-tinted planktonic foraminifers

  IR	                 	                 	                  	              	169	1037	B	 10	H	 2	  48.00	     84.5800	Brunner  	Planktonic Foraminifers                      	C              	M                 	C                                      	                         	R                                    	                    	                          	                       	C                    	                 	                         	               	                  	                                	                   	                 	                    	Mineral grains including mica and pumice, benthonic foraminifers, green earthy mineral

  IR	                 	                 	                  	              	169	1037	B	 10	H	CC	  20.00	     91.6300	Brunner  	Planktonic Foraminifers                      	C              	M                 	C                                      	F                        	                                     	                    	                          	                       	C                    	                 	                         	               	                  	F                               	                   	                 	                    	Mineral grains dominate followed by planktonic foraminifers, benthonic foraminifers,  clear volcanic ash. Epistominella smithi, green earthy mineral, bryozoan

  IR	                 	                 	                  	              	169	1037	B	 11	H	CC	  10.00	     97.9500	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	                         	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Mineral sand, 2 planktonic foraminifers seen

  IR	                 	                 	                  	              	169	1037	B	 12	H	CC	  11.00	    110.3300	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	                         	                                     	                    	                          	                       	R                    	                 	                         	               	                  	                                	                   	                 	                    	Mineral sand

  IR	                 	                 	                  	              	169	1037	B	 14	H	CC	  37.00	    130.2700	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	R                        	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Framboidal pyrite dominates the sample, which has very little in the sand size fraction. Mineral grains especially in the 63-150 micron fraction. One  planktonic foraminifer and two radiolarians

  IR	                 	                 	                  	              	169	1037	B	 15	H	 1	  14.00	    130.2400	Brunner  	Planktonic Foraminifers                      	F              	M                 	C                                      	C                        	                                     	                    	C                         	R                      	C                    	R                	F                        	               	                  	                                	                   	                 	                    	Framboidal pyrite dominates including large tubes with minor mineral sand and planktonic foraminifers. Too few benthonic foraminifers to estimate ""depth""

  IR	                 	Pleistocene      	                  	CD2           	169	1037	B	 16	H	 1	  54.00	    140.1400	Brunner  	Planktonic Foraminifers                      	C              	P                 	C                                      	R                        	                                     	                    	                          	R                      	C                    	                 	                         	               	                  	F                               	                   	                 	                    	Dominated by planktonic foraminifers with minor mineral grains, 1 dextral Neogloboquadrina pachyderma of compact high latitude morphology

  IR	                 	Pleistocene      	                  	              	169	1037	B	 16	H	CC	  18.00	    148.7700	Brunner  	Planktonic Foraminifers                      	C              	                  	C                                      	R                        	R                                    	                    	                          	R                      	C                    	                 	                         	               	                  	                                	                   	                 	                    	Mica  and  pumice dominate, E.  smithi benthonic assemblage

  IR	                 	                 	                  	              	169	1037	B	 17	H	CC	  11.00	    158.8900	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	                         	                                     	                    	                          	                       	                     	                 	R                        	               	                  	                                	                   	                 	                    	Dominated by mica, a few small  planktonic foraminifers  in   the  63-150 micron fraction

  IR	                 	Pleistocene      	                  	              	169	1037	B	 18	H	CC	  13.00	    168.2300	Brunner  	Planktonic Foraminifers                      	C              	M                 	C                                      	R                        	R                                    	R                   	                          	R                      	C                    	R                	                         	               	                  	                                	                   	                 	                    	Mica and pumice dominate, organic matter, few benthonic foraminifers, very fine mineral sand

  IR	                 	Pleistocene      	                  	              	169	1037	B	 21	X	CC	  38.00	    182.8800	Brunner  	Planktonic Foraminifers                      	F              	M                 	C                                      	                         	                                     	                    	                          	C                      	C                    	                 	                         	               	                  	                                	                   	                 	                    	Pumice, pyritized organic matter, mica, benthonic foraminifers few as are planktonic foraminifers, which are mixed in preservation state with a few a golden brown

  IR	                 	                 	                  	              	169	1037	B	 22	X	 1	  33.00	    192.5300	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	R                        	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Organic matter, framboidal pyrite, mica, other mineral grains very rare, pollen

  IR	                 	Pleistocene      	                  	              	169	1037	B	 22	X	CC	   9.00	    195.2500	Brunner  	Planktonic Foraminifers                      	C              	M                 	C                                      	R                        	                                     	                    	                          	C                      	C                    	                 	                         	               	                  	                                	                   	                 	                    	Pumice, mica, framboidal pyrite, magnetite, few planktonic foraminifers,  mixed preservation states - white and golden tests. Elphidium with Melonis

  IR	                 	                 	                  	              	169	1037	B	 25	X	 1	   6.00	    221.0600	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	                         	                                     	                    	                          	                       	R                    	                 	                         	               	                  	                                	                   	                 	                    	Very small sand size fraction, organic matter, mineral sand, framboidal pyrite, two planktonic foraminifers

  IR	                 	                 	                  	              	169	1037	B	 28	X	CC	  16.00	    259.2500	Brunner  	Planktonic Foraminifers                      	R              	G                 	                                       	                         	                                     	                    	                          	                       	R                    	                 	R                        	               	                  	                                	                   	                 	                    	Organic matter, mica, framboidal pyrite, two planktonic foraminifers

  IR	                 	                 	                  	              	169	1037	B	 29	X	CC	  30.00	    265.3200	Brunner  	Planktonic Foraminifers                      	R              	G                 	                                       	                         	                                     	                    	R                         	R                      	                     	                 	                         	               	R                 	                                	                   	                 	                    	Organic matter, framboidal pyrite, mica, very little in sand size fraction

  IR	                 	Pleistocene      	                  	CD3           	169	1037	B	 34	X	CC	  29.00	    317.5500	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	C                        	F                                    	R                   	C                         	F                      	C                    	R                	F                        	F              	                  	                                	                   	                 	                    	Dominated by planktonic foraminifers with minor benthonic foraminifers, trace of framboidal pyrite and urchin spines

  IR	                 	                 	                  	              	169	1037	B	 35	X	CC	  22.00	    326.3700	Brunner  	Planktonic Foraminifers                      	R              	P                 	R                                      	                         	                                     	                    	                          	                       	R                    	                 	                         	               	                  	                                	                   	                 	                    	Organic matter, orange pollen grains, framboidal pyrite, a few mineral grains

  IR	                 	                 	                  	              	169	1037	B	 36	X	 1	  32.00	    326.8200	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	R                        	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Organic matter, framboidal pyrite, pollen

  IR	                 	                 	                  	              	169	1037	B	 36	X	CC	  14.00	    331.5500	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	                         	                                     	                    	                          	R                      	                     	                 	                         	               	                  	                                	                   	                 	                    	Mica dominates, trace of diatoms

  IR	                 	                 	                  	              	169	1037	B	 37	X	CC	  34.00	    345.3100	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	R                        	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Abundant pyrite, rare mineral grains

  IR	                 	Pleistocene      	                  	              	169	1037	B	 40	X	CC	  25.00	    373.7400	Brunner  	Planktonic Foraminifers                      	C              	P                 	A                                      	R                        	                                     	                    	                          	                       	C                    	                 	                         	               	                  	                                	                   	                 	                    	Mineral sand dominates, discolored planktonic foraminifers, trace of framboidal pyrite

  IR	                 	                 	                  	              	169	1037	B	 43	X	CC	  27.00	    403.6000	Brunner  	Planktonic Foraminifers                      	F              	P                 	C                                      	R                        	                                     	R                   	                          	R                      	C                    	                 	                         	               	                  	                                	                   	                 	                    	Mud lumps, mica, black ash(?), benthonic and planktonic foraminifers few

  IR	                 	                 	                  	              	169	1037	B	 44	X	CC	  30.00	    407.4000	Brunner  	Planktonic Foraminifers                      	F              	P                 	C                                      	                         	                                     	                    	                          	                       	C                    	                 	                         	               	                  	                                	                   	                 	                    	Mica-rich very fine sand, golden to orange brown foraminifers (Elphidium is highly colored)

  IR	                 	                 	                  	              	169	1037	B	 45	X	CC	  30.00	    418.6000	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                       	                         	                                     	                    	                          	R                      	                     	                 	                         	               	                  	                                	                   	                 	                    	Mica-rich sand with black ash. Pale yellow foraminifers

  IR	                 	Pleistocene      	                  	CD4           	169	1037	B	 48	X	 5	  22.00	    448.2200	Brunner  	Planktonic Foraminifers                      	A              	P                 	C                                      	R                        	R                                    	R                   	R                         	R                      	C                    	                 	                         	               	                  	                                	                   	                 	                    	Flattened planktonic foraminifers dominate, brown tint and encrusted; rare benthonic foraminifers

  IR	                 	                 	                  	              	169	1037	B	 48	X	CC	  34.00	    451.8200	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	                         	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Semi-lithified silt lumps,  golden planktonic foraminifer, framboidal pyrite

