Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides variabilis,Globoquadrina dehiscens,Globigerinoides sacculifer,Dentoglobigerina altispira,Globoquadrina venezuelana,Globigerinoides subquadratus,Globorotaloides hexagona,Globorotalia mayeri,Globigerinella praesiphonifera,Fohsella peripheroronda,Fohsella birnageae,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina universa,Neogloboquadrina acostaensis,Globoturborotalita woodi,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Globorotalia merotumida,Fohsella lenguaensis,Globoturborotalita apertura,Globigerinoides seigliei,Globigerinoides altiapertura,Globigerinita glutinata,Globigerinella aequilateralis,Globorotalia scitula,Globorotalia menardii,Orbulina bilobata,Globigerinoides obliquus,Candeina nitida,Globorotalia plesiotumida,Globigerinella obesa,Beella praedigitata,Globorotalia juanai,Globorotalia cibaoensis,Globigerinoides extremus,Neogloboquadrina dutertrei,Globorotalia margaritae,Sphaeroidinella dehiscens,Globorotalia tumida,Globigerinoides conglobatus,Globorotalia exilis,Globorotalia crassaformis,Sphaeroidinellopsis paenedehiscens,Globorotalia multicamerata,Globorotalia triangula,Globorotalia puncticulata,Globorotalia pseudomiocenica,Globorotalia pertenuis,Globorotalia miocenica,Globigerinoides sacculifer fistulosus,Globigerinoides ruber,Globigerina bulloides,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dextral),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL2               ,              ,159, 961,A,  3,R,CC,  12.00,     17.7200,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,                          ,                       ,C                         ,F                         ,R                        ,                            ,                        ,                   ,                              ,                       ,                  ,R                             ,F                        ,F                ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,R                            ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,C                       ,C                         ,R                      ,                         ,C                  ,                           ,R                  ,F                        ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,PL1               ,              ,159, 961,A,  4,R,CC,  18.00,     25.0600,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                          ,                       ,                          ,R                         ,F                        ,                            ,                        ,                   ,                              ,                       ,                  ,F                             ,R                        ,                 ,                            ,                        ,F                           ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,R                            ,                    ,C                    ,                 ,                        ,R              ,R                        ,                    ,                   ,                   ,                       ,                        ,C                         ,R                      ,R                        ,F                  ,R                          ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17               ,              ,159, 961,A,  5,R, 1,  64.00,     32.9400,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,                          ,                       ,                          ,                          ,                         ,                            ,                        ,                   ,                              ,                       ,                  ,                              ,                         ,                 ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,                             ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,R                      ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17               ,              ,159, 961,A,  5,R, 2,  64.00,     34.4400,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,                          ,                       ,                          ,                          ,                         ,                            ,R                       ,                   ,                              ,                       ,                  ,F                             ,                         ,                 ,F                           ,                        ,R                           ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,                             ,R                   ,F                    ,                 ,                        ,R              ,F                        ,                    ,                   ,                   ,R                      ,                        ,C                         ,F                      ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17               ,              ,159, 961,A,  5,R,CC,   0.00,     34.5100,Norris   ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,                       ,C                         ,F                         ,                         ,                            ,R                       ,                   ,                              ,                       ,                  ,                              ,                         ,                 ,                            ,                        ,                            ,                              ,                       ,                    ,R                          ,                        ,                            ,R                      ,                             ,R                   ,F                    ,R                ,F                       ,               ,                         ,                    ,                   ,R                  ,F                      ,F                       ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17               ,              ,159, 961,A,  6,R,CC,  15.00,     42.0500,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,                          ,R                      ,C                         ,F                         ,R                        ,                            ,R                       ,                   ,R                             ,                       ,                  ,F                             ,                         ,                 ,F                           ,R                       ,C                           ,                              ,                       ,                    ,R                          ,                        ,                            ,                       ,                             ,R                   ,                     ,                 ,F                       ,               ,F                        ,R                   ,R                  ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,159, 961,A,  7,R,CC,  18.00,     51.6800,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,                          ,                       ,C                         ,F                         ,F                        ,                            ,                        ,                   ,F                             ,                       ,                  ,F                             ,F                        ,F                ,F                           ,                        ,F                           ,                              ,R                      ,                    ,R                          ,F                       ,                            ,F                      ,                             ,                    ,                     ,R                ,C                       ,R              ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,159, 961,A,  8,R, 1,  90.00,     62.1000,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,                          ,                       ,                          ,                          ,                         ,                            ,                        ,                   ,                              ,                       ,                  ,                              ,                         ,                 ,                            ,                        ,                            ,                              ,                       ,R                   ,                           ,                        ,                            ,                       ,                             ,R                   ,F                    ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,159, 961,A,  8,R,CC,   0.00,     62.2300,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,                          ,                       ,C                         ,                          ,F                        ,                            ,                        ,                   ,                              ,                       ,                  ,F                             ,                         ,F                ,                            ,                        ,R                           ,                              ,R                      ,                    ,F                          ,R                       ,C                           ,F                      ,R                            ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,159, 961,A,  9,R,CC,   0.00,     73.6100,Norris   ,Planktonic Foraminifers                      ,F              ,M                 ,                          ,R                      ,C                         ,                          ,C                        ,                            ,R                       ,                   ,                              ,                       ,                  ,F                             ,F                        ,F                ,R                           ,R                       ,R                           ,R                             ,R                      ,R                   ,                           ,                        ,                            ,                       ,                             ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,N7                ,N8            ,159, 961,A, 12,R,CC,   0.00,    102.1300,Norris   ,Planktonic Foraminifers                      ,F              ,G                 ,                          ,F                      ,C                         ,R                         ,F                        ,F                           ,R                       ,F                  ,F                             ,C                      ,F                 ,                              ,                         ,                 ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,                             ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,N7                ,N8            ,159, 961,A, 14,R,CC,  10.00,    121.4800,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,R                         ,                       ,                          ,R                         ,R                        ,R                           ,                        ,                   ,                              ,                       ,                  ,                              ,                         ,                 ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,                             ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,N7                ,N8            ,159, 961,A, 15,R,CC,  16.00,    129.6500,Norris   ,Planktonic Foraminifers                      ,R              ,M                 ,R                         ,R                      ,R                         ,R                         ,                         ,                            ,                        ,                   ,                              ,                       ,                  ,                              ,                         ,                 ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,                             ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,                           ,                   ,                         ,                                  ,                          ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
