Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina venezuelana,Subbotina eocaena,Globigerinatheka index,Catapsydrax dissimilis,Subbotina triloculinoides,Parasubbotina pseudobulloides,Morozovella velascoensis,Morozovella angulata,Truncorotaloides topilensis,Truncorotaloides rohri,Subbotina linaperta,Subbotina hagni,Subbotina cryptomphala,Morozovella spinulosa,Morozovella lehneri,Hantkenina primitiva,Hantkenina dumblei,Globigerinatheka mexicana,Acarinina bullbrooki,Hantkenina alabamensis,Globigerinatheka mexicana barri,Globigerinatheka beckmanni,Acarinina primitiva,Subbotina praeturritilina,Acarinina collactea,Porticulasphaera semiinvoluta,Turborotalia cocoaensis,Pseudohastigerina micra,Chiloguembelina cubensis,Globoquadrina dehiscens,Paragloborotalia semivera,Paragloborotalia opima opima,Paragloborotalia opima nana,Paragloborotalia mayeri,Globorotalia inflata,Globigerinoides trilobus,Dentoglobigerina altispira,Globorotalia truncatulinoides,Globigerinoides mitra,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  2,X,CC,   9.00,     11.9600,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                     ,                 ,F                     ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,R                     ,                               ,                          ,                   ,R                        ,                   ,R                            ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,Contaminated Holocene and middle Miocene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  3,H,CC,   9.00,     22.6500,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,R                            ,                       ,                       ,                        ,F                      ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,"Downhole cont. of G. mitrus, D. dehiscens, G. trilobus"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  4,H,CC,  14.00,     32.5900,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,F                  ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,F                     ,                               ,                          ,                   ,                         ,                   ,F                            ,                       ,F                      ,R                       ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  5,H,CC,  14.00,     41.9700,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,R                          ,P                    ,                 ,                      ,F                     ,                         ,                             ,                        ,                    ,                           ,                      ,F                  ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,R                     ,                               ,                          ,                   ,P                        ,                   ,F                            ,                       ,F                      ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,P15           ,171,1052,A,  6,H,CC,  11.00,     51.4000,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,R                          ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,R                     ,                               ,                          ,                   ,                         ,                   ,F                            ,                       ,F                      ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  7,H,CC,  19.00,     61.1800,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,F                          ,                     ,                 ,R                     ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,F                  ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,F                            ,                       ,F                      ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  8,H,CC,  21.00,     70.3900,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,F                          ,                     ,                 ,                      ,F                     ,                         ,                             ,                        ,                    ,                           ,                      ,F                  ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,F                            ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,A,  9,H, 3,  65.00,     73.8500,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                     ,                 ,                      ,F                     ,                         ,                             ,                        ,                    ,                           ,                      ,R                  ,               ,                      ,                     ,                   ,                    ,R                 ,F                        ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,R                      ,F                      ,F                       ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  9,H,CC,   0.00,     79.8200,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,P                    ,P                          ,                     ,F                ,                      ,A                     ,                         ,                             ,                        ,                    ,                           ,                      ,F                  ,F              ,R                     ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,F                            ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A, 10,H, 3,  65.00,     83.3500,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,                           ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,A                        ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,A, 10,H,CC,  12.00,     89.3400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,P                    ,R                          ,R                    ,F                ,R                     ,R                     ,                         ,                             ,                        ,                    ,                           ,F                     ,F                  ,F              ,R                     ,P                    ,                   ,                    ,                  ,P                        ,F                   ,                      ,                               ,                          ,P                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,A, 11,H,CC,  21.00,     99.0400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                     ,P                          ,R                    ,F                ,F                     ,R                     ,                         ,                             ,                        ,                    ,                           ,F                     ,F                  ,F              ,R                     ,R                    ,                   ,                    ,                  ,F                        ,F                   ,                      ,                               ,                          ,R                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,A, 12,H, 7,  52.00,    108.2200,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                     ,F                          ,P                    ,F                ,F                     ,R                     ,                         ,                             ,                        ,                    ,                           ,F                     ,F                  ,F              ,R                     ,R                    ,                   ,                    ,                  ,F                        ,F                   ,                      ,                               ,                          ,R                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,A, 13,H,CC,  16.00,    117.9000,Bellier  ,Planktonic Foraminifers                      ,A              ,                  ,                     ,F                          ,R                    ,F                ,F                     ,R                     ,                         ,                             ,                        ,                    ,                           ,F                     ,F                  ,F              ,R                     ,R                    ,                   ,                    ,                  ,F                        ,F                   ,                      ,                               ,                          ,R                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,A, 14,H, 3,  64.00,    121.3400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,F                          ,                     ,                 ,R                     ,F                     ,                         ,                             ,                        ,                    ,                           ,F                     ,                   ,               ,                      ,R                    ,                   ,                    ,                  ,F                        ,F                   ,P                     ,                               ,                          ,                   ,F                        ,R                  ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,171,1052,A, 14,H,CC,  22.00,    127.5900,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                     ,P                          ,R                    ,F                ,F                     ,R                     ,                         ,                             ,                        ,                    ,                           ,F                     ,F                  ,F              ,P                     ,R                    ,                   ,                    ,                  ,F                        ,F                   ,                      ,                               ,                          ,R                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,A, 15,H, 2,  64.00,    129.3400,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,                           ,                     ,                 ,                      ,F                     ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,A                        ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P13           ,171,1052,A, 15,H,CC,  14.00,    129.6700,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                     ,R                          ,P                    ,F                ,F                     ,R                     ,                         ,                             ,                        ,                    ,                           ,F                     ,F                  ,F              ,P                     ,R                    ,                   ,                    ,                  ,F                        ,F                   ,                      ,                               ,P                         ,R                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P13           ,171,1052,A, 16,X,CC,  17.00,    134.9500,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                     ,R                          ,P                    ,F                ,F                     ,R                     ,                         ,                             ,                        ,                    ,                           ,F                     ,F                  ,F              ,P                     ,R                    ,                   ,                    ,                  ,F                        ,F                   ,                      ,                               ,P                         ,R                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P13           ,171,1052,A, 17,X, 3,  33.00,    139.3300,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                     ,                           ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,F                          ,                      ,F                  ,               ,                      ,R                    ,R                  ,                    ,                  ,F                        ,F                   ,                      ,                               ,P                         ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P13           ,171,1052,A, 17,X,CC,  16.00,    142.4700,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                     ,P                          ,P                    ,F                ,F                     ,R                     ,                         ,                             ,                        ,                    ,                           ,R                     ,F                  ,F              ,                      ,R                    ,R                  ,R                   ,                  ,F                        ,R                   ,                      ,P                              ,P                         ,R                  ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1052,A, 18,X, 3,  69.00,    149.3900,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,                           ,                     ,                 ,F                     ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,R                    ,R                  ,                    ,                  ,A                        ,F                   ,P                     ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1052,A, 18,X,CC,  16.00,    154.7600,Bellier  ,Planktonic Foraminifers                      ,F              ,M                 ,                     ,                           ,                     ,F                ,F                     ,                      ,                         ,                             ,                        ,                    ,R                          ,P                     ,F                  ,F              ,P                     ,R                    ,R                  ,P                   ,P                 ,R                        ,R                   ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P12           ,171,1052,A, 19,X,CC,  37.00,    164.3600,Bellier  ,Planktonic Foraminifers                      ,R              ,M                 ,P                    ,P                          ,P                    ,R                ,R                     ,R                     ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Paleocene   ,                  ,P3b           ,171,1052,A, 20,X,CC,  16.00,    163.2900,Bellier  ,Planktonic Foraminifers                      ,R              ,P                 ,                     ,                           ,                     ,                 ,                      ,                      ,R                        ,R                            ,R                       ,P                   ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
