Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata coronata,Entapium regulare,Buryella tetradica,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Theocotylissa ficus,Podocyrtis trachodes,Podocyrtis papalis,Podocyrtis chalara,Lychnocanoma bellum,Lithocyclia aristotelis group,Tristylospyris triceros,Sethochytris triconiscus,Dictyoprora pirum,Thyrsocyrtis  tetracantha,Dictyoprora armadillo,Cryptocarpium azyx,Calocyclas turris,Podocyrtis goetheana,Artophormis barbadensis,Theocyrtis tuberosa,Calocyclas bandyca,Comment
  IR,Middle Eocene    ,Late Eocene      ,Carpocanistrum azyx,Calocyclas bandyca,171,1052,A,  7,H,CC,  19.00,     61.1800,Blome    ,Radiolarians                                 ,R              ,P                 ,                              ,                 ,                  ,                        ,                       ,                  ,                       ,                     ,                   ,                    ,                  ,                  ,                   ,                             ,                       ,                        ,                 ,T                        ,                     ,                  ,T                ,                    ,                       ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,171,1052,A,  8,H,CC,  21.00,     70.3900,Blome    ,Radiolarians                                 ,C              ,G                 ,                              ,                 ,                  ,F                       ,C                      ,F                 ,F                      ,C                    ,                   ,                    ,                  ,                  ,                   ,R                            ,R                      ,                        ,F                ,                         ,C                    ,R                 ,                 ,                    ,                       ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. goetheana  ,,171,1052,A,  9,H,CC,   0.00,     79.8200,Blome    ,Radiolarians                                 ,C              ,G                 ,                              ,                 ,                  ,F                       ,A                      ,F                 ,F                      ,F                    ,R                  ,                    ,F                 ,C                 ,F                  ,R                            ,                       ,                        ,R                ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. goetheana  ,,171,1052,A, 10,H,CC,  12.00,     89.3400,Blome    ,Radiolarians                                 ,C              ,M                 ,                              ,                 ,                  ,C                       ,C                      ,C                 ,R                      ,F                    ,R                  ,                    ,F                 ,F                 ,                   ,F                            ,                       ,                        ,F                ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. goetheana  ,,171,1052,A, 11,H,CC,  21.00,     99.0400,Blome    ,Radiolarians                                 ,F              ,M                 ,                              ,                 ,                  ,F                       ,A                      ,F                 ,                       ,C                    ,F                  ,                    ,C                 ,F                 ,                   ,                             ,                       ,                        ,R                ,F                        ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. goetheana  ,,171,1052,A, 12,H, 7,  52.00,    108.2200,Blome    ,Radiolarians                                 ,C              ,VG                ,                              ,                 ,                  ,F                       ,C                      ,C                 ,                       ,F                    ,R                  ,                    ,C                 ,F                 ,F                  ,                             ,R                      ,R                       ,F                ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. goetheana  ,,171,1052,A, 13,H,CC,  16.00,    117.9000,Blome    ,Radiolarians                                 ,A              ,VG                ,                              ,                 ,                  ,C                       ,A                      ,F                 ,                       ,F                    ,                   ,                    ,C                 ,F                 ,F                  ,R                            ,R                      ,R                       ,R                ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,Podocyrtis chalara,171,1052,A, 14,H,CC,  22.00,    127.5900,Blome    ,Radiolarians                                 ,C              ,M                 ,                              ,                 ,                  ,F                       ,A                      ,                  ,F                      ,F                    ,                   ,F                   ,C                 ,F                 ,R                  ,                             ,                       ,                        ,                 ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,Podocyrtis chalara,171,1052,A, 15,H,CC,  14.00,    129.6700,Blome    ,Radiolarians                                 ,C              ,VG                ,                              ,                 ,                  ,F                       ,C                      ,C                 ,F                      ,F                    ,R                  ,F                   ,C                 ,F                 ,C                  ,R                            ,                       ,                        ,                 ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,T. triacantha     ,Calocyclas bandyca,171,1052,A, 17,X,CC,  16.00,    142.4700,Blome    ,Radiolarians                                 ,R              ,P                 ,                              ,                 ,                  ,T                       ,T                      ,T                 ,                       ,                     ,                   ,                    ,                  ,                  ,                   ,                             ,                       ,                        ,                 ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,B. campechensis   ,B. bidartensis,,171,1052,A, 20,X,CC,  16.00,    163.2900,Blome    ,Radiolarians                                 ,T              ,P                 ,                              ,                 ,T                 ,                        ,                       ,                  ,                       ,                     ,                   ,                    ,                  ,                  ,                   ,                             ,                       ,                        ,                 ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,B. campechensis   ,B. bidartensis,,171,1052,A, 21,X,CC,  24.00,    168.6400,Blome    ,Radiolarians                                 ,T              ,P                 ,T                             ,T                ,T                 ,                        ,                       ,                  ,                       ,                     ,                   ,                    ,                  ,                  ,                   ,                             ,                       ,                        ,                 ,                         ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
