Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Unipontidinium aquaeductum	Systematophora placacantha	Sumatradinium soucouyantae	Spiniferites spp.	Spiniferites pseudofurcatus	Pentadinium laticinctum	Palaeocystodinium golzowense	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Melitasphaeridium choanophorum	Lejeunecysta convexa	Habibacysta tectata	Cyclopsiella elliptica/granosa complex	Artemisiocysta sp.1	Tuberculodinium vancampoae	Sumatradinium druggii	Operculodinium israelianum s.l.	Lingulodinium machaerophorum	Labyrinthodinium truncatum truncatum	Hystrichosphaeropsis obscura	Dapsilidinium pseudocolligerum	Cordosphaeridium cantharellus	Tectatodinium pellitum	Invertocysta lacrymosa	Hystrichokolpoma rigaudiae	Batiacasphaera sphaerica	Trinovantedinium harpagonium	Reticulatosphaera actinocoronata	Operculodinium placitum	Hystrichokolpoma truncatum	Unipontidinium? sp. cf. U. aquaeductum	Spiniferites solidago	Labyrinthodinium truncatum modicum	Cristadinium sp.4	Cordosphaeridium? minimum	Cerebrocysta poulsenii	Trinovantedinium sp.	Lejeunecysta communis	Algidasphaeridium? sp.6	Selenopemphix brevispinosa brevispinosa	Operculodinium sp.	Impagidinium sp.3	Cyclopsiella sp. cf. C. vieta	Brigantedinium spp.	Cristadinium cristatoserratum	Algidasphaeridium? sp.4	Polykrikos kofoidii?	Incertae sedis sp.1	Impagidinium arachnion	Danea sp.	Algidasphaeridium? sp.8	Trinovantedinium sp. cf. T. boreale	Selenopemphix dionaeacysta	Operculodinium sp.3	Lejeunecysta sp.8	Lejeunecysta sp.3	Lejeunecysta sp.10	Batiacasphaera gemmata	Algidasphaeridium? sp.3	Selenopemphix sp. cf. S. nephroides	Polysphaeridium zoharyi	Brigantedinium? sp.6	Selenopemphix brevispinosa conspicua	Pyxidinopsis sp.1	Lejeunecysta sp.9	Impagidinium paradoxum	Algidasphaeridium? minutum	Tectatodinium simplex	Selenopemphix nephroides	Lejeunecysta? sp. (lateral horns)	Impagidinium? pallidum	Heteraulacacysta campanula	Cymatiosphaera invaginata	Cyclopsiella? sp. cf. C? trematophora	Chiropteridium galea	Algidasphaeridium? sp.11	Trinovantedinium? xylochoporum	Cannosphaeropsis passio	Brigantedinium? sp.5	Xandarodinium xanthum	Homotryblium vallum	Lejeunecysta mariae	Geonettia clineae	Spiniferites mirabilis	Operculodinium janduchenei	Bitectatodinium? sp.1	Barssidinium evangelineae	Achomosphaera andalousiensis	Trinovantedinium ferugnomatum	Lejeunecysta sp.7	Impagidinium patulum	Impagidinium fenestroseptatum	Deflandrea phosphoritica	Cordosphaeridium funiculatum	Trinovantedinium glorianum	Spiniferites delicatus?	Selenopemphix armageddonensis	Operculodinium? eirikianum	Erymnodinium delectabile	Cyst type 1 	Impagidinium velorum	Cerebrocysta satchelliae	Brigantedinium cariacoense	Algidasphaeridium? sp.7	Pyxidinopsis pastilliformis	Nematosphaeropsis lativittatus	Distatodinium paradoxum	Bitectatodinium tepikiense	Barssidinium sp. cf. B. graminosum	Algidasphaeridium? sp.5	Algidasphaeridium? euaxum	Lejeunecysta paratenella	Barssidinium graminosum	Achomosphaera sp. cf. A. ramulifera	Selenopemphix sp. cf. S. armata	Impagidinium japonicum?	Nematosphaeropsis rigida	Filisphaera microornata	Filisphaera filifera	Amiculosphaera umbracula	Selenopemphix quanta	Operculodinium centrocarpum	Impagidinium aculeatum	Barssidinium sp.3	Achomosphaera ramulifera	Spiniferites sp. cf. S. rubinus	Riculacysta perforata	Impagidinium multiplexum	Spiniferites ramosus	Brigantedinium simplex	Spiniferites bentorii	Quinquecuspis concreta	Spiniferites elongatus	Brigantedinium sp.1	Achomosphaera andalousiensis	Spiniferites membranosus	Spiniferites lazus	Spiniferites frigidus	Comment

  SR	Pleistocene      	                 	                  	              	150	 905	A	 23	H	CC	  20.00	    197.4700	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	                 	                           	                       	                            	                           	+                           	                              	                    	                   	                                      	                   	                          	                     	+                              	+                           	                                    	                            	                              	                             	+                     	                      	?                         	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	+                      	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	+                     	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	+                         	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	+                          	                      	                 	                        	+                              	                     	                        	+                   	+                     	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Pleistocene      	                 	                  	              	150	 905	A	 25	H	CC	  26.00	    215.0500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	                 	                           	                       	                            	                           	                            	                              	                    	                   	                                      	                   	                          	                     	+                              	                            	                                    	                            	                              	                             	                      	                      	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	+                         	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	+                          	                      	                 	                        	+                              	                     	                        	+                   	+                     	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Pliocene         	                 	                  	              	150	 905	A	 28	X	CC	  30.00	    231.3100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	r                         	                          	+                	                           	                       	                            	+                          	                            	                              	+                   	+                  	                                      	                   	+                         	                     	                               	                            	                                    	                            	                              	                             	+                     	                      	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	+                    	                       	                                       	                  	                 	                             	+                  	                             	                       	+                   	                   	                      	         	+                      	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	                       	+                   	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	r                   	                        	                              	                       	                    	                     	                   	                   	                 	                      	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	+                      	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	+                         	                                  	                       	                         	                        	+                      	+                                  	                               	                       	                        	                       	                    	                        	+                   	+                          	                      	                 	                        	+                              	r                    	+                       	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Pliocene         	                 	                  	              	150	 905	A	 32	X	CC	  32.00	    270.6500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	+                	                           	                       	                            	+                          	+                           	                              	                    	+                  	                                      	                   	                          	                     	+                              	                            	                                    	                            	                              	                             	+                     	+                     	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	+                  	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	+                       	                                 	                      	                          	                         	+                                    	                    	                        	                              	                       	                    	                     	                   	                   	                 	+                     	                          	                     	+                        	                            	                             	                 	+                   	                             	                        	                            	+                         	                       	+                            	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	                          	+                                 	+                      	+                        	                        	+                      	                                   	                               	                       	                        	                       	+                   	                        	                    	+                          	+                     	+                	+                       	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Pliocene         	                 	                  	              	150	 905	A	 34	X	CC	  32.00	    290.3500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	+                	                           	                       	                            	                           	                            	                              	+                   	                   	                                      	                   	+                         	                     	+                              	                            	                                    	                            	                              	                             	                      	+                     	                          	+                       	                            	+                               	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	+                    	+                      	+                                      	                  	                 	                             	                   	                             	                       	+                   	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	+                                  	                       	                    	                                    	                 	                 	+                     	+                         	                     	                        	                                 	                      	                          	+                        	                                     	                    	+                       	                              	                       	                    	                     	                   	                   	                 	                      	+                         	                     	+                        	                            	                             	                 	                    	                             	                        	                            	+                         	                       	+                            	+                         	                        	            	                    	                        	                          	+                      	                           	                              	                       	                          	+                                 	+                      	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	+                   	+                          	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	                  	              	150	 905	A	 37	X	CC	  14.00	    314.4700	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	+                	                           	                       	                            	                           	                            	                              	                    	+                  	                                      	                   	                          	                     	+                              	+                           	                                    	                            	                              	                             	?                     	+                     	?                         	+                       	                            	+                               	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	+                  	                             	                       	                    	                   	                      	         	+                      	                                   	+                         	                   	                 	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	+                        	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	+                         	+                    	+                        	                            	                             	                 	+                   	                             	                        	                            	+                         	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	                          	+                                 	+                      	                         	                        	                       	                                   	                               	                       	+                       	+                      	+                   	+                       	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	                  	              	150	 905	A	 40	X	CC	  33.00	    346.5700	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	                 	                           	                       	                            	                           	                            	                              	                    	+                  	                                      	                   	+                         	                     	+                              	                            	                                    	                            	                              	                             	+                     	+                     	+                         	                        	                            	+                               	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	+                                      	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	+                         	                   	                 	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	+                         	+                    	+                        	+                           	                             	                 	+                   	                             	                        	                            	+                         	+                      	                             	+                         	                        	            	                    	                        	                          	                       	                           	                              	                       	                          	+                                 	                       	                         	                        	                       	                                   	?                              	?                      	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	                  	              	150	 905	A	 43	X	CC	  32.00	    375.8200	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	+                	                           	                       	                            	                           	+                           	+                             	                    	+                  	                                      	                   	                          	                     	+                              	+                           	                                    	                            	                              	                             	                      	+                     	                          	                        	                            	+                               	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	+                    	                       	+                                      	                  	                 	                             	+                  	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	+                	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	+                         	                     	                         	+                           	                             	                 	                    	                             	                        	                            	+                         	+                      	                             	+                         	                        	            	                    	                        	                          	+                      	                           	+                             	                       	                          	+                                 	                       	                         	+                       	?                      	+                                  	                               	                       	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	                  	              	150	 905	A	 46	X	CC	   0.00	    404.6300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	                 	                           	                       	                            	                           	+                           	+                             	                    	+                  	                                      	                   	                          	                     	+                              	+                           	                                    	                            	                              	                             	                      	+                     	                          	                        	+                           	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	+                                      	                  	                 	                             	+                  	                             	                       	                    	                   	                      	         	                       	                                   	+                         	                   	                 	                 	                  	                      	                       	                                   	+                      	                    	                                    	                 	+                	                      	+                         	                     	                        	                                 	                      	                          	                         	                                     	r                   	                        	                              	                       	                    	                     	                   	                   	                 	                      	+                         	                     	                         	+                           	                             	                 	+                   	                             	r                       	                            	+                         	+                      	                             	+                         	                        	            	                    	                        	                          	+                      	+                          	+                             	r                      	+                         	+                                 	+                      	+                        	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	                  	              	150	 905	A	 49	X	CC	  20.00	    433.4200	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	r                         	                          	                 	                           	                       	                            	+                          	                            	                              	                    	+                  	                                      	                   	                          	                     	                               	                            	                                    	                            	                              	                             	+                     	+                     	+                         	                        	+                           	+                               	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	                       	+                   	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	r                   	                        	                              	                       	                    	                     	                   	                   	                 	                      	+                         	                     	+                        	                            	+                            	                 	                    	                             	                        	                            	+                         	+                      	                             	                          	                        	            	+                   	r                       	+                         	+                      	                           	                              	                       	                          	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	DN10              	              	150	 905	A	 52	X	CC	  40.00	    464.1600	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	r                         	                          	+                	                           	                       	                            	+                          	+                           	                              	                    	+                  	                                      	                   	+                         	                     	                               	+                           	                                    	                            	                              	                             	+                     	+                     	                          	                        	                            	+                               	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	+                         	                   	+                	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	+                    	                        	                                 	                      	                          	                         	                                     	                    	                        	+                             	                       	                    	                     	r                  	                   	                 	                      	+                         	                     	+                        	+                           	+                            	                 	+                   	                             	                        	                            	+                         	+                      	+                            	+                         	+                       	+           	                    	                        	                          	                       	                           	                              	                       	                          	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	DN9               	              	150	 905	A	 55	X	CC	  36.00	    490.2100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	+                	+                          	                       	                            	+                          	                            	                              	                    	+                  	                                      	                   	+                         	                     	+                              	+                           	+                                   	+                           	                              	r                            	+                     	+                     	+                         	                        	+                           	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	+                                      	+                 	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	+                	+                	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	r                   	                        	                              	                       	+                   	                     	                   	                   	+                	                      	+                         	                     	+                        	+                           	+                            	+                	+                   	+                            	r                       	r                           	                          	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	                          	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	DN9               	              	150	 905	A	 58	X	CC	  28.00	    519.8900	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	+                	                           	                       	                            	+                          	+                           	                              	                    	+                  	                                      	                   	                          	                     	+                              	                            	+                                   	                            	                              	                             	+                     	+                     	+                         	                        	                            	+                               	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	+                  	                             	                       	                    	                   	                      	         	+                      	                                   	+                         	                   	                 	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	+                     	+                         	                     	                        	                                 	                      	                          	                         	+                                    	                    	                        	                              	                       	+                   	                     	                   	                   	+                	                      	+                         	+                    	+                        	+                           	                             	                 	                    	                             	                        	                            	                          	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	                          	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Late Miocene     	                 	DN8               	              	150	 905	A	 62	X	CC	  17.00	    554.8800	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	r                         	+                         	                 	+                          	                       	+                           	+                          	                            	                              	+                   	+                  	                                      	+                  	+                         	                     	                               	+                           	                                    	+                           	+                             	                             	                      	                      	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	+                        	                                     	r                   	                        	                              	                       	                    	                     	r                  	                   	+                	+                     	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	                          	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	                           	                      	                 	                        	                               	                     	                        	                    	                      	                     	                      	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

