Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina linaperta,Morozovella spinulosa,Globigerinatheka mexicana,Globigerinatheka index,Acarinina primitiva,Acarinina collactea,Acarinina bullbrooki,Truncorotaloides rohri,Pseudohastigerina micra,Porticulasphaera semiinvoluta,Catapsydrax dissimilis,Hantkenina alabamensis,Chiloguembelina cubensis,Turborotalia cocoaensis,Subbotina venezuelana,Turborotalia cunialensis,Cribrohantkenina inflata,Comment
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,B,  6,H,CC,  31.00,     51.9300,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,F                          ,F                  ,                     ,                         ,R                     ,                   ,                   ,                    ,                      ,F                      ,                             ,                      ,R                     ,                        ,F                      ,                     ,R                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,B,  7,H,CC,  10.00,     61.1700,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,                     ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,F                      ,                             ,                      ,R                     ,                        ,                       ,                     ,P                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B,  8,H,CC,   8.00,     70.5800,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,                     ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,                             ,                      ,                      ,R                       ,R                      ,R                    ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B,  9,H,CC,  38.00,     80.3800,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,                     ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,                             ,                      ,                      ,                        ,R                      ,R                    ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 10,H,CC,  13.00,     87.6200,Bellier  ,Planktonic Foraminifers                      ,C              ,                  ,                     ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,P                            ,R                     ,                      ,                        ,R                      ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 11,H,CC,  26.00,     99.3500,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,                     ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,                             ,F                     ,                      ,                        ,R                      ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 12,H,CC,  10.00,    107.8600,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                    ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,P                            ,F                     ,R                     ,R                       ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 13,H,CC,   0.00,    117.7900,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,P                    ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,                             ,F                     ,R                     ,                        ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 14,H,CC,  27.00,    127.6400,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                    ,F                          ,F                  ,                     ,P                        ,                      ,                   ,                   ,                    ,                      ,R                      ,P                            ,R                     ,P                     ,                        ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 15,X,CC,  40.00,    135.2000,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                    ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,                             ,R                     ,R                     ,R                       ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 16,X,CC,  24.00,    143.8500,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,                     ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,                             ,R                     ,                      ,                        ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 17,X,CC,  28.00,    150.9600,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,P                    ,F                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,P                            ,F                     ,R                     ,                        ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 18,X,CC,  15.00,    154.9900,Bellier  ,Planktonic Foraminifers                      ,F              ,VG                ,                     ,R                          ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,R                      ,P                            ,P                     ,                      ,                        ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1053,B, 19,X,CC,  33.00,    168.7700,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                     ,F                          ,F                  ,F                    ,F                        ,P                     ,                   ,                   ,R                   ,P                     ,R                      ,P                            ,R                     ,                      ,                        ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1053,B, 20,X,CC,  35.00,    182.0900,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                    ,F                          ,F                  ,P                    ,F                        ,R                     ,R                  ,P                  ,R                   ,                      ,                       ,                             ,                      ,                      ,                        ,                       ,                     ,                        ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
