Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina triloculinoides,Globigerina linaperta,Acarinina mckannai,Planorotalites pseudomenardii,Morozovella aequa,Acarinina primitiva,Planktonic spp. indeterminate,Morozovella spp.,Globigerina spp.,Acarinina spp.,Morozovella spinulosa,Globigerina senni,Acarinina pentacamerata,Acarinina bullbrooki,Acarinina broedermanni,Morozovella aragonensis,Globigerinatheka index,Globorotalia cerroazulensis frontosa,Globigerinatheka subconglobata,Globigerinatheka spp.,Globigerinatheka subconglobata subconglobata,Globigerina eocaena,Truncorotaloides rohri,Truncorotaloides spp.,Catapsydrax spp.,Globigerina cryptomphala,Catapsydrax dissimilis,Morozovella lehneri,Globorotaloides spp.,Globigerinoides higginsi,Acarinina pseudotopilensis,Truncorotaloides topilensis,Pseudohastigerina micra,Globorotaloides suteri,Globorotalia cerroazulensis,Catapsydrax unicavus,Globigerinatheka kugleri,Globigerinatheka barri,Truncorotaloides rohri/topilensis transition,Hantkenina spp.,Globorotalia opima nana,Globorotalia cerroazulensis pomeroli,Globorotalia cerroazulensis cerroazulensis,Globigerina yeguaensis,Globorotalia cerroazulensis/pomeroli transition,Globoquadrina venezuelana,Globorotalia cerroazulensis/cocoaensis transition,Globigerina corpulenta,Globorotalia cerroazulensis cocoaensis,Globigerina sellii,Globigerina praebulloides,Globigerina ouachitaensis,Globigerina euapertura,Globigerina tripartita,Hantkenina alabamensis/primitiva,Planorotalites palmerae,Globigerina ampliapertura,Globoquadrina spp.,Pseudohastigerina naguewichiensis,Globorotalia increbescens,Globigerina woodi woodi,Globigerina ciperoensis angustiumbilicata,Globigerina ciperoensis,Globigerinelloides spp.,Globorotalia opima opima,Globigerina tapuriensis,Globigerina ciperoensis ciperoensis,Globigerina ciperoensis angulisuturalis,Globorotalia opima nana/opima opima transition,Globigerina gortanii,Hedbergella spp.,Globorotalia nana/continuosa transition,Globorotalia siakensis,Globorotalia mayeri,Globoquadrina globularis,Globorotalia obesa,Globigerinita naparimaensis,Globigerina praeturritilina,Cassigerinella chipolensis,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina dehiscens,Globorotalia fohsi peripheroronda,Globoquadrina dehiscens praedehiscens,Globigerina falconensis,Globoquadrina altispira,Globorotalia kugleri,Globorotalia continuosa,Globigerinoides altiaperturus,Globigerina venezuelana,Globoquadrina baroemoenensis,Globoquadrina dehiscens dehiscens,Globigerinoides trilobus/immaturus,Globorotalia praescitula,Globoquadrina altispira globosa,Globigerinoides sacculifer,Catapsydrax stainforthi,Globorotalia acrostoma,Globigerinoides subquadratus,Globoquadrina altispira altispira,Globoquadrina altispira conica,Globorotalia archeomenardii,Globorotalia miozea,Globigerina druryi,Praeorbulina transitoria,Hastigerina praesiphonifera,Praeorbulina sicana,Sphaeroidinellopsis disjuncta,Globorotalia scitula s.l.,Globigerina bulloides,Sphaeroidinellopsis seminulina,Praeorbulina glomerosa glomerosa,Praeorbulina glomerosa curva,Praeorbulina glomerosa,Globorotalia conoidea,Orbulina universa,Orbulina suturalis,Globorotalia scitula,Globorotalia fohsi peripheroacuta,Globorotalia fohsi fohsi,Globigerina decoraperta,Globorotalia praemenardii,Globorotalia cibaoensis,Globorotalia menardii,Globigerina nepenthes,Globigerina apertura,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina pachyderma,Neogloboquadrina atlantica,Globorotalia merotumida,Neogloboquadrina acostaensis,Beella praedigitata,Neogloboquadrina humerosa,Globigerinoides trilobus/sacculifer transition,Globigerinoides ruber (white),Sphaeroidinellopsis subdehiscens,Globigerinatella insueta,Pseudotextularia elegans,Marginotruncana spp.,Hedbergella holmdelensis,Globotruncanita stuartiformis,Globigerinoides obliquus obliquus,Globigerinoides conglobatus,Hastigerina siphonifera,Globorotalia puncticulata,Globorotalia crassaformis ronda,Globorotalia crassaformis crassaformis,Globorotalia crassaformis,Globotruncana marginata,Hastigerina aequilateralis,Globorotalia margaritae margaritae,Globigerina megastoma cariacoensis,Neogloboquadrina dutertrei,Orbulina bilobata,Globigerinoides elongatus/obliquus extremus,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globorotalia inflata,Globorotalia triangula,Pulleniatina primalis,Globorotalia tosaensis,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Globigerina bermudezi,Globorotalia hirsuta,Globigerinoides ruber (pink),Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 900,A,  5,R, 1, 114.00,     31.5400,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,r                                ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,                              ,                                ,                            ,                      ,                     ,C                ,R                 ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,C                          ,C                         ,                       ,R                           ,                   ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,F                          ,R                      ,                         ,F                              ,R                                     ,R                        ,                       ,                          ,                                  ,                                  ,R                         ,                 ,R                                          ,F                        ,F                            ,C                   ,C                     ,R                    ,R                     ,F                              ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 900,A,  6,R, 4,  57.00,     45.0700,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,C                    ,                              ,                                ,                            ,                      ,                     ,C                ,R                 ,R                   ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,C                          ,F                         ,                       ,                            ,                   ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,R                                ,R                          ,R                      ,                         ,                               ,                                      ,                         ,                       ,F                         ,                                  ,F                                 ,R                         ,F                ,R                                          ,R                        ,                             ,C                   ,C                     ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 900,A,  6,R,CC,  14.00,     48.9800,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,R                ,                  ,R                   ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,F                          ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,R                          ,                       ,                         ,                               ,R                                     ,                         ,                       ,                          ,                                  ,                                  ,R                         ,                 ,                                           ,                         ,R                            ,C                   ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,N19               ,N20           ,149, 900,A,  7,R, 3, 124.00,     53.8400,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,R                      ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,                              ,                                ,                            ,                      ,                     ,R                ,R                 ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,C                          ,                          ,                       ,                            ,                   ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,R                          ,                       ,                         ,R                              ,                                      ,R                        ,                       ,                          ,                                  ,                                  ,R                         ,                 ,R                                          ,R                        ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,N19               ,N20           ,149, 900,A,  7,R,CC,  17.00,     57.7900,Gervais  ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,R                ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,F                          ,                          ,                       ,                            ,                   ,                         ,                                              ,R                            ,                                ,                        ,                        ,                    ,                        ,                             ,R                                ,                           ,                       ,                         ,                               ,                                      ,                         ,                       ,                          ,                                  ,                                  ,R                         ,                 ,                                           ,                         ,                             ,                    ,                      ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
