Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Discoaster spp.,Discoaster barbadiensis,Coccolithus pelagicus,Chiasmolithus grandis,Zygrhablithus bijugatus,Sphenolithus spiniger,Sphenolithus pseudoradians/radians,Reticulofenestra dictyoda,Nannotetrina sp.,Fasciculithus sp.,Discoaster lodoensis,Discoaster deflandrei,Cyclicargolithus floridanus,Coccolithus formosus,Sphenolithus anarrhopus,Rhabdosphaera sp.,Pedinocyclus larvalis,Chiasmolithus titus,Chiasmolithus solitus,Chiasmolithus nitidus,Chiasmolithus gigas,Campylosphaera dela,Discoaster saipanensis,Striatococcolithus pacificanus,Discoaster nonaradiatus,Chiasmolithus consuetus,Calcidiscus protoannulus,Toweius sp.,Nannotetrina fulgens,Thoracosphaera sp.,Sphenolithus furcatolithoides,Discoaster sublodoensis,Bramletteius serraculoides,Helicosphaera sp.,Helicosphaera heezenii,Helicosphaera compacta,Discoaster tanii nodifer,Discoaster tanii,Reticulofenestra umbilica,Clausicoccus fenestratus,Hayaster perplexus,Sphenolithus intercalaris,Reticulofenestra reticulata,Reticulofenestra bisecta,Discoaster binodosus,Coronocyclus nitescens,Sphenolithus predistentus,Sphenolithus distentus,Blackites spinosus,Sphenolithus tribulosus,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Sphenolithus dissimilis,Sphenolithus conicus,Sphenolithus delphix,Discoaster variabilis,Discoaster druggii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,143, 869,A,  1,H, 5,   4.00,      6.0400,Firth    ,Nannofossils                                 ,A              ,M                 ,F                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,C                 ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,143, 869,A,  1,H, 6,   4.00,      7.5400,Firth    ,Nannofossils                                 ,A              ,M                 ,F                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,R                     ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,C                 ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,143, 869,A,  1,H, 7,   4.00,      9.0400,Firth    ,Nannofossils                                 ,A              ,P-M               ,F                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,C                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,R                    ,F                 ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  2,H, 1, 145.00,     11.1500,Firth    ,Nannofossils                                 ,A              ,M                 ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,F                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  2,H, 2, 127.00,     12.4700,Firth    ,Nannofossils                                 ,A              ,P-M               ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,A                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  2,H, 3,  93.00,     13.6300,Firth    ,Nannofossils                                 ,A              ,P-M               ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,A                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  2,H, 4,  55.00,     14.7500,Firth    ,Nannofossils                                 ,A              ,P-M               ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,C                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  2,H, 5,   8.00,     15.7800,Firth    ,Nannofossils                                 ,A              ,P-M               ,A                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,C                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  2,H, 6,  40.00,     17.6000,Firth    ,Nannofossils                                 ,A              ,P-M               ,A                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,C                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  2,H, 7,   5.00,     18.7500,Firth    ,Nannofossils                                 ,A              ,P-M               ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 1,  74.00,     19.9400,Firth    ,Nannofossils                                 ,A              ,P-M               ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 2, 120.00,     21.9000,Firth    ,Nannofossils                                 ,A              ,M-G               ,A                      ,               ,                       ,A                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,R                       ,                    ,R                     ,                         ,                      ,                  ,                       ,R                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 3,  25.00,     22.4500,Firth    ,Nannofossils                                 ,A              ,P-M               ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,R                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 4, 139.00,     25.0900,Firth    ,Nannofossils                                 ,A              ,P-M               ,C                      ,               ,                       ,A                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 5,  27.00,     25.4700,Firth    ,Nannofossils                                 ,A              ,M                 ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,R                   ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,R                        ,                        ,                  ,                         ,                           ,R                       ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,R                       ,R                      ,F                   ,F                   ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 5,  29.00,     25.4900,Firth    ,Nannofossils                                 ,A              ,M                 ,A                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,R                         ,                 ,                      ,                      ,                        ,                ,R                        ,                        ,                  ,                         ,                           ,R                       ,                    ,                      ,R                        ,                      ,                  ,                       ,A                           ,R                       ,                       ,F                   ,R                   ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 5,  40.00,     25.6000,Firth    ,Nannofossils                                 ,A              ,M                 ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,R                             ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,R                         ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,R                       ,                    ,R                     ,                         ,                      ,                  ,                       ,C                           ,                        ,F                      ,F                   ,R                   ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 5, 100.00,     26.2000,Firth    ,Nannofossils                                 ,A              ,M                 ,A                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,R                       ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,R                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 5, 108.00,     26.2800,Firth    ,Nannofossils                                 ,A              ,M                 ,C                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,R                    ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,R                        ,                        ,                  ,                         ,                           ,R                       ,                    ,                      ,R                        ,                      ,                  ,                       ,A                           ,                        ,                       ,F                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 5, 138.00,     26.5800,Firth    ,Nannofossils                                 ,A              ,G                 ,C                      ,               ,                       ,C                    ,                     ,R                      ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,R                       ,                  ,                         ,                           ,R                       ,                    ,R                     ,                         ,                      ,                  ,                       ,C                           ,R                       ,F                      ,F                   ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 6,   7.00,     26.7700,Firth    ,Nannofossils                                 ,A              ,M                 ,A                      ,               ,                       ,R                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,R                       ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,R                       ,R                      ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 6,  31.00,     27.0100,Firth    ,Nannofossils                                 ,A              ,P-M               ,F                      ,               ,                       ,F                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,R                        ,                        ,                  ,                         ,                           ,R                       ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN1               ,              ,143, 869,A,  3,H, 6,  83.00,     27.5300,Firth    ,Nannofossils                                 ,A              ,P-M               ,R                      ,               ,                       ,F                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,R                         ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
