Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pyrulina spp.,Oolina spp.,Marssonella sp.,Lenticulina spp.,Dorothia spp.,Dentalina spp.,Nodosaria spp.,Marginulinopsis spp.,Lagena spp.,Gyroidinoides infracretaceus,Gaudryina dividens,Astacolus spp.,Serovaina lobulata,Remesella sp.,Ramulina tappanae,Quinqueloculina spp.,Pseudoclavulina globulifera,Protosangularia utaturensis,Protosangularia cenomaniana,Protosangularia albiana,Praebulimina reussi,Hanzawaia ammophila,Quasispiroplectammina sp.,Gaudryina pyramidata,Ellipsodimorphina spp.,Pyramidina rudita,Protosangularia sp.,Hanzawaia compressa,Gyroidinoides globosa,Guttulina sp.,Spiroplectinella excolata,Saracenaria spp.,Pseudoclavulina rugolosa,Pleurostomella obtusa,Lingulogavelinella indica,Gavelinella sp.,Pyramidina sp.,Marssonella oxycona,Alabamina creta,Osangularia plummerae,Nuttallides truempyi,Conorbinoides hillebrandti,Oridorsalis umbonatus,Globorotalites michelinianus,Aragonia velascoensis,Aragonia ouezzanensis,Anomalinoides spp.,Spiroplectammina spectabilis,Gyroidinoides spp.,Buliminella spp.,Buliminella carseyae,Bathysiphon brosgeri,Pleurostomella spp.,Gyroidinoides quadratus,Stilostomella subspinosa,Stilostomella spp.,Stilostomella abyssorum,Pullenia bulloides,Nonion spp.,Karreriella bradyi,Fissurina spp.,Cibicidoides wuellerstorfi,Cibicidoides subhaidingeri,Anomalinoides globulosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B,  6,R,CC,  13.00,    210.2500,benthics ,Benthic Foraminifers                         ,R              ,G                 ,             ,T          ,               ,T               ,             ,T             ,              ,                    ,           ,                            ,                  ,              ,                  ,             ,                 ,                    ,                           ,                           ,                           ,                       ,                   ,                   ,                         ,                    ,                      ,                 ,                   ,                   ,T                    ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,T                  ,               ,F                    ,T                   ,T                         ,C                    ,T                           ,T                    ,+                    ,T                 ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B,  9,R,CC,  16.00,    230.8600,benthics ,Benthic Foraminifers                         ,T              ,M                 ,             ,T          ,               ,                ,             ,T             ,              ,                    ,           ,                            ,                  ,              ,                  ,             ,                 ,                    ,                           ,                           ,                           ,                       ,                   ,T                  ,                         ,                    ,R                     ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,R                  ,               ,C                    ,R                   ,R                         ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,only 21 specimen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 22,R,CC,   0.00,    354.5000,benthics ,Benthic Foraminifers                         ,R              ,M                 ,             ,T          ,               ,T               ,             ,R             ,R             ,                    ,           ,R                           ,                  ,              ,R                 ,             ,                 ,                    ,R                          ,                           ,F                          ,R                      ,                   ,R                  ,                         ,                    ,                      ,                 ,                   ,                   ,R                    ,             ,F                        ,R               ,                        ,                     ,                         ,R              ,T             ,R                  ,+              ,                     ,                    ,                          ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 24,R,CC,  22.00,    373.9200,benthics ,Benthic Foraminifers                         ,R              ,P                 ,             ,           ,               ,R               ,             ,R             ,T             ,                    ,           ,R                           ,T                 ,              ,R                 ,             ,                 ,                    ,R                          ,+                          ,F                          ,F                      ,R                  ,T                  ,                         ,R                   ,                      ,T                ,                   ,                   ,R                    ,T            ,R                        ,R               ,T                       ,R                    ,T                        ,R              ,              ,                   ,               ,                     ,                    ,                          ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 28,R,CC,  11.00,    417.3400,benthics ,Benthic Foraminifers                         ,R              ,M                 ,             ,           ,               ,R               ,R            ,              ,T             ,                    ,T          ,R                           ,R                 ,R             ,R                 ,R            ,                 ,                    ,R                          ,                           ,R                          ,                       ,T                  ,R                  ,                         ,T                   ,                      ,T                ,F                  ,F                  ,F                    ,R            ,                         ,                ,                        ,                     ,                         ,               ,              ,                   ,               ,                     ,                    ,                          ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 30,R,CC,  19.00,    431.4900,benthics ,Benthic Foraminifers                         ,F              ,M                 ,             ,           ,               ,R               ,             ,R             ,              ,                    ,T          ,F                           ,R                 ,              ,R                 ,R            ,                 ,                    ,R                          ,+                          ,R                          ,F                      ,                   ,T                  ,R                        ,T                   ,R                     ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,                   ,               ,                     ,                    ,                          ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 33,R, 1, 103.00,    460.3300,benthics ,Benthic Foraminifers                         ,R              ,P                 ,T            ,           ,               ,R               ,R            ,F             ,              ,                    ,           ,F                           ,F                 ,              ,T                 ,R            ,R                ,R                   ,F                          ,T                          ,R                          ,F                      ,R                  ,T                  ,                         ,                    ,                      ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,                   ,               ,                     ,                    ,                          ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 43,R,CC,  20.00,    557.0200,benthics ,Benthic Foraminifers                         ,A              ,P                 ,R            ,R          ,               ,F               ,T            ,C             ,R             ,R                   ,R          ,R                           ,F                 ,R             ,                  ,             ,                 ,                    ,                           ,                           ,                           ,                       ,                   ,                   ,                         ,                    ,                      ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,                   ,               ,                     ,                    ,                          ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,"uniserial, unilocular forms and VAGINULINIDAE are dominant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B, 47,R, 3,  79.00,    597.3800,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R            ,T          ,A              ,C               ,T            ,R             ,              ,                    ,           ,                            ,                  ,              ,                  ,             ,                 ,                    ,                           ,                           ,                           ,                       ,                   ,                   ,                         ,                    ,                      ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,                   ,               ,                     ,                    ,                          ,                     ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
