Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiroplectammina spectabilis	Pyramidina rudita	Praebulimina reussi	Osangularia plummerae	Oridorsalis umbonatus	Nuttallides truempyi	Nodosarella subnodosa	Lenticulina spp.	Gyroidinoides spp.	Gyroidinoides globosa	Gyroidinoides complanata	Gaudryina pyramidata	Ellipsodimorphina spp.	Dentalina spp.	Conorbinoides hillebrandti	Buliminella spp.	Buliminella carseyae	Aragonia velascoensis	Aragonia ouezzanensis	Alabamina creta	Pyramidina szajnochae	Nuttallinella michelinianus	Gyroidinoides quadratus	Globorotalites michelinianus	Ammodiscus glabratus	Pleurostomella spp.	Plectofrondicularia spp.	Gyroidinoides girardanus	Gaudryina dividens	Vulvulina spinosa	Stilostomella subspinosa	Pullenia quinqueloba	Pullenia bulloides	Parafissurina spp.	Oolina spp.	Nonion spp.	Karreriella bradyi	Fissurina spp.	Eggerella bradyi	Cibicidoides wuellerstorfi	Cibicidoides subhaidingeri	Cibicidoides renzi	Cibicidoides bradyi	Anomalinoides globulosus	Stilostomella spp.	Stilostomella abyssorum	Pyrgo lucernula	Melonis pompilioides	Martinottiella sp.	Ehrenbergina hystrix	Uvigerina hispida	Pyrgo murrhina	Gaudryina spp.	Uvigerina hispidocostata	Uvigerina graciliformis	Quinqueloculina sp.	Haplophragmoides spp.	Gyroidinoides soldanii	Gyroidinoides neosoldanii	Globocassidulina subglobosa	Cibicidoides spp.	Cibicidoides incrassatus	Cibicidoides cicatricosus	Pleurostomella obtusa	Melonis sphaeroides	Bathysiphon spp.	Nodosaria spp.	Ellipsoidina ellipsoides	Bolivina spp.	Uvigerina spp.	Stainforthia complanata	Bulimina spp.	Comment

  IR	                 	                 	                  	              	198	1207	A	 11	H	CC	   4.00	    100.0500	benthics 	Benthic Foraminifers                         	R              	G                 	                            	                 	                   	                     	F                    	                    	                     	                	                  	                     	                        	                    	                      	T             	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	                   	                        	R                       	                  	                 	T                       	                    	R                 	                  	           	           	R                 	T             	R               	                          	R                         	                  	                   	                        	R                 	F                      	R              	                    	                  	                    	R                	F             	              	R                       	R                      	T                  	R                    	+                     	R                        	R                          	+                	R                       	R                        	                     	                   	                	              	                        	             	              	                       	             	       

  IR	                 	                 	                  	              	198	1207	A	 12	H	CC	  17.00	    109.7300	benthics 	Benthic Foraminifers                         	R              	G                 	                            	                 	                   	                     	F                    	                    	                     	                	                  	                     	                        	                    	                      	T             	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	T                  	                        	R                       	                  	                 	R                       	T                   	R                 	                  	           	R          	R                 	T             	F               	                          	R                         	                  	                   	                        	                  	                       	R              	                    	                  	                    	T                	F             	R             	                        	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	              	                        	             	              	                       	             	       

  IR	                 	                 	                  	              	198	1207	A	 15	H	CC	  22.00	    138.2700	benthics 	Benthic Foraminifers                         	F              	G                 	                            	                 	                   	                     	F                    	                    	                     	                	                  	                     	                        	                    	                      	R             	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	T                  	                        	                        	                  	                 	                        	                    	                  	                  	           	+          	                  	R             	R               	T                         	                          	                  	R                  	                        	T                 	C                      	T              	R                   	R                 	R                   	                 	              	              	                        	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	              	                        	             	              	                       	             	       

  IR	                 	                 	                  	              	198	1207	A	 17	H	 2	 107.00	    149.8700	benthics 	Benthic Foraminifers                         	F              	G                 	                            	                 	                   	                     	R                    	                    	                     	                	                  	                     	                        	                    	                      	R             	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	                   	                        	R                       	                  	R                	F                       	T                   	R                 	                  	R          	R          	R                 	T             	R               	F                         	F                         	R                 	T                  	F                       	                  	                       	               	                    	                  	                    	                 	              	              	                        	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	              	                        	             	              	                       	             	       

  IR	                 	                 	                  	              	198	1207	A	 17	H	CC	  20.00	    157.2100	benthics 	Benthic Foraminifers                         	C              	G                 	                            	                 	                   	                     	R                    	                    	                     	                	                  	                     	                        	                    	                      	R             	                          	                	                    	                     	                     	               	                     	                           	                       	                            	                    	                   	                        	R                       	                  	R                	F                       	T                   	R                 	T                 	R          	R          	R                 	R             	T               	F                         	F                         	R                 	T                  	R                       	                  	                       	               	                    	                  	                    	                 	              	              	                        	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	              	                        	             	              	                       	             	       

  IR	                 	                 	                  	              	198	1207	A	 18	H	CC	  12.00	    166.5900	benthics 	Benthic Foraminifers                         	R              	G                 	                            	                 	                   	F                    	R                    	R                   	                     	T               	                  	                     	                        	F                   	                      	T             	R                         	T               	                    	T                    	                     	               	                     	                           	T                      	                            	                    	T                  	T                       	R                       	R                 	                 	                        	                    	                  	                  	           	           	                  	              	                	                          	                          	                  	                   	                        	                  	                       	               	                    	                  	                    	                 	              	              	                        	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	              	                        	             	              	                       	             	mixed sample (Miocene and Campanian )

  IR	                 	                 	                  	              	198	1207	A	 21	X	CC	  12.00	    188.5400	benthics 	Benthic Foraminifers                         	R              	G                 	                            	R                	                   	F                    	R                    	R                   	                     	T               	F                 	R                    	                        	T                   	R                     	R             	R                         	                	                    	                     	                     	               	R                    	T                          	T                      	+                           	T                   	                   	                        	                        	                  	                 	                        	                    	                  	                  	           	           	                  	              	                	                          	                          	                  	                   	                        	                  	                       	               	                    	                  	                    	                 	              	              	                        	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	              	                        	             	              	                       	             	almost all specimens are from small-size fraction

  IR	                 	                 	                  	              	198	1207	A	 23	X	CC	  19.00	    207.5200	benthics 	Benthic Foraminifers                         	R              	M                 	T                           	R                	R                  	T                    	F                    	R                   	T                    	T               	R                 	R                    	R                       	R                   	R                     	R             	R                         	+               	R                   	R                    	R                    	T              	                     	                           	                       	                            	                    	                   	                        	                        	                  	                 	                        	                    	                  	                  	           	           	                  	              	                	                          	                          	                  	                   	                        	                  	                       	               	                    	                  	                    	                 	              	              	                        	                       	                   	                     	                      	                         	                           	                 	                        	                         	                     	                   	                	              	                        	             	              	                       	             	       

