Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,P-D intergrade,Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia menardii,Globoquadrina hexagona,Globoquadrina conglomerata,Globigerinoides tenellus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides conglobatus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina rubescens,Globigerina digitata,Globigerina calida,Globigerina bulloides,Orbulina universa,Globorotalia crassaformis,Globorotalia scitula,Globigerina falconensis,Globorotalia hirsuta,Neogloboquadrina pachyderma (dex.),Globorotalia inflata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 3, 121.00,      4.2100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,15.2%                       ,1.9%          ,11.3%                     ,1.8%               ,14.0%                ,2.1%                  ,6.3%                      ,.9%                     ,10.4%                     ,17.0%                ,1.2%                       ,5.4%                   ,3.6%                         ,                     ,.3%                 ,1.5%              ,4.5%                 ,.3%              ,2.4%                     ,.3%                 ,                       ,                    ,.3%                               ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 3, 131.00,      4.3100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,9.9%                        ,3.1%          ,12.9%                     ,.9%                ,11.4%                ,.7%                   ,2.9%                      ,2.2%                    ,7.2%                      ,17.1%                ,                           ,13.6%                  ,1.8%                         ,.4%                  ,.2%                 ,                  ,10.7%                ,1.1%             ,3.1%                     ,                    ,.9%                    ,.2%                 ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 3, 141.00,      4.4100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,11.4%                       ,2.6%          ,17.7%                     ,4.7%               ,17.0%                ,.5%                   ,2.6%                      ,.5%                     ,2.8%                      ,12.1%                ,.7%                        ,10.5%                  ,2.6%                         ,.9%                  ,.5%                 ,.5%               ,9.6%                 ,.9%              ,1.9%                     ,                    ,.2%                    ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,   1.00,      4.5100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,14.4%                       ,.8%           ,19.8%                     ,2.3%               ,18.3%                ,.8%                   ,3.9%                      ,1.2%                    ,5.1%                      ,11.7%                ,1.2%                       ,5.1%                   ,3.1%                         ,.4%                  ,.4%                 ,2.3%              ,7.0%                 ,1.6%             ,.8%                      ,                    ,                       ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  11.00,      4.6100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,16.3%                       ,              ,18.0%                     ,1.7%               ,13.3%                ,1.0%                  ,9.3%                      ,                        ,10.3%                     ,12.3%                ,1.3%                       ,2.7%                   ,3.7%                         ,                     ,                    ,.7%               ,5.0%                 ,2.3%             ,1.0%                     ,.3%                 ,                       ,.3%                 ,.3%                               ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  21.00,      4.7100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,.3%                      ,20.5%                       ,1.7%          ,11.8%                     ,4.0%               ,17.5%                ,                      ,3.0%                      ,.3%                     ,4.0%                      ,10.1%                ,1.0%                       ,12.1%                  ,1.3%                         ,.3%                  ,.3%                 ,1.3%              ,5.7%                 ,1.7%             ,2.7%                     ,                    ,                       ,                    ,.3%                               ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  31.00,      4.8100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,.4%                      ,11.0%                       ,1.2%          ,21.3%                     ,2.8%               ,9.8%                 ,2.4%                  ,5.9%                      ,                        ,11.4%                     ,17.3%                ,.4%                        ,3.9%                   ,4.3%                         ,                     ,.4%                 ,2.8%              ,3.2%                 ,1.2%             ,.4%                      ,                    ,                       ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  41.00,      4.9100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,.2%                      ,5.5%                        ,              ,11.5%                     ,                   ,3.1%                 ,4.3%                  ,4.1%                      ,.2%                     ,14.9%                     ,33.6%                ,.7%                        ,9.6%                   ,4.1%                         ,                     ,                    ,1.7%              ,3.6%                 ,1.0%             ,.7%                      ,.2%                 ,                       ,1.0%                ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  51.00,      5.0100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,5.4%                        ,              ,10.7%                     ,.2%                ,3.0%                 ,1.9%                  ,3.7%                      ,1.2%                    ,14.0%                     ,35.2%                ,.2%                        ,12.1%                  ,4.9%                         ,.2%                  ,.2%                 ,1.6%              ,3.7%                 ,1.4%             ,                         ,.2%                 ,                       ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  61.00,      5.1100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,.4%                      ,9.4%                        ,2.0%          ,14.8%                     ,2.0%               ,14.5%                ,                      ,1.2%                      ,3.1%                    ,7.8%                      ,18.4%                ,.4%                        ,12.5%                  ,2.0%                         ,.8%                  ,.4%                 ,2.3%              ,2.3%                 ,2.3%             ,2.0%                     ,                    ,1.6%                   ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  71.00,      5.2100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,10.2%                       ,.5%           ,15.7%                     ,1.4%               ,11.6%                ,.9%                   ,1.9%                      ,3.2%                    ,5.1%                      ,15.3%                ,.5%                        ,11.6%                  ,3.2%                         ,1.4%                 ,.9%                 ,2.3%              ,8.3%                 ,.9%              ,2.3%                     ,                    ,1.9%                   ,.9%                 ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  81.00,      5.3100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,12.2%                       ,2.1%          ,17.7%                     ,.5%                ,10.4%                ,3.1%                  ,1.4%                      ,.5%                     ,8.2%                      ,21.9%                ,.7%                        ,8.9%                   ,3.1%                         ,.2%                  ,1.2%                ,2.1%              ,2.8%                 ,1.4%             ,.7%                      ,                    ,.9%                    ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4,  91.00,      5.4100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,                         ,14.7%                       ,.8%           ,14.7%                     ,1.7%               ,15.6%                ,1.7%                  ,8.8%                      ,                        ,9.2%                      ,18.1%                ,.8%                        ,3.8%                   ,2.5%                         ,                     ,                    ,.8%               ,3.4%                 ,1.7%             ,.8%                      ,                    ,.8%                    ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4, 101.00,      5.5100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,.4%                      ,19.7%                       ,.4%           ,11.4%                     ,1.4%               ,13.5%                ,.7%                   ,4.8%                      ,                        ,5.9%                      ,20.1%                ,1.0%                       ,6.6%                   ,1.7%                         ,1.4%                 ,.7%                 ,.7%               ,7.3%                 ,.7%              ,.7%                      ,                    ,1.0%                   ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4, 111.00,      5.6100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,.5%                      ,18.7%                       ,.2%           ,11.1%                     ,1.2%               ,12.9%                ,1.2%                  ,3.5%                      ,.7%                     ,8.1%                      ,22.8%                ,1.2%                       ,8.1%                   ,3.2%                         ,.2%                  ,.5%                 ,.9%               ,3.0%                 ,1.2%             ,.9%                      ,                    ,                       ,.2%                 ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4, 121.00,      5.7100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,.3%                      ,14.6%                       ,              ,14.1%                     ,1.3%               ,15.6%                ,                      ,3.9%                      ,.3%                     ,8.2%                      ,23.9%                ,.5%                        ,5.6%                   ,3.3%                         ,                     ,.5%                 ,1.0%              ,4.4%                 ,1.0%             ,.5%                      ,.5%                 ,.5%                    ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4, 131.00,      5.8100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,2.1%                     ,18.4%                       ,2.1%          ,15.9%                     ,9.6%               ,25.5%                ,.4%                   ,.8%                       ,                        ,5.9%                      ,6.7%                 ,.4%                        ,2.1%                   ,3.8%                         ,                     ,1.3%                ,2.5%              ,1.3%                 ,.4%              ,.8%                      ,                    ,                       ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,B,  1,H, 4, 141.00,      5.9100,Chen     ,Planktonic Foraminifers                      ,               ,                  ,1.0%                     ,15.0%                       ,.5%           ,10.9%                     ,9.9%               ,17.1%                ,1.0%                  ,1.6%                      ,2.6%                    ,5.2%                      ,12.4%                ,.5%                        ,11.9%                  ,2.6%                         ,.5%                  ,1.0%                ,1.0%              ,5.2%                 ,                 ,                         ,                    ,                       ,                    ,                                  ,                    ,from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
