Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,reticulofenstrids small,Syracosphaera spp.,Sphenolithus gr. moriformis/abies,Rhabdosphaera spp.,Reticulofenestra pseudoumbilicus,Helicosphaera intermedia,Helicosphaera carteri,Discoaster surculus,Discoaster spp.,Discoaster pentaradiatus,Discoaster gr. variabilis,Discoaster brouweri,Dictyococcites spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Scyphosphaera spp.,Pontosphaera spp.,Scapholithus fossilis,Discoaster intercalaris,Helicosphaera stalis,Umbilicosphaera spp.,Reticulofenestra pseudoumbilicus (circular outline),Florisphaera profunda,Amaurolithus primus/tricorniculatus,Amaurolithus delicatus,Thoracosphaera spp.,Ceratolithus acutus,Triquetrorhabdulus rugosus,Comment
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  69.00,     96.5900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,C                 ,A                                ,C                 ,R/F                             ,R                       ,C                    ,280                ,10             ,410                     ,240                      ,460                ,C                  ,C/A                  ,                      ,A                     ,C                 ,C/A              ,R                    ,10                     ,                    ,C                   ,                                                   ,150                  ,30                                 ,150                   ,                   ,RR                 ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1410.  Sparce foraminifers. Rare gypsum crystals. Rare dolomite. Common organic matter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  79.00,     96.6900,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,F/C               ,C                                ,F/C               ,A                               ,                        ,C                    ,400                ,10             ,50                      ,1080                     ,230                ,C/A                ,C/A                  ,R                     ,C                     ,C                 ,C/A              ,R                    ,30                     ,                    ,                    ,A                                                  ,40                   ,20                                 ,10                    ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1800. Sparce dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  90.00,     96.8000,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,F                 ,C/A                              ,C                 ,A                               ,R                       ,A                    ,400                ,               ,10                      ,1370                     ,120                ,C                  ,A                    ,F                     ,A                     ,C/A               ,C/A              ,                     ,10                     ,                    ,F                   ,A                                                  ,60                   ,                                   ,60                    ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1910. Common dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6,  98.00,     96.8800,Castradori,Nannofossils                                 ,A              ,M/G               ,AA                     ,F                 ,F                                ,F/C               ,A                               ,                        ,C                    ,280                ,20             ,30                      ,550                      ,50                 ,C                  ,C/A                  ,F                     ,A                     ,C                 ,C                ,R                    ,10                     ,                    ,C                   ,A                                                  ,80                   ,10                                 ,10                    ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 940.  Sparce foraminifers. Sparce dolomite. Sparce gypsum crystals. Sparce organic matter. Rare reworked Cretaceous taxa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6, 108.00,     96.9800,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,R                 ,A                                ,F/C               ,A                               ,F                       ,C                    ,190                ,               ,                        ,820                      ,150                ,C                  ,C                    ,F                     ,A                     ,C/A               ,C/A              ,R                    ,10                     ,                    ,F                   ,A                                                  ,35                   ,                                   ,+                     ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1170. Sparce foraminifers. Rare dolomite. Rare gypsum crystals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 6, 117.00,     97.0700,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,F                 ,A                                ,C                 ,A                               ,F                       ,A                    ,60                 ,               ,660                     ,470                      ,330                ,F                  ,R                    ,                      ,C                     ,C                 ,C                ,R                    ,10                     ,                    ,C                   ,A                                                  ,180                  ,                                   ,20                    ,R                  ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1530.  Sparce foraminifers. Sparce dolomite. Rare gypsum crystals. Sparce/Common organic matter. Rare reworked Cretceous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
