Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Triquetrorhabdulus rugosus,Sphenolithus moriformis,Sphenolithus heteromorphus,Scyphosphaera spp.,Scapholithus fossilis,Rhabdosphaera procera,Reticulofenestra pseudoumbilicus,Reticulofenestra minutula,Reticulofenestra minuta,Pyrocyclus orangensis,Pyrocyclus hermosus,Pontosphaera multipora,Helicosphaera euphratis,Helicosphaera carteri,Hayella aperta,Geminilithella rotula,Discoaster variabilis,Discoaster signus,Discoaster musicus,Discoaster kugleri,Discoaster bollii,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus tropicus,Calcidiscus premacintyrei,Calcidiscus macintyrei,Calcidiscus leptoporus,Helicosphaera walbersdorfensis,Sphenolithus abies,Pontosphaera discopora,Helicosphaera stalis,Helicosphaera orientalis,Discoaster bellus,Catinaster coalitus,Catinaster calyculus,Syracosphaera spp.,Reticulofenestra rotaria,Minylitha convallis,Discoaster prepentaradiatus,Discoaster neohamatus,Discoaster brouweri,Cryptococcolithus takayamae,Discoaster pentaradiatus,Discoaster calcaris,Pontosphaera spp.,Discoaster quinqueramus,Discoaster loeblichii,Discoaster berggrenii,Cruciplacolithus tenuiforatus,Triquetrorhabdulus striatus,Discoaster surculus,Amaurolithus primus,Holodiscolithus solidus,Amaurolithus delicatus,Discoaster deflandrei,Amaurolithus amplificus,Hayella challengeri,Amaurolithus tricorniculatus,Discoaster asymmetricus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 21,X,CC,   1.00,    187.8400,Howe     ,Nannofossils                                 ,L-M            ,P-M               ,R                      ,                          ,                       ,                          ,                  ,                     ,                     ,F                               ,C                        ,C                      ,                     ,                   ,                      ,                       ,R                    ,              ,R                    ,F                    ,                 ,                  ,                  ,                 ,                           ,R                    ,                        ,                    ,                         ,R                     ,                      ,                              ,R                 ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,R                  ,                           ,F                       ,                   ,                 ,F                      ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,R                     ,                     ,                       ,                   ,                            ,                       ,Single Paleogene reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 22,X, 4,  35.00,    193.9500,Howe     ,Nannofossils                                 ,VH             ,M                 ,                       ,R                         ,                       ,                          ,S                 ,                     ,C                    ,C                               ,A                        ,A                      ,                     ,                   ,                      ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,                    ,                         ,F                     ,R                     ,                              ,F                 ,R                     ,                    ,                        ,                 ,                   ,                    ,                  ,R                       ,                   ,                           ,                     ,F                  ,                           ,F                       ,                   ,                 ,C                      ,                     ,R                    ,                             ,                           ,F                  ,                   ,                       ,F                     ,                     ,R                      ,                   ,                            ,                       ,Rare Cretaceous reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 23,X, 1,  97.00,    199.6700,Howe     ,Nannofossils                                 ,M              ,M-G               ,R                      ,                          ,                       ,                          ,                  ,R                    ,F                    ,C                               ,A                        ,C                      ,                     ,S                  ,S                     ,S                      ,F                    ,              ,F                    ,F                    ,                 ,                  ,                  ,                 ,                           ,F                    ,                        ,                    ,                         ,R                     ,R                     ,                              ,R                 ,R                     ,                    ,                        ,                 ,                   ,                    ,S                 ,R                       ,                   ,                           ,                     ,                   ,R                          ,R                       ,                   ,                 ,R                      ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,S                     ,                     ,                       ,                   ,                            ,                       ,Single Cretaceous reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 23,X, 4, 124.00,    204.4400,Howe     ,Nannofossils                                 ,H              ,M-G               ,R                      ,S                         ,                       ,                          ,                  ,                     ,F                    ,C                               ,A                        ,A                      ,                     ,                   ,                      ,S                      ,F                    ,              ,C                    ,F                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,                    ,                         ,R                     ,R                     ,                              ,F                 ,R                     ,                    ,                        ,                 ,                   ,                    ,                  ,R                       ,                   ,                           ,                     ,F                  ,S                          ,F                       ,                   ,                 ,R                      ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,R                     ,                     ,                       ,S                  ,                            ,                       ,Rare Cretaceous & Single Paleogene reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 23,X, 5,  49.00,    205.1900,Howe     ,Nannofossils                                 ,M              ,P-M               ,R                      ,                          ,                       ,                          ,S                 ,                     ,                     ,C                               ,A                        ,C                      ,                     ,S                  ,                      ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,F                    ,                        ,                    ,                         ,R                     ,R                     ,                              ,R                 ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,R                       ,                   ,                           ,                     ,F                  ,                           ,F                       ,                   ,                 ,R                      ,                     ,                     ,                             ,                           ,                   ,S                  ,                       ,R                     ,                     ,R                      ,S                  ,                            ,                       ,Single Cretaceous reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 24,X, 1,  59.00,    208.9900,Howe     ,Nannofossils                                 ,H              ,M-G               ,R                      ,R                         ,                       ,                          ,S                 ,                     ,                     ,C                               ,A                        ,A                      ,                     ,R                  ,                      ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,F                    ,                        ,R                   ,                         ,F                     ,R                     ,                              ,F                 ,R                     ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,F                  ,S                          ,R                       ,                   ,                 ,C                      ,                     ,R                    ,                             ,                           ,S                  ,                   ,                       ,R                     ,                     ,R                      ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 24,X, 3,  76.00,    212.1600,Howe     ,Nannofossils                                 ,M              ,M                 ,R                      ,R                         ,                       ,                          ,S                 ,                     ,R                    ,C                               ,C                        ,C                      ,                     ,S                  ,S                     ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,                    ,                         ,R                     ,R                     ,                              ,R                 ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,R                       ,R                  ,                           ,                     ,F                  ,R                          ,R                       ,                   ,R                ,R                      ,                     ,R                    ,                             ,                           ,R                  ,                   ,                       ,R                     ,                     ,R                      ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 24,X, 5,  68.00,    215.0800,Howe     ,Nannofossils                                 ,H              ,G                 ,R                      ,R                         ,                       ,                          ,S                 ,                     ,F                    ,C                               ,A                        ,A                      ,                     ,S                  ,                      ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,R                   ,                         ,F                     ,R                     ,                              ,R                 ,S                     ,                    ,                        ,                 ,                   ,                    ,                  ,F                       ,                   ,                           ,                     ,F                  ,R                          ,R                       ,                   ,                 ,F                      ,                     ,                     ,                             ,                           ,S                  ,R                  ,                       ,R                     ,                     ,S                      ,                   ,                            ,                       ,Single Paleogene reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 24,X, 6, 102.00,    216.9200,Howe     ,Nannofossils                                 ,L              ,P                 ,                       ,                          ,                       ,                          ,                  ,                     ,                     ,C                               ,F                        ,R                      ,                     ,                   ,                      ,                       ,                     ,              ,                     ,C                    ,                 ,                  ,                  ,                 ,                           ,R                    ,                        ,                    ,                         ,                      ,                      ,                              ,                  ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,C                  ,                           ,F                       ,                   ,                 ,R                      ,                     ,                     ,                             ,                           ,                   ,S                  ,                       ,S                     ,                     ,S                      ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 24,X,CC,  17.50,    217.5750,Howe     ,Nannofossils                                 ,VL             ,P                 ,                       ,                          ,                       ,                          ,                  ,                     ,                     ,R                               ,R                        ,R                      ,                     ,                   ,                      ,                       ,                     ,              ,                     ,S                    ,                 ,                  ,                  ,                 ,                           ,S                    ,                        ,                    ,                         ,                      ,                      ,                              ,S                 ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,R                  ,                           ,R                       ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 25,X, 1,  91.00,    218.9100,Howe     ,Nannofossils                                 ,VH             ,P-M               ,                       ,F                         ,                       ,                          ,                  ,                     ,                     ,F                               ,A                        ,A                      ,                     ,R                  ,R                     ,                       ,F                    ,              ,C                    ,C                    ,                 ,                  ,                  ,                 ,R                          ,C                    ,                        ,F                   ,                         ,R                     ,R                     ,                              ,F                 ,R                     ,                    ,                        ,                 ,                   ,?R                  ,                  ,R                       ,F                  ,                           ,                     ,F                  ,R                          ,R                       ,                   ,R                ,R                      ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,S                     ,F                    ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 25,X, 2, 105.00,    220.5500,Howe     ,Nannofossils                                 ,M              ,M                 ,                       ,R                         ,                       ,                          ,                  ,                     ,F                    ,F                               ,C                        ,C                      ,                     ,                   ,R                     ,                       ,F                    ,              ,F                    ,F                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,R                   ,                         ,                      ,F                     ,                              ,F                 ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,R                       ,                   ,                           ,                     ,R                  ,                           ,R                       ,                   ,S                ,C                      ,                     ,F                    ,                             ,                           ,R                  ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,Few Cretaceous reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 25,X, 4,  90.00,    223.4000,Howe     ,Nannofossils                                 ,M              ,M                 ,R                      ,S                         ,                       ,                          ,                  ,                     ,                     ,F                               ,C                        ,C                      ,                     ,R                  ,R                     ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,R                   ,                         ,R                     ,R                     ,                              ,F                 ,S                     ,                    ,                        ,R                ,                   ,                    ,S                 ,R                       ,                   ,                           ,                     ,F                  ,                           ,R                       ,                   ,                 ,F                      ,                     ,R                    ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,Single Paleogene reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 25,X, 6,  39.00,    225.8900,Howe     ,Nannofossils                                 ,H              ,M-G               ,R                      ,R                         ,                       ,                          ,S                 ,                     ,F                    ,F                               ,A                        ,A                      ,                     ,S                  ,F                     ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,R                   ,                         ,R                     ,F                     ,                              ,F                 ,                      ,                    ,                        ,R                ,                   ,                    ,                  ,R                       ,S                  ,                           ,                     ,F                  ,                           ,R                       ,                   ,                 ,C                      ,S                    ,F                    ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,Rare Cretaceous reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 25,X, 6,  87.00,    226.3700,Howe     ,Nannofossils                                 ,VL             ,P                 ,                       ,                          ,                       ,                          ,                  ,                     ,                     ,R                               ,R                        ,R                      ,                     ,                   ,                      ,                       ,                     ,              ,                     ,                     ,                 ,                  ,                  ,                 ,                           ,                     ,                        ,                    ,                         ,R                     ,                      ,                              ,                  ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,                   ,                           ,                        ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 25,X,CC,  20.00,    227.6800,Howe     ,Nannofossils                                 ,VH             ,M-G               ,                       ,                          ,                       ,                          ,                  ,S                    ,F                    ,F                               ,A                        ,A                      ,                     ,R                  ,F                     ,R                      ,F                    ,              ,C                    ,C                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,                    ,                         ,F                     ,F                     ,                              ,F                 ,F                     ,                    ,                        ,                 ,                   ,                    ,S                 ,R                       ,                   ,                           ,                     ,F                  ,R                          ,R                       ,                   ,S                ,C                      ,                     ,F                    ,                             ,                           ,F                  ,R                  ,R                      ,R                     ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 25,X,CC,  27.00,    227.7500,Howe     ,Nannofossils                                 ,VL             ,P                 ,                       ,                          ,                       ,                          ,                  ,                     ,                     ,                                ,S                        ,                       ,                     ,                   ,                      ,                       ,                     ,              ,                     ,S                    ,                 ,                  ,                  ,                 ,                           ,S                    ,                        ,                    ,                         ,                      ,                      ,                              ,                  ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,?S                 ,                           ,                     ,                   ,                           ,                        ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,157, 951,A, 26,X, 1, 105.00,    228.7500,Howe     ,Nannofossils                                 ,H              ,M-G               ,R                      ,R                         ,                       ,S                         ,                  ,                     ,F                    ,R                               ,A                        ,A                      ,                     ,                   ,R                     ,                       ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,R                          ,C                    ,                        ,R                   ,                         ,R                     ,F                     ,                              ,F                 ,                      ,                    ,                        ,R                ,                   ,                    ,                  ,                        ,R                  ,                           ,                     ,F                  ,R                          ,F                       ,                   ,                 ,F                      ,                     ,R                    ,                             ,S                          ,R                  ,R                  ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,Few Cretaceous & Rare Paleogene reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,157, 951,A, 26,X, 1, 127.00,    228.9700,Howe     ,Nannofossils                                 ,VL             ,P                 ,                       ,                          ,                       ,                          ,                  ,                     ,                     ,R                               ,                         ,                       ,                     ,                   ,                      ,                       ,                     ,              ,                     ,F                    ,                 ,                  ,                  ,                 ,                           ,                     ,                        ,                    ,                         ,R                     ,                      ,                              ,                  ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,R                  ,                           ,                        ,                   ,                 ,                       ,                     ,S                    ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,157, 951,A, 26,X, 4,  56.00,    232.7600,Howe     ,Nannofossils                                 ,H              ,M                 ,F                      ,R                         ,                       ,                          ,                  ,                     ,R                    ,R                               ,A                        ,A                      ,                     ,S                  ,R                     ,R                      ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,                 ,                           ,C                    ,                        ,R                   ,                         ,R                     ,F                     ,                              ,F                 ,                      ,                    ,                        ,R                ,                   ,                    ,                  ,                        ,F                  ,                           ,R                    ,C                  ,S                          ,F                       ,S                  ,S                ,F                      ,R                    ,C                    ,S                            ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,157, 951,A, 26,X, 5,  71.00,    234.4100,Howe     ,Nannofossils                                 ,M              ,M                 ,                       ,R                         ,                       ,                          ,                  ,                     ,F                    ,F                               ,C                        ,C                      ,                     ,S                  ,R                     ,R                      ,F                    ,              ,F                    ,F                    ,                 ,                  ,                  ,                 ,                           ,F                    ,                        ,R                   ,                         ,R                     ,F                     ,                              ,F                 ,                      ,                    ,R                       ,R                ,                   ,                    ,                  ,                        ,F                  ,                           ,                     ,F                  ,                           ,R                       ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,Rare Cretaceous reworking. found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,157, 951,A, 26,X, 5,  77.00,    234.4700,Howe     ,Nannofossils                                 ,VL             ,P                 ,                       ,                          ,                       ,                          ,                  ,                     ,                     ,                                ,S                        ,                       ,                     ,                   ,                      ,                       ,                     ,              ,                     ,                     ,                 ,                  ,                  ,                 ,                           ,                     ,                        ,                    ,                         ,                      ,                      ,                              ,                  ,                      ,                    ,                        ,                 ,                   ,                    ,                  ,                        ,                   ,                           ,                     ,                   ,                           ,                        ,                   ,                 ,                       ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8b              ,              ,157, 951,A, 26,X, 6,  27.00,    235.4700,Howe     ,Nannofossils                                 ,M-H            ,M                 ,F                      ,R                         ,                       ,                          ,                  ,                     ,                     ,F                               ,C                        ,A                      ,                     ,                   ,R                     ,S                      ,F                    ,              ,F                    ,C                    ,                 ,                  ,                  ,R                ,                           ,C                    ,                        ,R                   ,                         ,                      ,F                     ,                              ,F                 ,S                     ,                    ,                        ,F                ,                   ,                    ,                  ,                        ,C                  ,F                          ,R                    ,C                  ,                           ,R                       ,R                  ,                 ,                       ,                     ,                     ,                             ,                           ,                   ,                   ,                       ,                      ,                     ,                       ,                   ,                            ,                       ,found in SR. Ch 29. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
