Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Melonis pompilioides	Nodosariid taxa	Miliammina echigoensis	Martinottiella communis	Eggerella bradyi	Eggerella sp. A	Calcareous sp. indeterminate	Triloculina rotunda	Triloculina sp. A	Parafissurina cf. P. curta	Globobulimina auriculata	Cibicides sp. D	Nummoloculina sp. A	Fissurina sp. A	Quinqueloculina spp.	Quinqueloculina akneriana	Gyroidina lamarckiana	Lenticulina lucidus	Alveolophragmium sp. A	Nummoloculina sp. B	Chilostomella oolina	Triloculinella circularis	Globobulimina cf. G. pupoides	Oolina globosa	Cribrostomoides sp. A	Stainforthia rotundata	Stainforthia complanata	Rectoglandulina torrida	Pyrgo murrhina	Globocassidulina subglobosa	Fissurina cf. F. exculpta	Comment
  SR	                 	                 	                  	              	127	 795	A	 16	H	CC	  19.00	    148.1800	Brunner  	Benthic Foraminifers                         	               	                  	6                   	               	15                    	                       	                	               	                            	                   	                 	                          	                        	               	1                  	               	                    	                         	10                   	1                  	                      	1                  	1                   	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 18	H	CC	  21.00	    162.4300	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	1                     	                       	                	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 19	H	CC	  35.00	    172.4000	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	                      	                       	                	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	1                  	1                     	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 22	X	CC	  11.00	    200.7200	Brunner  	Benthic Foraminifers                         	               	                  	4                   	               	4                     	1                      	                	               	                            	                   	                 	                          	3                       	               	6                  	               	1                   	1                        	6                    	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 25	X	CC	  35.00	    230.1600	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	10                    	11                     	                	1              	                            	                   	                 	                          	                        	               	1                  	1              	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 26	X	CC	  32.00	    239.8800	Brunner  	Benthic Foraminifers                         	               	                  	3                   	               	3                     	6                      	                	2              	1                           	                   	1                	2                         	1                       	2              	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 27	X	CC	  30.00	    249.6800	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	                      	12                     	31              	5              	                            	1                  	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 28	X	CC	  21.00	    251.3600	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	2                     	8                      	16              	4              	1                           	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 29	X	CC	  30.00	    264.3000	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	4                     	                       	14              	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 30	X	 5	  85.00	    276.1500	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	                      	                       	15              	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 31	X	CC	  25.00	    287.1600	Brunner  	Benthic Foraminifers                         	               	                  	                    	               	                      	14                     	4               	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 34	X	CC	  23.00	    317.6400	Brunner  	Benthic Foraminifers                         	               	                  	                    	2              	1                     	15                     	                	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

  SR	                 	                 	                  	              	127	 795	A	 36	X	CC	  38.00	    327.8000	Brunner  	Benthic Foraminifers                         	               	                  	1                   	               	                      	                       	                	               	                            	                   	                 	                          	                        	               	                   	               	                    	                         	                     	                   	                      	                   	                    	                         	                             	              	                     	                      	                       	                       	              	                           	                         	from ODP Leg 127&128 SR Chapter 12 Table 3 p 194-197

