Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stilostomella spp.,Pullenia spp.,Oridorsalis umbonatus,Nuttallides truempyi,Nodosariid taxa,Lenticulina spp.,Hanzawaia ammophila,Globocassidulina subglobosa,Cibicidoides spp.,Gyroidinoides soldanii,Cibicidoides praemundulus,Cibicidoides micrus,Cibicidoides mexicanus,Stilostomella subspinosa,Bulimina spp.,Trifarina spp.,Vulvulina spinosa,Anomalinoides semicribratus,Uvigerina spp.,Stilostomella spinescens,Sphaeroidina bulloides,Bolivina spp.,Pullenia bulloides,Oolina spp.,Karreriella bradyi,Tritaxa spp.,Siphonina tenuicarinata,Rectuvigerina striata,Cibicidoides mundulus,Comment
  IR,                 ,                 ,                  ,              ,182,1126,D, 21,R,CC,  18.00,    338.8700,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,C                 ,F            ,R                    ,                    ,F              ,F               ,R                  ,                           ,F                ,                      ,F                        ,                   ,R                     ,C                       ,R            ,              ,R                ,R                          ,              ,                        ,                      ,             ,                  ,           ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 22,R,CC,  15.00,    351.4500,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,C                 ,R            ,R                    ,                    ,F              ,R               ,                   ,R                          ,F                ,                      ,F                        ,                   ,                      ,C                       ,             ,R             ,                 ,                           ,              ,                        ,                      ,             ,                  ,           ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 24,R,CC,  30.00,    370.1100,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,F                 ,             ,F                    ,                    ,R              ,                ,                   ,                           ,F                ,                      ,F                        ,                   ,                      ,F                       ,R            ,              ,                 ,                           ,              ,                        ,                      ,             ,                  ,           ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 25,R,CC,  15.00,    380.3800,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                  ,R            ,R                    ,R                   ,F              ,R               ,R                  ,                           ,F                ,                      ,R                        ,                   ,                      ,                        ,             ,              ,                 ,                           ,              ,                        ,                      ,             ,                  ,           ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 26,R,CC,  23.00,    390.3800,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                  ,R            ,                     ,F                   ,               ,                ,R                  ,                           ,F                ,R                     ,F                        ,R                  ,R                     ,                        ,             ,              ,                 ,                           ,              ,                        ,                      ,             ,                  ,           ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,D, 27,R,CC,   0.00,    396.6300,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,R                 ,R            ,F                    ,C                   ,R              ,R               ,R                  ,R                          ,F                ,                      ,                         ,                   ,                      ,                        ,             ,              ,                 ,                           ,              ,                        ,                      ,             ,                  ,           ,                  ,            ,                       ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
