Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina labiacrassata	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda	Tenuitella gemma	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides testarugosa	Globorotaloides suteri	Globigerina praebulloides	Globigerina ouachitaensis	Globigerina officinalis	Globigerina euapertura	Globigerina ciperoensis	Dentoglobigerina galavisi	Catapsydrax dissimilis	Globoquadrina venezuelana	Zeaglobigerina woodi	Zeaglobigerina nepenthes	Zeaglobigerina decoraperta	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia plesiotumida	Globorotalia cibaoensis	Globigerinoides trilobus	Globigerinoides obliquus	Globigerinoides extremus	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Sphaeroidinellopsis seminulina	Globorotalia menardii	Globoconella conoidea	Zeaglobigerina apertura	Orbulina suturalis	Neogloboquadrina acostaensis	Globorotalia margaritae	Globoconella conomiozea	Globigerinella siphonifera	Globoconella sphericomiozea	Orbulina bilobata	Globorotalia scitula	Globorotalia pliozea	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia pseudomiocenica	Globigerinoides sacculifer	Globorotalia inflata	Globigerinoides ruber	Neogloboquadrina pachyderma (sinistral)	Globorotalia crassula	Globigerinoides conglobatus	Globorotalia truncatulinoides	Globorotalia tosaensis	Sphaeroidinella dehiscens	Globorotalia sp. cf. tosaensis	Globigerinella obesa	Globigerinita glutinata	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Zeaglobigerina rubescens	Globorotalia tumida	Globigerinoides tenellus	Globigerinita uvula	Pulleniatina obliquiloculata	Globorotalia hirsuta	Comment

  IR	                 	Quaternary       	                  	Pt1b          	182	1130	A	  5	H	CC	   9.00	     46.9600	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	P                                    	                         	                       	                        	                        	                        	P                      	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	                    	                    	                         	                         	                            	P                         	A                   	A                    	                                       	                     	                           	F                            	                      	                         	P                             	                    	                       	                         	                          	P                       	                   	P                       	                   	P                           	P                   	benthic forams, pteropods, urchin spines,

  IR	                 	Quaternary       	                  	Pt1           	182	1130	A	  6	H	CC	   0.00	     55.9500	Li       	Planktonic Foraminifers                      	C              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	                 	F                                    	                         	                       	                        	                        	                        	                       	F                      	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	A                   	A                    	                                       	                     	                           	F                            	                      	                         	P                             	                    	F                      	                         	                          	                        	                   	                        	                   	                            	                    	bryozoans, benthic forams, sponge spic, ostracods

  IR	                 	Quaternary       	                  	Pt1a          	182	1130	A	  7	H	CC	  18.00	     65.4200	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	F                                    	                         	                       	                        	                        	                        	                       	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	                         	P                        	                            	P                         	A                   	A                    	                                       	                     	                           	F                            	                      	                         	                              	                    	                       	                         	P                         	                        	                   	P                       	                   	                            	                    	       

  IR	                 	Quaternary       	                  	Pt1a          	182	1130	A	  8	H	CC	   9.00	     74.3700	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	                 	F                                    	                         	                       	                        	                        	                        	                       	                       	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	A                   	F                    	                                       	                     	                           	P                            	                      	                         	P                             	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	bryozoans, sponge spicules, bne forams

  IR	                 	Quaternary       	                  	Pt1           	182	1130	A	  9	H	CC	  20.00	     83.8700	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	                 	F                                    	                         	                       	                        	                        	                        	                       	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	A                   	F                    	                                       	                     	                           	P                            	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	sponge spicules, bryozoans, ben forams

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 10	H	CC	  19.00	     93.5700	Li       	Planktonic Foraminifers                      	C              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	F                                    	                         	                       	                        	                        	                        	P                      	F                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	P                   	                    	                         	                         	                            	                          	A                   	F                    	                                       	                     	                           	F                            	                      	                         	                              	                    	F                      	                         	                          	                        	P                  	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 11	H	CC	  34.00	    103.3400	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	P                                    	                         	                       	                        	                        	                        	P                      	F                      	F                    	                              	P                    	                     	                       	                  	                            	                       	                       	                          	                           	                 	P                   	                    	P                        	                         	                            	                          	A                   	F                    	                                       	                     	                           	F                            	                      	                         	                              	                    	P                      	                         	                          	P                       	                   	P                       	P                  	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 12	H	CC	   5.00	    112.9300	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	F                                    	                         	                       	P                       	                        	                        	F                      	F                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	P                   	                    	F                        	P                        	                            	                          	F                   	F                    	                                       	P                    	                           	F                            	                      	                         	                              	                    	P                      	                         	                          	P                       	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 13	H	CC	  12.00	    122.5400	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	                 	P                                    	                         	                       	                        	                        	                        	P                      	A                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	F                        	P                        	                            	                          	F                   	F                    	                                       	                     	                           	P                            	                      	                         	P                             	                    	P                      	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 14	H	CC	  17.00	    131.9100	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	A                                    	                         	                       	                        	                        	                        	F                      	F                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	P                   	                    	A                        	F                        	                            	                          	F                   	F                    	                                       	                     	                           	P                            	                      	                         	P                             	                    	                       	                         	P                         	P                       	P                  	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 15	H	CC	  22.00	    140.3200	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	F                                    	                         	                       	                        	                        	                        	F                      	A                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	F                        	                         	                            	                          	F                   	F                    	                                       	                     	                           	F                            	P                     	                         	                              	P                   	P                      	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 16	H	CC	  35.00	    150.8800	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	F                	F                                    	                         	                       	                        	                        	                        	F                      	A                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	R                         	                           	                 	P                   	                    	F                        	                         	                            	                          	F                   	F                    	                                       	                     	                           	F                            	                      	                         	P                             	P                   	P                      	                         	                          	P                       	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 17	H	CC	  18.00	    160.8000	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	F                                    	                         	                       	                        	                        	                        	F                      	A                      	P                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	F                        	P                        	                            	                          	F                   	F                    	                                       	P                    	                           	F                            	                      	                         	P                             	P                   	P                      	                         	P                         	P                       	                   	                        	                   	                            	                    	some reworked

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 18	H	CC	  16.00	    170.3800	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	F                                    	                         	                       	                        	                        	                        	P                      	A                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	F                        	                         	                            	                          	F                   	F                    	                                       	                     	                           	F                            	P                     	                         	P                             	P                   	P                      	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 19	X	CC	  31.00	    179.7000	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	F                                    	                         	                       	                        	                        	                        	P                      	F                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	F                        	P                        	                            	                          	R                   	F                    	                                       	                     	P                          	F                            	F                     	                         	P                             	P                   	P                      	P                        	P                         	                        	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 20	X	CC	  17.00	    184.5700	Li       	Planktonic Foraminifers                      	C              	P                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	P                                    	                         	                       	                        	                        	                        	P                      	A                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	P                   	                    	P                        	                         	                            	                          	R                   	P                    	                                       	                     	                           	F                            	                      	                         	P                             	                    	P                      	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 21	X	CC	  34.00	    193.5100	Li       	Planktonic Foraminifers                      	C              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	P                                    	                         	                       	                        	                        	                        	P                      	A                      	P                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	P                        	P                        	                            	                          	P                   	P                    	                                       	                     	                           	F                            	                      	                         	P                             	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 22	X	CC	  35.00	    205.8500	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	F                	P                                    	                         	                       	P                       	                        	                        	P                      	F                      	P                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	P                        	P                        	                            	                          	P                   	P                    	                                       	                     	P                          	F                            	                      	P                        	P                             	P                   	                       	                         	                          	                        	                   	                        	                   	                            	                    	margaritae reworked

  IR	                 	Pleistocene      	                  	Pt1           	182	1130	A	 23	X	CC	  29.00	    215.9300	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	                                     	                         	                       	                        	                        	                        	                       	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	P                        	                            	                          	A                   	F                    	                                       	                     	                           	A                            	P                     	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	few ben forams, ostracodes, spicules

  IR	                 	Late Pliocene    	                  	              	182	1130	A	 24	X	CC	  17.00	    224.7000	Li       	Planktonic Foraminifers                      	C              	P                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	                 	                                     	                         	                       	                        	                        	                        	A                      	                       	P                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	P                        	F                        	                            	                          	F                   	F                    	                                       	                     	                           	P                            	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	big bryozoans, frosted forams; many reworked/relict

  IR	                 	Late Pliocene    	                  	              	182	1130	A	 25	X	CC	  24.00	    234.3400	Li       	Planktonic Foraminifers                      	F              	P                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	P                                    	                         	                       	                        	                        	                        	P                      	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	P                          	                 	P                   	                    	P                        	P                        	                            	                          	A                   	F                    	                                       	P                    	P                          	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	frosted forams, reworked sphericomiozea?

  IR	                 	Late Pliocene    	                  	              	182	1130	A	 26	X	CC	  27.00	    240.5900	Li       	Planktonic Foraminifers                      	C              	P                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	                                     	                         	                       	                        	                        	                        	P                      	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	                    	                    	P                        	F                        	                            	P                         	F                   	                     	P                                      	P                    	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	frosted forams

  IR	                 	Late Pliocene    	                  	              	182	1130	A	 27	X	CC	  19.00	    254.2700	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	                    	                        	                          	P                	P                                    	                         	                       	                        	                        	                        	                       	P                      	P                    	                              	                     	                     	                       	                  	                            	                       	                       	P                         	                           	                 	P                   	                    	P                        	P                        	                            	P                         	P                   	P                    	P                                      	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	ostracodes, bryozoans, sponge spicules

  IR	                 	Late Pliocene    	                  	              	182	1130	A	 28	X	 2	  58.00	    256.3800	Li       	Planktonic Foraminifers                      	A              	P                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	P                   	                        	                          	P                	P                                    	                         	                       	P                       	                        	P                       	                       	P                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	F                        	P                        	                            	                          	P                   	F                    	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	crassaformis interval

  IR	                 	Early Pliocene   	                  	PL2           	182	1130	A	 28	X	CC	  59.00	    263.2600	Li       	Planktonic Foraminifers                      	C              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	P                   	                        	                          	P                	                                     	                         	                       	                        	                        	P                       	                       	                       	                     	                              	                     	                     	P                      	                  	                            	P                      	                       	                          	                           	                 	P                   	P                   	P                        	P                        	P                           	P                         	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Early Pliocene   	                  	Pl1b          	182	1130	A	 29	X	CC	  36.00	    273.7100	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	P                   	P                       	                          	P                	                                     	                         	                       	                        	                        	P                       	                       	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	P                          	                 	                    	P                   	P                        	P                        	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Early Pliocene   	                  	PL1           	182	1130	A	 30	X	CC	  31.00	    282.8500	Li       	Planktonic Foraminifers                      	C              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	P                   	P                       	P                         	P                	                                     	                         	                       	                        	                        	P                       	                       	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	P                   	P                   	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	Late Miocene     	Early Pliocene   	Mt10              	Pt1a          	182	1130	A	 31	X	CC	  31.00	    292.7500	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	P                   	P                       	                          	P                	P                                    	                         	P                      	                        	                        	                        	                       	                       	                     	P                             	                     	                     	                       	P                 	P                           	R                      	P                      	                          	                           	P                	                    	                    	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	Late Miocene     	Early Pliocene   	Mt10              	Pt1a          	182	1130	A	 32	X	CC	  23.00	    302.4100	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	P                   	                        	P                         	P                	                                     	                         	F                      	                        	                        	                        	                       	                       	                     	                              	                     	                     	                       	                  	P                           	P                      	P                      	                          	P                          	                 	                    	                    	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	Late Miocene     	Early Pliocene   	Mt10              	Pt1a          	182	1130	A	 33	X	CC	  29.00	    312.0700	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	P                        	P                   	P                       	P                         	P                	                                     	                         	F                      	                        	                        	P                       	                       	P                      	                     	                              	                     	P                    	P                      	P                 	P                           	P                      	P                      	P                         	                           	                 	                    	                    	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	       

  IR	                 	Late Miocene     	                  	Mt9           	182	1130	A	 34	X	CC	  36.00	    320.1200	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	P                   	                        	                          	P                	                                     	P                        	P                      	P                       	P                       	                        	                       	                       	                     	P                             	P                    	P                    	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	=lower N17 (M13b), sponge spicules,

  IR	                 	Late Miocene     	                  	N17           	182	1130	A	 35	X	 5	  87.00	    328.5700	Li       	Planktonic Foraminifers                      	A              	P                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	                         	F                   	P                       	P                         	P                	P                                    	P                        	P                      	P                       	P                       	P                       	A                      	P                      	F                    	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	nannos only

  IR	                 	Late Oligocene   	                  	              	182	1130	A	 35	X	CC	  27.00	    328.8900	Li       	Planktonic Foraminifers                      	C              	P                 	                            	                        	                                	                	                	                            	                           	                           	                      	                         	                         	                       	                      	                       	                         	                      	P                        	                    	                        	                          	                 	                                     	                         	                       	                        	                        	                        	                       	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	cemented silt grains.

  IR	                 	Late Oligocene   	                  	P21           	182	1130	A	 38	X	CC	  17.00	    351.3700	Li       	Planktonic Foraminifers                      	A              	M                 	P                           	A                       	P                               	F               	P               	P                           	F                          	A                          	A                     	P                        	P                        	P                      	P                     	F                      	P                        	P                     	                         	                    	                        	                          	                 	                                     	                         	                       	                        	                        	                        	                       	                       	                     	                              	                     	                     	                       	                  	                            	                       	                       	                          	                           	                 	                    	                    	                         	                         	                            	                          	                    	                     	                                       	                     	                           	                             	                      	                         	                              	                    	                       	                         	                          	                        	                   	                        	                   	                            	                    	abundant other tenu

