Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sigali	Hedbergella delrioensis	Hedbergella planispira	Gubkinella graysonensis	Globigerinelloides blowi	Ticinella bejaouaensis	Hedbergella trocoidea	Hedbergella gorbachikae	Ticinella primula	Ticinella roberti	Hedbergella rischi	Globigerinelloides bentonensis	Ticinella raynaudi	Biticinella breggiensis	Globigerinelloides ultramicrus	Schackoina cenomana	Rotalipora appenninica	Heterohelix moremani	Hedbergella simplex	Costellagerina libyca	Rotalipora globotruncanoides	Rotalipora gandolfii	Truncorotalia truncatulinoides	Truncorotalia tosaensis	Truncorotalia crassaformis	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globorotalia menardii	Globorotalia inflata	Globigerinoides conglobatus	Comment
  IR	                 	Albian           	KS14              	KS15          	198	1214	A	  7	R	 1	   4.00	     52.6400	planks   	Planktonic Foraminifers                      	T              	P                 	                  	P                      	                      	                       	                        	                      	                     	                       	P                	                 	                  	P                             	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	                 	                  	              	198	1214	A	  8	R	 1	   7.00	     62.3700	planks   	Planktonic Foraminifers                      	               	                  	                  	+                      	                      	                       	                        	                      	                     	                       	+                	+                	                  	+                             	+                 	+                      	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	no forams

  IR	                 	Albian           	                  	KS14          	198	1214	A	  9	R	 1	   9.00	     72.0900	planks   	Planktonic Foraminifers                      	T              	P                 	                  	P                      	                      	                       	                        	                      	                     	                       	P                	P                	                  	P                             	P                 	P                      	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS13          	198	1214	A	 10	R	 1	  13.00	     81.8300	planks   	Planktonic Foraminifers                      	T              	P                 	                  	                       	                      	                       	                        	                      	                     	                       	P                	                 	P                 	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS13          	198	1214	A	 11	R	 1	   0.00	     91.4000	planks   	Planktonic Foraminifers                      	T              	P                 	                  	                       	P                     	                       	                        	                      	                     	                       	P                	P                	P                 	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS13          	198	1214	A	 11	R	 1	  58.00	     91.9800	planks   	Planktonic Foraminifers                      	T              	P                 	                  	                       	                      	                       	                        	                      	                     	                       	P                	P                	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS13          	198	1214	A	 12	R	 1	  12.00	    101.2200	planks   	Planktonic Foraminifers                      	T              	P                 	                  	                       	                      	                       	                        	                      	                     	                       	P                	                 	                  	P                             	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS13          	198	1214	A	 13	R	 1	   8.00	    110.7800	planks   	Planktonic Foraminifers                      	               	P                 	                  	                       	                      	                       	                        	                      	                     	                       	P                	                 	                  	P                             	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS13          	198	1214	A	 14	R	 1	  24.00	    120.6400	planks   	Planktonic Foraminifers                      	               	P                 	                  	R                      	P                     	                       	                        	                      	                     	                       	P                	P                	P                 	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	KS12              	KS13          	198	1214	A	 15	R	 1	  42.00	    130.4200	planks   	Planktonic Foraminifers                      	               	P                 	                  	                       	P                     	                       	                        	                      	                     	                       	                 	                 	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	KS12              	KS13          	198	1214	A	 16	R	 1	  28.00	    139.9800	planks   	Planktonic Foraminifers                      	               	P                 	                  	P                      	P                     	                       	                        	                      	                     	P                      	P                	                 	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS12          	198	1214	A	 17	R	 1	  28.00	    149.5800	planks   	Planktonic Foraminifers                      	               	P                 	                  	                       	P                     	                       	                        	                      	                     	P                      	                 	                 	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Albian           	                  	KS12          	198	1214	A	 19	R	 1	  27.00	    168.7700	planks   	Planktonic Foraminifers                      	               	P                 	                  	P                      	P                     	                       	                        	                      	                     	                       	                 	                 	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	                 	Aptian           	                  	KS11          	198	1214	A	 20	R	 1	  23.00	    178.3300	planks   	Planktonic Foraminifers                      	               	P                 	                  	P                      	                      	P                      	                        	P                     	P                    	                       	                 	                 	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	Barremian        	Aptian           	                  	KS6           	198	1214	A	 22	R	 1	  32.00	    197.6200	planks   	Planktonic Foraminifers                      	               	P                 	                  	                       	P                     	P                      	P                       	                      	                     	                       	                 	                 	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

  IR	Barremian        	Hauterivian      	                  	              	198	1214	A	 25	R	 1	  19.00	    226.3900	planks   	Planktonic Foraminifers                      	               	P                 	P                 	P                      	                      	                       	                        	                      	                     	                       	                 	                 	                  	                              	                  	                       	                              	                   	                      	                    	                   	                     	                            	                    	                              	                       	                          	                 	                                     	                    	                     	                    	                           	       

