Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Marssonella praeoxycona	Gavelinella intermedia	Gyroidinoides infracretaceus	Remesella sp.	Protosangularia albiana	Nodosaria spp.	Lingulogavelinella indica	Gyroidinoides globosa	Gaudryina dividens	Protosangularia utaturensis	Protosangularia cenomaniana	Pleurostomella spp.	Hanzawaia compressa	Dorothia conula	Dentalina spp.	Lenticulina spp.	Gaudryina spp.	Vaginulinopsis harpa	Anomalinoides spp.	Quadrimorphina allomorphinoides	Conorotalites aptiensis	Tritaxia globulifera	Tristix excavata	Spiroplectinella excolata	Spiroplectammina sp.	Saracenaria spp.	Pseudoclavulina spp.	Globulina spp.	Dorothia gradata	Protomarssonella pareoxycona	Rhizammina spp.	Gavelinella spp.	Frondicularia sp.	Bulimina spp.	Astacolus spp.	Uvigerina senticosa	Uvigerina peregrina	Uvigerina hispidocostata	Uvigerina hispida	Pyrgo murrhina	Pyrgo lucernula	Oridorsalis tener	Melonis pompilioides	Karreriella bradyi	Gyroidinoides girardanus	Eggerella bradyi	Cibicidoides wuellerstorfi	Comment
  IR	                 	                 	                  	              	198	1214	A	  7	R	 1	   4.00	     52.6400	benthics 	Benthic Foraminifers                         	C              	M                 	T                      	                      	R                           	             	R                      	R             	                         	                     	T                 	                           	                           	R                  	+                  	T              	R             	                	T             	                    	T                 	                               	R                      	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	  9	R	 1	   9.00	     72.0900	benthics 	Benthic Foraminifers                         	R              	M                 	                       	                      	R                           	             	F                      	T             	                         	T                    	                  	                           	R                          	                   	                   	T              	R             	                	              	                    	                  	T                              	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 11	R	 1	   0.00	     91.4000	benthics 	Benthic Foraminifers                         	T              	P                 	                       	                      	T                           	             	                       	              	                         	                     	T                 	                           	T                          	                   	                   	               	              	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 12	R	 1	  12.00	    101.2200	benthics 	Benthic Foraminifers                         	R              	M                 	                       	                      	                            	             	F                      	              	                         	                     	R                 	                           	                           	                   	                   	R              	T             	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 14	R	 1	  24.00	    120.6400	benthics 	Benthic Foraminifers                         	R              	P                 	                       	                      	T                           	             	                       	              	                         	                     	T                 	                           	                           	                   	                   	T              	T             	                	T             	R                   	T                 	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 15	R	 1	  42.00	    130.4200	benthics 	Benthic Foraminifers                         	R              	P                 	                       	                      	                            	             	R                      	              	                         	                     	T                 	                           	                           	                   	                   	               	              	T               	R             	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 16	R	 1	  28.00	    139.9800	benthics 	Benthic Foraminifers                         	F              	M                 	                       	                      	R                           	R            	C                      	R             	                         	                     	F                 	F                          	+                          	R                  	+                  	R              	R             	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 19	R	 1	  27.00	    168.7700	benthics 	Benthic Foraminifers                         	F              	M                 	                       	                      	R                           	F            	R                      	T             	R                        	T                    	F                 	                           	                           	                   	                   	               	              	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 22	R	 1	  32.00	    197.6200	benthics 	Benthic Foraminifers                         	R              	P                 	                       	F                     	R                           	             	                       	              	                         	                     	                  	                           	                           	                   	                   	               	              	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	       

  IR	                 	                 	                  	              	198	1214	A	 23	R	 1	  54.00	    207.5400	benthics 	Benthic Foraminifers                         	               	                  	                       	                      	T                           	             	                       	              	                         	                     	                  	                           	                           	                   	                   	               	              	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	only 2 specimens

  IR	                 	                 	                  	              	198	1214	A	 25	R	 1	  19.00	    226.3900	benthics 	Benthic Foraminifers                         	R              	M                 	R                      	R                     	                            	             	                       	              	                         	                     	                  	                           	                           	                   	                   	               	              	                	              	                    	                  	                               	                       	                    	                	                         	                    	                	                    	              	                	                            	               	                	                 	             	              	                   	                   	                        	                 	              	               	                 	                    	                  	                        	                	                          	very small residue

