Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rocella gelida,Septamesocena apiculata,Naviculopsis trispinosa,Naviculopsis biapiculata,Corbisema triacantha,Distephanus crux crux,Mesocena diodon,Distephanus stauracanthus f. octagonus,Dictyocha varia,Cannopilus sphaericus,Distephanus stauracanthus f. stauracanthus,Dictyocha fibula fibula,Paramesocena circulus apiculata,Cannopilus hemisphaericus,Distephanus speculum speculum,Dictyocha messanensis stapedia,Dictyocha messaensis aspinosa,Dictyocha perlaevis perlaevis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 688,E,  8,R,CC,  13.00,    421.9000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,R                    ,               ,                                      ,R              ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 688,E,  9,R,CC,   9.00,    430.6200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,R              ,                     ,                                          ,                       ,R                              ,                         ,R                            ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,D. varia          ,              ,112, 688,E, 10,R,CC,   8.00,    438.6700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,R                    ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 11,R,CC,  12.00,    441.1200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,R                    ,               ,                                      ,R              ,                     ,                                          ,                       ,                               ,                         ,R                            ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 12,R,CC,  11.00,    453.5200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,R                   ,R                    ,C              ,                                      ,F              ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 13,R,CC,  30.00,    460.3000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,R                   ,                     ,               ,                                      ,R              ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 14,R,CC,   5.00,    474.3800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,R                   ,R                    ,R              ,R                                     ,R              ,                     ,C                                         ,                       ,R                              ,R                        ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 15,R,CC,  13.00,    482.1200,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,R                    ,R              ,                                      ,R              ,                     ,F                                         ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 16,R,CC,   6.00,    489.8900,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,F              ,F                                     ,               ,                     ,R                                         ,                       ,R                              ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 17,R,CC,   0.00,    498.0000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,F                    ,F              ,                                      ,R              ,                     ,R                                         ,R                      ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 18,R,CC,   0.00,    507.5000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,R                    ,R              ,                                      ,R              ,                     ,F                                         ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 19,R,CC,  13.00,    521.9700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,R              ,R                    ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 20,R,CC,   7.00,    528.4600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,R                   ,R                    ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 21,R,CC,   0.00,    536.0000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,R                   ,R                    ,R              ,R                                     ,C              ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 22,R,CC,  11.00,    545.8800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,R                    ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,Middle Miocene   ,C. triacantha     ,              ,112, 688,E, 24,R,CC,  10.00,    567.6000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,                       ,                        ,                    ,R                    ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 25,R, 1, 145.00,    575.4500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,                       ,R                      ,R                       ,R                   ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,Naviculopsis Assemblage from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 25,R,CC,   7.00,    576.7900,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R             ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,Naviculopsis Assemblage from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 26,R, 1,  86.00,    584.3600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,              ,R                      ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,Naviculopsis Assemblage from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,E, 26,R,CC,   9.00,    584.7600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,R             ,                       ,                       ,                        ,                    ,                     ,               ,                                      ,               ,                     ,                                          ,                       ,                               ,                         ,                             ,                              ,                             ,                             ,Naviculopsis Assemblage from ODP Leg 112 SR Chapter 10 Table 4 p 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
