Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra sp. (small)	Reticulofenestra pseudoumbilicus	Gephyrocapsa oceanica	Gephyrocapsa aperta	Cyclococcolithus leptoporus	Coccolithus pelagicus	Discolithina japonica	Helicosphaera carteri	Pseudoemiliania sp. cf. P. lacunosa	Pseudoemiliania lacunosa	Cyclococcolithus sp. cf. C. leptoporus	Emiliania huxleyi	Braarudosphaera bigelowii	Comment
  SR	Quaternary       	                 	NN20              	              	112	 681	A	  7	H	 1	 101.00	     55.0100	Martini  	Nannofossils                                 	               	M                 	                            	                                	F                    	R                  	                           	F                    	                     	R                    	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN19              	              	112	 681	A	  9	H	CC	  15.00	     82.8000	Martini  	Nannofossils                                 	               	P/M               	                            	                                	R                    	R                  	                           	                     	                     	R                    	                                   	R                       	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN19              	              	112	 681	A	 10	H	 3	  50.00	     85.6500	Martini  	Nannofossils                                 	               	P/M               	                            	                                	R                    	R                  	R                          	                     	                     	                     	R                                  	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN19              	              	112	 681	A	 10	H	CC	   0.00	     88.1500	Martini  	Nannofossils                                 	               	P/M               	                            	                                	                     	R                  	                           	                     	                     	R                    	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN19              	              	112	 681	A	 11	H	 5	 120.00	     99.2000	Martini  	Nannofossils                                 	               	P/M               	                            	                                	R                    	R                  	                           	R                    	                     	                     	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN19              	              	112	 681	A	 12	H	CC	  20.00	    111.1400	Martini  	Nannofossils                                 	               	M                 	                            	                                	                     	F                  	                           	R                    	                     	R                    	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN19              	              	112	 681	A	 13	X	CC	  27.00	    115.2500	Martini  	Nannofossils                                 	               	M                 	                            	                                	R                    	F                  	                           	R                    	                     	                     	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	Quaternary       	                 	NN19              	              	112	 681	A	 14	X	CC	  28.00	    125.0300	Martini  	Nannofossils                                 	               	M                 	                            	                                	R                    	F                  	                           	F                    	R                    	                     	                                   	                        	                                      	                 	                         	from ODP Leg 112 SR Chapter 14 Table 4 p 221

  SR	                 	                 	                  	              	112	 681	A	 19	X	CC	  14.00	    168.1400	Martini  	Nannofossils                                 	               	M                 	R                           	R                               	R                    	R                  	R                          	F                    	                     	                     	                                   	                        	                                      	                 	                         	reworked; from ODP Leg 112 SR Chapter 14 Table 4 p 221

