Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus predistentus,Sphenolithus moriformis,Reticulofenestra spp. (small - medium),Helicosphaera recta,Helicosphaera euphratis,Helicosphaera carteri,Discoaster tanii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Sphenolithus pseudoradians,Sphenolithus distentus,Thorosphaera flabellata,Sphenolithus ciperoensis,Coronocyclus nitescens,Triquetrorhabdulus carinatus,Chiasmolithus altus,Sphenolithus dissimilis,Sphenolithus conicus,Discoaster druggii,Discoaster adamanteus,Discoaster variabilis,Reticulofenestra pseudoumbilicus,Florisphaera profunda,Sphenolithus compactus,Helicosphaera ampliaperta,Calcidiscus premacintyrei,Sphenolithus belemnos,Discoaster bollii,Umbilicosphaera sibogae,Discoaster moorei,Calcidiscus leptoporus,Sphenolithus heteromorphus,Discoaster petaliformis,Discoaster exilis,Discoaster calcaris,Helicosphaera granulata,Pontosphaera spp.,Calcidiscus macintyrei,Triquetrorhabdulus rugosus,Sphenolithus abies/neoabies,Discoaster kugleri,Discoaster prepentaradiatus,Discoaster surculus,Discoaster hamatus,Discoaster brouweri,Catinaster coalitus,Catinaster calyculus,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster berggrenii,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus amplificus,Pseudoemiliania lacunosa,Ceratolithus rugosus,Ceratolithus acutus,Rhabdosphaera clavigera,Discoaster tamalis,Ceratolithus cristatus,Syracosphaera pulchra,Syracosphaera spp.,Scapholithus fossilis,Gephyrocapsa spp. (small),Helicosphaera sellii,Gephyrocapsa oceanica,Oolithotus antillarum,Gephyrocapsa margerelii,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Helicosphaera hyalina,Reticulofenestra asanoi,Umbellosphaera tenuis,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A,  5,H,CC,   0.00,     38.7800,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                                      ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,F                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,F                      ,                  ,                      ,F                    ,                  ,R                    ,A                        ,                    ,A                    ,F                    ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A,  6,H,CC,  22.00,     48.6600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                                      ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,F                      ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,R                      ,                  ,                      ,F                    ,                  ,                     ,C                        ,                    ,A                    ,R                    ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A,  7,H,CC,   0.00,     57.6200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                                      ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,F                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,R                ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,F                      ,                  ,R                     ,F                    ,                  ,                     ,A                        ,                    ,C                    ,F                    ,F                      ,F                        ,                          ,R                    ,R                      ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A,  8,H,CC,  13.00,     67.4600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,                                      ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,R                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,D                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,R                ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,F                      ,                  ,R                     ,F                    ,                  ,                     ,C                        ,                    ,                     ,                     ,R                      ,                         ,                          ,                     ,F                      ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A,  9,H,CC,  19.00,     76.8700,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,                                      ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,R                ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,C                      ,                  ,R                     ,C                    ,                  ,R                    ,D                        ,                    ,C                    ,F                    ,                       ,F                        ,R                         ,R                    ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A, 10,H,CC,  18.00,     86.6400,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,                                      ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,F                ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,C                      ,                  ,R                     ,C                    ,                  ,R                    ,A                        ,                    ,C                    ,R                    ,                       ,C                        ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19b             ,NN19b         ,184,1148,A, 11,H,CC,   4.00,     95.9300,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,                                      ,                   ,                       ,R                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,C                      ,                  ,R                     ,C                    ,                  ,R                    ,F                        ,                    ,F                    ,R                    ,R                      ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19a             ,NN19a         ,184,1148,A, 12,H,CC,   0.00,    105.6300,nannos   ,Nannofossils                                 ,A              ,P                 ,                       ,                         ,                       ,                                      ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,F                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,D                    ,                      ,                         ,                         ,                     ,                 ,C                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,                      ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,C                      ,                  ,R                     ,F                    ,                  ,R                    ,C                        ,                    ,R                    ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN19a             ,NN19a         ,184,1148,A, 13,H,CC,   9.00,    114.6200,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,C                                     ,                   ,                       ,C                    ,                ,                     ,                       ,                           ,R                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,D                    ,                      ,                         ,                         ,                     ,                 ,F                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,F                     ,                          ,                           ,                  ,                           ,                   ,                  ,                   ,                   ,                    ,                        ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,C                      ,                  ,R                     ,F                    ,                  ,                     ,                         ,R                   ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN18              ,NN18          ,184,1148,A, 14,H,CC,   0.00,    123.8900,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,R                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,F                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,R                ,C                     ,                          ,R                          ,                  ,                           ,R                  ,                  ,C                  ,                   ,                    ,R                       ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,F                      ,                  ,R                     ,F                    ,R                 ,R                    ,C                        ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN17              ,NN17          ,184,1148,A, 15,H,CC,   0.00,    133.5400,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,R                      ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,F                      ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,R                ,C                     ,                          ,                           ,                  ,                           ,R                  ,                  ,C                  ,                   ,                    ,C                       ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,R                      ,                  ,R                     ,R                    ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN16              ,NN16          ,184,1148,A, 16,H,CC,   0.00,    143.1700,nannos   ,Nannofossils                                 ,C              ,P                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,F                      ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,R                ,C                     ,                          ,                           ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,A                       ,                       ,                     ,                   ,                      ,                            ,                       ,C                       ,                    ,                   ,                       ,                  ,R                     ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,NN16              ,NN16          ,184,1148,A, 17,X,CC,  31.00,    153.0600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,F                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,                                ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,F                     ,                          ,                       ,                 ,                   ,                       ,R                ,C                     ,                          ,                           ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,A                       ,                       ,                     ,                   ,                      ,                            ,                       ,F                       ,                    ,                   ,                       ,R                 ,R                     ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NN15              ,NN15          ,184,1148,A, 18,X,CC,  44.00,    161.5000,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,R                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,R                      ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,R                     ,                          ,                       ,                 ,                   ,                       ,R                ,C                     ,                          ,C                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,A                       ,                       ,                     ,                   ,R                     ,                            ,                       ,F                       ,                    ,R                  ,R                      ,F                 ,R                     ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,NN12              ,NN14          ,184,1148,A, 19,X,CC,  21.00,    172.2700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,R                    ,                ,                     ,                       ,                           ,                     ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,F                    ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,                          ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,A                       ,                       ,                     ,R                  ,R                     ,R                           ,                       ,R                       ,R                   ,F                  ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN11              ,NN11          ,184,1148,A, 20,X,CC,   0.00,    181.5600,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,                     ,                       ,                           ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,F                    ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,R                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,R                         ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,A                       ,C                      ,C                    ,R                  ,R                     ,R                           ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN11              ,NN11          ,184,1148,A, 21,X,CC,  30.00,    191.5700,nannos   ,Nannofossils                                 ,A              ,M                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,                     ,                       ,                           ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,                     ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,F                         ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,A                       ,C                      ,A                    ,R                  ,R                     ,R                           ,R                      ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN11              ,NN11          ,184,1148,A, 22,X,CC,  26.00,    201.2200,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                         ,                       ,A                                     ,                   ,                       ,                     ,                ,                     ,                       ,                           ,C                    ,                        ,                          ,                      ,                       ,                        ,                      ,                            ,                   ,                       ,                    ,                  ,                     ,F                    ,C                               ,A                    ,                      ,                         ,                         ,                     ,                 ,                       ,                 ,C                     ,                          ,                       ,                 ,                   ,                       ,                 ,C                     ,R                         ,A                          ,                  ,                           ,F                  ,                  ,C                  ,                   ,                    ,A                       ,C                      ,A                    ,R                  ,R                     ,                            ,                       ,                        ,                    ,                   ,                       ,                  ,                      ,                     ,                  ,                     ,                         ,                    ,                     ,                     ,                       ,                         ,                          ,                     ,                       ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
