Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Neogloboquadrina acostaensis,Orbulina universa,Neogloboquadrina dutertrei,Hastigerina siphonifera,Hastigerina aequilateralis,Globorotalia truncatulinoides,Globorotalia triangula,Globorotalia menardii,Globorotalia inflata,Globorotalia crassaformis ronda,Globorotalia crassaformis,Globorotalia cf. Gr. hirsuta,Globigerinoides ruber (white),Globigerinoides conglobatus,Beella praedigitata,Orbulina suturalis,Neogloboquadrina humerosa,Globorotalia tosaensis,Globorotalia scitula,Globigerinoides elongatus/obliquus extremus,Globigerina bulloides,Orbulina bilobata,Globigerina megastoma cariacoensis,Globorotalia crassaformis crassaformis,Pulleniatina obliquiloculata,Globigerinoides trilobus/immaturus,Globigerinoides ruber (pink),Globigerinoides fistulosus,Globigerinoides sacculifer,Globigerina falconensis,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  4,R, 1, 119.00,     27.4900,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,F                           ,F                ,R                         ,R                      ,R                         ,F                            ,F                     ,                     ,F                   ,R                              ,R                        ,                            ,F                            ,                           ,R                  ,R                 ,R                        ,R                     ,R                   ,R                                          ,F                    ,                 ,R                                 ,                                      ,R                           ,R                                 ,R                           ,                          ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  4,R,CC,  10.00,     30.5800,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,C                          ,F                           ,C                ,R                         ,                       ,                          ,F                            ,F                     ,                     ,F                   ,                               ,                         ,                            ,R                            ,                           ,                   ,                  ,                         ,F                     ,R                   ,R                                          ,F                    ,                 ,                                  ,R                                     ,                            ,                                  ,                            ,                          ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  5,R, 2,  32.00,     37.8200,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,C                          ,F                           ,C                ,R                         ,F                      ,R                         ,F                            ,F                     ,                     ,F                   ,R                              ,R                        ,                            ,F                            ,                           ,R                  ,R                 ,F                        ,                      ,F                   ,R                                          ,F                    ,R                ,F                                 ,                                      ,                            ,                                  ,                            ,                          ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  5,R,CC,  11.00,     39.6800,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,C                          ,F                           ,C                ,                          ,                       ,                          ,F                            ,F                     ,                     ,F                   ,                               ,                         ,                            ,R                            ,                           ,                   ,R                 ,R                        ,F                     ,R                   ,R                                          ,C                    ,                 ,                                  ,                                      ,                            ,                                  ,                            ,                          ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  6,R, 4, 148.00,     51.5800,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,C                          ,F                           ,R                ,R                         ,R                      ,R                         ,R                            ,F                     ,R                    ,F                   ,R                              ,R                        ,R                           ,R                            ,?                          ,R                  ,                  ,                         ,                      ,                    ,                                           ,                     ,                 ,                                  ,                                      ,                            ,                                  ,                            ,                          ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 897,A,  6,R,CC,  12.00,     52.8200,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,R                          ,R                           ,                 ,                          ,                       ,                          ,                             ,                      ,                     ,                    ,                               ,                         ,                            ,                             ,                           ,                   ,                  ,                         ,                      ,                    ,                                           ,                     ,                 ,                                  ,                                      ,                            ,                                  ,                            ,                          ,                          ,                       ,               ,from 149 SR. Chapter 6. Table 1. page 170.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
