Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorys redondoensis	Stichocorys delmontensis	Stichocorys armata	Siphocampe modeloensis	Prunopyle hayesi	Phormostichoartus fistula	Lychnocanoma nipponica nipponica	Gondwanaria hister	Amphymenium amphistylium	Tricolospyris  leibnitziana	Stylatractus universus	Stauroxiphos communis	Lychnocanoma nipponica magnacornuta	Dictyophimus splendens	Diartus petterssoni	Cyrtocapsella japonica	Cyrtocapsella cornuta	Cycladophora cosma cosma	Anthocyrtidium pliocenica	Lithopera neotera	Eucyrtidium acuminatum	Stylodictya validispina	Prunopyle trypopyrena	Botryostrobus bramlettei	Larcospira moschkovskii	Dendrospyris bursa	Lamprocyclas hannai	Eucyrtidium teuscheri group	Didymocyrtis laticonus	Diartus hughesi	Stichocorys radicula	Stichocorys peregrina	Rhizosphaera antarctica	Anthocyrtella (?) callopisma	Stylochlamidium  venustum	Lipmanella virchowii	Lamprocyclas margatensis	Clathrocyclas bicornis	Stylacontarium acquilonium	Eucyrtidium infundibulum	Botryostrobus praetumidulus	Siphocampe arachnea	Pterocanium korotnevi	Gondwanaria dogieli	Actinomma popofskii	Eucyrtidium calvertense	Pterocanium auritum	Eucyrtidium inflatum	Spongotrochus glacialis	Lamprocyrtis heteroporos	Lychnocanoma nipponica sakaii	Phormostichoartus crustula	Dictyophimus bullatus	Sphaeropyle langii	Eucyrtidium erythromystax	Dictyophimus crisiae	Sphaeropyle robusta	Pseudocubus warreni	Lamprocyrtis daniellae	Cycladophora davisiana davisiana	Botryostrobus tumidulus	Lamprocyrtis neoheteroporos	Botryostrobus aquilonaris	Eucyrtidium matuyamai	Comment

  IR	                 	                 	                  	              	167	1021	B	  8	H	CC	  20.00	     75.0600	Caulet   	Radiolarians                                 	C              	M                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	F                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	R                     	                       	                     	                        	                       	                  	                   	R                          	                      	               	                    	                     	                       	T                           	R                        	T                   	                        	A                     	R                         	R                       	                           	                   	                     	T                  	                   	                       	                   	                    	                       	A                       	                             	                          	                     	T                 	                         	                    	R                  	F                  	R                     	R                               	T                      	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Pliocene         	                 	S. langii (N Pac) 	              	167	1021	B	  9	H	CC	  32.00	     84.6900	Caulet   	Radiolarians                                 	F              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	R                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	R                     	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	R                        	                    	                        	C                     	F                         	                        	T                          	                   	                     	                   	                   	T                      	                   	                    	                       	A                       	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Pliocene         	                 	S. langii (N Pac) 	              	167	1021	B	 10	H	CC	  25.00	     94.0000	Caulet   	Radiolarians                                 	R              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	                      	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	+                         	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	+                       	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Pliocene         	                 	S. langii (N Pac) 	              	167	1021	B	 11	H	CC	   0.00	    103.0800	Caulet   	Radiolarians                                 	R              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	                      	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	+                     	+                         	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	+                       	+                            	                          	                     	                  	                         	+                   	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Pliocene         	                 	S. langii (N Pac) 	              	167	1021	B	 12	H	CC	  20.00	    112.9900	Caulet   	Radiolarians                                 	R              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	+                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	+                      	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	+                      	                            	                         	                    	                        	+                     	+                         	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	+                       	+                            	                          	                     	+                 	+                        	+                   	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 13	H	CC	   9.00	    122.3400	Caulet   	Radiolarians                                 	R              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	+                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	+                      	+                    	                        	                       	                  	                   	                           	                      	               	                    	                     	+                      	                            	+                        	                    	                        	+                     	                          	                        	+                          	                   	                     	                   	                   	+                      	                   	                    	                       	                        	                             	+                         	+                    	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 14	H	CC	   0.00	    131.8200	Caulet   	Radiolarians                                 	R              	M                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	+                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	+                    	                       	                            	                         	                    	                        	                      	+                         	                        	                           	                   	+                    	                   	                   	                       	                   	                    	                       	+                       	+                            	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 15	H	CC	  18.00	    141.5100	Caulet   	Radiolarians                                 	A              	G                 	                      	T                       	                  	T                     	                	R                        	                                	                  	                        	                           	C                     	                     	                                   	                      	                   	                      	                     	                        	R                        	                 	T                     	                       	                     	                        	                       	                  	R                  	                           	                      	               	                    	F                    	                       	                            	                         	                    	                        	F                     	                          	                        	R                          	                   	R                    	                   	                   	R                      	R                  	                    	                       	A                       	R                            	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 16	H	CC	  21.00	    150.9600	Caulet   	Radiolarians                                 	C              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	F                     	                     	                                   	                      	                   	                      	                     	T                       	                         	                 	T                     	R                      	T                    	                        	                       	                  	                   	                           	                      	               	                    	R                    	R                      	                            	R                        	                    	                        	R                     	C                         	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	A                       	T                            	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 17	H	CC	  24.00	    160.5400	Caulet   	Radiolarians                                 	C              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	C                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	R                      	R                    	                        	                       	                  	                   	                           	                      	               	                    	T                    	R                      	R                           	                         	T                   	                        	C                     	A                         	T                       	F                          	                   	T                    	                   	                   	R                      	                   	                    	R                      	A                       	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 18	H	CC	  12.00	    169.8400	Caulet   	Radiolarians                                 	A              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	C                     	                     	                                   	T                     	                   	                      	                     	                        	F                        	                 	R                     	R                      	                     	                        	T                      	                  	R                  	                           	                      	               	                    	A                    	R                      	                            	                         	                    	                        	A                     	                          	                        	R                          	                   	R                    	                   	                   	R                      	R                  	T                   	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 19	X	CC	  15.00	    176.8900	Caulet   	Radiolarians                                 	F              	G                 	                      	                        	                  	T                     	                	                         	                                	                  	                        	                           	C                     	                     	                                   	R                     	                   	                      	                     	                        	                         	                 	R                     	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	A                    	R                      	                            	                         	                    	                        	C                     	                          	                        	C                          	                   	                     	                   	T                  	R                      	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 20	X	CC	  19.00	    177.4600	Caulet   	Radiolarians                                 	C              	G                 	                      	                        	                  	                      	R               	                         	T                               	                  	                        	                           	C                     	                     	                                   	C                     	                   	                      	                     	                        	                         	                 	                      	C                      	                     	R                       	R                      	                  	R                  	R                          	                      	               	                    	C                    	R                      	                            	                         	                    	                        	C                     	                          	                        	C                          	R                  	T                    	T                  	R                  	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 21	X	CC	  10.00	    194.6700	Caulet   	Radiolarians                                 	R              	M                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	T                     	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	T                      	                     	                        	                       	                  	                   	                           	                      	               	                    	T                    	                       	                            	                         	                    	                        	                      	                          	                        	T                          	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 22	X	CC	   9.00	    204.2300	Caulet   	Radiolarians                                 	F              	G                 	                      	R                       	                  	R                     	T               	                         	                                	                  	T                       	                           	C                     	                     	                                   	C                     	                   	                      	                     	                        	R                        	R                	R                     	C                      	                     	C                       	                       	                  	T                  	T                          	                      	               	                    	A                    	                       	                            	                         	                    	                        	C                     	R                         	R                       	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	Early Pliocene   	S. peregrina (N Pac)	              	167	1021	B	 23	X	CC	  22.00	    213.9600	Caulet   	Radiolarians                                 	A              	G                 	R                     	C                       	                  	                      	                	                         	R                               	                  	                        	                           	R                     	R                    	                                   	R                     	                   	                      	                     	                        	                         	                 	                      	F                      	                     	                        	                       	                  	                   	                           	                      	               	                    	A                    	R                      	                            	                         	                    	R                       	                      	R                         	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	                 	D. penultima (RN8)	              	167	1021	B	 24	X	CC	  13.00	    223.7000	Caulet   	Radiolarians                                 	C              	G                 	                      	A                       	                  	                      	                	                         	F                               	                  	T                       	                           	                      	                     	                                   	F                     	                   	                      	                     	T                       	R                        	                 	                      	                       	                     	                        	                       	                  	                   	T                          	                      	               	                    	                     	R                      	                            	R                        	T                   	T                       	F                     	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Late Miocene     	                 	D. penultima (RN8)	              	167	1021	B	 25	X	CC	  27.00	    231.9900	Caulet   	Radiolarians                                 	A              	G                 	                      	A                       	                  	                      	R               	                         	R                               	                  	                        	T                          	C                     	                     	                                   	A                     	                   	                      	                     	R                       	C                        	                 	T                     	R                      	                     	A                       	                       	R                 	                   	                           	                      	               	R                   	R                    	R                      	R                           	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	Late Miocene     	D. petterssoni (RN6)	              	167	1021	B	 26	X	 7	  30.00	    242.5000	Caulet   	Radiolarians                                 	A              	G                 	                      	A                       	                  	                      	F               	R                        	                                	                  	                        	                           	C                     	                     	T                                  	C                     	                   	                      	                     	R                       	C                        	R                	R                     	                       	                     	F                       	F                      	                  	                   	                           	T                     	R              	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	Late Miocene     	D. petterssoni (RN6)	              	167	1021	B	 27	X	CC	  14.00	    252.4800	Caulet   	Radiolarians                                 	A              	G                 	                      	A                       	                  	T                     	R               	                         	R                               	T                 	                        	                           	                      	                     	                                   	                      	                   	                      	                     	R                       	C                        	R                	T                     	F                      	                     	F                       	T                      	R                 	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	Late Miocene     	D. petterssoni (RN6)	              	167	1021	B	 28	X	CC	  16.00	    262.0800	Caulet   	Radiolarians                                 	A              	G                 	                      	A                       	                  	                      	                	                         	R                               	                  	T                       	T                          	R                     	                     	                                   	C                     	R                  	                      	                     	                        	                         	                 	                      	                       	                     	                        	                       	R                 	R                  	R                          	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	Late Miocene     	D. petterssoni (RN6)	              	167	1021	B	 29	X	CC	  24.00	    271.8400	Caulet   	Radiolarians                                 	C              	G                 	                      	F                       	                  	                      	F               	                         	                                	                  	                        	                           	                      	                     	R                                  	R                     	R                  	                      	                     	R                       	C                        	                 	                      	                       	R                    	                        	F                      	F                 	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	Late Miocene     	D. petterssoni (RN6)	              	167	1021	B	 30	X	CC	  13.00	    281.3500	Caulet   	Radiolarians                                 	R              	G                 	                      	                        	                  	                      	                	                         	                                	                  	                        	                           	                      	                     	                                   	                      	                   	A                     	                     	R                       	                         	                 	                      	R                      	T                    	R                       	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	Late Miocene     	D. petterssoni (RN6)	              	167	1021	B	 31	X	CC	  31.00	    291.1400	Caulet   	Radiolarians                                 	C              	G                 	T                     	C                       	R                 	                      	                	                         	                                	                  	                        	T                          	                      	R                    	C                                  	F                     	T                  	A                     	                     	R                       	                         	R                	R                     	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	Late Miocene     	D. petterssoni (RN6)	              	167	1021	B	 32	X	CC	  26.00	    300.7300	Caulet   	Radiolarians                                 	A              	G                 	T                     	F                       	T                 	                      	C               	                         	F                               	T                 	R                       	T                          	R                     	C                    	R                                  	F                     	R                  	A                     	A                    	R                       	R                        	                 	                      	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

  IR	Middle Miocene   	                 	D. alata (RN5)    	              	167	1021	B	 33	X	CC	  13.00	    310.0900	Caulet   	Radiolarians                                 	A              	G                 	R                     	R                       	C                 	R                     	R               	T                        	C                               	R                 	T                       	                           	                      	                     	                                   	                      	                   	                      	                     	                        	                         	                 	                      	                       	                     	                        	                       	                  	                   	                           	                      	               	                    	                     	                       	                            	                         	                    	                        	                      	                          	                        	                           	                   	                     	                   	                   	                       	                   	                    	                       	                        	                             	                          	                     	                  	                         	                    	                   	                   	                      	                                	                       	                           	                         	                     	from IR. Ch 15.Table 6.

