Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nuttallides umbonifera,Melonis pompilioides,Lagena spp.,Gyroidinoides spp.,Melonis barleeanus,Oridorsalis umbonatus,Stilostomella spp.,Lenticulina spp.,Uvigerina peregrina,Pyrgo spp.,Fontbotia wuellerstorfi,Nodosaria spp.,Pullenia bulloides,Globocassidulina subglobosa,Uvigerina auberiana,Epistominella exigua,Eggerella bradyi,Bolivina pseudopunctata,Melonis sp.,Chilostomella oolina,Brizalina subaenariensis,Cassidulina carinata,Comment
  IR,                 ,                 ,                  ,              ,172,1061,A,  8,H,CC,  18.00,     76.2800,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                     ,+                   ,           ,+                 ,+                 ,                     ,                  ,                ,+                  ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,+          ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A,  9,H,CC,  22.00,     86.1200,Poli     ,Benthic Foraminifers                         ,T              ,P                 ,                      ,+                   ,           ,+                 ,                  ,                     ,                  ,                ,+                  ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 10,H,CC,  20.00,     95.4700,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,+                     ,+                   ,           ,                  ,                  ,                     ,                  ,                ,                   ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 13,H,CC,  27.00,    124.2300,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                     ,R                   ,           ,                  ,                  ,                     ,                  ,                ,T                  ,F         ,R                      ,              ,                  ,T                          ,                   ,                    ,R               ,T                      ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 14,H,CC,  21.00,    132.9500,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                      ,                    ,           ,                  ,                  ,                     ,                  ,                ,+                  ,          ,                       ,              ,                  ,                           ,+                  ,+                   ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 15,H,CC,  19.00,    143.0700,Poli     ,Benthic Foraminifers                         ,T              ,P                 ,+                     ,+                   ,           ,                  ,                  ,                     ,                  ,                ,                   ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 17,X,CC,   0.00,    157.0900,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,                      ,                    ,           ,                  ,                  ,                     ,                  ,                ,                   ,          ,                       ,+             ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 20,X,CC,  33.00,    183.7900,Poli     ,Benthic Foraminifers                         ,T              ,P                 ,                      ,                    ,           ,                  ,                  ,                     ,                  ,                ,                   ,          ,                       ,              ,+                 ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 22,X,CC,  34.00,    203.4400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                     ,F                   ,           ,                  ,                  ,F                    ,                  ,                ,C                  ,          ,R                      ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 24,X,CC,  13.00,    222.4200,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,                      ,                    ,           ,                  ,10                ,                     ,                  ,                ,1                  ,          ,                       ,              ,7                 ,2                          ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,only 20 BF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 25,X,CC,  38.00,    231.4800,Poli     ,Benthic Foraminifers                         ,R              ,P                 ,                      ,+                   ,           ,                  ,                  ,+                    ,                  ,                ,                   ,          ,+                      ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 29,X,CC,  24.00,    271.5000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                     ,F                   ,R          ,                  ,                  ,R                    ,T                 ,                ,F                  ,          ,R                      ,T             ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 30,X,CC,  39.00,    281.6600,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                     ,F                   ,R          ,                  ,                  ,R                    ,T                 ,                ,F                  ,R         ,R                      ,T             ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 31,X,CC,  48.00,    289.2300,Poli     ,Benthic Foraminifers                         ,R              ,P                 ,+                     ,+                   ,+          ,                  ,                  ,+                    ,+                 ,                ,+                  ,+         ,+                      ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 32,X,CC,  13.00,    292.5300,Poli     ,Benthic Foraminifers                         ,T              ,P                 ,                      ,                    ,           ,                  ,                  ,                     ,+                 ,+               ,                   ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 34,X,CC,  30.00,    315.4900,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,+                     ,+                   ,           ,                  ,+                 ,+                    ,                  ,                ,                   ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 35,X,CC,  28.00,    326.4700,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,F                     ,F                   ,F          ,R                 ,C                 ,                     ,                  ,                ,                   ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 36,X,CC,  37.00,    338.7000,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,C                     ,R                   ,C          ,F                 ,C                 ,                     ,                  ,                ,                   ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,A, 37,X,CC,  37.00,    346.3400,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                     ,+                   ,+          ,+                 ,                  ,                     ,                  ,                ,                   ,          ,                       ,              ,                  ,                           ,                   ,                    ,                ,                       ,           ,                    ,                        ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
