Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus rugosus	Sphenolithus neoabies	Sphenolithus abies	Scyphosphaera spp.	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra gelida	Helicosphaera rhomba	Helicosphaera carteri	Geminilithella rotula	Discoaster variabilis	Dictyococcites antarcticus	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus formosus	Coccolithus eopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster quinqueramus	Discoaster surculus	Discoaster pentaradiatus	Syracosphaera pulchra	Amaurolithus delicatus	Helicosphaera kamptneri	Discoaster brouweri	Braarudosphaera bigelowii	Pseudoemiliania lacunosa	Umbilicosphaera sibogae	Hayaster perplexus	Dictyococcites productus	Gephyrocapsa aperta	Gephyrocapsa caribbeanica	Rhabdosphaera clavigera	Oolithotus fragilis	Scapholithus fossilis	Small Gephyrocapsa spp.	Helicosphaera inversa	Helicosphaera hyalina	Gephyrocapsa omega	Gephyrocapsa oceanica	Pontosphaera japonica	Helicosphaera wallichii	Ceratolithus cristatus	Rhabdosphaera stylifera	Emiliania huxleyi	Comment
  IR	                 	                 	                  	              	182	1130	B	  5	H	CC	  18.00	     41.9200	Shafik   	Nannofossils                                 	C              	G                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	F                    	                     	                     	                          	                           	R                    	                    	                       	                      	C                     	                       	                   	                        	                     	                      	                       	                   	                         	                        	                       	                  	R                       	                   	C                        	                       	                   	                     	R                      	                     	F                    	R                 	C                    	R                    	R                      	R                     	                       	                 	       

  IR	                 	                 	NN20              	NN21          	182	1130	B	  6	H	CC	  50.00	     49.3000	Shafik   	Nannofossils                                 	C              	M                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	                          	                           	C                    	                    	                       	                      	C                     	                       	                   	                        	                     	                      	                       	                   	F                        	                        	                       	                  	                        	                   	F                        	                       	                   	                     	C                      	R                    	F                    	R                 	C                    	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	  7	H	CC	   0.00	     60.6400	Ladner   	Nannofossils                                 	C              	G                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	                          	                           	R                    	                    	                       	                      	C                     	                       	                   	                        	F                    	                      	F                      	                   	                         	                        	                       	                  	                        	C                  	F                        	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	  8	H	CC	  14.00	     70.6000	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	                          	                           	                     	                    	                       	                      	F                     	                       	                   	                        	F                    	                      	F                      	                   	                         	                        	                       	                  	                        	C                  	C                        	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	  9	H	CC	   4.00	     80.4100	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	A                        	                       	                       	                    	                     	                     	                     	F                         	                           	R                    	                    	                       	                      	F                     	                       	                   	                        	R                    	                      	R                      	                   	                         	                        	                       	                  	                        	A                  	A                        	                       	                   	R                    	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 10	H	CC	  15.00	     89.1300	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	C                         	                           	                     	                    	                       	                      	                      	                       	                   	                        	R                    	                      	R                      	                   	                         	                        	                       	                  	                        	A                  	A                        	                       	                   	R                    	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 11	H	CC	   5.00	     99.0800	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	A                        	                       	                       	                    	                     	                     	                     	A                         	                           	                     	                    	                       	                      	R                     	                       	                   	                        	F                    	                      	                       	                   	R                        	                        	                       	                  	                        	A                  	A                        	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 12	H	CC	  22.00	    107.9100	Ladner   	Nannofossils                                 	A              	G                 	                          	                     	                  	                  	                                	A                        	A                      	                       	                    	                     	                     	                     	A                         	                           	F                    	                    	                       	                      	F                     	                       	                   	                        	R                    	                      	                       	                   	                         	                        	                       	                  	                        	A                  	A                        	                       	F                  	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 13	H	CC	  16.00	    118.4300	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	A                        	                       	                       	                    	                     	                     	                     	A                         	                           	F                    	                    	                       	                      	                      	                       	                   	                        	F                    	                      	F                      	                   	                         	                        	R                      	                  	                        	A                  	A                        	                       	F                  	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 14	H	CC	  24.00	    127.8400	Ladner   	Nannofossils                                 	A              	G                 	                          	                     	                  	                  	                                	A                        	                       	                       	                    	                     	                     	                     	A                         	                           	R                    	                    	                       	                      	F                     	                       	                   	                        	C                    	                      	R                      	                   	                         	                        	R                      	                  	                        	C                  	A                        	R                      	F                  	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 15	H	CC	  12.00	    137.3300	Ladner   	Nannofossils                                 	A              	G                 	                          	                     	                  	                  	                                	A                        	                       	                       	                    	                     	                     	                     	A                         	                           	                     	                    	                       	                      	F                     	                       	                   	                        	F                    	                      	F                      	                   	                         	                        	                       	                  	                        	A                  	                         	R                      	F                  	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 16	H	CC	  18.00	    146.1200	Ladner   	Nannofossils                                 	A              	G                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	A                         	                           	F                    	                    	                       	                      	F                     	                       	                   	                        	F                    	                      	F                      	                   	R                        	                        	F                      	                  	                        	A                  	F                        	F                      	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	B	 17	H	CC	  19.00	    156.2000	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	A                         	                           	                     	                    	                       	                      	                      	                       	                   	                        	F                    	                      	F                      	                   	                         	                        	                       	                  	                        	A                  	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 18	X	CC	  34.00	    165.8600	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	A                         	                           	                     	                    	                       	                      	                      	                       	                   	                        	                     	                      	F                      	                   	R                        	F                       	                       	                  	                        	C                  	F                        	F                      	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	Increasing amount of sponge spicules

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 19	X	CC	  33.00	    175.4100	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	C                         	                           	C                    	                    	                       	                      	C                     	                       	                   	                        	C                    	                      	F                      	                   	R                        	F                       	                       	                  	                        	C                  	C                        	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 20	X	CC	  31.00	    184.9300	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	C                         	                           	                     	                    	                       	                      	F                     	                       	                   	                        	                     	                      	R                      	                   	                         	                        	                       	                  	                        	C                  	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 21	X	CC	  33.00	    194.8300	Ladner   	Nannofossils                                 	A              	P                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	A                         	                           	                     	                    	                       	R                     	F                     	                       	                   	                        	F                    	                      	                       	                   	                         	                        	                       	R                 	C                       	C                  	F                        	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 22	X	CC	  33.00	    204.4600	Ladner   	Nannofossils                                 	A              	P                 	                          	                     	                  	                  	                                	                         	                       	                       	                    	                     	                     	                     	A                         	                           	                     	                    	                       	                      	F                     	                       	                   	                        	                     	                      	                       	                   	R                        	                        	                       	                  	A                       	A                  	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 23	X	CC	  28.00	    214.0300	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	A                        	                       	                       	                    	                     	                     	                     	A                         	                           	C                    	                    	                       	                      	F                     	                       	                   	                        	F                    	                      	                       	                   	R                        	R                       	                       	                  	                        	A                  	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 24	X	CC	  15.00	    223.1700	Ladner   	Nannofossils                                 	A              	P                 	                          	                     	                  	                  	                                	A                        	                       	                       	                    	                     	                     	                     	                          	                           	                     	                    	                       	R                     	                      	                       	                   	                        	C                    	                      	F                      	                   	                         	F                       	F                      	                  	A                       	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Quaternary       	                  	NN19          	182	1130	B	 25	X	CC	  25.00	    233.5200	Ladner   	Nannofossils                                 	A              	M                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	A                         	                           	F                    	                    	                       	F                     	                      	                       	                   	                        	F                    	                      	F                      	                   	                         	                        	F                      	R                 	A                       	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Late Pliocene    	                  	NN18          	182	1130	B	 26	X	CC	  27.00	    243.2400	Ladner   	Nannofossils                                 	A              	P                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	A                         	                           	F                    	                    	                       	                      	                      	                       	                   	                        	F                    	                      	                       	1                  	                         	F                       	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Late Pliocene    	                  	NN18          	182	1130	B	 27	X	CC	  35.00	    252.9500	Ladner   	Nannofossils                                 	C              	M                 	                          	                     	                  	                  	                                	C                        	                       	                       	                    	                     	                     	                     	C                         	                           	C                    	                    	                       	C                     	C                     	                       	                   	                        	F                    	                      	                       	R                  	F                        	                        	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	Abundant siliceous materials, also discoaster fragments and recrystallized calcite rhombs.

  IR	                 	Early Pliocene   	NN14              	NN15          	182	1130	B	 28	X	CC	  37.00	    262.5300	Ladner   	Nannofossils                                 	A              	M                 	                          	F                    	F                 	C                 	C                               	                         	                       	                       	                    	                     	                     	                     	                          	                           	F                    	                    	                       	C                     	C                     	                       	F                  	R                       	F                    	F                     	F                      	F                  	                         	                        	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	Early Pliocene   	NN14              	NN15          	182	1130	B	 29	X	CC	  32.00	    272.1200	Ladner   	Nannofossils                                 	A              	M                 	                          	F                    	                  	F                 	C                               	                         	                       	                       	                    	                     	                     	                     	                          	                           	C                    	                    	                       	C                     	C                     	                       	F                  	F                       	F                    	F                     	                       	                   	                         	                        	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	                 	                  	NN12          	182	1130	B	 30	X	CC	  37.00	    281.7900	Shafik   	Nannofossils                                 	C              	M                 	R                         	                     	F                 	C                 	C                               	                         	A                      	C                      	                    	C                    	F                    	A                    	C                         	                           	F                    	                    	                       	F                     	C                     	                       	F                  	R                       	                     	                      	                       	                   	                         	                        	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	                 	                  	NN12          	182	1130	B	 31	X	CC	  35.00	    291.4600	Shafik   	Nannofossils                                 	C              	M                 	R                         	C                    	C                 	C                 	A                               	                         	A                      	A                      	                    	C                    	F                    	C                    	                          	                           	C                    	                    	                       	C                     	C                     	                       	F                  	                        	                     	                      	                       	                   	                         	                        	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	                 	                  	NN11          	182	1130	B	 32	X	CC	  37.00	    301.0500	Shafik   	Nannofossils                                 	C              	M                 	R                         	C                    	                  	C                 	A                               	                         	A                      	A                      	                    	F                    	F                    	C                    	F                         	                           	C                    	                    	                       	C                     	R                     	R                      	                   	                        	                     	                      	                       	                   	                         	                        	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	       

  IR	                 	                 	                  	NN11          	182	1130	B	 33	X	CC	  37.00	    310.5300	Shafik   	Nannofossils                                 	C              	M                 	R                         	C                    	R                 	C                 	A                               	R                        	C                      	A                      	F                   	C                    	F                    	C                    	A                         	R                          	C                    	R                   	R                      	F                     	R                     	                       	                   	                        	                     	                      	                       	                   	                         	                        	                       	                  	                        	                   	                         	                       	                   	                     	                       	                     	                     	                  	                     	                     	                       	                      	                       	                 	Minor reworking from Paleogene sediments.

