Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus orphanknollensis	Reticulofenestra umbilica	Reticulofenestra sp. (small)	Helicosphaera seminulum	Helicosphaera lophota	Discolithina distincta	Discoaster tanii	Discoaster sp. sec. calc.	Discoaster saipanensis	Dictyococcites dictyodus	Cyclococcolithus formosus	Coccolithus pelagicus	Coccolithus eopelagicus	Chiasmolithus solitus	Sphenolithus radians	Sphenolithus moriformis	Discolithina plana	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Chiasmolithus sp. cf. C. altus	Chiasmolithus grandis	Discolithina sp. cf. D.distincta	Discoaster barbadiensis	Braarudosphaera bigelowii	Transversopontis pulcher	Micrantholithus vesper	Micrantholithus sp.	Discoaster distinctus	Cyclococcolithus luminis	Sphenolithus predistentus	Coronocyclus nitescens	Koczyia fimbriata	Lanternithus minutus	Blackites tenuis	Discoaster variabilis	Discoaster exilis	Discoaster deflandrei	Coccolithus miopelagicus	Sphenolithus heteromorphus	Sphenolithus abies	Helicosphaera carteri	Cyclicargolithus abisectus	Reticulofenestra pseudoumbilicus	Discolithina multipora	Cyclococcolithus rotula	Rhabdosphaera sp.	Comment

  SR	Middle Miocene   	                 	NN5               	              	112	 683	B	  4	X	 1	   8.00	    431.0800	Martini  	Nannofossils                                 	               	P/M               	                       	                             	                         	F                           	                       	                     	                      	                	R                        	                      	                        	                         	F                    	                       	                     	                    	                       	                  	R                          	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	R                	R                    	R                       	R                         	R                 	                     	R                         	F                               	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Miocene   	                 	NN5               	              	112	 683	B	  4	X	CC	  22.00	    431.6000	Martini  	Nannofossils                                 	               	P/M               	                       	                             	                         	C                           	                       	                     	                      	                	                         	                      	                        	                         	F                    	                       	                     	                    	                       	                  	R                          	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	C                	                     	R                       	R                         	R                 	R                    	R                         	R                               	R                     	R                      	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	                 	                 	                  	              	112	 683	B	  5	X	 2	  97.00	    442.9700	Martini  	Nannofossils                                 	               	P                 	                       	                             	                         	                            	                       	                     	                      	                	                         	                      	                        	                         	                     	                       	                     	                    	                       	                  	                           	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	                 	R                    	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Miocene   	                 	NN5               	              	112	 683	B	  5	X	CC	  28.00	    444.1500	Martini  	Nannofossils                                 	               	P/M               	                       	                             	                         	R                           	                       	                     	                      	                	                         	                      	                        	                         	C                    	                       	                     	                    	                       	                  	R                          	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	R                    	A                	                     	F                       	C                         	F                 	F                    	R                         	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	                 	                 	                  	              	112	 683	B	  6	X	 2	  29.00	    451.7900	Martini  	Nannofossils                                 	               	P                 	                       	                             	                         	                            	                       	                     	                      	                	                         	                      	                        	                         	                     	                       	                     	                    	                       	                  	                           	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	R                	R                    	R                       	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	                 	                 	                  	              	112	 683	B	  6	X	CC	  40.00	    453.3900	Martini  	Nannofossils                                 	               	P                 	                       	                             	                         	                            	                       	                     	                      	                	                         	                      	                        	                         	                     	                       	                     	                    	                       	                  	                           	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	R                    	R                	F                    	R                       	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP17              	              	112	 683	B	  7	X	 1	  25.00	    459.7500	Martini  	Nannofossils                                 	               	P/M               	R                      	                             	R                        	C                           	R                      	R                    	R                     	R               	                         	F                     	R                       	F                        	F                    	R                      	                     	R                   	R                      	                  	F                          	                         	R                             	R                    	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP17              	              	112	 683	B	  7	X	 2	  98.00	    461.9800	Martini  	Nannofossils                                 	               	P/M               	R                      	                             	R                        	C                           	R                      	F                    	R                     	R               	R                        	R                     	R                       	F                        	F                    	R                      	                     	                    	R                      	                  	R                          	                         	R                             	R                    	                                	                       	                         	R                       	                      	R                  	                     	                        	                         	                      	                 	R                   	R               	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP16              	              	112	 683	B	  7	X	 3	  29.00	    462.7900	Martini  	Nannofossils                                 	               	P/M               	R                      	                             	R                        	C                           	F                      	F                    	R                     	R               	                         	F                     	                        	C                        	F                    	R                      	R                    	                    	R                      	R                 	R                          	R                        	                              	                     	                                	                       	                         	                        	                      	R                  	                     	R                       	                         	R                     	R                	                    	                	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP16              	              	112	 683	B	  7	X	CC	  16.00	    463.0300	Martini  	Nannofossils                                 	               	P/M               	                       	                             	R                        	C                           	R                      	F                    	                      	R               	R                        	F                     	R                       	C                        	C                    	R                      	R                    	                    	R                      	                  	                           	F                        	                              	R                    	                                	R                      	                         	R                       	                      	R                  	R                    	R                       	R                        	R                     	                 	                    	                	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP16              	              	112	 683	B	  7	X	CC	  24.00	    463.1100	Martini  	Nannofossils                                 	               	M                 	F                      	                             	F                        	                            	C                      	C                    	F                     	R               	R                        	C                     	                        	C                        	                     	F                      	                     	R                   	F                      	F                 	F                          	F                        	                              	                     	                                	R                      	R                        	R                       	R                     	F                  	R                    	R                       	                         	                      	                 	                    	                	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP16              	              	112	 683	B	  8	X	 1	   6.00	    469.0600	Martini  	Nannofossils                                 	               	P/M               	R                      	                             	F                        	C                           	R                      	R                    	                      	R               	                         	F                     	R                       	F                        	F                    	R                      	R                    	R                   	F                      	                  	F                          	R                        	                              	R                    	R                               	R                      	R                        	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP16              	              	112	 683	B	  8	X	CC	  29.00	    478.6000	Martini  	Nannofossils                                 	               	P/M               	R                      	                             	C                        	C                           	R                      	R                    	                      	R               	R                        	F                     	R                       	R                        	F                    	R                      	                     	R                   	C                      	R                 	R                          	R                        	R                             	R                    	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

  SR	Middle Eocene    	                 	NP16              	              	112	 683	B	  9	X	CC	  30.00	    478.8000	Martini  	Nannofossils                                 	               	P/M               	R                      	R                            	C                        	C                           	R                      	R                    	R                     	R               	R                        	R                     	R                       	F                        	F                    	R                      	F                    	                    	                       	                  	                           	                         	                              	                     	                                	                       	                         	                        	                      	                   	                     	                        	                         	                      	                 	                    	                	                     	                 	                     	                        	                          	                  	                     	                          	                                	                      	                       	                 	from ODP Leg 112 SR Chapter 14 Table 6 p 227

